page_id,keyword,annotation,url
15,will,"Ich will"（德译：我想）是Rammstein的一首单曲，于2001年9月10日最初发布于德国，由于2001年9月11日的九一一袭击事件，许多频道没有播送该曲的MV（原计划9月11日晚在美国电视上播出）。德版单曲目录包含了由Flake翻唱的雷蒙斯合唱团的歌曲"Pet Sematary"。,https://baike.baidu.com/item/ich%20will/12640070
14,will,"Ich will"（德译：我想）是Rammstein的一首单曲，于2001年9月10日最初发布于德国，由于2001年9月11日的九一一袭击事件，许多频道没有播送该曲的MV（原计划9月11日晚在美国电视上播出）。德版单曲目录包含了由Flake翻唱的雷蒙斯合唱团的歌曲"Pet Sematary"。,https://baike.baidu.com/item/ich%20will/12640070
13,will,"Ich will"（德译：我想）是Rammstein的一首单曲，于2001年9月10日最初发布于德国，由于2001年9月11日的九一一袭击事件，许多频道没有播送该曲的MV（原计划9月11日晚在美国电视上播出）。德版单曲目录包含了由Flake翻唱的雷蒙斯合唱团的歌曲"Pet Sematary"。,https://baike.baidu.com/item/ich%20will/12640070
14,project,Microsoft Project(或 MSPROJ)是一个国际上享有盛誉的通用的项目管理工具软件，凝集了许多成熟的项目管理现代理论和方法，可以帮助项目管理者实现时间、资源、成本的计划、控制。,https://baike.baidu.com/item/project/8654838
11,will,Will ，英文单词，助动词、动词、名词，作助动词时意为“将；总是；愿意；（表示能力、容量等）能；惯于；可能；必须”，作动词时意为“愿意；（诗、文）想要；决心要；用意志力使；遗赠”，作名词时意为“意志，决心；心愿；遗嘱；意旨”。,https://baike.baidu.com/item/WILL/5947939
12,Universe,Universe，英语单词，名词，意思是“宇宙；世界；领域”。,https://baike.baidu.com/item/Universe/6148297
12,will,Will ，英文单词，助动词、动词、名词，作助动词时意为“将；总是；愿意；（表示能力、容量等）能；惯于；可能；必须”，作动词时意为“愿意；（诗、文）想要；决心要；用意志力使；遗赠”，作名词时意为“意志，决心；心愿；遗嘱；意旨”。,https://baike.baidu.com/item/WILL/5947939
10,will,"Ich will"（德译：我想）是Rammstein的一首单曲，于2001年9月10日最初发布于德国，由于2001年9月11日的九一一袭击事件，许多频道没有播送该曲的MV（原计划9月11日晚在美国电视上播出）。德版单曲目录包含了由Flake翻唱的雷蒙斯合唱团的歌曲"Pet Sematary"。,https://baike.baidu.com/item/ich%20will/12640070
10,systems,Sollae Systems（株）是一家新技术开发企业。,https://baike.baidu.com/item/sollae%20systems/8456270
15,history,HISTORY是LOEN Entertainment于2013年4月26日推出的男子演唱团体，由宋庆一、罗焘均、金时亨、金载澔、张理正5名成员组成。2013年4月26日，发布单曲专辑《DREAMER》并正式出道；8月20日，发布首张迷你专辑《Just Now》；11月28日，发布第二张迷你专辑《Blue Spring》。2014年6月23日，发布第三张迷你专辑《DESIRE》。2015年5月21日，发布第四张迷你专辑《Beyond The HISTORY》。2017年5月12日，男团HISTORY正式解散 结束四年组合活动。,https://baike.baidu.com/item/History/32228
13,social,social，英语单词，名词、形容词，作名词时意为“联谊会；联欢会”。作形容词时意为“社会的，社交的；群居的”。,https://baike.baidu.com/item/social/1385858
11,Processes,processes是一个英文单词，名词译为工序，过程( process的名词复数 )，做事方法，工艺流程，动词译为处理，加工( process的第三人称单数 )，审阅，审核。,https://baike.baidu.com/item/processes/8485050
