page_id,keyword,annotation,url
12,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
11,产量,产量，汉语词语，拼音是chǎn liàng，意思是指一定时期内生产某种物品的数量。,https://baike.baidu.com/item/%E4%BA%A7%E9%87%8F/9712955
12,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
9,作物,作物，拼音是zùo wù，指油料作物、粮食作物、经济作物等。出自《到大司马记室笺》。,https://baike.baidu.com/item/%E4%BD%9C%E7%89%A9/1706270
8,调控,调控是一个汉语词语，读音tiáo kòng，调节、控制的意思。另有一个意思，读音diao kòng，调度、控制的意思。,https://baike.baidu.com/item/%E8%B0%83%E6%8E%A7/207531
10,调控,调控是一个汉语词语，读音tiáo kòng，调节、控制的意思。另有一个意思，读音diao kòng，调度、控制的意思。,https://baike.baidu.com/item/%E8%B0%83%E6%8E%A7/207531
6,分子,分子是由组成的原子按照一定的键合顺序和空间排列而结合在一起的整体，这种键合顺序和空间排列关系称为分子结构。由于分子内原子间的相互作用，分子的物理和化学性质不仅取决于组成原子的种类和数目，更取决于分子的结构。,https://baike.baidu.com/item/%E5%88%86%E5%AD%90/479055
7,调控,调控是一个汉语词语，读音tiáo kòng，调节、控制的意思。另有一个意思，读音diao kòng，调度、控制的意思。,https://baike.baidu.com/item/%E8%B0%83%E6%8E%A7/207531
11,大田,大田县，别称“岩城”，明嘉靖十四年（1535年）建县时隶属延平府。1983年始隶属福建省三明市，位于福建省中部，戴云山脉西侧，总面积2294平方公里，辖6个乡、12个镇，总人口42万人。自然实体为“九山半水半分田”，海拔千米以上的山峰175座，森林覆盖率达70.1%，峰峦叠嶂、山峻水秀，是闽江、九龙江、晋江三大水系支流的发源地，是福建省12个重点生态功能区之一。大田县属中亚热带季风气候，四季常青，温湿适中。年平均气温15.3--19.6℃，无霜期280~300天，年降水量1491~1809毫米，气候温和，雨量充沛，土壤肥沃，适于发展农、林和畜牧业。农作物以水稻为主，经济作物主要有茶叶、大豆、甘蔗、花生；林以松杉为主。,https://baike.baidu.com/item/%E5%A4%A7%E7%94%B0%E5%8E%BF/3450481
6,调控,调控是一个汉语词语，读音tiáo kòng，调节、控制的意思。另有一个意思，读音diao kòng，调度、控制的意思。,https://baike.baidu.com/item/%E8%B0%83%E6%8E%A7/207531
