page_id,keyword,annotation,url
11,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
10,丝路,《丝路》是华语流行乐女歌手梁静茹演唱的一首慢板抒情歌，由五月天阿信填词，王力宏谱曲，收录于梁静茹2005年9月16日发行的个人专辑《丝路》中，亦是专辑的第一主打歌。2006年，这首歌获得了KKBOX数位音乐风云榜年度十大金曲、第6届全球华语歌曲排行榜二十大最受欢迎金曲和最佳作词奖。,https://baike.baidu.com/item/%E4%B8%9D%E8%B7%AF/3681540
10,沿线,沿线，读音yán xiàn，是一个汉语词汇，释义为靠近交通线、边界线的地方。,https://baike.baidu.com/item/%E6%B2%BF%E7%BA%BF/3566299
11,沿线,沿线，读音yán xiàn，是一个汉语词汇，释义为靠近交通线、边界线的地方。,https://baike.baidu.com/item/%E6%B2%BF%E7%BA%BF/3566299
9,增暖,温室效应，又称“花房效应”，是大气保温效应的俗称。大气能使太阳短波辐射到达地面，但地表受热后向外放出的大量长波热辐射线却被大气吸收，这样就使地表与低层大气温度增高，因其作用类似于栽培农作物的温室，故名温室效应。自工业革命以来，人类向大气中排入的二氧化碳等吸热性强的温室气体逐年增加，大气的温室效应也随之增强，其引发了一系列问题已引起了世界各国的关注。,https://baike.baidu.com/item/%E6%B8%A9%E5%AE%A4%E6%95%88%E5%BA%94/138447
8,木本植物,木本植物（woody plant）是指根和茎因增粗生长形成大量的木质部，而细胞壁也多数木质化的坚固的植物。植物体木质部发达，茎坚硬，多年生。与草本植物相对，人们常将前者称为树，后者称为草。木本植物是木材的来源，均为多年生植物。另外除买麻藤纲外所有裸子植物均属于木本植物。木本植物因植株高度及分枝部位等不同，而细胞壁也多数木质化，具有形成层。地上部分为多年生的乔木和多年生的灌木。而与其相对应的便是草本植物。,https://baike.baidu.com/item/%E6%9C%A8%E6%9C%AC%E6%A4%8D%E7%89%A9/762433
7,研发,研发即研究开发、研究与开发、研究发展，是指各种研究机构、企业或个人为获得科学技术（不包括人文、社会科学）新知识，创造性运用科学技术新知识，或实质性改进技术、产品和服务而持续进行的具有明确目标的系统活动，包括系统及设备的测试，安装，维护，维修等一系列的系统活动。2016年2月，美国国家科学基金会发布的《美国科学与工程指标》显示，中国已成为不容置疑的世界第二研发大国。所了解，全球研发支出总体呈上升趋势，并仍集中在北美、欧洲及东亚和东南亚地区。美国仍然是世界第一研发大国，中国居第二位，中国的研发开支接近欧盟的总和。在按购买力平价计算的全球研发总支出当中，中国约占20%，仅次于美国（27%）；日本居第三位，占10%；德国第四，占6%；接下来是韩国、法国、俄罗斯、英国和印度，他们分别占全球研发支出总额的2%至4%。,https://baike.baidu.com/item/%E7%A0%94%E5%8F%91/4815440
8,物候,物候（wù hòu），是指生物长期适应光照、降水、温度等条件的周期性变化，形成与此相适应的生长发育节律，这种现象称为物候现象，主要指动植物的生长、发育、活动规律与非生物的变化对节候的反应。,https://baike.baidu.com/item/%E7%89%A9%E5%80%99/665643
6,海洋,海洋资源是指海洋中的生产资料和生活资料的天然来源。海洋资源包括海洋矿物资源、海水化学资源、海洋生物 (水产) 资源和海洋动力资源等四项。海洋矿物资源主要有石油、煤、铁、铝钒土、锰、铜、石英研等。海水化学资源主要有氯、钠、镁、硫、碘、铀、金、镍等，它们溶解在海水中，其性质同海洋矿物资源一样，都是矿物资源 (区别于生物资源)，但其开发方法同海洋矿物资源的方法完全不同。,https://baike.baidu.com/item/%E6%B5%B7%E6%B4%8B%E8%B5%84%E6%BA%90/738434
9,京津冀,京津冀地区是中国的“首都经济圈”，包括北京市、天津市和河北省的保定、廊坊。石家庄、唐山、邯郸、秦皇岛、张家口、承德、沧州、邢台、衡水等11个地级市以及定州和辛集2个省直管市。其中北京、天津、保定、廊坊为中部核心功能区，京津保地区将率先联动。[2-3]京津冀地区古为幽燕、燕赵，历元明清三朝八百余年本为一家，元属中书省、明为北直隶、清为直隶省。民国初北京为京兆，天津属直隶省。民国定都南京后，北京改为北平，与天津同属河北省。京津冀地缘相接、人缘相亲，地域一体、文化一脉，历史渊源深厚、交往半径相宜，完全能够相互融合、协同发展。京津冀位于东北亚中国地区环渤海心脏地带，是中国北方经济规模最大、最具活力的地区，越来越引起中国乃至整个世界的瞩目。2019年，京津冀三地地区生产总值合计84580.08亿元，占全国的8.5%。2017年4月1日，中共中央、国务院决定设立河北雄安新区，涉及保定市下辖的雄县、容城、安新3县及周边部分区域。,https://baike.baidu.com/item/%E4%BA%AC%E6%B4%A5%E5%86%80/7504899
6,海冰,海冰（sea ice）是淡水冰晶、“卤水”和含有盐分的气泡混合体，包括来自大陆的淡水冰（冰川和河冰）和由海水直接冻结而成的咸水冰，一般多指后者。广义的海冰还包括在海洋中的河冰、冰山等。咸水冰是固体冰和卤水（包括一些盐类结晶体）等组成的混合物，其盐度比海水低2～10‰，物理性质（如密度、比热、溶解热，蒸发潜热、热传导性及膨胀性）不同于淡水冰。,https://baike.baidu.com/item/%E6%B5%B7%E5%86%B0/80215
5,南大洋,南冰洋也叫南大洋或南极海，是世界第五个被确定的大洋，是世界上唯一完全环绕地球却未被大陆分割的大洋。南冰洋是围绕南极洲的海洋，是南纬50°以南的印度洋、大西洋和南纬55°-62°间的太平洋的海域。以前一直认为太平洋、大西洋和印度洋一直延伸到南极洲，南冰洋的水域被视为南极海，但因为海洋学上发现南冰洋有重要的不同洋流，于是国际水文地理组织于2000年确定其为一个独立的大洋，成为五大洋中的第四大洋。但在学术界依旧有人认为依据大洋应有其对应的中洋脊而不承认南冰洋这一称谓。,https://baike.baidu.com/item/%E5%8D%97%E5%86%B0%E6%B4%8B/3594117
5,增暖,厄尔尼诺暖流，是太平洋一种反常的自然现象，在南美洲西海岸、南太平洋东部，自南向北流动着一股著名的秘鲁寒流，每年的11月至次年的3月正是南半球的夏季，南半球海域水温普遍升高，向西流动的赤道暖流得到加强。恰逢此时，全球的气压带和风带向南移动，东北信风越过赤道受到南半球自偏向力（也称地转偏向力）的作用，向左偏转成西北季风。西北季风不但削弱了秘鲁西海岸的离岸风——东南信风，使秘鲁寒流冷水上泛减弱甚至消失，而且吹拂着水温较高的赤道暖流南下，使秘鲁寒流的水温反常升高。这股悄然而至、不固定的洋流被称为“厄尔尼诺暖流”。厄尔尼诺又分为厄尔尼诺现象和厄尔尼诺事件。厄尔尼诺现象是发生在热带太平洋海温异常增暖的一种气候现象，大范围热带太平洋增暖，会造成全球气候的变化，但这个状态要维持3个月以上，才认定是真正发生了厄尔尼诺事件。在厄尔尼诺现象发生后，拉尼娜现象有时会紧随其后。然而，根据2015年12月27日美国国家航空暨太空总署(NASA)新发布的卫星影像显示，太平洋上厄尔尼诺现象没有转弱迹象。专家预测2016年可能成为厄尔尼诺破坏力最大的一年。2020年5月8日，国家气候中心监测显示，一次弱厄尔尼诺事件已形成，预计今夏涝重于旱。,https://baike.baidu.com/item/%E5%8E%84%E5%B0%94%E5%B0%BC%E8%AF%BA%E6%9A%96%E6%B5%81/1440287
3,水循环,水循环是指地球上不同的地方上的水，通过吸收太阳的能量，改变状态到地球上另外一个地方。例如地面的水分被太阳蒸发成为空气中的水蒸气。而水在地球的状态包括固态、液态和气态。而地球中的水多数存在于大气层、地面、地底、湖泊、河流及海洋中。水会通过一些物理作用，例如：蒸发、降水、渗透、表面的流动和地底流动等，由一个地方移动到另一个地方。如水由河川流动至海洋。由16,17世纪佩罗和马略特发现。,https://baike.baidu.com/item/%E6%B0%B4%E5%BE%AA%E7%8E%AF/2862091
2,变化,变化，拼音：biàn huà；英文：Change。意思为事物被另外的事物取代，近义词为变动。出自《易·乾》：“乾道变化，各正性命。”换模型讲：变化是事物性质的体现。,https://baike.baidu.com/item/%E5%8F%98%E5%8C%96/33159
7,模式,模式是主体行为的一般方式，包括科学实验模式、经济发展模式、企业盈利模式等，是理论和实践之间的中介环节，具有一般性、简单性、重复性、结构性、稳定性、可操作性的特征。模式在实际运用中必须结合具体情况，实现一般性和特殊性的衔接并根据实际情况的变化随时调整要素与结构才有可操作性。[1-3]模式，指事物的标准样式。如：发展模式。,https://baike.baidu.com/item/%E6%A8%A1%E5%BC%8F/700029
2,全球,全球，狭义指地球的各个层圈（大气圈、水圈、岩石圈和生物圈）。广义指地球上的人文环境，经济，生态自然， 包括世界上的各个方面。,https://baike.baidu.com/item/%E5%85%A8%E7%90%83/2741427
1,变化,变化，拼音：biàn huà；英文：Change。意思为事物被另外的事物取代，近义词为变动。出自《易·乾》：“乾道变化，各正性命。”换模型讲：变化是事物性质的体现。,https://baike.baidu.com/item/%E5%8F%98%E5%8C%96/33159
1,全球,全球，狭义指地球的各个层圈（大气圈、水圈、岩石圈和生物圈）。广义指地球上的人文环境，经济，生态自然， 包括世界上的各个方面。,https://baike.baidu.com/item/%E5%85%A8%E7%90%83/2741427
4,关键,关键是一个汉语词汇，意思是对事物最紧要的部分，在一段时间内，对事物起决定性作用；门闩或功能类似门闩的东西。,https://baike.baidu.com/item/%E5%85%B3%E9%94%AE/33183
4,地表,地表即地球表面，可以分为陆地和海洋两大单元，并且由此分化产生了两种截然不同的自然环境。陆地是地表未被海洋淹没的部分，虽然面积仅占全球面积的29%，但它却是人类的栖息之地及主要的活动场所。人类自起源以来，就以陆地为生存依托，在陆地上生息、繁衍、劳动、并且使陆地面貌发生了深刻的变化。因此，陆地是地球上人地关系最密切的人类家园。,https://baike.baidu.com/item/%E5%9C%B0%E8%A1%A8/1517298
