page_id,keyword,annotation,url
40,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
41,不少,不少，读音是bù shǎo，汉语词语，意思是多；毫无。出自《书·大诰》。,https://baike.baidu.com/item/%E4%B8%8D%E5%B0%91/6676458
39,小于,小于，读音xiǎo yú。当一个数值比另一个数值小时使用小于号(<)来表示它们之间的关系。其几何意义可以这样解释：对于任意两实数a、b，都可在同一数轴上找到其对应点A、B，若点A在点B左侧，则a<b。,https://baike.baidu.com/item/%E5%B0%8F%E4%BA%8E/2692895
34,电源,电源是将其它形式的能转换成电能的装置。电源自“磁生电”原理，由水力、风力、海潮、水坝水压差、太阳能等可再生能源，及烧煤炭、油渣等产生电力来源。常见的电源是干电池（直流电）与家用的110V-220V 交流电源。,https://baike.baidu.com/item/%E7%94%B5%E6%BA%90/275673
37,防护,防护，汉语词汇。拼音：fáng hù。可作为名词或动词，分别解释为一种防备和保护的方式或方法和保护措施。,https://baike.baidu.com/item/%E9%98%B2%E6%8A%A4/4591545
38,防护,防护，汉语词汇。拼音：fáng hù。可作为名词或动词，分别解释为一种防备和保护的方式或方法和保护措施。,https://baike.baidu.com/item/%E9%98%B2%E6%8A%A4/4591545
30,涉水,涉水，汉语词汇，意思是脚踏入水中，蹚入河流、海洋等水域。引申义为涉及某事情，开始从事做某事。,https://baike.baidu.com/item/%E6%B6%89%E6%B0%B4/233813
28,杆塔,杆塔是架空输电线路中用来支撑输电线的支撑物。杆塔多由钢材或钢筋混凝土制成，是架空输电线路的主要支撑结构。,https://baike.baidu.com/item/%E6%9D%86%E5%A1%94/4414204
33,韧性,韧性，物理学概念，表示材料在塑性变形和破裂过程中吸收能量的能力。韧性越好，则发生脆性断裂的可能性越小。韧性可在材料科学及冶金学上，韧性是指材料受到使其发生形变的力时对折断的抵抗能力，其定义为材料在断裂前所能吸收的能量与体积的比值。,https://baike.baidu.com/item/%E9%9F%A7%E6%80%A7/9737179
36,搜救,搜救犬在工作犬的所有类别中，搜索与救援是仅次于警犬的、最受人们尊敬和赞扬的犬的热门职业之一。经过专业培训后，它们成了百发百中的搜索行家。犬对气味的辨别能力比人高出百万倍，听力是人的18倍，视野广阔，有在光线微弱条件下视物的能力，是国际上普遍认为搜救效果最好的“设备”。用犬搜索是现场搜索最为行之有效的方法之一。,https://baike.baidu.com/item/%E6%90%9C%E6%95%91%E7%8A%AC/10837346
27,化学品,化学品是指各种元素组成的纯净物和混合物，无论是天然的还是人造的。据美国化学文摘登录，全世界已有的化学品多达700万种，其中已作为商品上市的有10万余种，经常使用的有7万多种，每年全世界新出现化学品有1000多种。,https://baike.baidu.com/item/%E5%8C%96%E5%AD%A6%E5%93%81/3563602
26,化学品,化学品标志是指危险化学品在市场上流通时由生产销售单位提供的附在化学品包装上的标志，是向作业人员传递安全信息的一种载体，它用简单、易于理解的文字和图形表述有关化学品的危险特性及其安全处置的注意事项，警示作业人员进行安全操作和处置。,https://baike.baidu.com/item/%E5%8C%96%E5%AD%A6%E5%93%81%E6%A0%87%E5%BF%97/6054683
31,管控,风险控制是指风险管理者采取各种措施和方法，消灭或减少风险事件发生的各种可能性，或者减少风险事件发生时造成的损失。 风险控制的四种基本方法是：风险回避、损失控制、风险转移和风险保留。,https://baike.baidu.com/item/%E9%A3%8E%E9%99%A9%E7%AE%A1%E6%8E%A7/3789832
35,无人,无人是一个汉语词汇，是没有人才、没有人、没人在的意思，出自《左传·文公十三年》和《史记·范雎蔡泽列传》。同时也是一部美国恐怖片的名字。,https://baike.baidu.com/item/%E6%97%A0%E4%BA%BA/4612228
22,特种设备,特种设备是指涉及生命安全、危险性较大的锅炉、压力容器（含气瓶，下同）、压力管道、电梯、起重机械、客运索道、大型游乐设施和场（厂）内专用机动车辆。其中锅炉、压力容器（含气瓶）、压力管道为承压类特种设备；电梯、起重机械、客运索道、大型游乐设施为机电类特种设备。2013年6月29日，十二届全国人大常委会通过《中华人民共和国特种设备安全法》。2014年11月，国家质检总局公布了新修订的《特种设备目录》。,https://baike.baidu.com/item/%E7%89%B9%E7%A7%8D%E8%AE%BE%E5%A4%87/5108060
29,机场,机场，亦称飞机场、空港，较正式的名称是航空站。机场有不同的大小，除了跑道之外，机场通常还设有塔台、停机坪、航空客运站、维修厂等设施，并提供机场管制服务、空中交通管制等其他服务。,https://baike.baidu.com/item/%E6%9C%BA%E5%9C%BA/74273
32,社区,社区是若干社会群体或社会组织聚集在某一个领域里所形成的一个生活上相互关联的大集体，是社会有机体最基本的内容，是宏观社会的缩影。社会学家给社区下出的定义有140多种。社区是具有某种互动关系的和共同文化维系力的，在一定领域内相互关联的人群形成的共同体及其活动区域。尽管社会学家对社区下的定义各不相同，在构成社区的基本要素上认识还是基本一致的，普遍认为一个社区应该包括一定数量的人口、一定范围的地域、一定规模的设施、一定特征的文化、一定类型的组织。社区就是这样一个“聚居在一定地域范围内的人们所组成的社会生活共同体”。社区的特点：有一定的地理区域；有一定数量的人口；居民之间有共同的意识和利益；有着较密切的社会交往。,https://baike.baidu.com/item/%E7%A4%BE%E5%8C%BA/904140
19,化工,化工是“化学工艺”、“化学工业”、“化学工程”等的简称。凡运用化学方法改变物质组成、结构或合成新物质的技术，都属于化学生产技术，也就是化学工艺，所得产品被称为化学品或化工产品。起初，生产这类产品的是手工作坊，后来演变为工厂，并逐渐形成了一个特定的生产行业即化学工业。化学工程是研究化工产品生产过程共性规律的一门科学。人类与化工的关系十分密切，有些化工产品在人类发展历史中，起着划时代的重要作用，它们的生产和应用，甚至代表着人类文明的一定历史阶段。,https://baike.baidu.com/item/%E5%8C%96%E5%B7%A5/1262631
24,口岸,口岸，具有基础设施和查验、监管机构，是对人员、货物和交通工具合法出入国（关、边）境进行检查检验和提供服务的交通枢纽，不同运输方式的交通网络运输线路的交汇点，国家或地区对外交通运输系统的重要组成部分，具有优越的地理位置和方便的交通运输条件。2020年7月29日，七部门联合《清理规范海运口岸收费行动方案》发布。,https://baike.baidu.com/item/%E5%8F%A3%E5%B2%B8/1572193
25,识别,识别，读音是shí bié，汉语词语，意思是区分,分辨。,https://baike.baidu.com/item/%E8%AF%86%E5%88%AB/264948
15,灾变,灾变是指地理上或者心理上一种难以预测的灾难变化，网络游戏魔兽里有大灾变，就主要是指网络游戏里的一种情景的称呼。,https://baike.baidu.com/item/%E7%81%BE%E5%8F%98/8002
16,小于,小于等于是一种判断方式，用来表示不等式左侧的值小于等于不等式右侧的值，符号为“≤”。例如3≤5。在各种数学，或编程中会出现。命题中，小于等于是小于或者等于，只要满足一个条件即可成立。小于等于又称为不大于。,https://baike.baidu.com/item/%E5%B0%8F%E4%BA%8E%E7%AD%89%E4%BA%8E/3708346
21,损伤,,https://baike.baidu.com/item/%E6%8D%9F%E4%BC%A4/1810796
23,特种设备,特种设备是指涉及生命安全、危险性较大的锅炉、压力容器（含气瓶，下同）、压力管道、电梯、起重机械、客运索道、大型游乐设施和场（厂）内专用机动车辆。其中锅炉、压力容器（含气瓶）、压力管道为承压类特种设备；电梯、起重机械、客运索道、大型游乐设施为机电类特种设备。2013年6月29日，十二届全国人大常委会通过《中华人民共和国特种设备安全法》。2014年11月，国家质检总局公布了新修订的《特种设备目录》。,https://baike.baidu.com/item/%E7%89%B9%E7%A7%8D%E8%AE%BE%E5%A4%87/5108060
20,地下,《地下地上》是由江西电视台电视剧制作中心及深圳万科影视有限公司联合出品，由楼健执导，任程伟、巍子、韩雪、王雅捷、杨猛等领衔主演的谍战剧。该剧讲述了地下特工刘克豪和女游击队长王迎香假扮夫妻打入军统内部、后来历经波折结为真夫妻的故事，两个热血革命青年，有同样的理想和目标，却有不一样的性格和作风。他们在战斗中共浴风险，在生活中磕磕碰碰。解放后，他们几经波折，有情人终成眷属。该剧2009年5月21日武汉文艺频道首播，8月30日于江苏卫视上星播出。,https://baike.baidu.com/item/%E5%9C%B0%E4%B8%8B%E5%9C%B0%E4%B8%8A/5419313
17,安全,安全生产是保护劳动者的安全、健康和国家财产，促进社会生产力发展的基本保证，也是保证社会主义经济发展，进一步实行改革开放的基本条件。因此，做好安全生产工作具有重要的意义。2020年4月28日，国务院新闻办公室举行《全国安全生产专项整治三年行动计划》新闻发布会。,https://baike.baidu.com/item/%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7/754553
18,煤气化,煤气化是指煤或焦炭、半焦等固体燃料在高温常压或加压条件下与气化剂反应，转化为气体产物和少量残渣的过程。气化剂主要是水蒸气、空气(或氧气)或它们的混合气，气化反应包括了一系列均相与非均相化学反应。所得气体产物视所用原料煤质、气化剂的种类和气化过程的不同而具有不同的组成，可分为空气煤气、半水煤气、水煤气等。煤气化过程可用于生产燃料煤气，作为工业窑炉用气和城市煤气，也用于制造合成气，作为合成氨、合成甲醇和合成液体燃料的原料。是煤化工的重要过程之一。,https://baike.baidu.com/item/%E7%85%A4%E6%B0%94%E5%8C%96/803726
11,基于,基于是一个汉语词语，拼音是jī yú，意思是由于、根据。出自老舍 《四世同堂》四五：“友情的结合，往往是基于一件偶然的事情与遭遇的。”,https://baike.baidu.com/item/%E5%9F%BA%E4%BA%8E/763397
8,毒品,根据《中华人民共和国刑法》第357条规定，毒品是指鸦片、海洛因、甲基苯丙胺（冰毒）、吗啡、大麻、可卡因以及国家规定管制的其它能够使人形成瘾癖的麻醉药品和精神药品。《麻醉药品及精神药品品种目录》中列明了121种麻醉药品和130种精神药品。根据中国禁毒网权威发布， 毒品分为传统毒品、 合成毒品、 新精神活性物质（新型毒品）。其中最常见的主要是麻醉药品类中的大麻类、鸦片类和可卡因类。,https://baike.baidu.com/item/毒品

12,探测,探测，指探查某物；确定物体、辐射、化学化合物、信号等是否存在。,https://baike.baidu.com/item/%E6%8E%A2%E6%B5%8B/322953
6,警务,警务，读音为jǐng wù，汉语词语，意思指有关警察方面的事务。,https://baike.baidu.com/item/%E8%AD%A6%E5%8A%A1/5869758
13,分辨率,屏幕分辨率是指纵横向上的像素点数，单位是px。屏幕分辨率确定计算机屏幕上显示多少信息的设置，以水平和垂直像素来衡量。就相同大小的屏幕而言，当屏幕分辨率低时（例如 640 x 480），在屏幕上显示的像素少，单个像素尺寸比较大。屏幕分辨率高时（例如 1600 x 1200），在屏幕上显示的像素多，单个像素尺寸比较小。显示分辨率就是屏幕上显示的像素个数，分辨率160×128的意思是水平方向含有像素数为160个，垂直方向像素数128个。屏幕尺寸一样的情况下，分辨率越高，显示效果就越精细和细腻。,https://baike.baidu.com/item/%E5%B1%8F%E5%B9%95%E5%88%86%E8%BE%A8%E7%8E%87/2193029
7,不少,不少，读音是bù shǎo，汉语词语，意思是多；毫无。出自《书·大诰》。,https://baike.baidu.com/item/%E4%B8%8D%E5%B0%91/6676458
4,技术,世界知识产权组织在1977年版的《供发展中国家使用的许可证贸易手册》中，给技术下的定义：“技术是制造一种产品的系统知识，所采用的一种工艺或提供的一项服务，不论这种知识是否反映在一项发明、一项外形设计、一项实用新型或者一种植物新品种，或者反映在技术情报或技能中，或者反映在专家为设计、安装、开办或维修一个工厂或为管理一个工商业企业或其活动而提供的服务或协助等方面。”这是至今为止国际上给技术所下的最为全面和完整的定义。知识产权组织把世界上所有能带来经济效益的科学知识都定义为技术。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/13014499
2,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
