page_id,keyword,annotation,url
14,金属,纯金属在常温下一般都是固体（汞除外），有金属光泽（即对可见光强烈反射），大多数为电和热的优良导体，有延展性，密度较大，熔点较高。地球上的金属资源广泛地存在于地壳和海洋中，除少数很不活泼的金属如金、银等有单质形式存在外，其余都以化合物的形式存在。金属在自然界中广泛存在，在生活中应用极为普遍，在现代工业中是非常重要和应用最多的一类物质。,https://baike.baidu.com/item/%E9%87%91%E5%B1%9E/190330
30,固废,固体废物是指在生产，生活和其他活动过程中产生的丧失原有的利用价值或者虽未丧失利用价值但被抛弃或者放弃的固体，半固体，和置于容器中的气态物品，物质以及法律，行政法规规定纳入废物管理的物品，物质。不能排入水体的液态废物和不能排入大气的置于容器中的气态物质。由于多具有较大的危害性，一般归入固体废物管理体系。,https://baike.baidu.com/item/%E5%9B%BA%E4%BD%93%E5%BA%9F%E7%89%A9/5746875
29,固废,固体废物是指在生产，生活和其他活动过程中产生的丧失原有的利用价值或者虽未丧失利用价值但被抛弃或者放弃的固体，半固体，和置于容器中的气态物品，物质以及法律，行政法规规定纳入废物管理的物品，物质。不能排入水体的液态废物和不能排入大气的置于容器中的气态物质。由于多具有较大的危害性，一般归入固体废物管理体系。,https://baike.baidu.com/item/%E5%9B%BA%E4%BD%93%E5%BA%9F%E7%89%A9/5746875
25,园区,产业园区是指以为促进某一产业发展为目标而创立的特殊区位环境，是区域经济发展、产业调整升级的重要空间聚集形式，担负着聚集创新资源、培育新兴产业、推动城市化建设等一系列的重要使命。产业园区能够有效地创造聚集力，通过共享资源、克服外部负效应，带动关联产业的发展，从而有效地推动产业集群的形成。按照不同的角度有多种类型分类，根据玩转园区（cnyuanqu）里的分法，最常见类型有：物流园区、科技园区、文化创意园区、总部基地、生态农业园区等。,https://baike.baidu.com/item/%E4%BA%A7%E4%B8%9A%E5%9B%AD%E5%8C%BA/7307651
26,固废,固体废物是指在生产，生活和其他活动过程中产生的丧失原有的利用价值或者虽未丧失利用价值但被抛弃或者放弃的固体，半固体，和置于容器中的气态物品，物质以及法律，行政法规规定纳入废物管理的物品，物质。不能排入水体的液态废物和不能排入大气的置于容器中的气态物质。由于多具有较大的危害性，一般归入固体废物管理体系。,https://baike.baidu.com/item/%E5%9B%BA%E4%BD%93%E5%BA%9F%E7%89%A9/5746875
28,固废,固体废物是指在生产，生活和其他活动过程中产生的丧失原有的利用价值或者虽未丧失利用价值但被抛弃或者放弃的固体，半固体，和置于容器中的气态物品，物质以及法律，行政法规规定纳入废物管理的物品，物质。不能排入水体的液态废物和不能排入大气的置于容器中的气态物质。由于多具有较大的危害性，一般归入固体废物管理体系。,https://baike.baidu.com/item/%E5%9B%BA%E4%BD%93%E5%BA%9F%E7%89%A9/5746875
23,危险废物,随着工业的发展，工业生产过程排放的危险废物日益增多。据估计，全世界每年的危险废物产生量为3.3亿吨。由于危险废物带来的严重污染和潜在的严重影响，在工业发达国家危险废物已称为"政治废物"，公众对危险废物问题十分敏感，反对在自己居住的地区设立危险废物处置场，加上危险废物的处置费用高昂，一些公司极力试图向工业不发达国家和地区转移危险废物。,https://baike.baidu.com/item/%E5%8D%B1%E9%99%A9%E5%BA%9F%E7%89%A9/5509933
20,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
19,废旧,废旧物资即陈旧（闲置）的东西，或废弃的，可以作为再生资源的可回收利用性。在日常生产生活过程中所剩余的价值不大的物资。包括：陈旧、报废、二手、库存、生产生活所产生的物资。例如废金属、废纸、再生塑料等，甚至废旧家电中还有相当一部分部件可以重复利用和作为再生资源的。废旧也是一种资源，只是不被人们所关注，很长时间一直秉持着旧货即丢、废品即扔的传统思想。这样不仅影响生态环境，而且这些“宝贝”有一定的经济价值，是一种变废为宝的“生财之道”。,https://baike.baidu.com/item/%E5%BA%9F%E6%97%A7%E7%89%A9%E8%B5%84/5698157
22,生命周期,生命周期就是指一个对象的生老病死。生命周期（Life Cycle）的概念应用很广泛，特别是在政治、经济、环境、技术、社会等诸多领域经常出现，其基本涵义可以通俗地理解为“从摇篮到坟墓”（Cradle-to-Grave）的整个过程。对于某个产品而言，就是从自然中来回到自然中去的全过程，也就是既包括制造产品所需要的原材料的采集、加工等生产过程，也包括产品贮存、运输等流通过程，还包括产品的使用过程以及产品报废或处置等废弃回到自然过程，这个过程构成了一个完整的产品的生命周期。,https://baike.baidu.com/item/%E7%94%9F%E5%91%BD%E5%91%A8%E6%9C%9F/9878142
