page_id,keyword,annotation,url
27,场地,场地，是指工程群体所在地，具有相似的反应谱特征，其范围相当于厂区、居民小区和自然村或不小于1.0km2的平面面积。,https://baike.baidu.com/item/%E5%9C%BA%E5%9C%B0/2585002
26,开采区,开发区是指由国务院和省、自治区、直辖市人民政府批准在城市规划区内设立的经济技术开发区、保税区、高新技术产业开发区、国家旅游度假区等实行国家特定优惠政策的各类开发区。同时，开发区特指的是未被开发的地方，是具有经济或人文环境潜力的地方，所以称之为开发区。,https://baike.baidu.com/item/%E5%BC%80%E5%8F%91%E5%8C%BA/5630742
24,场地,场地，是指工程群体所在地，具有相似的反应谱特征，其范围相当于厂区、居民小区和自然村或不小于1.0km2的平面面积。,https://baike.baidu.com/item/%E5%9C%BA%E5%9C%B0/2585002
22,修复,修复是一个汉语词汇，拼音是xiū fù。释义：（1）修理使恢复完整（多指建筑物）：～河堤。～铁路。～两国关系.（2）恢复。语出《南史·刘穆之传》：“堰久决坏，公私废业。 孝武遣秀之 修复， 雍 部由是大丰。”,https://baike.baidu.com/item/%E4%BF%AE%E5%A4%8D/10973178
23,原位,它的意思是部位、位置、现场。指事件发生的位点，多用于物理、化学、生物等学科中。,https://baike.baidu.com/item/%E5%8E%9F%E4%BD%8D/9465950
21,场地,场地，是指工程群体所在地，具有相似的反应谱特征，其范围相当于厂区、居民小区和自然村或不小于1.0km2的平面面积。,https://baike.baidu.com/item/%E5%9C%BA%E5%9C%B0/2585002
25,修复,修复是一个汉语词汇，拼音是xiū fù。释义：（1）修理使恢复完整（多指建筑物）：～河堤。～铁路。～两国关系.（2）恢复。语出《南史·刘穆之传》：“堰久决坏，公私废业。 孝武遣秀之 修复， 雍 部由是大丰。”,https://baike.baidu.com/item/%E4%BF%AE%E5%A4%8D/10973178
18,填埋场,垃圾处理方式一般可以分为卫生填埋、焚烧、堆肥等几种方式。垃圾填埋场是采用卫生填埋方式下的垃圾集中堆放场地，垃圾卫生填埋场因为成本低、卫生程度好在国内被广泛应用。国内最大的垃圾填埋场是广州兴丰垃圾填埋场，日处理生活垃圾约7000吨左右。,https://baike.baidu.com/item/%E5%9E%83%E5%9C%BE%E5%A1%AB%E5%9F%8B%E5%9C%BA/2327321
14,浸矿剂,《离子型稀土浸矿区环境及生物有效性》是2011年1月化学工业出版社出版的图书，作者是冯秀娟。,https://baike.baidu.com/item/%E7%A6%BB%E5%AD%90%E5%9E%8B%E7%A8%80%E5%9C%9F%E6%B5%B8%E7%9F%BF%E5%8C%BA%E7%8E%AF%E5%A2%83%E5%8F%8A%E7%94%9F%E7%89%A9%E6%9C%89%E6%95%88%E6%80%A7/12490410
16,场地,场地，是指工程群体所在地，具有相似的反应谱特征，其范围相当于厂区、居民小区和自然村或不小于1.0km2的平面面积。,https://baike.baidu.com/item/%E5%9C%BA%E5%9C%B0/2585002
11,场地,场地，是指工程群体所在地，具有相似的反应谱特征，其范围相当于厂区、居民小区和自然村或不小于1.0km2的平面面积。,https://baike.baidu.com/item/%E5%9C%BA%E5%9C%B0/2585002
