page_id,keyword,annotation,url
14,清洗,清洗，是汉语词汇，拼音是qīng xǐ，释义洗干净。,https://baike.baidu.com/item/%E6%B8%85%E6%B4%97/70924
15,清洗,清洗，是汉语词汇，拼音是qīng xǐ，释义洗干净。,https://baike.baidu.com/item/%E6%B8%85%E6%B4%97/70924
14,激光,激光是20世纪以来继核能、电脑、半导体之后，人类的又一重大发明，被称为“最快的刀”、“最准的尺”、“最亮的光”。英文名Light Amplification by Stimulated Emission of Radiation，意思是“通过受激辐射光扩大”。激光的英文全名已经完全表达了制造激光的主要过程。激光的原理早在 1916年已被著名的犹太裔物理学家爱因斯坦发现。原子受激辐射的光，故名“激光”：原子中的电子吸收能量后从低能级跃迁到高能级，再从高能级回落到低能级的时候，所释放的能量以光子的形式放出。被引诱（激发）出来的光子束（激光），其中的光子光学特性高度一致。因此激光相比普通光源单色性、方向性好，亮度更高。激光应用很广泛，有激光打标、激光焊接、激光切割、光纤通信、激光测距、激光雷达、激光武器、激光唱片、激光矫视、激光美容、激光扫描、激光灭蚊器、LIF无损检测技术等等。激光系统可分为连续波激光器和脉冲激光器。,https://baike.baidu.com/item/%E6%BF%80%E5%85%89/130230
13,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
13,激光,激光是20世纪以来继核能、电脑、半导体之后，人类的又一重大发明，被称为“最快的刀”、“最准的尺”、“最亮的光”。英文名Light Amplification by Stimulated Emission of Radiation，意思是“通过受激辐射光扩大”。激光的英文全名已经完全表达了制造激光的主要过程。激光的原理早在 1916年已被著名的犹太裔物理学家爱因斯坦发现。原子受激辐射的光，故名“激光”：原子中的电子吸收能量后从低能级跃迁到高能级，再从高能级回落到低能级的时候，所释放的能量以光子的形式放出。被引诱（激发）出来的光子束（激光），其中的光子光学特性高度一致。因此激光相比普通光源单色性、方向性好，亮度更高。激光应用很广泛，有激光打标、激光焊接、激光切割、光纤通信、激光测距、激光雷达、激光武器、激光唱片、激光矫视、激光美容、激光扫描、激光灭蚊器、LIF无损检测技术等等。激光系统可分为连续波激光器和脉冲激光器。,https://baike.baidu.com/item/%E6%BF%80%E5%85%89/130230
11,光纤,光纤是光导纤维的简写，是一种由玻璃或塑料制成的纤维，可作为光传导工具。传输原理是“光的全反射”。前香港中文大学校长高锟和George A. Hockham首先提出光纤可以用于通讯传输的设想，高锟因此获得2009年诺贝尔物理学奖。,https://baike.baidu.com/item/%E5%85%89%E7%BA%A4/171632
12,紫外,准确测定有机化合物的分子结构，对从分子水平去认识物质世界，推动近代有机化学的发展是十分重要的。采用现代仪器分析方法，可以快速、准确地测定有机化合物的分子结构。在有机化学中应用最广泛的测定分子结构的方法是四大光谱法：紫外光谱、红外光谱、核磁共振和质谱。紫外和可见光谱（ultraviolet and visible spectrum）简写为UV。,https://baike.baidu.com/item/%E7%B4%AB%E5%A4%96%E5%85%89%E8%B0%B1/5297277
15,优于,中国能赢——中国的制度何以优于西方，是宋鲁郑著作，由红旗出版社出版的“解读中国书系”最新力作。该书通过对中西方国家的历史事例和对西方制度与中国模式的对比分析来解读“中国为什么能赢”“西方民主的真相”“西方民主的陷阱”以及“中西方政治经济模式的对比与差异。2012年11月12日，该书在北京正式发行。,https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E8%83%BD%E8%B5%A2%EF%BC%9A%E4%B8%AD%E5%9B%BD%E7%9A%84%E5%88%B6%E5%BA%A6%E6%A8%A1%E5%BC%8F%E4%BD%95%E4%BB%A5%E4%BC%98%E4%BA%8E%E8%A5%BF%E6%96%B9/5018144
10,打印,通常指把电脑或其他电子设备中的文字或图片等可见数据，通过打印机等输出在纸张等记录物上。,https://baike.baidu.com/item/%E6%89%93%E5%8D%B0/5042771
11,激光器,激光器——能发射激光的装置。1954年制成了第一台微波量子放大器，获得了高度相干的微波束。1958年A.L.肖洛和C.H.汤斯把微波量子放大器原理推广应用到光频范围，1960年T.H.梅曼等人制成了第一台红宝石激光器。1961年A.贾文等人制成了氦氖激光器。1962年R.N.霍耳等人创制了砷化镓半导体激光器。以后，激光器的种类就越来越多。按工作介质分，激光器可分为气体激光器、固体激光器、半导体激光器和染料激光器4大类。近来还发展了自由电子激光器，大功率激光器通常都是脉冲式输出。,https://baike.baidu.com/item/%E6%BF%80%E5%85%89%E5%99%A8/2374206
9,制造,把原材料加工成适用的产品制作，或将原材料加工成器物。也可指造成某种气氛或局面。,https://baike.baidu.com/item/%E5%88%B6%E9%80%A0/8681656
10,3D,《灵触3D》是Pornchai Hongrattanapor执导的泰国惊悚片，由纳瓦·君拉纳拉、芮塔·彭安等主演。该片讲述了借学识和阴阳眼帮人逃脱法律和因果的杰特，陷入了自己亲手挖掘的恶业深坑。,https://baike.baidu.com/item/%E7%81%B5%E8%A7%A63D/13016247
8,检测,用指定的方法检验测试某种物体（气体、液体、固体）指定的技术性能指标。适用于各种行业范畴的质量评定，如：土木建筑工程、水利、食品、化学、环境、机械、机器等等。,https://baike.baidu.com/item/%E6%A3%80%E6%B5%8B/1200916
9,增材,增材制造（Additive Manufacturing，AM）俗称3D打印，融合了计算机辅助设计、材料加工与成型技术、以数字模型文件为基础，通过软件与数控系统将专用的金属材料、非金属材料以及医用生物材料，按照挤压、烧结、熔融、光固化、喷射等方式逐层堆积，制造出实体物品的制造技术。相对于传统的、对原材料去除－切削、组装的加工模式不同，是一种“自下而上”通过材料累加的制造方法，从无到有。这使得过去受到传统制造方式的约束，而无法实现的复杂结构件制造变为可能。近二十年来，AM技术取得了快速的发展，“快速原型制造（Rapid Prototyping）”、“三维打印(3D Printing )”、“实体自由制造(Solid Free-form Fabrication) ”之类各异的叫法分别从不同侧面表达了这一技术的特点。增材制造技术是指基于离散-堆积原理，由零件三维数据驱动直接制造零件的科学技术体系。基于不同的分类原则和理解方式，增材制造技术还有快速原型、快速成形、快速制造、3D打印等多种称谓，其内涵仍在不断深化，外延也不断扩展，这里所说的“增材制造”与“快速成形”、“快速制造”意义相同。,https://baike.baidu.com/item/%E5%A2%9E%E6%9D%90%E5%88%B6%E9%80%A0/3642267
12,激光器,激光器——能发射激光的装置。1954年制成了第一台微波量子放大器，获得了高度相干的微波束。1958年A.L.肖洛和C.H.汤斯把微波量子放大器原理推广应用到光频范围，1960年T.H.梅曼等人制成了第一台红宝石激光器。1961年A.贾文等人制成了氦氖激光器。1962年R.N.霍耳等人创制了砷化镓半导体激光器。以后，激光器的种类就越来越多。按工作介质分，激光器可分为气体激光器、固体激光器、半导体激光器和染料激光器4大类。近来还发展了自由电子激光器，大功率激光器通常都是脉冲式输出。,https://baike.baidu.com/item/%E6%BF%80%E5%85%89%E5%99%A8/2374206
7,成形,成形即成为某种形体，形成某种稳固的局面。如正在成形的思想之新奇简直使他大吃一惊；排列成一定形式或形状使玻璃成形；医学上指具有正常的形状大便成形；医学上指修复损伤的组织或器官，成形外科，骨成形术等等。,https://baike.baidu.com/item/%E6%88%90%E5%BD%A2/208702
8,增材,增材制造（Additive Manufacturing，AM）俗称3D打印，融合了计算机辅助设计、材料加工与成型技术、以数字模型文件为基础，通过软件与数控系统将专用的金属材料、非金属材料以及医用生物材料，按照挤压、烧结、熔融、光固化、喷射等方式逐层堆积，制造出实体物品的制造技术。相对于传统的、对原材料去除－切削、组装的加工模式不同，是一种“自下而上”通过材料累加的制造方法，从无到有。这使得过去受到传统制造方式的约束，而无法实现的复杂结构件制造变为可能。近二十年来，AM技术取得了快速的发展，“快速原型制造（Rapid Prototyping）”、“三维打印(3D Printing )”、“实体自由制造(Solid Free-form Fabrication) ”之类各异的叫法分别从不同侧面表达了这一技术的特点。增材制造技术是指基于离散-堆积原理，由零件三维数据驱动直接制造零件的科学技术体系。基于不同的分类原则和理解方式，增材制造技术还有快速原型、快速成形、快速制造、3D打印等多种称谓，其内涵仍在不断深化，外延也不断扩展，这里所说的“增材制造”与“快速成形”、“快速制造”意义相同。,https://baike.baidu.com/item/%E5%A2%9E%E6%9D%90%E5%88%B6%E9%80%A0/3642267
6,制造,把原材料加工成适用的产品制作，或将原材料加工成器物。也可指造成某种气氛或局面。,https://baike.baidu.com/item/%E5%88%B6%E9%80%A0/8681656
6,增材,增材制造（Additive Manufacturing，AM）俗称3D打印，融合了计算机辅助设计、材料加工与成型技术、以数字模型文件为基础，通过软件与数控系统将专用的金属材料、非金属材料以及医用生物材料，按照挤压、烧结、熔融、光固化、喷射等方式逐层堆积，制造出实体物品的制造技术。相对于传统的、对原材料去除－切削、组装的加工模式不同，是一种“自下而上”通过材料累加的制造方法，从无到有。这使得过去受到传统制造方式的约束，而无法实现的复杂结构件制造变为可能。近二十年来，AM技术取得了快速的发展，“快速原型制造（Rapid Prototyping）”、“三维打印(3D Printing )”、“实体自由制造(Solid Free-form Fabrication) ”之类各异的叫法分别从不同侧面表达了这一技术的特点。增材制造技术是指基于离散-堆积原理，由零件三维数据驱动直接制造零件的科学技术体系。基于不同的分类原则和理解方式，增材制造技术还有快速原型、快速成形、快速制造、3D打印等多种称谓，其内涵仍在不断深化，外延也不断扩展，这里所说的“增材制造”与“快速成形”、“快速制造”意义相同。,https://baike.baidu.com/item/%E5%A2%9E%E6%9D%90%E5%88%B6%E9%80%A0/3642267
7,增材,增材制造（Additive Manufacturing，AM）俗称3D打印，融合了计算机辅助设计、材料加工与成型技术、以数字模型文件为基础，通过软件与数控系统将专用的金属材料、非金属材料以及医用生物材料，按照挤压、烧结、熔融、光固化、喷射等方式逐层堆积，制造出实体物品的制造技术。相对于传统的、对原材料去除－切削、组装的加工模式不同，是一种“自下而上”通过材料累加的制造方法，从无到有。这使得过去受到传统制造方式的约束，而无法实现的复杂结构件制造变为可能。近二十年来，AM技术取得了快速的发展，“快速原型制造（Rapid Prototyping）”、“三维打印(3D Printing )”、“实体自由制造(Solid Free-form Fabrication) ”之类各异的叫法分别从不同侧面表达了这一技术的特点。增材制造技术是指基于离散-堆积原理，由零件三维数据驱动直接制造零件的科学技术体系。基于不同的分类原则和理解方式，增材制造技术还有快速原型、快速成形、快速制造、3D打印等多种称谓，其内涵仍在不断深化，外延也不断扩展，这里所说的“增材制造”与“快速成形”、“快速制造”意义相同。,https://baike.baidu.com/item/%E5%A2%9E%E6%9D%90%E5%88%B6%E9%80%A0/3642267
5,增材,增材制造（Additive Manufacturing，AM）俗称3D打印，融合了计算机辅助设计、材料加工与成型技术、以数字模型文件为基础，通过软件与数控系统将专用的金属材料、非金属材料以及医用生物材料，按照挤压、烧结、熔融、光固化、喷射等方式逐层堆积，制造出实体物品的制造技术。相对于传统的、对原材料去除－切削、组装的加工模式不同，是一种“自下而上”通过材料累加的制造方法，从无到有。这使得过去受到传统制造方式的约束，而无法实现的复杂结构件制造变为可能。近二十年来，AM技术取得了快速的发展，“快速原型制造（Rapid Prototyping）”、“三维打印(3D Printing )”、“实体自由制造(Solid Free-form Fabrication) ”之类各异的叫法分别从不同侧面表达了这一技术的特点。增材制造技术是指基于离散-堆积原理，由零件三维数据驱动直接制造零件的科学技术体系。基于不同的分类原则和理解方式，增材制造技术还有快速原型、快速成形、快速制造、3D打印等多种称谓，其内涵仍在不断深化，外延也不断扩展，这里所说的“增材制造”与“快速成形”、“快速制造”意义相同。,https://baike.baidu.com/item/%E5%A2%9E%E6%9D%90%E5%88%B6%E9%80%A0/3642267
