page_id,keyword,annotation,url
20,焊接,焊接，也称作熔接，是一种以加热、高温或者高压的方式接合金属或其他热塑性材料如塑料的制造工艺及技术。现代焊接的能量来源有很多种，包括气体焰、电弧、激光、电子束、摩擦和超声波等。除了在工厂中使用外，焊接还可以在多种环境下进行，如野外、水下和太空。无论在何处，焊接都可能给操作者带来危险，所以在进行焊接时必须采取适当的防护措施。焊接给人体可能造成的伤害包括烧伤、触电、视力损害、吸入有毒气体、紫外线照射过度等。,https://baike.baidu.com/item/%E7%84%8A%E6%8E%A5/513162
19,激光,激光是20世纪以来继核能、电脑、半导体之后，人类的又一重大发明，被称为“最快的刀”、“最准的尺”、“最亮的光”。英文名Light Amplification by Stimulated Emission of Radiation，意思是“通过受激辐射光扩大”。激光的英文全名已经完全表达了制造激光的主要过程。激光的原理早在 1916年已被著名的犹太裔物理学家爱因斯坦发现。原子受激辐射的光，故名“激光”：原子中的电子吸收能量后从低能级跃迁到高能级，再从高能级回落到低能级的时候，所释放的能量以光子的形式放出。被引诱（激发）出来的光子束（激光），其中的光子光学特性高度一致。因此激光相比普通光源单色性、方向性好，亮度更高。激光应用很广泛，有激光打标、激光焊接、激光切割、光纤通信、激光测距、激光雷达、激光武器、激光唱片、激光矫视、激光美容、激光扫描、激光灭蚊器、LIF无损检测技术等等。激光系统可分为连续波激光器和脉冲激光器。,https://baike.baidu.com/item/%E6%BF%80%E5%85%89/130230
20,激光,激光是20世纪以来继核能、电脑、半导体之后，人类的又一重大发明，被称为“最快的刀”、“最准的尺”、“最亮的光”。英文名Light Amplification by Stimulated Emission of Radiation，意思是“通过受激辐射光扩大”。激光的英文全名已经完全表达了制造激光的主要过程。激光的原理早在 1916年已被著名的犹太裔物理学家爱因斯坦发现。原子受激辐射的光，故名“激光”：原子中的电子吸收能量后从低能级跃迁到高能级，再从高能级回落到低能级的时候，所释放的能量以光子的形式放出。被引诱（激发）出来的光子束（激光），其中的光子光学特性高度一致。因此激光相比普通光源单色性、方向性好，亮度更高。激光应用很广泛，有激光打标、激光焊接、激光切割、光纤通信、激光测距、激光雷达、激光武器、激光唱片、激光矫视、激光美容、激光扫描、激光灭蚊器、LIF无损检测技术等等。激光系统可分为连续波激光器和脉冲激光器。,https://baike.baidu.com/item/%E6%BF%80%E5%85%89/130230
18,激光,激光是20世纪以来继核能、电脑、半导体之后，人类的又一重大发明，被称为“最快的刀”、“最准的尺”、“最亮的光”。英文名Light Amplification by Stimulated Emission of Radiation，意思是“通过受激辐射光扩大”。激光的英文全名已经完全表达了制造激光的主要过程。激光的原理早在 1916年已被著名的犹太裔物理学家爱因斯坦发现。原子受激辐射的光，故名“激光”：原子中的电子吸收能量后从低能级跃迁到高能级，再从高能级回落到低能级的时候，所释放的能量以光子的形式放出。被引诱（激发）出来的光子束（激光），其中的光子光学特性高度一致。因此激光相比普通光源单色性、方向性好，亮度更高。激光应用很广泛，有激光打标、激光焊接、激光切割、光纤通信、激光测距、激光雷达、激光武器、激光唱片、激光矫视、激光美容、激光扫描、激光灭蚊器、LIF无损检测技术等等。激光系统可分为连续波激光器和脉冲激光器。,https://baike.baidu.com/item/%E6%BF%80%E5%85%89/130230
18,复合,【词目】复合【拼音】fù hé【基本解释】指物体等因某种原因而结合起来,https://baike.baidu.com/item/%E5%A4%8D%E5%90%88/2437031
17,制造,把原材料加工成适用的产品制作，或将原材料加工成器物。也可指造成某种气氛或局面。,https://baike.baidu.com/item/%E5%88%B6%E9%80%A0/8681656
16,激光,激光是20世纪以来继核能、电脑、半导体之后，人类的又一重大发明，被称为“最快的刀”、“最准的尺”、“最亮的光”。英文名Light Amplification by Stimulated Emission of Radiation，意思是“通过受激辐射光扩大”。激光的英文全名已经完全表达了制造激光的主要过程。激光的原理早在 1916年已被著名的犹太裔物理学家爱因斯坦发现。原子受激辐射的光，故名“激光”：原子中的电子吸收能量后从低能级跃迁到高能级，再从高能级回落到低能级的时候，所释放的能量以光子的形式放出。被引诱（激发）出来的光子束（激光），其中的光子光学特性高度一致。因此激光相比普通光源单色性、方向性好，亮度更高。激光应用很广泛，有激光打标、激光焊接、激光切割、光纤通信、激光测距、激光雷达、激光武器、激光唱片、激光矫视、激光美容、激光扫描、激光灭蚊器、LIF无损检测技术等等。激光系统可分为连续波激光器和脉冲激光器。,https://baike.baidu.com/item/%E6%BF%80%E5%85%89/130230
17,激光,激光是20世纪以来继核能、电脑、半导体之后，人类的又一重大发明，被称为“最快的刀”、“最准的尺”、“最亮的光”。英文名Light Amplification by Stimulated Emission of Radiation，意思是“通过受激辐射光扩大”。激光的英文全名已经完全表达了制造激光的主要过程。激光的原理早在 1916年已被著名的犹太裔物理学家爱因斯坦发现。原子受激辐射的光，故名“激光”：原子中的电子吸收能量后从低能级跃迁到高能级，再从高能级回落到低能级的时候，所释放的能量以光子的形式放出。被引诱（激发）出来的光子束（激光），其中的光子光学特性高度一致。因此激光相比普通光源单色性、方向性好，亮度更高。激光应用很广泛，有激光打标、激光焊接、激光切割、光纤通信、激光测距、激光雷达、激光武器、激光唱片、激光矫视、激光美容、激光扫描、激光灭蚊器、LIF无损检测技术等等。激光系统可分为连续波激光器和脉冲激光器。,https://baike.baidu.com/item/%E6%BF%80%E5%85%89/130230
16,飞秒,飞秒（femtosecond）也叫毫微微秒，简称fs，是标衡时间长短的一种计量单位。1飞秒只有1秒的一千万亿分之一，即1e−15秒或0.001皮秒（1皮秒是，1e−12秒）。即使是每秒飞行30万千米的真空中的光，在一飞秒内，也只能走300纳米。可见光的振荡周期为1.30到2.57飞秒。极短时间的激光脉冲称为飞秒激光，而极短时间的分子振动的检测为飞秒检测，极短时间的物理过程为飞秒物理，在各个科学领域，飞秒时间段正成为研究热点。,https://baike.baidu.com/item/%E9%A3%9E%E7%A7%92/2894168
15,以上,以上是一个汉语词汇，拼音是yǐ shàng。一指数量、程度、阶段等超出并达到某一标准；二指 (表示在此之前，前面的全部内容)以上，上述，上面；三指时代在前的，犹言以前。,https://baike.baidu.com/item/%E4%BB%A5%E4%B8%8A/1415857
