page_id,keyword,annotation,url
8,赫兹,赫兹是国际单位制中频率的单位，它是每秒钟的周期性变动重复次数的计量。赫兹简称赫。每秒钟振动（或振荡、波动）一次为1赫兹，或可写成次/秒，周/秒。因德国科学家赫兹而命名。,https://baike.baidu.com/item/%E8%B5%AB%E5%85%B9/7245576
8,SKA,很多音乐的体裁都是在地下室发明的，这类音乐经久不衰。SKA也是其中一个，20世纪50年代末，以Coxsone Dodd和Laurel Aitken等人为主的牙买加乐手们把当地的Mento和即兴小调音乐与来自高频率电波中所收听到的美国的爵士乐和R&B相结合，形成了SKA音乐。SKA在1960年初逐渐在牙买加流行起来，成为当地青年所热衷的音乐。,https://baike.baidu.com/item/SKA/158719
8,射电,射电望远镜（英文名称radio telescope）是指观测和研究来自天体的射电波的基本设备，可以测量天体射电的强度、频谱及偏振等量。包括收集射电波的定向天线，放大射电信号的高灵敏度接收机，信息记录﹑处理和显示系统等。20世纪60年代天文学取得了四项非常重要的发现：脉冲星、类星体、宇宙微波背景辐射、星际有机分子，被称为“四大发现”。这四项发现都与射电望远镜有关。,https://baike.baidu.com/item/%E5%B0%84%E7%94%B5%E6%9C%9B%E8%BF%9C%E9%95%9C/109850
9,QED,《神通小侦探》（又名：Q.E.D. 证明终了）是日本一部以少年侦探推理情节为主题的漫画与电视剧作品，原作者为漫画家加藤元浩。后由于杂志社倒闭导致该漫画完结。其续作《Q.E.D. iff-证明终了-》于2015年4月20日连载在讲谈社旗下月刊漫画杂志《少年Magazine R》上。,https://baike.baidu.com/item/%E7%A5%9E%E9%80%9A%E5%B0%8F%E4%BE%A6%E6%8E%A2/9655
9,强度,强度是指表示工程材料抵抗断裂和过度变形的力学性能之一。常用的强度性能指标有拉伸强度和屈服强度（或屈服点）。铸铁、无机材料没有屈服现象，故只用拉伸强度来衡量其强度性能。高分子材料也采用拉伸强度。承受弯曲载荷、压缩载荷或扭转载荷时则应以材料的弯曲强度、压缩强度及剪切强度来表示材料的强度性能。,https://baike.baidu.com/item/%E5%BC%BA%E5%BA%A6/1659506
7,星系,星系，别称宇宙岛，源自于希腊语的γαλαξίας (galaxias)。广义上星系是指数量巨大的恒星系及星际尘埃组成的运行系统。参考银河系，它是一个包含恒星、气体、宇宙尘埃和暗物质，并且受到重力束缚的大星系。星系的种类，从只有数千万颗恒星的矮星系到上兆颗恒星的椭圆星系都有，都环绕着质量中心运转。除了单独的恒星和稀薄的星际物质之外，大部分的星系都有数量庞大的多星系统、星团以及各种不同的星云。,https://baike.baidu.com/item/%E6%98%9F%E7%B3%BB/232923
6,核素,核素是指具有一定数目质子和一定数目中子的一种原子。同一种同位素的核性质不同的原子核，它们的质子数相同而中子数不同，结构方式不同，因而表现出不同的核性质。,https://baike.baidu.com/item/%E6%A0%B8%E7%B4%A0/426295
9,效应,效应，拼音xiàoyìng，是指由某种动因或原因所产生的一种特定的科学现象，通常以其发现者的名字来命名。 如法拉第效应成效。效应（Effect），在有限环境下，一些因素和一些结果而构成的一种因果现象，多用于对一种自然现象和社会现象的描述，效应一词使用的泛围较广，并不一定指严格的科学定理、定律中的因果关系。例子如温室效应、蝴蝶效应、毛毛虫效应、音叉效应、木桶效应、完形崩溃效应等等。,https://baike.baidu.com/item/%E6%95%88%E5%BA%94/4053376
5,高能,高能是形容词，常作定语使用。文学中指才能过人；化学中指（对象）具备很高的能量；影视中指内容拥有高度的表现力。在现代社会中，常用来形容在某一方面具备对社会做出卓越贡献者的能力。,https://baike.baidu.com/item/%E9%AB%98%E8%83%BD/6764933
7,宇宙学,宇宙论是对宇宙的研究。其亦研究人类在宇宙中的位置。虽然宇宙学这个词是最近才有的，但人们对宇宙的研究已经有很长的一段历史了，古希腊的托勒密是宇宙学已知的最早先驱。现代宇宙学是物理宇宙学的代名词。它摒弃宗教和纯哲学概念，借助现代物理理论、数学方法和现代天文学观测研究宇宙的成分、结构和演化。,https://baike.baidu.com/item/%E5%AE%87%E5%AE%99%E8%AE%BA/1598625
