page_id,keyword,annotation,url
10,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
10,干细胞,简单来讲， 干细胞是一类具有无限的或者永生的自我更新能力的细胞、能够产生至少一种类型的、高度分化的子代细胞。多年来对干细胞的定义不断进行修正，并从不同的层面上来进行定义。目前大多数生物学家和医学家认为干细胞是来自于胚胎、胎儿或成人体内具有在一定条件下无限制自我更新与增殖分化能力的一类细胞，能够产生表现型与基因型和自己完全相同的子细胞，也能产生组成机体组织、器官的已特化的细胞，同时还能分化为祖细胞。,https://baike.baidu.com/item/%E5%B9%B2%E7%BB%86%E8%83%9E/301672
10,临床,临床是指直接接触病人，对病人进行实际的观察。如内科学、外科学、妇产科学、儿科学等学科属于临床医学。 从医院内部分工来说，则分为临床、医技、行政、工勤等部门。临床科室是医院的主体，它直接担负着对病人的收治、诊断、治疗等任务；临床人员包括直接参与治疗、护理病人的医生、护士；医技科室即过去所说的“非临床”科室，它也有医生和护士，但是不直接参与对病人的治疗和护理，只是为临床诊断、治疗直接提供服务。,https://baike.baidu.com/item/%E4%B8%B4%E5%BA%8A/5507460
9,基因组,在分子生物学和遗传学领域，基因组是指生物体所有遗传物质的总和。这些遗传物质包括DNA或RNA（病毒RNA）。基因组包括编码DNA和非编码DNA、线粒体DNA和叶绿体DNA。研究基因组的科学称为基因组学。,https://baike.baidu.com/item/%E5%9F%BA%E5%9B%A0%E7%BB%84/2746983
9,干细胞,简单来讲， 干细胞是一类具有无限的或者永生的自我更新能力的细胞、能够产生至少一种类型的、高度分化的子代细胞。多年来对干细胞的定义不断进行修正，并从不同的层面上来进行定义。目前大多数生物学家和医学家认为干细胞是来自于胚胎、胎儿或成人体内具有在一定条件下无限制自我更新与增殖分化能力的一类细胞，能够产生表现型与基因型和自己完全相同的子细胞，也能产生组成机体组织、器官的已特化的细胞，同时还能分化为祖细胞。,https://baike.baidu.com/item/%E5%B9%B2%E7%BB%86%E8%83%9E/301672
9,细胞,细胞（英文名：cell）并没有统一的定义，比较普遍的提法是：细胞是生物体基本的结构和功能单位。已知除病毒之外的所有生物均由细胞所组成，但病毒生命活动也必须在细胞中才能体现。一般来说，细菌等绝大部分微生物以及原生动物由一个细胞组成，即单细胞生物，高等植物与高等动物则是多细胞生物。细胞可分为原核细胞、真核细胞两类，但也有人提出应分为三类，即把原属于原核细胞的古核细胞独立出来作为与之并列的一类。研究细胞的学科称为细胞生物学。细胞体形极微，在显微镜下始能窥见，形状多种多样。主要由细胞核与细胞质构成，表面有细胞膜。高等植物细胞膜外有细胞壁，细胞质中常有质体，体内有叶绿体和液泡，还有线粒体。动物细胞无细胞壁，细胞质中常有中心体，而高等植物细胞中则无。细胞有运动、营养和繁殖等机能。,https://baike.baidu.com/item/%E7%BB%86%E8%83%9E/84931
8,细胞,细胞（英文名：cell）并没有统一的定义，比较普遍的提法是：细胞是生物体基本的结构和功能单位。已知除病毒之外的所有生物均由细胞所组成，但病毒生命活动也必须在细胞中才能体现。一般来说，细菌等绝大部分微生物以及原生动物由一个细胞组成，即单细胞生物，高等植物与高等动物则是多细胞生物。细胞可分为原核细胞、真核细胞两类，但也有人提出应分为三类，即把原属于原核细胞的古核细胞独立出来作为与之并列的一类。研究细胞的学科称为细胞生物学。细胞体形极微，在显微镜下始能窥见，形状多种多样。主要由细胞核与细胞质构成，表面有细胞膜。高等植物细胞膜外有细胞壁，细胞质中常有质体，体内有叶绿体和液泡，还有线粒体。动物细胞无细胞壁，细胞质中常有中心体，而高等植物细胞中则无。细胞有运动、营养和繁殖等机能。,https://baike.baidu.com/item/%E7%BB%86%E8%83%9E/84931
8,干细胞,简单来讲， 干细胞是一类具有无限的或者永生的自我更新能力的细胞、能够产生至少一种类型的、高度分化的子代细胞。多年来对干细胞的定义不断进行修正，并从不同的层面上来进行定义。目前大多数生物学家和医学家认为干细胞是来自于胚胎、胎儿或成人体内具有在一定条件下无限制自我更新与增殖分化能力的一类细胞，能够产生表现型与基因型和自己完全相同的子细胞，也能产生组成机体组织、器官的已特化的细胞，同时还能分化为祖细胞。,https://baike.baidu.com/item/%E5%B9%B2%E7%BB%86%E8%83%9E/301672
7,规模化,规模化是指事物的规模大小达到了一定的标准。,https://baike.baidu.com/item/%E8%A7%84%E6%A8%A1%E5%8C%96/1623652
7,干细胞,简单来讲， 干细胞是一类具有无限的或者永生的自我更新能力的细胞、能够产生至少一种类型的、高度分化的子代细胞。多年来对干细胞的定义不断进行修正，并从不同的层面上来进行定义。目前大多数生物学家和医学家认为干细胞是来自于胚胎、胎儿或成人体内具有在一定条件下无限制自我更新与增殖分化能力的一类细胞，能够产生表现型与基因型和自己完全相同的子细胞，也能产生组成机体组织、器官的已特化的细胞，同时还能分化为祖细胞。,https://baike.baidu.com/item/%E5%B9%B2%E7%BB%86%E8%83%9E/301672
6,细胞,细胞（英文名：cell）并没有统一的定义，比较普遍的提法是：细胞是生物体基本的结构和功能单位。已知除病毒之外的所有生物均由细胞所组成，但病毒生命活动也必须在细胞中才能体现。一般来说，细菌等绝大部分微生物以及原生动物由一个细胞组成，即单细胞生物，高等植物与高等动物则是多细胞生物。细胞可分为原核细胞、真核细胞两类，但也有人提出应分为三类，即把原属于原核细胞的古核细胞独立出来作为与之并列的一类。研究细胞的学科称为细胞生物学。细胞体形极微，在显微镜下始能窥见，形状多种多样。主要由细胞核与细胞质构成，表面有细胞膜。高等植物细胞膜外有细胞壁，细胞质中常有质体，体内有叶绿体和液泡，还有线粒体。动物细胞无细胞壁，细胞质中常有中心体，而高等植物细胞中则无。细胞有运动、营养和繁殖等机能。,https://baike.baidu.com/item/%E7%BB%86%E8%83%9E/84931
8,外泌体,,https://baike.baidu.com//item/%E5%A4%96%E6%B3%8C%E4%BD%93
6,示踪,示踪元素是用于追踪物质运行和变化过程的同位素。常用的有碳14（14C）、磷32(32P)、硫35(35S)、碘131(131I)、氢3(3H)放射性同位素，氢（H），碳（C），磷（P），硫（S），和碘（I）在生化反应中用来追踪路径，被广泛的使用着。词条详细介绍了上述示踪元素的基本情况以及应用领域。,https://baike.baidu.com/item/%E7%A4%BA%E8%B8%AA%E5%85%83%E7%B4%A0/5614503
6,干细胞,简单来讲， 干细胞是一类具有无限的或者永生的自我更新能力的细胞、能够产生至少一种类型的、高度分化的子代细胞。多年来对干细胞的定义不断进行修正，并从不同的层面上来进行定义。目前大多数生物学家和医学家认为干细胞是来自于胚胎、胎儿或成人体内具有在一定条件下无限制自我更新与增殖分化能力的一类细胞，能够产生表现型与基因型和自己完全相同的子细胞，也能产生组成机体组织、器官的已特化的细胞，同时还能分化为祖细胞。,https://baike.baidu.com/item/%E5%B9%B2%E7%BB%86%E8%83%9E/301672
5,生殖细胞,生殖细胞（germ cell）是多细胞生物体内能繁殖后代的细胞的总称，包括从原始生殖细胞直到最终已分化的生殖细胞（精子和卵细胞），均为单倍体细胞，其中包含一条性染色体。此术语由A·恩格勒和K·普兰特尔于1897年提出以与体细胞相区别。体细胞最终都会死亡，只有生殖细胞有延存至下代的机会。物种主要依靠生殖细胞而延续和繁衍。长期的自然选择使每一种生物的结构都为其生殖细胞的存活提供最好的条件。,https://baike.baidu.com/item/%E7%94%9F%E6%AE%96%E7%BB%86%E8%83%9E/1317972
7,芯片,集成电路英语：integrated circuit，缩写作 IC；或称微电路（microcircuit）、微芯片（microchip）、晶片/芯片（chip）在电子学中是一种将电路（主要包括半导体设备，也包括被动组件等）小型化的方式，并时常制造在半导体晶圆表面上。,https://baike.baidu.com/item/%E8%8A%AF%E7%89%87/32249
4,再生,再生是生物体的整体或器官受外力作用发生创伤而部分丢失, 在剩余部分的基础上又生长出与丢失部分在形态与功能上相同的结构, 这一修复过程称为再生。,https://baike.baidu.com/item/%E5%86%8D%E7%94%9F/13837404
5,干细胞,简单来讲， 干细胞是一类具有无限的或者永生的自我更新能力的细胞、能够产生至少一种类型的、高度分化的子代细胞。多年来对干细胞的定义不断进行修正，并从不同的层面上来进行定义。目前大多数生物学家和医学家认为干细胞是来自于胚胎、胎儿或成人体内具有在一定条件下无限制自我更新与增殖分化能力的一类细胞，能够产生表现型与基因型和自己完全相同的子细胞，也能产生组成机体组织、器官的已特化的细胞，同时还能分化为祖细胞。,https://baike.baidu.com/item/%E5%B9%B2%E7%BB%86%E8%83%9E/301672
3,功能,功能是一个汉语词语，拼音为gōng néng，意指事物或方法所发挥的有利作用；效能。语出《汉书·宣帝纪》：“五日一听事，自丞相以下各奉职奏事，以傅奏其言，考试功能。”,https://baike.baidu.com/item/%E5%8A%9F%E8%83%BD/10346898
2,修饰,修饰，指整理；装饰；修改润饰，使文字生动。语出《北齐书·崔季舒传》：“ 文襄每进书 魏帝 ，有所谏请，或文辞繁杂， 季舒辄修饰通之，得申劝戒而已。”,https://baike.baidu.com/item/%E4%BF%AE%E9%A5%B0/10912887
3,干细胞,简单来讲， 干细胞是一类具有无限的或者永生的自我更新能力的细胞、能够产生至少一种类型的、高度分化的子代细胞。多年来对干细胞的定义不断进行修正，并从不同的层面上来进行定义。目前大多数生物学家和医学家认为干细胞是来自于胚胎、胎儿或成人体内具有在一定条件下无限制自我更新与增殖分化能力的一类细胞，能够产生表现型与基因型和自己完全相同的子细胞，也能产生组成机体组织、器官的已特化的细胞，同时还能分化为祖细胞。,https://baike.baidu.com/item/%E5%B9%B2%E7%BB%86%E8%83%9E/301672
2,干细胞,简单来讲， 干细胞是一类具有无限的或者永生的自我更新能力的细胞、能够产生至少一种类型的、高度分化的子代细胞。多年来对干细胞的定义不断进行修正，并从不同的层面上来进行定义。目前大多数生物学家和医学家认为干细胞是来自于胚胎、胎儿或成人体内具有在一定条件下无限制自我更新与增殖分化能力的一类细胞，能够产生表现型与基因型和自己完全相同的子细胞，也能产生组成机体组织、器官的已特化的细胞，同时还能分化为祖细胞。,https://baike.baidu.com/item/%E5%B9%B2%E7%BB%86%E8%83%9E/301672
4,转分化,转分化是指一种类型的分化细胞转变成另一种类型的分化细胞的现象。,https://baike.baidu.com/item/%E8%BD%AC%E5%88%86%E5%8C%96/2571848
5,调控,调控是一个汉语词语，读音tiáo kòng，调节、控制的意思。另有一个意思，读音diao kòng，调度、控制的意思。,https://baike.baidu.com/item/%E8%B0%83%E6%8E%A7/207531
3,亚群,亚群（subpopulation）是1995年公布的医学名词。,https://baike.baidu.com/item/%E4%BA%9A%E7%BE%A4/3682879
4,心脏,心脏，是人最重要器官之一。心脏是循环系统中的动力。人的心脏外形像桃子，位于横膈之上，两肺间而偏左。  四腔有左心房、右心房、左心室、右心室。,https://baike.baidu.com/item/%E5%BF%83%E8%84%8F/4955204
1,专项,特定的某个项目。例句：～训练。进行～检查。～资金。[1-2],https://baike.baidu.com/item/%E4%B8%93%E9%A1%B9/10927791
1,支持,支持，汉语词语，拼音是zhī chí，意思是支撑，供应，赞同鼓励。,https://baike.baidu.com/item/%E6%94%AF%E6%8C%81/676624
2,多能性,多能性（pluripotency ），是指具有形成机体内超过一种类型细胞的能力，但往往是针对特定细胞系列的。一般一个系统具有几种质上不同的作用而言，特别是在发生构造学上，正在发育的一部分胚，具有几个不同的发生过程，表现出具有形成不同形态的能力；同时也指已经具有一定的形态和机能的细胞或组织，由于内在或外在条件的变化而能显示出其他各种不同的形态和机能的能力。前者适用尚未定型的胚区，例如脊椎动物原肠形成前的外胚叶就具有多能性。后者的情况适用于变形或变态，例如两栖类眼睛的色素层具有多能性。此外，在系统发生学或生理学领域中的多能概念，按上述情况而使用。,https://baike.baidu.com/item/%E5%A4%9A%E8%83%BD%E6%80%A7/2128712
1,转化,转化（transformation）是某一基因型的细胞从周围介质中吸收来自另一基因型的细胞的DNA而使它的基因型和表现型发生相应变化的现象。该现象首先发现于细菌。也是细菌间遗传物质转移的多种形式中最早发现的一种，它不同于通过噬菌体感染传递遗传物质的转导以及通过细菌细胞的接触而转移DNA的细菌接合。,https://baike.baidu.com/item/%E8%BD%AC%E5%8C%96/5545339
