page_id,keyword,annotation,url
18,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
18,经费,经费是指行政事业单位为完成工作任务和事业计划所需经常费用的统称。这些单位一般不直接从事物质资料生产，没有独立、稳定的收入来源。或者虽有一部分收入，但大都不足以抵补本身的业务支出，需要国家预算拨付经费。经费按用途可分为人员经费和公用经费。或分为维持经费和发展经费。前者指维持原有行政事业单位机构及规模的人员经费和公用经费; 后者是指在计划年度内，经批准新增加的机构、人员或其他事业项目所需的经费。原单位增加少量人员，不增设机构和不扩大事业项目的，属于自然增长，不作为发展经费。,https://baike.baidu.com/item/%E7%BB%8F%E8%B4%B9/1705671
16,畜禽,我们所指的畜禽主要是指人类为满足肉、蛋、乳、毛皮等需要，经过长期劳动驯化的各种动物，其和野生动物有很大的区别，主要有以下四点：经过长期人工饲养并在生产中广泛的应用；其表型和野生动物发生了本质变化，有稳定的人工选择经济性状；已经形成稳定的疫病防控体系；符合国际的惯例。社会经济条件是影响畜禽品种形成与发展的首要因素，它比自然生态条件更具有主导性作用。品种是人工选择的产物，是指具有一定的经济价值、主要性状的遗传性比较一致的一群动物群体，能适应一定的自然环境以及饲养条件，在产量和品质上比较符合人类的要求，是畜禽生产中的一种生产资料。畜禽品种分类的方法；因其结构不同、研究目的和手段不同而有多种。目前畜禽生产中较常用而且实用的分类方法主要有三种，即按品种的体型外貌特征、培育程度和主要经济用途进行分类。畜禽品种资源是畜牧业生产发展的基础，是畜禽遗传育种工作的基本素材，是全球人类的生产生活资料。,https://baike.baidu.com/item/%E7%95%9C%E7%A6%BD/7295516
15,饲草,饲草是指茎叶可作为食草动物饲料的草本植物。饲草再生力强，一年可收割多次，富含各种微量元素和维生素，因此成为饲养家畜的首选。饲草品种的优劣直接影响到畜牧业经济效益的高低，需加以重视。,https://baike.baidu.com/item/%E9%A5%B2%E8%8D%89/5884340
17,项目数,项目数据分析是通过对项目数据全方位的科学分析来评估项目的可行性，为投资方决策项目提供科学、严谨的依据，降低项目投资的风险。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90/5104557
14,研发,研发即研究开发、研究与开发、研究发展，是指各种研究机构、企业或个人为获得科学技术（不包括人文、社会科学）新知识，创造性运用科学技术新知识，或实质性改进技术、产品和服务而持续进行的具有明确目标的系统活动，包括系统及设备的测试，安装，维护，维修等一系列的系统活动。2016年2月，美国国家科学基金会发布的《美国科学与工程指标》显示，中国已成为不容置疑的世界第二研发大国。所了解，全球研发支出总体呈上升趋势，并仍集中在北美、欧洲及东亚和东南亚地区。美国仍然是世界第一研发大国，中国居第二位，中国的研发开支接近欧盟的总和。在按购买力平价计算的全球研发总支出当中，中国约占20%，仅次于美国（27%）；日本居第三位，占10%；德国第四，占6%；接下来是韩国、法国、俄罗斯、英国和印度，他们分别占全球研发支出总额的2%至4%。,https://baike.baidu.com/item/%E7%A0%94%E5%8F%91/4815440
14,畜禽,我们所指的畜禽主要是指人类为满足肉、蛋、乳、毛皮等需要，经过长期劳动驯化的各种动物，其和野生动物有很大的区别，主要有以下四点：经过长期人工饲养并在生产中广泛的应用；其表型和野生动物发生了本质变化，有稳定的人工选择经济性状；已经形成稳定的疫病防控体系；符合国际的惯例。社会经济条件是影响畜禽品种形成与发展的首要因素，它比自然生态条件更具有主导性作用。品种是人工选择的产物，是指具有一定的经济价值、主要性状的遗传性比较一致的一群动物群体，能适应一定的自然环境以及饲养条件，在产量和品质上比较符合人类的要求，是畜禽生产中的一种生产资料。畜禽品种分类的方法；因其结构不同、研究目的和手段不同而有多种。目前畜禽生产中较常用而且实用的分类方法主要有三种，即按品种的体型外貌特征、培育程度和主要经济用途进行分类。畜禽品种资源是畜牧业生产发展的基础，是畜禽遗传育种工作的基本素材，是全球人类的生产生活资料。,https://baike.baidu.com/item/%E7%95%9C%E7%A6%BD/7295516
16,普通病,《动物普通病》是2009年8月1日中国环境科学出版社出版的图书，作者是王怀友。,https://baike.baidu.com/item/%E5%8A%A8%E7%89%A9%E6%99%AE%E9%80%9A%E7%97%85/10229492
13,疫病,在一定病因作用下自稳调节紊乱而发生地异常生命活动过程，并引发一系列代谢、功能、结构的变化，表现为症状、体征和行为的异常。 疾病是机体在一定的条件下，受病因损害作用后，因自稳调节紊乱而发生的异常生命活动过程。 一定的原因造成的生命存在的一种状态，在这种状态下，人体的形态和（或）功能发生一定的变化，正常的生命活动受到限制或破坏，或早或迟地表现出可觉察的症状，这种状态的结局可以是康复（恢复正常）或长期残存，甚至导致死亡。,https://baike.baidu.com/item/%E7%96%AB%E7%97%85/9613789
13,外来,外来是一个汉语词汇，拼音为wài lái，基本意思是从外界或外部而来。,https://baike.baidu.com/item/%E5%A4%96%E6%9D%A5/1945558
