page_id,keyword,annotation,url
5,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
5,自筹经费,根据国家有关规定，被录取的研究生有国家计划内、国家计划外之分。国家计划内包括非定向生和定向生。被国家计划内录取的学生在学习期间由国家拨款培养；国家计划外研究生又分为委培生和自筹经费生，委培生的培养经费由委培单位负担，自筹经费生的培养经费由自己负担。,https://baike.baidu.com/item/%E8%87%AA%E7%AD%B9%E7%BB%8F%E8%B4%B9/3848027
5,经费,经费是指行政事业单位为完成工作任务和事业计划所需经常费用的统称。这些单位一般不直接从事物质资料生产，没有独立、稳定的收入来源。或者虽有一部分收入，但大都不足以抵补本身的业务支出，需要国家预算拨付经费。经费按用途可分为人员经费和公用经费。或分为维持经费和发展经费。前者指维持原有行政事业单位机构及规模的人员经费和公用经费; 后者是指在计划年度内，经批准新增加的机构、人员或其他事业项目所需的经费。原单位增加少量人员，不增设机构和不扩大事业项目的，属于自然增长，不作为发展经费。,https://baike.baidu.com/item/%E7%BB%8F%E8%B4%B9/1705671
5,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
5,单位,单位，指机关、团体或属于一个机关、团体的各个部门；指数学方面或物理方面计量事物的标准量的名称。一般有：米（m）、千米（km）、牛（顿） N、帕（斯卡）Pa等单位；在佛教传统意义上讲单位，特指长度、质量、时间等的定量单位，也有专门的术语如：刹那、一瞬、弹指、须臾等。准确的说，单位就是将一定数量物质的集合规定为“1” ，成为一个单位。从广义上讲：单位是一个相对概念，其为事物坐标系中的坐标轴中能构成个体的抽象概念。事物的最小单位为零。,https://baike.baidu.com/item/%E5%8D%95%E4%BD%8D/32292
3,体系,体系，泛指一定范围内或同类的事物按照一定的秩序和内部联系组合而成的整体，是不同系统组成的系统。自然界的体系遵循自然的法则，而人类社会的体系则要复杂得多。影响这个体系的因素除人性的自然发展之外，还有人类社会对自身认识的发展。,https://baike.baidu.com/item/%E4%BD%93%E7%B3%BB/7090332
3,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
3,集成,系统集成( system integration)通常是指将软件、硬件与通信技术组合起来为用户解决信息处理问题的业务，集成的各个分离部分原本就是一个个独立的系统，集成后的整体的各部分之间能彼此有机地和协调地工作，以发挥整体效益，达到整体优化的目的。,https://baike.baidu.com/item/%E7%B3%BB%E7%BB%9F%E9%9B%86%E6%88%90/801986
4,利用效率,资金使用效率，是评价资金使用效果的一个参数，主要的两个指标是资产使用的有效性和充分性。在财务方面衡量资金使用效率的主要指标就是资产周转率。资金是企业的“血液”，是企业赖以生存和发展的基础。企业资金充裕不仅可以及时偿还债务，支付职工薪酬，而且还可以满足企业的日常生产经营和对外扩张的需要。,https://baike.baidu.com/item/%E8%B5%84%E9%87%91%E4%BD%BF%E7%94%A8%E6%95%88%E7%8E%87/9019278
4,人次,人次，拼音是rén cì，汉语词语，释义是复合量词、表示若干次人数的总和。,https://baike.baidu.com/item/%E4%BA%BA%E6%AC%A1/382605
4,损失率,损失率（Loss Ratio）指保险公司某一业务年度或一定时期内赔款支出总数与同期保费收入总数的比率。赔付率是保险公司考核其业务经营成果的一项重要指标，也是调整费率的主要参考依据。,https://baike.baidu.com/item/%E6%8D%9F%E5%A4%B1%E7%8E%87/3978610
3,万亩,万亩果园位于广州海珠区东南部，占地约1200公顷（即1.8万亩），有2000年历史。拥有良好的生态环境，是一处广州城市近郊的生态旅游地。果园内设有垂钓区、采摘区，以及花溪观赏区。,https://baike.baidu.com/item/%E4%B8%87%E4%BA%A9%E6%9E%9C%E5%9B%AD/5386964
4,5%,组成有18种氨基酸组成的无色或微黄色澄明高渗溶液。每100ml内含色氨酸0.09g，亮氨酸0.49g，蛋氨酸0.225g，苏氨酸0.25g，盐酸精氨酸0.5g，甘氨酸0.76g，谷氨酸0.075g，脯氨酸0.1g，酪氨酸0.025g，异亮氨酸0.352g，盐酸赖氨酸0.43g，苯丙氨酸0.533g，颗氨酸0.36g，盐酸组氨酸0.25g，丙氨酸0.2g，天门冬氨酸0.25g，丝氨酸0.1g，胱氨酸0.01g。钠离子含34mmol/l，氯离子含59mmol/l，其ph约5.0～6.5。与复合氨基酸注射液（18）相似，用于蛋白质缺乏、营养不良、手术前后等患者。,https://baike.baidu.com/item/5%25%E6%B0%A8%E5%9F%BA%E9%85%B8%E6%B3%A8%E5%B0%84%E6%B6%B2/6612543
2,专项,特定的某个项目。例句：～训练。进行～检查。～资金。[1-2],https://baike.baidu.com/item/%E4%B8%93%E9%A1%B9/10927791
