page_id,keyword,annotation,url
13,疾病,重大疾病是指医治花费巨大且在较长一段时间内严重影响患者及其家庭的正常工作和生活的疾病，一般包括：恶性肿瘤、严重心脑血管疾病、需要进行重大器官移植的手术、有可能造成终身残疾的伤病、晚期慢性病、深度昏迷、永久性瘫痪、严重脑损伤、严重帕金森病和严重精神病等。,https://baike.baidu.com/item/%E9%87%8D%E5%A4%A7%E7%96%BE%E7%97%85/6278346
13,新型,新型，指新的类型；新式。语出指丁玲 《韦护》第一章一：“她们都是新型的女性。”,https://baike.baidu.com/item/%E6%96%B0%E5%9E%8B/967971
12,疾病,重大疾病是指医治花费巨大且在较长一段时间内严重影响患者及其家庭的正常工作和生活的疾病，一般包括：恶性肿瘤、严重心脑血管疾病、需要进行重大器官移植的手术、有可能造成终身残疾的伤病、晚期慢性病、深度昏迷、永久性瘫痪、严重脑损伤、严重帕金森病和严重精神病等。,https://baike.baidu.com/item/%E9%87%8D%E5%A4%A7%E7%96%BE%E7%97%85/6278346
10,机器,机器人（Robot）是一种能够半自主或全自主工作的智能机器。历史上最早的机器人见于隋炀帝命工匠按照柳抃形象所营造的木偶机器人，施有机关，有坐、起、拜、伏等能力。机器人具有感知、决策、执行等基本特征，可以辅助甚至替代人类完成危险、繁重、复杂的工作，提高工作效率与质量，服务人类生活，扩大或延伸人的活动及能力范围。,https://baike.baidu.com/item/%E6%9C%BA%E5%99%A8%E4%BA%BA/888
11,蛋白质,蛋白质是组成人体一切细胞、组织的重要成分。机体所有重要的组成部分都需要有蛋白质的参与。一般说，蛋白质约占人体全部质量的18%，最重要的还是其与生命现象有关。蛋白质（protein）是生命的物质基础，是有机大分子，是构成细胞的基本有机物，是生命活动的主要承担者。没有蛋白质就没有生命。氨基酸是蛋白质的基本组成单位。它是与生命及与各种形式的生命活动紧密联系在一起的物质。机体中的每一个细胞和所有重要组成部分都有蛋白质参与。蛋白质占人体重量的16%~20%，即一个60kg重的成年人其体内约有蛋白质9.6~12kg。人体内蛋白质的种类很多，性质、功能各异，但都是由20种氨基酸（Amino acid）按不同比例组合而成的，并在体内不断进行代谢与更新。,https://baike.baidu.com/item/%E8%9B%8B%E7%99%BD%E8%B4%A8/309120
12,免疫,免疫是人体的一种生理功能，人体依靠这种功能识别“自己”和“非己”成分，从而破坏和排斥进入人体的抗原物质（如病菌等），或人体本身所产生的损伤细胞和肿瘤细胞等，以维持人体的健康。抵抗或防止微生物或寄生物的感染或其它所不希望的生物侵入的状态。免疫涉及特异性成分和非特异性成分。非特异性成分不需要事先暴露，可以立刻响应，可以有效地防止各种病原体的入侵。特异性免疫是在主体的寿命期内发展起来的，是专门针对某个病原体的免疫。,https://baike.baidu.com/item/%E5%85%8D%E7%96%AB/825313
10,蛋白质,蛋白质是组成人体一切细胞、组织的重要成分。机体所有重要的组成部分都需要有蛋白质的参与。一般说，蛋白质约占人体全部质量的18%，最重要的还是其与生命现象有关。蛋白质（protein）是生命的物质基础，是有机大分子，是构成细胞的基本有机物，是生命活动的主要承担者。没有蛋白质就没有生命。氨基酸是蛋白质的基本组成单位。它是与生命及与各种形式的生命活动紧密联系在一起的物质。机体中的每一个细胞和所有重要组成部分都有蛋白质参与。蛋白质占人体重量的16%~20%，即一个60kg重的成年人其体内约有蛋白质9.6~12kg。人体内蛋白质的种类很多，性质、功能各异，但都是由20种氨基酸（Amino acid）按不同比例组合而成的，并在体内不断进行代谢与更新。,https://baike.baidu.com/item/%E8%9B%8B%E7%99%BD%E8%B4%A8/309120
9,翻译,在线翻译，一般是指在线翻译工具，如百度翻译、阿里翻译1688或Google翻译等。这类翻译工具的作用是利用计算机程序将一种自然语言(源语言)转换为另一种自然语言(目标语言)。其原理是依托海量的互联网数据资源和自然语言处理技术，在数百万篇文档中查找各种模式，以求解最佳翻译。这种在大量文本中查找各种范例的过程称为“统计机器翻译”。由于译文是由机器生成的，因此并不是所有的译文都是完美的。这就是为什么翻译的准确性有时会因语言的不同而有所差异。,https://baike.baidu.com/item/%E5%9C%A8%E7%BA%BF%E7%BF%BB%E8%AF%91/782566
9,蛋白质,蛋白质是组成人体一切细胞、组织的重要成分。机体所有重要的组成部分都需要有蛋白质的参与。一般说，蛋白质约占人体全部质量的18%，最重要的还是其与生命现象有关。蛋白质（protein）是生命的物质基础，是有机大分子，是构成细胞的基本有机物，是生命活动的主要承担者。没有蛋白质就没有生命。氨基酸是蛋白质的基本组成单位。它是与生命及与各种形式的生命活动紧密联系在一起的物质。机体中的每一个细胞和所有重要组成部分都有蛋白质参与。蛋白质占人体重量的16%~20%，即一个60kg重的成年人其体内约有蛋白质9.6~12kg。人体内蛋白质的种类很多，性质、功能各异，但都是由20种氨基酸（Amino acid）按不同比例组合而成的，并在体内不断进行代谢与更新。,https://baike.baidu.com/item/%E8%9B%8B%E7%99%BD%E8%B4%A8/309120
8,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
11,功能,功能是一个汉语词语，拼音为gōng néng，意指事物或方法所发挥的有利作用；效能。语出《汉书·宣帝纪》：“五日一听事，自丞相以下各奉职奏事，以傅奏其言，考试功能。”,https://baike.baidu.com/item/%E5%8A%9F%E8%83%BD/10346898
