page_id,keyword,annotation,url
13,集合,集合，简称集，是数学中一个基本概念，也是集合论的主要研究对象。集合论的基本理论创立于19世纪，关于集合的最简单的说法就是在朴素集合论（最原始的集合论）中的定义，即集合是“确定的一堆东西”，集合里的“东西”则称为元素。现代的集合一般被定义为：由一个或多个确定的元素所构成的整体。,https://baike.baidu.com/item/%E9%9B%86%E5%90%88/2908117
17,多灾,,https://baike.baidu.com//item/%E5%A4%9A%E7%81%BE%E4%B9%8B%E5%B9%B4
17,防范,防范是一个汉语词汇，读作fáng fàn。一指堤坝和模子。比喻约束物；二指防备，戒备；三指预防入侵之敌，对将要发生的不良结果，要有所防备（预防）。出自汉扬雄《法言·五百》等均有相关记载。,https://baike.baidu.com/item/%E9%98%B2%E8%8C%83/35791
15,城市,城市也叫城市聚落，一般包括了住宅区、工业区和商业区并且具备行政管辖功能。城市的行政管辖功能可能涉及较其本身更广泛的区域，其中有居民区、街道、医院、学校、公共绿地、写字楼、商业卖场、广场、公园等公共设施。城市是“城”与“市”的组合词。“城”主要是为了防卫，并且用城墙等围起来的地域。《管子·度地》说“内为之城，外为之廓”。“市”则是指进行交易的场所，“日中为市”。这两者都是城市最原始的形态，严格地说，都不是真正意义上的城市。一个区域作为城市必须有质的规范性。截至2018年，城市数量从193座增加到672座，建制镇数量从2176座增加到21297座。截至2020年初，中国大陆共计686座城市，其中直辖市4座，特别行政区2座，地级市（含副省级市）293座，县级市387座。,https://baike.baidu.com/item/%E5%9F%8E%E5%B8%82/33549
14,灾害,灾难，汉语词汇。拼音：zāi nàn。释义：灾祸苦难。自然的或人为的严重损害带来对生命的重大伤害。《晋书·刘乔传》：“灾难延於宗子，权柄隆於朝廷。”,https://baike.baidu.com/item/%E7%81%BE%E9%9A%BE/4515943
16,多灾,,https://baike.baidu.com//item/%E5%A4%9A%E7%81%BE%E4%B9%8B%E5%B9%B4
16,评估,1、（1）[Estimate;Assess;Appraise]：评价估量。对方案进行评估和论证，以决定是否采纳。他们在评估他的房子。（2）[Evaluate;Appraise;Estimate;Assess]〈方〉：评价，品评2、房地产评估方法常用的有成本法、市场比较法、剩余法、收益法、假设开发法，针对土地估价还有基准地价修正法、路线价法、房地产价格指数调整法等等。3、二手车的鉴定是指由专业的鉴定评估人员，按照特定的经济行为和法定的评估标准及程序，运用科学的方法，对二手车进行手续和证照的检查、技术状况的鉴定以及价值的估算，二手车鉴定评估要点有三个：手续、证照检查，技术鉴定和价值评估,https://baike.baidu.com/item/%E8%AF%84%E4%BC%B0/396913
12,数值,数值，是汉语词汇，汉语拼音为shù zhí，指的是用数目表示的一个量的多少。一个量用数目表示出来的多少，叫做这个量的数值。例如“3克”的“3”。,https://baike.baidu.com/item/%E6%95%B0%E5%80%BC/2013853
15,洪涝,洪涝， 指因大雨、暴雨或持续降雨使低洼地区淹没、渍水的现象。雨涝主要危害农作物生长，造成作物减产或绝收，破坏农业生产以及其他产业的正常发展。其影响是综合的，还会危及人的生命财产安全，影响国家的长治久安等。,https://baike.baidu.com/item/%E6%B4%AA%E6%B6%9D/40984
12,预报,预报，读音yù bào，汉语词语，意思是先报告，预先告知。,https://baike.baidu.com/item/%E9%A2%84%E6%8A%A5/646213
14,山洪,山洪是指山区溪沟中发生的暴涨洪水。山洪具有突发性，水量集中流速大、冲刷破坏力强，水流中挟带泥沙甚至石块等，常造成局部性洪灾，一般分为暴雨山洪、融雪山洪、冰川山洪等。通过提高防洪标准、调整人类活动方式、增强山区群众防灾避灾意识，可以达到减少山洪灾害发生频率或减轻其危害的目的。在山洪防治规划中，近期宜以工程措施和非工程措施相结合为主，远期以植物措施为主。2006年10月27日，国务院正式批复了《全国山洪灾害防治规划报告》。这是中国第一部由国务院多部门联合组织编制完成的防治山洪灾害的专项规划。,https://baike.baidu.com/item/%E5%B1%B1%E6%B4%AA/7138358
13,模式,模式是主体行为的一般方式，包括科学实验模式、经济发展模式、企业盈利模式等，是理论和实践之间的中介环节，具有一般性、简单性、重复性、结构性、稳定性、可操作性的特征。模式在实际运用中必须结合具体情况，实现一般性和特殊性的衔接并根据实际情况的变化随时调整要素与结构才有可操作性。[1-3]模式，指事物的标准样式。如：发展模式。,https://baike.baidu.com/item/%E6%A8%A1%E5%BC%8F/700029
11,预报,预报，读音yù bào，汉语词语，意思是先报告，预先告知。,https://baike.baidu.com/item/%E9%A2%84%E6%8A%A5/646213
10,观测,观测，指对自然现象进行观察或测定。,https://baike.baidu.com/item/%E8%A7%82%E6%B5%8B/8962478
10,预报,预报，读音yù bào，汉语词语，意思是先报告，预先告知。,https://baike.baidu.com/item/%E9%A2%84%E6%8A%A5/646213
9,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
9,气溶胶,气溶胶是指悬浮在气体介质中的固态或液态颗粒所组成的气态分散系统。这些固态或液态颗粒的密度与气体介质的密度可以相差微小，也可以悬殊很大。气溶胶颗粒大小通常在0.01~10μm之间[2-5]，但由于来源和形成原因范围很大，例如：花粉等植物气溶胶的粒径为5-100µm、木材及烟草燃烧产生的气溶胶，其粒径为0.01-1000µm等。颗粒的形状多种多样，可以是近乎球形，诸如液态雾珠，也可以是片状、针状及其它不规则形状。从流体力学角度，气溶胶实质上是气态为连续相，固、液态为分散相的多相流体。天空中的云、雾、尘埃，工业上和运输业上用的锅炉和各种发动机里未燃尽的燃料所形成的烟，采矿过程、采石场采掘与石料加工过程和粮食加工时所形成的固体粉尘，人造的掩蔽烟幕和毒烟等都是气溶胶的具体实例。,https://baike.baidu.com/item/%E6%B0%94%E6%BA%B6%E8%83%B6/1022460
7,滑坡,滑坡是指斜坡上的土体或者岩体，受河流冲刷、地下水活动、雨水浸泡、地震及人工切坡等因素影响，在重力作用下，沿着一定的软弱面或者软弱带，整体地或者分散地顺坡向下滑动的自然现象。运动的岩（土）体称为变位体或滑移体，未移动的下伏岩（土）体称为滑床。,https://baike.baidu.com/item/%E6%BB%91%E5%9D%A1/2607393
8,堤坝,堤坝： dī bà 堤和坝的总称谓，也泛指防水拦水的建筑物和构筑物： 例如 要加紧修筑堤坝，以防水患。现代的水坝主要有两大类：土石坝和混凝土坝。近年来，大型堤坝都采用高科技的钢筋水泥建筑。,https://baike.baidu.com/item/%E5%A0%A4%E5%9D%9D/10922923
8,滑坡,滑坡是指斜坡上的土体或者岩体，受河流冲刷、地下水活动、雨水浸泡、地震及人工切坡等因素影响，在重力作用下，沿着一定的软弱面或者软弱带，整体地或者分散地顺坡向下滑动的自然现象。运动的岩（土）体称为变位体或滑移体，未移动的下伏岩（土）体称为滑床。,https://baike.baidu.com/item/%E6%BB%91%E5%9D%A1/2607393
6,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
7,地质灾害,地质灾害是指在自然或者人为因素的作用下形成的，对人类生命财产造成的损失、对环境造成破坏的地质作用或地质现象。地质灾害在时间和空间上的分布变化规律，既受制于自然环境，又与人类活动有关，往往是人类与自然界相互作用的结果。,https://baike.baidu.com/item/%E5%9C%B0%E8%B4%A8%E7%81%BE%E5%AE%B3/1782025
11,尺度,尺度，汉语词语，拼音是chǐ dù，意思是规定的限度。,https://baike.baidu.com/item/%E5%B0%BA%E5%BA%A6/10986828
5,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
