page_id,keyword,annotation,url
8,查验,查验，汉语词语，拼音是chá yàn，意思是检查验明。,https://baike.baidu.com/item/%E6%9F%A5%E9%AA%8C/5495762
7,航空,航空（aviation） ，一种复杂而有战略意义的人类活动，指飞行器在地球大气层（空气空间）中的飞行（航行）活动。英文航空一词来源于拉丁文鸟（avia）或空气（aero）。从事飞行活动的飞行器，也称航空器，分为轻于空气的航空器和重于空气的航空器两类。前者如气球、飞艇等，利用空气静浮力升空；后者如飞机、直升机等，则利用空气动力升空。,https://baike.baidu.com/item/%E8%88%AA%E7%A9%BA/1093155
7,医学,医学，是通过科学或技术的手段处理生命的各种疾病或病变的一种学科，促进病患恢复健康的一种专业。它是生物学的应用学科，分基础医学、临床医学。从生理解剖、分子遗传、生化物理等层面来处理人体疾病的高级科学。它是一个从预防到治疗疾病的系统学科，研究领域大方向包括法医学，动物医学，中医学，口腔医学，临床医学等。,https://baike.baidu.com/item/%E5%8C%BB%E5%AD%A6/843
6,航空,航空（aviation） ，一种复杂而有战略意义的人类活动，指飞行器在地球大气层（空气空间）中的飞行（航行）活动。英文航空一词来源于拉丁文鸟（avia）或空气（aero）。从事飞行活动的飞行器，也称航空器，分为轻于空气的航空器和重于空气的航空器两类。前者如气球、飞艇等，利用空气静浮力升空；后者如飞机、直升机等，则利用空气动力升空。,https://baike.baidu.com/item/%E8%88%AA%E7%A9%BA/1093155
8,致灾,致灾因子是自然或人为环境中，能够对人类生命、财产或各种活动产生不利影响，并达到造成灾害程序的罕见或极端的事件。如暴雨洪涝、干旱、热带气旋、风暴潮、霜冻、低温、冰雹、海啸、地震、滑坡、泥石流等均为致灾因子。,https://baike.baidu.com/item/%E8%87%B4%E7%81%BE%E5%9B%A0%E5%AD%90/8800446
8,口岸,口岸，具有基础设施和查验、监管机构，是对人员、货物和交通工具合法出入国（关、边）境进行检查检验和提供服务的交通枢纽，不同运输方式的交通网络运输线路的交汇点，国家或地区对外交通运输系统的重要组成部分，具有优越的地理位置和方便的交通运输条件。2020年7月29日，七部门联合《清理规范海运口岸收费行动方案》发布。,https://baike.baidu.com/item/%E5%8F%A3%E5%B2%B8/1572193
6,救援,救援是指个人或人们，在遭遇灾难或其他非常情况（含自然灾害、意外事故、突发危险事件等）时，获得实施解救行动的整个过程；而救援事业是指能够做长久完善地准备和随时随地能够及时实施解救行动的事务；而救援产业，则是一个以完善的体系、系统或链条为平台、以自身的系统化规模化模式化等为基础、能够长久完善地准备、随时随地实施解救行动并能够最终实现各方应有受益和收益的实业经济。市面上的第三方救援机构，将救援、医疗安置、保险理赔等服务内容进行了整合，形成了更为科学、高效、系统的以人为本的无缝隙服务模式，将“灾后救援”与“援后处理”进行了合理的补充和完善。,https://baike.baidu.com/item/%E6%95%91%E6%8F%B4/84884
5,专项,特定的某个项目。例句：～训练。进行～检查。～资金。[1-2],https://baike.baidu.com/item/%E4%B8%93%E9%A1%B9/10927791
6,医学,医学，是通过科学或技术的手段处理生命的各种疾病或病变的一种学科，促进病患恢复健康的一种专业。它是生物学的应用学科，分基础医学、临床医学。从生理解剖、分子遗传、生化物理等层面来处理人体疾病的高级科学。它是一个从预防到治疗疾病的系统学科，研究领域大方向包括法医学，动物医学，中医学，口腔医学，临床医学等。,https://baike.baidu.com/item/%E5%8C%BB%E5%AD%A6/843
4,预警,预警是指在灾害或灾难以及其他需要提防的危险发生之前，根据以往的总结的规律或观测得到的可能性前兆，向相关部门发出紧急信号，报告危险情况，以避免危害在不知情或准备不足的情况下发生，从而最大程度的减轻危害所造成的损失的行为。,https://baike.baidu.com/item/%E9%A2%84%E8%AD%A6/75122
