page_id,keyword,annotation,url
6,示范,示范，读音为shì fàn，汉语词语，意思是做出榜样或典范,供人们学习；起示范作用；把事物摆出来或指出来使人知道。,https://baike.baidu.com/item/%E7%A4%BA%E8%8C%83/363731
5,评估,1、（1）[Estimate;Assess;Appraise]：评价估量。对方案进行评估和论证，以决定是否采纳。他们在评估他的房子。（2）[Evaluate;Appraise;Estimate;Assess]〈方〉：评价，品评2、房地产评估方法常用的有成本法、市场比较法、剩余法、收益法、假设开发法，针对土地估价还有基准地价修正法、路线价法、房地产价格指数调整法等等。3、二手车的鉴定是指由专业的鉴定评估人员，按照特定的经济行为和法定的评估标准及程序，运用科学的方法，对二手车进行手续和证照的检查、技术状况的鉴定以及价值的估算，二手车鉴定评估要点有三个：手续、证照检查，技术鉴定和价值评估,https://baike.baidu.com/item/%E8%AF%84%E4%BC%B0/396913
6,著作权,著作权过去称为版权。版权最初的含义是copyright（版权），也就是复制权。此乃因过去印刷术的不普及，当时社会认为附随于著作物最重要之权利莫过于将之印刷出版之权，故有此称呼。不过随着时代演进及科技的进步，著作的种类逐渐增加。世界上第一部版权法英国《安娜法令》开始保护作者的权利，而不仅仅是出版者的权利。1791年，法国颁布了《表演权法》，开始重视保护作者的表演权利。1793年又颁布了《作者权法》，作者的精神权利得到了进一步的重视。,https://baike.baidu.com/item/%E8%91%97%E4%BD%9C%E6%9D%83/505674
6,生态建设,生态建设简称ECO，ECO是Eco-build的缩写，主要是对受人为活动干扰和破坏的生态系统进行生态恢复和重建，是根据生态学原理进行的人工设计，充分利用现代科学技术，充分利用生态系统的自然规律，是自然和人工的结合，达到高效和谐，实现环境，经济、社会效益的统一。,https://baike.baidu.com/item/%E7%94%9F%E6%80%81%E5%BB%BA%E8%AE%BE/4302911
6,提交,提交是一个汉语词语，指交易的时候确定，如提交货物，提交修改。现多用于电脑方面。,https://baike.baidu.com/item/%E6%8F%90%E4%BA%A4/2180896
5,中国,中华人民共和国（the People's Republic of China），简称“中国”，成立于1949年10月1日，位于亚洲东部，太平洋西岸，是工人阶级领导的、以工农联盟为基础的人民民主专政的社会主义国家，以五星红旗为国旗、《义勇军进行曲》为国歌，国徽内容为国旗、天安门、齿轮和麦稻穗，通用语言文字是普通话和规范汉字，首都北京，是一个以汉族为主体、56个民族共同组成的统一的多民族国家。中国陆地面积约960万平方千米，东部和南部大陆海岸线1.8万多千米，内海和边海的水域面积约470多万平方千米。海域分布有大小岛屿7600多个，其中台湾岛最大，面积35798平方千米。中国同14国接壤，与8国海上相邻。省级行政区划为23个省、5个自治区、4个直辖市、2个特别行政区。中国是世界上历史最悠久的国家之一，有着光辉灿烂的文化和光荣的革命传统，世界遗产数量全球领先。1949年新中国成立后，进入社会主义革命和建设时期，1956年实现向社会主义过渡，此后社会主义建设在探索中曲折发展。“文化大革命”结束后实行改革开放，沿着中国特色社会主义道路，集中力量进行社会主义现代化建设。经过长期努力，中国特色社会主义进入了新时代。中国是世界上人口最多的发展中国家，国土面积居世界第三位，是世界第二大经济体，并持续成为世界经济增长最大的贡献者，2019年经济总量突破99万亿元[12-13]。中国坚持独立自主的和平外交政策，是联合国安全理事会常任理事国，也是许多国际组织的重要成员，被认为是潜在超级大国之一。,https://baike.baidu.com/item/%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD/106554
5,生态建设,生态建设简称ECO，ECO是Eco-build的缩写，主要是对受人为活动干扰和破坏的生态系统进行生态恢复和重建，是根据生态学原理进行的人工设计，充分利用现代科学技术，充分利用生态系统的自然规律，是自然和人工的结合，达到高效和谐，实现环境，经济、社会效益的统一。,https://baike.baidu.com/item/%E7%94%9F%E6%80%81%E5%BB%BA%E8%AE%BE/4302911
4,资源,自然资源是指自然界中人类可以直接获得用于生产和生活的物质。可分为三类，一是不可更新资源，如各种金属和非金属矿物、化石燃料等，需要经过漫长的地质年代才能形成；二是可更新资源，指生物、水、土地资源等，能在较短时间内再生产出来或循环再现;三是取之不尽的资源，如风力、太阳能等，被利用后不会导致贮存量减少。自然保护的中心任务就是保护、增殖(指可更新资源)和合理利用自然资源，以提高资源的再生和继续利用的能力，求得环境效益和社会经济效益的统一。,https://baike.baidu.com/item/%E8%87%AA%E7%84%B6%E8%B5%84%E6%BA%90/240383
4,漓江,漓江，是支流桂江上游河段的通称，属珠江流域西江水系，位于广西壮族自治区东北部。传统意义上的漓江起点为桂江源头越城岭猫儿山，现代水文定义为兴安县溶江镇灵渠口，终点为平乐三江口。漓江上游河段为大溶江，下游河段为传统名称的桂江。灵渠河口为桂江大溶江段和漓江段的分界点，荔浦河、恭城河口为漓江段和桂江段的分界点。漓江段全长164公里。沿江河床多为水质卵石，泥沙量小，水质清澈，两岸多为岩溶地貌。旅游资源丰富，著名的桂林山水就在漓江上。关于旅游文化请参阅：桂林漓江风景区,https://baike.baidu.com/item/%E6%BC%93%E6%B1%9F/118453
4,景观,景观，一般意义上，是指一定区域呈现的景象，即视觉效果。这种视觉效果反映了土地及土地上的空间和物质所构成的综合体，是复杂的自然过程和人类活动在大地上的烙印。生态学上景观是指由相互作用的拼块或生态系统组成，以相似的形式重复出现的一个空间异质性区域，是具有分类含义的自然综合体。俄国地理学家把生物和非生物的现象都作为景观的组成部分，这也为地理学与生态学的融合、交叉打下了基础。《中国大百科全书·地理学》（1990）概括了地理学中对景观的几种理解：①某一区域的综合特征，包括自然、经济、文化诸方面；②一般自然综合体；③区域单位，相当于综合自然区划等级系统中最小的一级自然区；④任何区域单位。,https://baike.baidu.com/item/%E6%99%AF%E8%A7%82/8834304
