page_id,keyword,annotation,url
27,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
21,采后,采后生理学（postharvest physiology）为植物生理学的一个分支，主要研究作物采后的生理学问题。它与作物的贮藏、保鲜、运输有着密切的联系。衰老机理、采前贮藏、采期选择、采后贮藏、运输环境条件等，都是采后生理学所研究的范畴。,https://baike.baidu.com/item/%E9%87%87%E5%90%8E%E7%94%9F%E7%90%86%E5%AD%A6/5576776
22,木本,木本植物（woody plant）是指根和茎因增粗生长形成大量的木质部，而细胞壁也多数木质化的坚固的植物。植物体木质部发达，茎坚硬，多年生。与草本植物相对，人们常将前者称为树，后者称为草。木本植物是木材的来源，均为多年生植物。另外除买麻藤纲外所有裸子植物均属于木本植物。木本植物因植株高度及分枝部位等不同，而细胞壁也多数木质化，具有形成层。地上部分为多年生的乔木和多年生的灌木。而与其相对应的便是草本植物。,https://baike.baidu.com/item/%E6%9C%A8%E6%9C%AC%E6%A4%8D%E7%89%A9/762433
20,灾害,灾难，汉语词汇。拼音：zāi nàn。释义：灾祸苦难。自然的或人为的严重损害带来对生命的重大伤害。《晋书·刘乔传》：“灾难延於宗子，权柄隆於朝廷。”,https://baike.baidu.com/item/%E7%81%BE%E9%9A%BE/4515943
24,乌蒙山,乌蒙山是中国西南部云贵高原上主要山脉之一，乌蒙山地区包括贵州省六盘水市，贵州省毕节市，云南省曲靖市，云南省昭通市。乌蒙山主峰韭菜坪位于贵州毕节市赫章县境内，海拔2900.6米，为贵州最高峰。乌蒙山也是南北盘江的分水岭，南北盘江的发源地，是珠江的发展源头。六盘水境内乌蒙山区设有国家地质公园。,https://baike.baidu.com/item/%E4%B9%8C%E8%92%99%E5%B1%B1/2745285
28,示范,示范，读音为shì fàn，汉语词语，意思是做出榜样或典范,供人们学习；起示范作用；把事物摆出来或指出来使人知道。,https://baike.baidu.com/item/%E7%A4%BA%E8%8C%83/363731
19,害虫,害虫，顾名思义，即有害的虫子，是人类对一些虫类动物的定义，与益虫相反，主要分为昆虫类与非昆虫类，且种类与数量繁多。生活中经常出现的害虫，例如蚊子、苍蝇、跳蚤、蟑螂等；这些小生物往往会对人类的生活、生产产生负面影响，甚至会给植物带来死亡与严重灾害。我们常常可以看到这样的陈述：“世界上玉米有200多种昆虫危害，榆树上有650种害虫，栎树上有1400种害虫……。” 把啃食农作物等的植食性昆虫列为害虫，从生态学、经济学上来说均是不科学的。农作物、植食者、肉食者三者之间存在着极其复杂的关系。植食者取食农作物，由于其数量多少不一，对农作物的影响也不一样；同时， 农作物对植食者取食的反应也不同。而一些植食性昆虫泛滥成灾造成危害往往是生态失衡的结果，而这种失衡是人类引起的。人类因经济发展等利益需求，破坏了原生植被，并大量种植经济性作物或经济性树种，造成原生植物多样性减少，特定植物（农作物等经济植物）过多，造成植被单一化，原生植物被替换成了经济植物，让大部分依赖原生植物为生的昆虫减少甚至消失，而那些以经济作物为食的植食性昆虫却因此受益，加上鸟类等捕食性天敌也因为人类活动减少。缺少了竞争和天敌控制，加上大量的食物，导致了那些以经济植物为食的植食性昆虫大量繁殖，泛滥成灾，成为了所谓的害虫。因此，人类引进外来物种，改造环境使植被单一化等因素都是引发虫灾的重要因素!,https://baike.baidu.com/item/%E5%AE%B3%E8%99%AB/84321
23,葡萄酒,葡萄酒是以葡萄为原料酿造的一种果酒。,https://baike.baidu.com/item/%E8%91%A1%E8%90%84%E9%85%92/444627
16,病毒,病毒是一种个体微小，结构简单，只含一种核酸（DNA或RNA），必须在活细胞内寄生并以复制方式增殖的非细胞型生物。病毒是一种非细胞生命形态，它由一个核酸长链和蛋白质外壳构成，病毒没有自己的代谢机构，没有酶系统。因此病毒离开了宿主细胞，就成了没有任何生命活动、也不能独立自我繁殖的化学物质。它的复制、转录、和转译的能力都是在宿主细胞中进行，当它进入宿主细胞后，它就可以利用细胞中的物质和能量完成生命活动，按照它自己的核酸所包含的遗传信息产生和它一样的新一代病毒。[1-2],https://baike.baidu.com/item/%E7%94%9F%E7%89%A9%E7%97%85%E6%AF%92/4477841
11,创制,现代政治、法律用语：为实现政治统治秩序，建立新法规、新制度。伊斯兰教法学概念：依据《古兰》《圣训》，通过类比和公议方式有针对性地创建新的、符合社会发展需求的教法条款和律例。宗教保守主义及其利益集团声称：创制的大门已经关闭；而宗教改革势力和民间力量则宣称：创制的大门永远敞开，直至世界末日来临。,https://baike.baidu.com/item/%E5%88%9B%E5%88%B6/3586307
