page_id,keyword,annotation,url
23,小于,小于，读音xiǎo yú。当一个数值比另一个数值小时使用小于号(<)来表示它们之间的关系。其几何意义可以这样解释：对于任意两实数a、b，都可在同一数轴上找到其对应点A、B，若点A在点B左侧，则a<b。,https://baike.baidu.com/item/%E5%B0%8F%E4%BA%8E/2692895
22,救援,救援是指个人或人们，在遭遇灾难或其他非常情况（含自然灾害、意外事故、突发危险事件等）时，获得实施解救行动的整个过程；而救援事业是指能够做长久完善地准备和随时随地能够及时实施解救行动的事务；而救援产业，则是一个以完善的体系、系统或链条为平台、以自身的系统化规模化模式化等为基础、能够长久完善地准备、随时随地实施解救行动并能够最终实现各方应有受益和收益的实业经济。市面上的第三方救援机构，将救援、医疗安置、保险理赔等服务内容进行了整合，形成了更为科学、高效、系统的以人为本的无缝隙服务模式，将“灾后救援”与“援后处理”进行了合理的补充和完善。,https://baike.baidu.com/item/%E6%95%91%E6%8F%B4/84884
21,救援,救援是指个人或人们，在遭遇灾难或其他非常情况（含自然灾害、意外事故、突发危险事件等）时，获得实施解救行动的整个过程；而救援事业是指能够做长久完善地准备和随时随地能够及时实施解救行动的事务；而救援产业，则是一个以完善的体系、系统或链条为平台、以自身的系统化规模化模式化等为基础、能够长久完善地准备、随时随地实施解救行动并能够最终实现各方应有受益和收益的实业经济。市面上的第三方救援机构，将救援、医疗安置、保险理赔等服务内容进行了整合，形成了更为科学、高效、系统的以人为本的无缝隙服务模式，将“灾后救援”与“援后处理”进行了合理的补充和完善。,https://baike.baidu.com/item/%E6%95%91%E6%8F%B4/84884
18,装备,装备指配备的一些设备，引申指游戏中的非消耗性道具：衣服，腰带，首饰及武器等。,https://baike.baidu.com/item/%E8%A3%85%E5%A4%87/3504082
13,融雪,《融雪》这是一部由法国ARTE电视台和国家摄影中心参与拍摄，得到法国卫生总署支持，在确保符合法律程序并经过严格的指导、监管和审查下完成的艺术剧情短片。它被选送到2009年法国克莱蒙-费朗国际短片电影节及法国国家电视台播映。,https://baike.baidu.com/item/%E8%9E%8D%E9%9B%AA/10356996
17,伞翼,伞翼机，是指以柔性伞翼提供升力重于空气的“航空器”。按有无动力分为伞翼滑翔机和伞翼飞机。伞翼是由有足够强度不透气织物制成的柔性翼面，由铝或其他材料制成的骨架撑起，气流鼓起伞翼面，在龙骨两侧形成两个对称的圆锥形翼面，骨架下方装置座舱或支架，可携带其他设备或加装发动机。伞翼机构造简单，操纵方便，可以拆叠、拆装，由于采用柔性翼面，因此飞行高度不能高于2000m,以防高空水汽冻结使伞翼变形，飞行速度低于100km/h，风速太大时也不能飞行。伞翼机出现于20世纪50年代，原用于做可控方向的滑翔降落,用于低空农林作业和体育运动。,https://baike.baidu.com/item/%E4%BC%9E%E7%BF%BC%E6%9C%BA/8827880
20,通信,通信，指人与人或人与自然之间通过某种行为或媒介进行的信息交流与传递，从广义上指需要信息的双方或多方在不违背各自意愿的情况下采用任意方法，任意媒质，将信息从某方准确安全地传送到另方。,https://baike.baidu.com/item/%E9%80%9A%E4%BF%A1/300982
19,桥隧,桥隧模式，就是指在担保公司、银行和中小企业三方交易组成的传统担保贷款模式中导入第四方(业界相关者: 包括风险投资公司上下游企业等)，第四方以某种形式承诺，当企业现金流发生未预期的变化而导致财务危机发生并进而无法按时偿付银行贷款时，第四方将以股权收购等形式进入该企业，为企业带来现金流用以偿付银行债务并保持企业的持续经营，规避了破产清算，从而最大可能地保留企业的潜在价值“。,https://baike.baidu.com/item/%E6%A1%A5%E9%9A%A7%E6%A8%A1%E5%BC%8F/5232402
14,灾害,灾难，汉语词汇。拼音：zāi nàn。释义：灾祸苦难。自然的或人为的严重损害带来对生命的重大伤害。《晋书·刘乔传》：“灾难延於宗子，权柄隆於朝廷。”,https://baike.baidu.com/item/%E7%81%BE%E9%9A%BE/4515943
15,堤坝,水坝，是拦截江河渠道水流以抬高水位或调节流量的挡水建筑物。可形成水库，抬高水位、调节径流、集中水头，用于防洪、供水、灌溉、水力发电、改善航运等。调整河势、保护岸床的河道整治建筑物也称坝，比如丁坝、顺坝和潜坝等。,https://baike.baidu.com/item/%E6%B0%B4%E5%9D%9D/663938
