page_id,keyword,annotation,url
34,专项,特定的某个项目。例句：～训练。进行～检查。～资金。[1-2],https://baike.baidu.com/item/%E4%B8%93%E9%A1%B9/10927791
32,辅具,针对人体病态辅助治疗达到康复的一种器具，简称为辅具。辅具最早由德国器具研究中心研发，得到足部患者的青睐，为患者解决了行走问题和避免手术留下了后遗症。,https://baike.baidu.com/item/%E8%BE%85%E5%85%B7/6547950
31,康复,康复是指综合地、协调地应用医学的、教育的、社会的、职业的各种方法，使病、伤、残者（包括先天性残）已经丧失的功能尽快地、能尽最大可能地得到恢复和重建，使他们在体格上、精神上、社会上和经济上的能力得到尽可能的恢复，使他们重新走向生活，重新走向工作，重新走向社会（WHO）。康复不仅针对疾病而且着眼于整个人、从生理上、心理上，社会上及经济能力进行全面康复。,https://baike.baidu.com/item/%E5%BA%B7%E5%A4%8D/1053268
30,辅具,针对人体病态辅助治疗达到康复的一种器具，简称为辅具。辅具最早由德国器具研究中心研发，得到足部患者的青睐，为患者解决了行走问题和避免手术留下了后遗症。,https://baike.baidu.com/item/%E8%BE%85%E5%85%B7/6547950
33,医养,,https://baike.baidu.com//item/%E5%8C%BB%E5%85%BB%E7%BB%93%E5%90%88
29,康复,康复是指综合地、协调地应用医学的、教育的、社会的、职业的各种方法，使病、伤、残者（包括先天性残）已经丧失的功能尽快地、能尽最大可能地得到恢复和重建，使他们在体格上、精神上、社会上和经济上的能力得到尽可能的恢复，使他们重新走向生活，重新走向工作，重新走向社会（WHO）。康复不仅针对疾病而且着眼于整个人、从生理上、心理上，社会上及经济能力进行全面康复。,https://baike.baidu.com/item/%E5%BA%B7%E5%A4%8D/1053268
28,辅具,针对人体病态辅助治疗达到康复的一种器具，简称为辅具。辅具最早由德国器具研究中心研发，得到足部患者的青睐，为患者解决了行走问题和避免手术留下了后遗症。,https://baike.baidu.com/item/%E8%BE%85%E5%85%B7/6547950
27,辅具,针对人体病态辅助治疗达到康复的一种器具，简称为辅具。辅具最早由德国器具研究中心研发，得到足部患者的青睐，为患者解决了行走问题和避免手术留下了后遗症。,https://baike.baidu.com/item/%E8%BE%85%E5%85%B7/6547950
25,老年,◎老年lǎonián(1) [old age]∶正常生命历程的最后阶段(2) [yellow leaf]∶生命的晚年例：八十三岁，步入老年了(3) [feel one's age;get on in years]∶表示人们接近晚年的时期(4) 过去、以前例：在老年间，据说还有赛骆驼的。（老舍《北京的春节》）,https://baike.baidu.com/item/%E8%80%81%E5%B9%B4/658030
24,睡眠,睡眠是生命的需要，所以人不能没有睡眠，而且每天缺少的睡眠还要补上，否则会受到惩罚，很像欠债一定要还一样。从睡眠仪的检查结果来看，正常人在睡眠时有时眼球不活动或者只有很慢的浮动，这段时间比较长；但有时眼球很快地来回活动，这段时间比较短，与眼球慢动或快动的同时，脑电图出现不同的变化。由此，科学家把睡眠分成非快速眼动相睡眠和快速眼动相睡眠两部分，为书写方便起见，在文献中都用英文缩写的第一个大写字母来表示，非快速眼动相睡眠写作NREM，而快速眼动相睡眠写作REM。正常睡眠时的基本规律是，正常成年人在睡眠一开始先进入NREM，由浅入深，大概经过60～90分钟后，转成REM，REM持续时间只有10～15分钟左右，然后又转成NREM，就这样周期性地交替出现NREM和REM，一夜出现4～6次，直到清醒为止。,https://baike.baidu.com/item/%E7%9D%A1%E7%9C%A0/881242
26,老年,◎老年lǎonián(1) [old age]∶正常生命历程的最后阶段(2) [yellow leaf]∶生命的晚年例：八十三岁，步入老年了(3) [feel one's age;get on in years]∶表示人们接近晚年的时期(4) 过去、以前例：在老年间，据说还有赛骆驼的。（老舍《北京的春节》）,https://baike.baidu.com/item/%E8%80%81%E5%B9%B4/658030
22,老年,◎老年lǎonián(1) [old age]∶正常生命历程的最后阶段(2) [yellow leaf]∶生命的晚年例：八十三岁，步入老年了(3) [feel one's age;get on in years]∶表示人们接近晚年的时期(4) 过去、以前例：在老年间，据说还有赛骆驼的。（老舍《北京的春节》）,https://baike.baidu.com/item/%E8%80%81%E5%B9%B4/658030
21,退行性,退行（regression）。是指人们在受到挫折或面临焦虑、应激等状态时，放弃已经学到的比较成熟的适应技巧或方式，而退行到使用早期生活阶段的某种行为方式，以原始、幼稚的方法来应付当前情景，来降低自己的焦虑。,https://baike.baidu.com/item/%E9%80%80%E8%A1%8C/10402055
23,老年,◎老年lǎonián(1) [old age]∶正常生命历程的最后阶段(2) [yellow leaf]∶生命的晚年例：八十三岁，步入老年了(3) [feel one's age;get on in years]∶表示人们接近晚年的时期(4) 过去、以前例：在老年间，据说还有赛骆驼的。（老舍《北京的春节》）,https://baike.baidu.com/item/%E8%80%81%E5%B9%B4/658030
19,助听器,助听器是一个小型扩音器，把原本听不到的声音加以扩大，再利用听障者的残余听力，使声音能送到大脑听觉中枢，而感觉到声音。,https://baike.baidu.com/item/%E5%8A%A9%E5%90%AC%E5%99%A8/250631
20,病共患,常见的犬人共患接触传染病有53种病毒感染的犬人共患接触传染病9种细菌感染的犬人共患接触传染病8种真菌感染的犬人共患接触传染病11种螺旋体感染的犬人共患接触传染病2种原虫感染的犬人共患接触传染病8种蠕虫感染的犬人共患传接触染病16种,https://baike.baidu.com/item/%E4%BA%BA%E7%8A%AC%E5%85%B1%E6%82%A3%E7%96%BE%E7%97%85/6670016
18,听力,听力，拼音：tīng lì，英文：hearing，是指启动听觉器官，接收语音信息的一种能力。其能力运用的有效性一般取决于倾听是否专心。此外，听力还是英语考试的一项，考察考生对该语言的听话能力。,https://baike.baidu.com/item/%E5%90%AC%E5%8A%9B/9404202
15,循环系统,循环系统是分布于全身各部的连续封闭管道系统，它包括心血管系统和淋巴系统。心血管系统内循环流动的是血液。淋巴系统内流动的是淋巴液。淋巴液沿着一系列的淋巴管道向心流动，最终汇入静脉，因此淋巴系统也可认为是静脉系统的辅助部分。,https://baike.baidu.com/item/%E5%BE%AA%E7%8E%AF%E7%B3%BB%E7%BB%9F/790930
16,康复训练,康复训练是指损伤后进行有利于恢复或改善功能的身体活动。除严重的损伤需要休息治疗外，一般的损伤不必完全停止身体练习。适当的、科学的身体练习对于损伤的迅速愈合和促进功能的恢复有着积极的作用。,https://baike.baidu.com/item/%E5%BA%B7%E5%A4%8D%E8%AE%AD%E7%BB%83/4789204
12,检测,用指定的方法检验测试某种物体（气体、液体、固体）指定的技术性能指标。适用于各种行业范畴的质量评定，如：土木建筑工程、水利、食品、化学、环境、机械、机器等等。,https://baike.baidu.com/item/%E6%A3%80%E6%B5%8B/1200916
10,采集,采集是人类活动的重要组成部分。在古代，人们的采集行为往往是获得生理性需要的满足，比如，吃喝，比如防守。随着时代的变迁，人类的采集行为逐步发生变化。人们开始利用采集这种本领，渗透到生活的每一个领域，由获得物品扩展到对信息的采集。采集在这里，就是采摘和收集的意思。因引，在动物界，也有采集行为。例如蜜蜂采蜜。,https://baike.baidu.com/item/%E9%87%87%E9%9B%86/4843625
9,疾病,疾病是一个极其复杂的过程，许多情况下，从健康到疾病是一个由量变到质变的过程。当外界致病因素作用于细胞，达到一定强度或持续一定时间，也就是说，致病因素有了一定量的积累就会引起细胞的损伤，这个被损伤的细胞出现功能、代谢、形态结构紊乱。,https://baike.baidu.com/item/%E7%96%BE%E7%97%85/925932
