page_id,keyword,annotation,url
17,智能,智能，是智慧和能力的总称，中国古代思想家一般把智与能看做是两个相对独立的概念。也有不少思想家把二者结合起来作为一个整体看待。,https://baike.baidu.com/item/%E6%99%BA%E8%83%BD/66637
16,行政,行政是指由国家行政机关对于不属于审判、检察工作以及立法中的其他法律的具体应用问题以及自己依法制定的法规进行的解释。狭义地讲，指国家职能中，除了立法和司法以外的全部职能的总称；广义地讲，指作为决策职能的政治之外的执行职能。“行政”指的是一定的社会组织，在其活动过程中所进行的各种组织、控制、协调、监督等活动的总称。,https://baike.baidu.com/item/%E8%A1%8C%E6%94%BF/4143937
15,服刑人员,社区服刑人员是指适用管制、缓刑、暂予监外执行、假释和剥夺政治权利五种刑罚方法或措施的人员。其依据考核奖惩情况对社区服刑人员按“三级四等”进行分级管理即：一级宽管、二级宽管、普管、严管。,https://baike.baidu.com/item/%E7%A4%BE%E5%8C%BA%E6%9C%8D%E5%88%91%E4%BA%BA%E5%91%98/9247452
18,智能化,智能化是指事物在网络、大数据、物联网和人工智能等技术的支持下，所具有的能满足人的各种需求的属性。比如无人驾驶汽车，就是一种智能化的事物，它将传感器物联网、移动互联网、大数据分析等技术融为一体，从而能动地满足人的出行需求。它之所以是能动的，是因为它不像传统的汽车，需要被动的人为操作驾驶。相对传统媒体，智能化是建立在数据化的基础上的媒体功能的全面升华。它意味着新媒体能通过智能技术的应用，逐步具备类似于人类的感知能力、记忆和思维能力、学习能力、自适应能力和行为决策能力，在各种场景中，以人类的需求为中心，能动地感知外界事物，按照与人类思维模式相近的方式和给定的知识与规则，通过数据的处理和反馈，对随机性的外部环境做出决策并付诸行动。智能化是现代人类文明发展的趋势，要实现智能化，智能材料是不可缺少的重要环节。智能材料是材料科学发展的一个重要方向，也是材料科学发展的必然。智能材料结构是一门新兴起的多学科交叉的综合科学。智能材料的研究内容十分丰富，涉及许多前沿学科和高新智能材料在工农业生产、科学技术、人民生活、国民经济等各方面起着非常重要的作用，应用领域十分广阔。,https://baike.baidu.com/item/%E6%99%BA%E8%83%BD%E5%8C%96/6084673
18,政法,政法，是指中国共产党领导之下国家的专政机关和专政职能。而政法机关则包括国家审判机关、检察机关、公安机关、司法行政机关、国家安全机关、反邪教机构、武装警察部队等相关的部门。另外，按照中国的学科划分标准，法学和政治学是各有不同研究对象和学科体系的相关学科，而我们在许多场合都习惯将政治与法律联系在一起称之为“政法” 。,https://baike.baidu.com/item/%E6%94%BF%E6%B3%95/8804825
17,政法,政法，是指中国共产党领导之下国家的专政机关和专政职能。而政法机关则包括国家审判机关、检察机关、公安机关、司法行政机关、国家安全机关、反邪教机构、武装警察部队等相关的部门。另外，按照中国的学科划分标准，法学和政治学是各有不同研究对象和学科体系的相关学科，而我们在许多场合都习惯将政治与法律联系在一起称之为“政法” 。,https://baike.baidu.com/item/%E6%94%BF%E6%B3%95/8804825
14,监所,监所监督又称“劳改监督”、“执行监督”。人民检察院对人民法院刑事案件判决、裁定的执行和监狱、看守所、拘役所、劳动改造机关、劳动教养机关等监管改造机关的活动是否合法，实行的法律监督。,https://baike.baidu.com/item/%E7%9B%91%E6%89%80%E7%9B%91%E7%9D%A3/3492242
16,干预,干预（gān yù），亦作“干与”、“ 干豫 ”，汉语词汇。意思是指参与本未参与的事情。,https://baike.baidu.com/item/%E5%B9%B2%E9%A2%84/9154376
12,知识,知识是符合文明方向的，人类对物质世界以及精神世界探索的结果总和。知识，至今也没有一个统一而明确的界定。但知识的价值判断标准在于实用性，以能否让人类创造新物质，得到力量和权力等等为考量。有一个经典的定义来自于柏拉图：一条陈述能称得上是知识必须满足三个条件，它一定是被验证过的，正确的，而且是被人们相信的，这也是科学与非科学的区分标准。由此看来，知识属于文化，而文化是感性与知识上的升华，这就是知识与文化之间的关系。有关于知识的悖论是：知识如果不能改变行为，就没有用处；但是知识一旦改变了行为，知识本身就立刻失去意义——《未来简史》。,https://baike.baidu.com/item/%E7%9F%A5%E8%AF%86/74245
11,数据,数据（data）是事实或观察的结果，是对客观事物的逻辑归纳，是用于表示客观事物的未经加工的原始素材。数据可以是连续的值，比如声音、图像，称为模拟数据；也可以是离散的，如符号、文字，称为数字数据。在计算机系统中，数据以二进制信息单元0、1的形式表示。,https://baike.baidu.com/item/%E6%95%B0%E6%8D%AE/5947370
13,知识,知识是符合文明方向的，人类对物质世界以及精神世界探索的结果总和。知识，至今也没有一个统一而明确的界定。但知识的价值判断标准在于实用性，以能否让人类创造新物质，得到力量和权力等等为考量。有一个经典的定义来自于柏拉图：一条陈述能称得上是知识必须满足三个条件，它一定是被验证过的，正确的，而且是被人们相信的，这也是科学与非科学的区分标准。由此看来，知识属于文化，而文化是感性与知识上的升华，这就是知识与文化之间的关系。有关于知识的悖论是：知识如果不能改变行为，就没有用处；但是知识一旦改变了行为，知识本身就立刻失去意义——《未来简史》。,https://baike.baidu.com/item/%E7%9F%A5%E8%AF%86/74245
13,评估,1、（1）[Estimate;Assess;Appraise]：评价估量。对方案进行评估和论证，以决定是否采纳。他们在评估他的房子。（2）[Evaluate;Appraise;Estimate;Assess]〈方〉：评价，品评2、房地产评估方法常用的有成本法、市场比较法、剩余法、收益法、假设开发法，针对土地估价还有基准地价修正法、路线价法、房地产价格指数调整法等等。3、二手车的鉴定是指由专业的鉴定评估人员，按照特定的经济行为和法定的评估标准及程序，运用科学的方法，对二手车进行手续和证照的检查、技术状况的鉴定以及价值的估算，二手车鉴定评估要点有三个：手续、证照检查，技术鉴定和价值评估,https://baike.baidu.com/item/%E8%AF%84%E4%BC%B0/396913
15,评估,1、（1）[Estimate;Assess;Appraise]：评价估量。对方案进行评估和论证，以决定是否采纳。他们在评估他的房子。（2）[Evaluate;Appraise;Estimate;Assess]〈方〉：评价，品评2、房地产评估方法常用的有成本法、市场比较法、剩余法、收益法、假设开发法，针对土地估价还有基准地价修正法、路线价法、房地产价格指数调整法等等。3、二手车的鉴定是指由专业的鉴定评估人员，按照特定的经济行为和法定的评估标准及程序，运用科学的方法，对二手车进行手续和证照的检查、技术状况的鉴定以及价值的估算，二手车鉴定评估要点有三个：手续、证照检查，技术鉴定和价值评估,https://baike.baidu.com/item/%E8%AF%84%E4%BC%B0/396913
14,警察,人民警察简称民警，包括公安机关、国家安全机关、监狱的人民警察和人民法院、人民检察院的司法警察。人民警察是国家公务员。,https://baike.baidu.com/item/%E4%BA%BA%E6%B0%91%E8%AD%A6%E5%AF%9F/1709398
9,鉴定,鉴定是指本人工作、学习、劳动一个时期或工作调动以及参加临时工作结束时本人写的优、缺点总结和组织上做的评语；鉴定是指为了查明案情，解决案件中某些专门性问题，由侦查机关指派或聘请具有专门知识的人，就案件中的专门性问题进行科学鉴别和判断的一种侦查行为；鉴定是指，具有相应能力和资质的专业人员或机构受具有相应权力或管理职能部门或机构的委托，根据确凿的数据或证据、相应的经验和分析论证对某一事物提出客观、公正和具有权威性的技术仲裁意见，这种意见作为委托方处理相关矛盾或纠纷的证据或依据。,https://baike.baidu.com/item/%E9%89%B4%E5%AE%9A/2444199
11,检察,检察，读音为jiǎn chá，汉语词语，指审查被检举的犯罪事实，如“对此，司法机关决定立案检察”。,https://baike.baidu.com/item/%E6%A3%80%E5%AF%9F/7025215
12,检察,检察，读音为jiǎn chá，汉语词语，指审查被检举的犯罪事实，如“对此，司法机关决定立案检察”。,https://baike.baidu.com/item/%E6%A3%80%E5%AF%9F/7025215
10,检察机关,检察机关是代表国家依法行使检察权的国家机关，其主要职责是追究刑事责任，提起公诉和实施法律监督。资本主义国家的检察机关，有的附属于法院系统（大陆法系国家），有的独立设置（英美法系国家）。在中国，人民检察院是国家法律监督机关，由同级人民代表大会产生，向人民代表大会负责并报告工作。检察院与人民法院、政府并列，称为“一府两院”。其职权主要有：审查批准逮捕、决定起诉并出席法庭支持公诉的职能。中国设立最高人民检察院、地方各级人民检察院和军事检察院等专门人民检察院。,https://baike.baidu.com/item/%E6%A3%80%E5%AF%9F%E6%9C%BA%E5%85%B3/4767355
9,公益,公益是公共利益事业的简称。这是为人民服务不求回报的一种通俗讲法。指有关社会公众的福祉和利益。“公益”一词至迟在1887年已经在中国出现并被使用，且被写入清光绪三十四年（1908年）12月27日颁布的《城镇乡地方自治章程》中。社会公益组织，一般是指那些非政府的、不把利润最大化当作首要目标，且以社会公益事业为主要追求目标的社会组织。早先的公益组织主要从事人道主义救援和贫民救济活动，很多公益组织起源于慈善机构。,https://baike.baidu.com/item/%E5%85%AC%E7%9B%8A/109867
10,办案,办案，读音bàn àn，汉语词语，意思是办理案件。,https://baike.baidu.com/item/%E5%8A%9E%E6%A1%88/7377831
