page_id,keyword,annotation,url
9,品系,品系（pǐn xì），指来源于同一祖先，性状表现大致相同的一群个体。可能是兄弟姐妹。,https://baike.baidu.com/item/%E5%93%81%E7%B3%BB/9890347
9,新型,新型，指新的类型；新式。语出指丁玲 《韦护》第一章一：“她们都是新型的女性。”,https://baike.baidu.com/item/%E6%96%B0%E5%9E%8B/967971
8,发育,发育指生命现象的发展，是一个有机体从其生命开始到成熟的变化，是生物有机体的自我构建和自我组织的过程。发育的时期称为青春期，是个体由儿童向成年人过渡的时期。通常人们把青春期与儿童期加以明显区分，区分的界限是性的成熟。对于男性来说，性成熟的标志是射精，（通常在夜间睡眠时射精，即遗精，但也有手淫射精的）；女性是月经初潮，即第一次来月经。,https://baike.baidu.com/item/%E5%8F%91%E8%82%B2/572518
8,示踪,示踪元素是用于追踪物质运行和变化过程的同位素。常用的有碳14（14C）、磷32(32P)、硫35(35S)、碘131(131I)、氢3(3H)放射性同位素，氢（H），碳（C），磷（P），硫（S），和碘（I）在生化反应中用来追踪路径，被广泛的使用着。词条详细介绍了上述示踪元素的基本情况以及应用领域。,https://baike.baidu.com/item/%E7%A4%BA%E8%B8%AA%E5%85%83%E7%B4%A0/5614503
9,遗传,遗传（英文名heredity），也称为继承（英文名inheritance）或生物遗传（biological inheritance），是指亲代表达相应性状的基因通过无性繁殖或有性繁殖传递给后代，从而使后代获得其父母遗传信息的现象。通过遗传，个体之间的差异可以积累并通过自然选择使物种进化。生物学中研究遗传科学称为遗传学。,https://baike.baidu.com/item/%E9%81%97%E4%BC%A0/1294394
8,代谢,代谢是生物体内所发生的用于维持生命的一系列有序的化学反应的总称。这些反应进程使得生物体能够生长和繁殖、保持它们的结构以及对外界环境做出反应。代谢通常被分为两类：分解代谢可以对大的分子进行分解以获得能量（如细胞呼吸）；合成代谢则可以利用能量来合成细胞中的各个组分，如蛋白质和核酸等。代谢可以被认为是生物体不断进行物质和能量交换的过程，一旦物质和能量的交换停止，生物体的结构就会解体。代谢又称细胞代谢。,https://baike.baidu.com/item/%E4%BB%A3%E8%B0%A2/669245
7,器官,由多种组织构成的能行使一（特）定功能的结构单位叫做器官。器官的组织结构特点跟它的功能相适应。我们一般都比较容易注意到一些组织集中的直观的器官。比如：眼、耳、鼻、舌等感觉器官，再如：内脏器官心、肝、肺、胃、肾等。不少器官都容易被人们忽略而不认为是器官。比如任何一块骨骼肌，皮肤等。,https://baike.baidu.com/item/%E4%BA%BA%E4%BD%93%E5%99%A8%E5%AE%98/2036867
7,机制,机制，是指各要素之间的结构关系和运行方式。指有机体的构造、功能及其相互关系；机器的构造和工作原理。语出清 丘逢甲 《汕头海关歌寄伯瑶》：“西人嗜糖嗜其白，贱买赤砂改机制。”在社会学中的内涵可以表述为“在正视事物各个部分的存在的前提下，协调各个部分之间关系以更好地发挥作用的具体运行方式。”,https://baike.baidu.com/item/%E6%9C%BA%E5%88%B6/1433787
6,细胞器,细胞器是细胞质中具有特定形态结构和功能的微器官，也称为拟器官或亚结构。其中质体与液泡在光镜下即可分辨，其他细胞器一般需借助电子显微镜方可观察。细胞器（organelle）一般认为是散布在细胞质内具有一定形态和功能的微结构或微器官。但对于“细胞器”这一名词的范围，还存在着某些不同意见。细胞中的细胞器主要有：线粒体、内质网、中心体、叶绿体，高尔基体、核糖体等。它们组成了细胞的基本结构，使细胞能正常的工作，运转。,https://baike.baidu.com/item/%E7%BB%86%E8%83%9E%E5%99%A8/602110
6,器官,由多种组织构成的能行使一（特）定功能的结构单位叫做器官。器官的组织结构特点跟它的功能相适应。我们一般都比较容易注意到一些组织集中的直观的器官。比如：眼、耳、鼻、舌等感觉器官，再如：内脏器官心、肝、肺、胃、肾等。不少器官都容易被人们忽略而不认为是器官。比如任何一块骨骼肌，皮肤等。,https://baike.baidu.com/item/%E4%BA%BA%E4%BD%93%E5%99%A8%E5%AE%98/2036867
