page_id,keyword,annotation,url
7,发育,发育指生命现象的发展，是一个有机体从其生命开始到成熟的变化，是生物有机体的自我构建和自我组织的过程。发育的时期称为青春期，是个体由儿童向成年人过渡的时期。通常人们把青春期与儿童期加以明显区分，区分的界限是性的成熟。对于男性来说，性成熟的标志是射精，（通常在夜间睡眠时射精，即遗精，但也有手淫射精的）；女性是月经初潮，即第一次来月经。,https://baike.baidu.com/item/%E5%8F%91%E8%82%B2/572518
8,代谢,代谢是生物体内所发生的用于维持生命的一系列有序的化学反应的总称。这些反应进程使得生物体能够生长和繁殖、保持它们的结构以及对外界环境做出反应。代谢通常被分为两类：分解代谢可以对大的分子进行分解以获得能量（如细胞呼吸）；合成代谢则可以利用能量来合成细胞中的各个组分，如蛋白质和核酸等。代谢可以被认为是生物体不断进行物质和能量交换的过程，一旦物质和能量的交换停止，生物体的结构就会解体。代谢又称细胞代谢。,https://baike.baidu.com/item/%E4%BB%A3%E8%B0%A2/669245
8,发育,发育指生命现象的发展，是一个有机体从其生命开始到成熟的变化，是生物有机体的自我构建和自我组织的过程。发育的时期称为青春期，是个体由儿童向成年人过渡的时期。通常人们把青春期与儿童期加以明显区分，区分的界限是性的成熟。对于男性来说，性成熟的标志是射精，（通常在夜间睡眠时射精，即遗精，但也有手淫射精的）；女性是月经初潮，即第一次来月经。,https://baike.baidu.com/item/%E5%8F%91%E8%82%B2/572518
7,代谢,代谢是生物体内所发生的用于维持生命的一系列有序的化学反应的总称。这些反应进程使得生物体能够生长和繁殖、保持它们的结构以及对外界环境做出反应。代谢通常被分为两类：分解代谢可以对大的分子进行分解以获得能量（如细胞呼吸）；合成代谢则可以利用能量来合成细胞中的各个组分，如蛋白质和核酸等。代谢可以被认为是生物体不断进行物质和能量交换的过程，一旦物质和能量的交换停止，生物体的结构就会解体。代谢又称细胞代谢。,https://baike.baidu.com/item/%E4%BB%A3%E8%B0%A2/669245
7,品系,品系（pǐn xì），指来源于同一祖先，性状表现大致相同的一群个体。可能是兄弟姐妹。,https://baike.baidu.com/item/%E5%93%81%E7%B3%BB/9890347
6,器官,由多种组织构成的能行使一（特）定功能的结构单位叫做器官。器官的组织结构特点跟它的功能相适应。我们一般都比较容易注意到一些组织集中的直观的器官。比如：眼、耳、鼻、舌等感觉器官，再如：内脏器官心、肝、肺、胃、肾等。不少器官都容易被人们忽略而不认为是器官。比如任何一块骨骼肌，皮肤等。,https://baike.baidu.com/item/%E4%BA%BA%E4%BD%93%E5%99%A8%E5%AE%98/2036867
5,菌群,菌群所属现代词，指的是大量真菌或细菌形成肉眼可见的集团。,https://baike.baidu.com/item/%E8%8F%8C%E7%BE%A4/12732995
6,代谢物,代谢物亦称中间代谢物，是指通过代谢过程产生或消耗的物质，生物大分子不包括在内。,https://baike.baidu.com/item/%E4%BB%A3%E8%B0%A2%E7%89%A9/3957017
4,蛋白,蛋白质是组成人体一切细胞、组织的重要成分。机体所有重要的组成部分都需要有蛋白质的参与。一般说，蛋白质约占人体全部质量的18%，最重要的还是其与生命现象有关。蛋白质（protein）是生命的物质基础，是有机大分子，是构成细胞的基本有机物，是生命活动的主要承担者。没有蛋白质就没有生命。氨基酸是蛋白质的基本组成单位。它是与生命及与各种形式的生命活动紧密联系在一起的物质。机体中的每一个细胞和所有重要组成部分都有蛋白质参与。蛋白质占人体重量的16%~20%，即一个60kg重的成年人其体内约有蛋白质9.6~12kg。人体内蛋白质的种类很多，性质、功能各异，但都是由20种氨基酸（Amino acid）按不同比例组合而成的，并在体内不断进行代谢与更新。,https://baike.baidu.com/item/%E8%9B%8B%E7%99%BD%E8%B4%A8/309120
5,器官,由多种组织构成的能行使一（特）定功能的结构单位叫做器官。器官的组织结构特点跟它的功能相适应。我们一般都比较容易注意到一些组织集中的直观的器官。比如：眼、耳、鼻、舌等感觉器官，再如：内脏器官心、肝、肺、胃、肾等。不少器官都容易被人们忽略而不认为是器官。比如任何一块骨骼肌，皮肤等。,https://baike.baidu.com/item/%E4%BA%BA%E4%BD%93%E5%99%A8%E5%AE%98/2036867
