page_id,keyword,annotation,url
23,场地,场地，是指工程群体所在地，具有相似的反应谱特征，其范围相当于厂区、居民小区和自然村或不小于1.0km2的平面面积。,https://baike.baidu.com/item/%E5%9C%BA%E5%9C%B0/2585002
24,经费,经费是指行政事业单位为完成工作任务和事业计划所需经常费用的统称。这些单位一般不直接从事物质资料生产，没有独立、稳定的收入来源。或者虽有一部分收入，但大都不足以抵补本身的业务支出，需要国家预算拨付经费。经费按用途可分为人员经费和公用经费。或分为维持经费和发展经费。前者指维持原有行政事业单位机构及规模的人员经费和公用经费; 后者是指在计划年度内，经批准新增加的机构、人员或其他事业项目所需的经费。原单位增加少量人员，不增设机构和不扩大事业项目的，属于自然增长，不作为发展经费。,https://baike.baidu.com/item/%E7%BB%8F%E8%B4%B9/1705671
22,场地,场地，是指工程群体所在地，具有相似的反应谱特征，其范围相当于厂区、居民小区和自然村或不小于1.0km2的平面面积。,https://baike.baidu.com/item/%E5%9C%BA%E5%9C%B0/2585002
21,场地,场地，是指工程群体所在地，具有相似的反应谱特征，其范围相当于厂区、居民小区和自然村或不小于1.0km2的平面面积。,https://baike.baidu.com/item/%E5%9C%BA%E5%9C%B0/2585002
19,菌剂,菌剂，是由有益微生物制成的活菌制剂，广泛应用于饲料添加、有机物料腐熟、土壤改良和修复处理、污水净化处理等。.,https://baike.baidu.com/item/%E8%8F%8C%E5%89%82/3850020
20,场地,场地，是指工程群体所在地，具有相似的反应谱特征，其范围相当于厂区、居民小区和自然村或不小于1.0km2的平面面积。,https://baike.baidu.com/item/%E5%9C%BA%E5%9C%B0/2585002
18,材料,,https://baike.baidu.com/item/%E6%9D%90%E6%96%99
17,材料,,https://baike.baidu.com/item/%E6%9D%90%E6%96%99
16,地层,地层是一切成层岩石的总称，包括变质的和火山成因的成层岩石在内，是一层或一组具有某种统一的特征和属性的并和上下层有着明显区别的岩层。地层可以是固结的岩石，也可以是没有固结的沉积物，地层之间可以由明显层面或沉积间断面分开，也可以由岩性、所含化石、矿物成分或化学成分、物理性质等不十分明显的特征界限分开。,https://baike.baidu.com/item/%E5%9C%B0%E5%B1%82/1197250
14,修复,修复是一个汉语词汇，拼音是xiū fù。释义：（1）修理使恢复完整（多指建筑物）：～河堤。～铁路。～两国关系.（2）恢复。语出《南史·刘穆之传》：“堰久决坏，公私废业。 孝武遣秀之 修复， 雍 部由是大丰。”,https://baike.baidu.com/item/%E4%BF%AE%E5%A4%8D/10973178
15,长效,能长期保证制度正常运行并发挥预期功能的制度体系。长效机制不是一劳永逸、一成不变的，它必须随着时间、条件的变化而不断丰富、发展和完善。理解长效机制，要从“长效”、“机制”两个关键词上来把握。机制是使制度能够正常运行并发挥预期功能的配套制度。它有两个基本条件：一是要有比较规范、稳定、配套的制度体系；二是要有推动制度正常运行的“动力源”，即要有出于自身利益而积极推动和监督制度运行的组织和个体。机制与制度之间有联系，也有区别，机制不等同于制度，制度只是机制的外在表现。,https://baike.baidu.com/item/%E9%95%BF%E6%95%88%E6%9C%BA%E5%88%B6/6646859
13,场地,场地，是指工程群体所在地，具有相似的反应谱特征，其范围相当于厂区、居民小区和自然村或不小于1.0km2的平面面积。,https://baike.baidu.com/item/%E5%9C%BA%E5%9C%B0/2585002
10,场地,场地，是指工程群体所在地，具有相似的反应谱特征，其范围相当于厂区、居民小区和自然村或不小于1.0km2的平面面积。,https://baike.baidu.com/item/%E5%9C%BA%E5%9C%B0/2585002
12,放射性核素,放射性核素，也叫不稳定核素，是相对于稳定核素来说的。它是指不稳定的原子核，能自发地放出射线（如α射线、β射线等），通过衰变形成稳定的核素。衰变时放出的能量称为衰变能，衰变到原始数目一半所需要的时间成为衰变半衰期，其范围很广，分布在1015年到10-12之间。2017年10月27日，世界卫生组织国际癌症研究机构公布的致癌物清单初步整理参考，放射性核素，α粒子、β粒子放射，内部沉积在一类致癌物清单中。,https://baike.baidu.com/item/%E6%94%BE%E5%B0%84%E6%80%A7%E6%A0%B8%E7%B4%A0/5570257
11,矿区,统一规划和开发的煤田或其一部分称为矿区。包括若干矿井或露天矿的区域，有完整的生产工艺、地面运输、电力供应、通讯调度、生产管理及生活服务等设施，其范围常视矿床的规模而定。影响矿区开发的自然因素有：矿床赋存的形态和空间分布、资源储量、矿石质量和矿石可选性、地质构造的复杂程度、水文地质条件、矿岩的稳定性、矿区地形地物及气候条件等。影响矿区开发的地区技术经济因素有：水、电、交通运输、材料设备供应以及劳动力来源等。,https://baike.baidu.com/item/%E7%9F%BF%E5%8C%BA/21722
9,场地,场地，是指工程群体所在地，具有相似的反应谱特征，其范围相当于厂区、居民小区和自然村或不小于1.0km2的平面面积。,https://baike.baidu.com/item/%E5%9C%BA%E5%9C%B0/2585002
