page_id,keyword,annotation,url
18,探针,探针是电测试的接触媒介，为高端精密型电子五金元器件。,https://baike.baidu.com/item/%E6%8E%A2%E9%92%88/1846154
18,核素,核素是指具有一定数目质子和一定数目中子的一种原子。同一种同位素的核性质不同的原子核，它们的质子数相同而中子数不同，结构方式不同，因而表现出不同的核性质。,https://baike.baidu.com/item/%E6%A0%B8%E7%B4%A0/426295
17,探针,探针是电测试的接触媒介，为高端精密型电子五金元器件。,https://baike.baidu.com/item/%E6%8E%A2%E9%92%88/1846154
17,微纳,,https://baike.baidu.com//item/%E5%BE%AE%E7%BA%B3%E5%88%B6%E9%80%A0%E6%8A%80%E6%9C%AF
15,生物,《生物》是由人民教育出版社出版的教材，共四册，供七年级和八年级学生使用。,https://baike.baidu.com/item/%E7%94%9F%E7%89%A9/14895952
16,造影剂,造影剂（又称对比剂，contrast media）是为增强影像观察效果而注入（或服用）到人体组织或器官的化学制品。这些制品的密度高于或低于周围组织，形成的对比用某些器械显示图像。如X线观察常用的碘制剂、硫酸钡等。,https://baike.baidu.com/item/%E9%80%A0%E5%BD%B1%E5%89%82/153924
14,元件,元件即是小型的机器、仪器的组成部分，其本身常由若干零件构成，可以在同类产品中通用；常指电器、无线电、仪表等工业的某些零件，如电容、晶体管、游丝、发条等。主要分为：杀毒元件，电子元件，气动元件，霍尔元件等。元件是可反复取出使用的图形、按钮或一段小动画，元件中的小动画可以独立于主动画进行播放，每个元件可由多个独立的元素组合而成。许多商用计算机辅助工程(CAE)软件设计包能够在给定的应用功率电平和给定的电路参数设置条件下建模经过射频/微波电路的热量流动，包括PCB的热导率。,https://baike.baidu.com/item/%E5%85%83%E4%BB%B6/7390839
16,合成,合成，是指：①由部分组成整体：～词丨合力是分力～的。②通过化学反应使成分比较简单的物质变成成分复杂的物质。,https://baike.baidu.com/item/%E5%90%88%E6%88%90/1013900
13,元件,元件即是小型的机器、仪器的组成部分，其本身常由若干零件构成，可以在同类产品中通用；常指电器、无线电、仪表等工业的某些零件，如电容、晶体管、游丝、发条等。主要分为：杀毒元件，电子元件，气动元件，霍尔元件等。元件是可反复取出使用的图形、按钮或一段小动画，元件中的小动画可以独立于主动画进行播放，每个元件可由多个独立的元素组合而成。许多商用计算机辅助工程(CAE)软件设计包能够在给定的应用功率电平和给定的电路参数设置条件下建模经过射频/微波电路的热量流动，包括PCB的热导率。,https://baike.baidu.com/item/%E5%85%83%E4%BB%B6/7390839
13,蛋白质,蛋白质是组成人体一切细胞、组织的重要成分。机体所有重要的组成部分都需要有蛋白质的参与。一般说，蛋白质约占人体全部质量的18%，最重要的还是其与生命现象有关。蛋白质（protein）是生命的物质基础，是有机大分子，是构成细胞的基本有机物，是生命活动的主要承担者。没有蛋白质就没有生命。氨基酸是蛋白质的基本组成单位。它是与生命及与各种形式的生命活动紧密联系在一起的物质。机体中的每一个细胞和所有重要组成部分都有蛋白质参与。蛋白质占人体重量的16%~20%，即一个60kg重的成年人其体内约有蛋白质9.6~12kg。人体内蛋白质的种类很多，性质、功能各异，但都是由20种氨基酸（Amino acid）按不同比例组合而成的，并在体内不断进行代谢与更新。,https://baike.baidu.com/item/%E8%9B%8B%E7%99%BD%E8%B4%A8/309120
