page_id,keyword,annotation,url
3,电力,电力是以电能作为动力的能源。发明于19世纪70 年代，电力的发明和应用掀起了第二次工业化高潮。成为人类历史18世纪以来，世界发生的三次科技革命之一，从此科技改变了人们的生活。20世纪出现的大规模电力系统是人类工程科学史上最重要的成就之一，是由发电、输电、变电、配电和用电等环节组成的电力生产与消费系统。它将自然界的一次能源通过机械能装置转化成电力，再经输电、变电和配电将电力供应到各用户。,https://baike.baidu.com/item/%E7%94%B5%E5%8A%9B/1250605
3,系统,系统一词来源于英文system的音译，即若干部分相互联系、相互作用，形成的具有某些功能的整体。中国著名学者钱学森认为：系统是由相互作用相互依赖的若干组成部分结合而成的，具有特定功能的有机整体，而且这个有机整体又是它从属的更大系统的组成部分。在数字信号处理的理论中，人们把能加工、变换数字信号的实体称作系统。由于处理数字信号的系统是在指定的时刻或时序对信号进行加工运算，所以这种系统被看作是离散时间的，也可以用基于时间的语言、表格、公式、波形四种方法来描述。从抽象的意义来说，系统和信号都可以看作序列。但是，系统是加工信号的机构，这点与信号不同。人们研究系统，设计系统，利用系统加工信号、服务人类。除上文的四种描述方法，描述系统的方法还有符号、单位脉冲响应、差分方程和图形。,https://baike.baidu.com/item/%E7%B3%BB%E7%BB%9F/479832
3,电网,电力系统中各种电压的变电所及输配电线路组成的整体，称为电力网。它包含变电、输电、配电三个单元。电力网的任务是输送与分配电能，改变电压。,https://baike.baidu.com/item/%E7%94%B5%E7%BD%91/1250763
3,算法,算法（Algorithm）是指解题方案的准确而完整的描述，是一系列解决问题的清晰指令，算法代表着用系统的方法描述解决问题的策略机制。也就是说，能够对一定规范的输入，在有限时间内获得所要求的输出。如果一个算法有缺陷，或不适合于某个问题，执行这个算法将不会解决这个问题。不同的算法可能用不同的时间、空间或效率来完成同样的任务。一个算法的优劣可以用空间复杂度与时间复杂度来衡量。算法中的指令描述的是一个计算，当其运行时能从一个初始状态和（可能为空的）初始输入开始，经过一系列有限而清晰定义的状态，最终产生输出并停止于一个终态。一个状态到另一个状态的转移不一定是确定的。随机化算法在内的一些算法，包含了一些随机输入。形式化算法的概念部分源自尝试解决希尔伯特提出的判定问题，并在其后尝试定义有效计算性或者有效方法中成形。这些尝试包括库尔特·哥德尔、Jacques Herbrand和斯蒂芬·科尔·克莱尼分别于1930年、1934年和1935年提出的递归函数，阿隆佐·邱奇于1936年提出的λ演算，1936年Emil Leon Post的Formulation 1和艾伦·图灵1937年提出的图灵机。即使在当前，依然常有直觉想法难以定义为形式化算法的情况。,https://baike.baidu.com/item/%E7%AE%97%E6%B3%95/209025
3,识别率,,https://baike.baidu.com//item/%E8%AF%86%E5%88%AB%E7%8E%87
2,电力,电力是以电能作为动力的能源。发明于19世纪70 年代，电力的发明和应用掀起了第二次工业化高潮。成为人类历史18世纪以来，世界发生的三次科技革命之一，从此科技改变了人们的生活。20世纪出现的大规模电力系统是人类工程科学史上最重要的成就之一，是由发电、输电、变电、配电和用电等环节组成的电力生产与消费系统。它将自然界的一次能源通过机械能装置转化成电力，再经输电、变电和配电将电力供应到各用户。,https://baike.baidu.com/item/%E7%94%B5%E5%8A%9B/1250605
2,传输,传输是一个汉语词语，意义为传递，输送。在电信业中，传输是一种传输电学消息（连带经过媒介的辐射能现象）的行为。消息可以是一串或者一组数据单元，比如二进制数字，通常也称为帧或者块。,https://baike.baidu.com/item/%E4%BC%A0%E8%BE%93/7078195
2,数字,数字分好几种，阿拉伯数字是最普遍的一种。阿拉伯数字并不是阿拉伯人发明的而是印度人发明的，实际应该列为印度语言，只是先传播到阿拉伯，然后传向世界的，所以称之为“阿拉伯数字”。数字是一种用来表示数的书写符号。不同的记数系统可以使用相同的数字。,https://baike.baidu.com/item/%E6%95%B0%E5%AD%97/6204
2,关键技术,亦称“关键动作”。动作技术中至关重要的部分，它是掌握动作技术、提高运动成绩起决定作用的环节。如跳远技术中的起跳。在体育教学与训练中都需要狠抓这个动作关键。,https://baike.baidu.com/item/%E5%85%B3%E9%94%AE%E6%8A%80%E6%9C%AF/5692286
3,国产,国产就是指本国生产的东西。以中国为例，印有“中国制造”或“made in China”字样的就叫国产。但随着经济全球化的深入，国产的概念发生了变化，在手机业和汽车业，国产是指中国自主研发生产制造，或者零部件半数以上国产化的产品。,https://baike.baidu.com/item/%E5%9B%BD%E4%BA%A7/7732415
