page_id,keyword,annotation,url
7,分布式,,https://baike.baidu.com//item/%E5%88%86%E5%B8%83%E5%BC%8F/19276232
11,示范,示范，读音为shì fàn，汉语词语，意思是做出榜样或典范,供人们学习；起示范作用；把事物摆出来或指出来使人知道。,https://baike.baidu.com/item/%E7%A4%BA%E8%8C%83/363731
9,村寨,村寨，汉语词语，指村庄;寨子。,https://baike.baidu.com/item/%E6%9D%91%E5%AF%A8/90851
10,村寨,村寨，汉语词语，指村庄;寨子。,https://baike.baidu.com/item/%E6%9D%91%E5%AF%A8/90851
10,示范,示范，读音为shì fàn，汉语词语，意思是做出榜样或典范,供人们学习；起示范作用；把事物摆出来或指出来使人知道。,https://baike.baidu.com/item/%E7%A4%BA%E8%8C%83/363731
11,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
9,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
8,服务平台,公共服务平台是为了区域经济和文化的发展，针对某类用户群体一定时期的公共需求，通过组织整合、集成优化各类资源，提供可共享共用的基础设施、设备和信息资源共享的各类渠道，以期为此类用户群体的公共需求提供统一的辅助解决方案，达到减少重复投入、提高资源效率、加强信息共享的目的。,https://baike.baidu.com/item/%E5%85%AC%E5%85%B1%E6%9C%8D%E5%8A%A1%E5%B9%B3%E5%8F%B0/8161605
6,村镇,村镇，汉语词汇，拼音是cūn zhèn，意思是乡村集镇。,https://baike.baidu.com/item/%E6%9D%91%E9%95%87/2276340
6,民居,由于中国疆域辽阔，民族众多，各地的地理气候条件和生活方式都不相同，因此，各地人居住的房屋的样式和风格也不相同。在中国的民居中，最具特点的民居有北京四合院、广东镬耳屋、西北黄土高原的窑洞、赣派建筑、安徽皖南徽派、福建土楼和广东等地的客家土楼、蒙古的蒙古包等。客家围龙屋与北京的“四合院”、陕西的“窑洞”、广西的“杆栏式”和云南的“一颗印”，合称为我国最具乡土风情的五大传统住宅建筑形式，被中外建筑学界称为中国民居建筑的五大特色之一。,https://baike.baidu.com/item/%E6%B0%91%E5%B1%85/647853
8,农业,农业（Agriculture）是利用动植物的生长发育规律，通过人工培育来获得产品的产业。农业属于第一产业，研究农业的科学是农学。农业的劳动对象是有生命的动植物，获得的产品是动植物本身。农业是提供支撑国民经济建设与发展的基础产业。,https://baike.baidu.com/item/%E5%86%9C%E4%B8%9A/330015
5,清洁,清洁是一个汉语词汇，拼音是qīng jié，意思是清白，洁净无尘。此外，还有其它解释，如清廉、廉洁，清除，清楚、明白以及犹清爽。,https://baike.baidu.com/item/%E6%B8%85%E6%B4%81/82548
5,村镇,村镇，汉语词汇，拼音是cūn zhèn，意思是乡村集镇。,https://baike.baidu.com/item/%E6%9D%91%E9%95%87/2276340
4,村镇,村镇，汉语词汇，拼音是cūn zhèn，意思是乡村集镇。,https://baike.baidu.com/item/%E6%9D%91%E9%95%87/2276340
3,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
7,储能,储能主要是指电能的储存。储能又是石油油藏中的一个名词，代表储层储存油气的能力。储能本身不是新兴的技术，但从产业角度来说却是刚刚出现，正处在起步阶段。到目前为止，中国没有达到类似美国、日本将储能当作一个独立产业加以看待并出台专门扶持政策的程度，尤其在缺乏为储能付费机制的前提下，储能产业的商业化模式尚未成形。,https://baike.baidu.com/item/%E5%82%A8%E8%83%BD/9238581
2,改厕,关于印发《农村改厕管理办法（试行）》和《农村改厕技术规范（试行）》的通知全爱卫办发〔2009〕4号各省、自治区、直辖市及新疆生产建设兵团爱卫办、卫生厅局：为规范全国农村改厕工作，加快农村改厕进程，进一步改善农村环境卫生，保障农村居民身体健康，根据《中华人民共和国传染病防治法》，我们组织制定了《农村改厕管理办法（试行）》和《农村改厕技术规范（试行）》。现印发给你们，请认真贯彻执行。,https://baike.baidu.com/item/%E5%86%9C%E6%9D%91%E6%94%B9%E5%8E%95%E7%AE%A1%E7%90%86%E5%8A%9E%E6%B3%95%EF%BC%88%E8%AF%95%E8%A1%8C%EF%BC%89/8829265
1,村镇,村镇，汉语词汇，拼音是cūn zhèn，意思是乡村集镇。,https://baike.baidu.com/item/%E6%9D%91%E9%95%87/2276340
2,农村,农村具有特定的自然景观和社会经济条件，指以从事农业生产为主的劳动者聚居的地方，是不同于城市、城镇而从事农业的人群聚居地。农村是相对于城市的称谓，指农业区，有集镇、村落，以农业产业（自然经济和第一产业）为主，包括各种农场（包括畜牧和水产养殖场）、林场、园艺和蔬菜生产等。跟人口集中的城镇比较，农村地区人口呈散落居住。在进入工业化社会之前，社会中大部分的人口居住在农村。农村生活节奏慢，生活压力相对于城市较小。2015年中央一号文件要求，坚持不懈推进社会主义新农村建设，让农村成为农民安居乐业的美丽家园。,https://baike.baidu.com/item/%E5%86%9C%E6%9D%91/1017518
3,村镇,村镇，汉语词汇，拼音是cūn zhèn，意思是乡村集镇。,https://baike.baidu.com/item/%E6%9D%91%E9%95%87/2276340
4,调查,【词目】调查【拼音】diào chá【英语翻译】Survey【基本解释】[Investigate;Inquire into;Survey;Ascertain;Check]进行了解；考查,https://baike.baidu.com/item/%E8%B0%83%E6%9F%A5/33373
1,专项,特定的某个项目。例句：～训练。进行～检查。～资金。[1-2],https://baike.baidu.com/item/%E4%B8%93%E9%A1%B9/10927791
