page_id,keyword,annotation,url
4,高效,高效，汉语词语，拼音是ɡāo xiào，指效能高的，效率高的。,https://baike.baidu.com/item/%E9%AB%98%E6%95%88/6764908
4,轻简,轻简是一个汉语词汇，拼音为qīng jiǎn，意思是轻忽简慢。,https://baike.baidu.com/item/%E8%BD%BB%E7%AE%80/4065747
3,经费,经费是指行政事业单位为完成工作任务和事业计划所需经常费用的统称。这些单位一般不直接从事物质资料生产，没有独立、稳定的收入来源。或者虽有一部分收入，但大都不足以抵补本身的业务支出，需要国家预算拨付经费。经费按用途可分为人员经费和公用经费。或分为维持经费和发展经费。前者指维持原有行政事业单位机构及规模的人员经费和公用经费; 后者是指在计划年度内，经批准新增加的机构、人员或其他事业项目所需的经费。原单位增加少量人员，不增设机构和不扩大事业项目的，属于自然增长，不作为发展经费。,https://baike.baidu.com/item/%E7%BB%8F%E8%B4%B9/1705671
3,优质,多义词。1.优良的质量。语出艾青《光的赞歌》：“激光，刺穿优质钢板。”2.使器物质地、质量优化。源词见于陈志岁《载敬堂集·江南靖士联稿·油漆店》联：“上品美成优质器;精工妙择制宜机。”,https://baike.baidu.com/item/%E4%BC%98%E8%B4%A8/4204006
3,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
4,杂粮,杂粮通常是指水稻、小麦、玉米、大豆和薯类五大作物以外的粮豆作物。主要有：高粱、谷子、荞麦（甜荞、苦荞）、燕麦（莜麦）、大麦、糜子、黍子、薏仁、籽粒苋以及菜豆（芸豆）、绿豆、小豆（红小豆、赤豆）、蚕豆、豌豆、豇豆、小扁豆（兵豆）、黑豆等。其特点是生长期短、种植面积少、种植地区特殊、产量较低，一般都含有丰富的营养成分。,https://baike.baidu.com/item/%E6%9D%82%E7%B2%AE/2458316
4,示范,示范，读音为shì fàn，汉语词语，意思是做出榜样或典范,供人们学习；起示范作用；把事物摆出来或指出来使人知道。,https://baike.baidu.com/item/%E7%A4%BA%E8%8C%83/363731
2,科技,社会上习惯于把科学和技术连在一起，统称为科学技术，简称科技。实际二者既有密切联系，又有重要区别。科学解决理论问题，技术解决实际问题。科学要解决的问题，是发现自然界中确凿的事实与现象之间的关系，并建立理论把事实与现象联系起来；技术的任务则是把科学的成果应用到实际问题中去。科学主要是和未知的领域打交道，其进展，尤其是重大的突破，是难以预料的；技术是在相对成熟的领域内工作，可以做比较准确的规划。,https://baike.baidu.com/item/%E7%A7%91%E5%AD%A6%E6%8A%80%E6%9C%AF/3348043
3,轻简,轻简是一个汉语词汇，拼音为qīng jiǎn，意思是轻忽简慢。,https://baike.baidu.com/item/%E8%BD%BB%E7%AE%80/4065747
2,专项,特定的某个项目。例句：～训练。进行～检查。～资金。[1-2],https://baike.baidu.com/item/%E4%B8%93%E9%A1%B9/10927791
