page_id,keyword,annotation,url
2,化学,化学（chemistry）是自然科学的一种，主要在分子、原子层面，研究物质的组成、性质、结构与变化规律，创造新物质（实质是自然界中原来不存在的分子）。世界由物质组成，主要存在着化学变化和物理变化两种变化形式（还有核反应）。不同于研究尺度更小的粒子物理学与核物理学，化学研究的原子 ~ 分子 ~ 离子（团）的物质结构和化学键、分子间作用力等相互作用，其所在的尺度是微观世界中最接近宏观的，因而它们的自然规律也与人类生存的宏观世界中物质和材料的物理、化学性质最为息息相关。作为沟通微观与宏观物质世界的重要桥梁，化学则是人类认识和改造物质世界的主要方法和手段之一。,https://baike.baidu.com/item/%E5%8C%96%E5%AD%A6/127240
2,适配,适配器也称为结构综合器，它的功能是将由综合器产生的网表文件配置于指定的目标器件中，使之产生最终的下载文件，如JEDEC、JAM格式的文件。适配所选定的目标器件必须属于原综合器指定的目标器件系列。通常，EDA软件中的综合器可由专业的第三方EDA公司提供，而适配器则需要由FPGA/CPLD供应商提供，因为适配器的适配对象直接与器件的结构细节相对应。,https://baike.baidu.com/item/%E9%80%82%E9%85%8D/14770143
2,大肠杆菌,大肠杆菌（Escherichia coli），又叫大肠埃希氏菌，Escherich在1885年发现的。大肠杆菌是条件致病菌，在一定条件下可以引起人和多种动物发生胃肠道感染或尿道等多种局部组织器官感染。,https://baike.baidu.com/item/%E5%A4%A7%E8%82%A0%E6%9D%86%E8%8F%8C/556836
2,人工,泛指人造的；人为的 。语出晋陶潜《饮酒》诗之十五：“贫居乏人工，灌木荒余宅。”,https://baike.baidu.com/item/%E4%BA%BA%E5%B7%A5/4377695
2,功能分析,以功能观点解释文化现象或社会现象的分析方法。 由功能学派大师马林诺斯基创立。该方法在理论上，强调文化是一个为满足需要而产生的整体，并强调以功能的眼光来解释动态的文化现象或社会现象;在实践上强调参与观察，即要求人类学家深入实际，和当地人融为一体，观察、体验他们的真实观念和情感。,https://baike.baidu.com/item/%E5%8A%9F%E8%83%BD%E5%88%86%E6%9E%90/8516648
2,中科院,中国科学院（英文名称：Chinese Academy of Sciences，简称中科院）成立于1949年11月，为中国自然科学最高学术机构、科学技术最高咨询机构、自然科学与高技术综合研究发展中心。中国科学院提出了建设国家创新体系的构想，先后实施知识创新工程、“创新2020”、《“率先行动”计划暨全面深化改革纲要》，提出了《迎接知识经济时代，建设国家创新体系》、《创新促进发展，科技引领未来》、《创新2050：科学技术与中国的未来》、《科技发展新态势与面向2020年的战略选择》等战略研究报告。据2018年11月中国科学院官网显示，全院共拥有12个分院、100多家科研院所、3所大学（中国科学院大学、中国科学技术大学，与上海市共建上海科技大学）、130多个国家级重点实验室和工程中心、210多个野外观测台站，承担20余项国家重大科技基础设施的建设与运行，正式职工7.1万余人，在学研究生6.4万余人；建成了完整的自然科学学科体系，物理、化学、材料科学、数学、环境与生态学、地球科学等学科整体水平已进入世界先进行列，一些领域方向也具备了进入世界第一方阵的良好态势。在解决关系国家全局和长远发展的重大问题上，已成为不可替代的国家战略科技力量。一批科学家在国家重大科技任务中发挥了关键和中坚作用，并作为我国科技界的代表活跃在国际科技前沿。2019年9月，经党中央批准，十九届中央第四轮巡视将对中国科学院党组织开展常规巡视。,https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E7%A7%91%E5%AD%A6%E9%99%A2/271375
2,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
2,原核,原核，完全成熟并且精子已进入卵子后的配子。,https://baike.baidu.com/item/%E5%8E%9F%E6%A0%B8/5358574
2,基因组,人类基因组，又称人类基因体，是指人的基因组，由23对染色体组成，其中包括22对常染色体，1对性染色体。人类基因组含有约31.6亿个DNA碱基对，碱基对是以氢键相结合的两个含氮碱基，以胸腺嘧啶（T）、腺嘌呤（A）、胞嘧啶（C）和鸟嘌呤（G）四种碱基排列成碱基序列，其中A与T之间由两个氢键连接，G与C之间由三个氢键连接，碱基对的排列在DNA中也只能是A对T，G对C。其中一部分的碱基对组成了大约20000到25000个基因。全世界的生物学与医学界在人类基因组计划中，调查人类基因组中的真染色质基因序列，发现人类的基因数量比原先预期的少得多，其中的外显子，也就是能够制造蛋白质的编码序列，只占总长度的约1.5%。,https://baike.baidu.com/item/%E4%BA%BA%E7%B1%BB%E5%9F%BA%E5%9B%A0%E7%BB%84/642487
1,设计,设计是把一种设想通过合理的规划、周密的计划、通过各种方式表达出来的过程。人类通过劳动改造世界，创造文明，创造物质财富和精神财富，而最基础、最主要的创造活动是造物。设计便是造物活动进行预先的计划，可以把任何造物活动的计划技术和计划过程理解为设计。,https://baike.baidu.com/item/%E8%AE%BE%E8%AE%A1/290622
