page_id,keyword,annotation,url
12,软件,软件（中国大陆及香港用语，台湾称作软体，英文：Software）是一系列按照特定顺序组织的计算机数据和指令的集合。一般来讲软件被划分为系统软件、应用软件和介于这两者之间的中间件。软件并不只是包括可以在计算机（这里的计算机是指广义的计算机）上运行的电脑程序，与这些电脑程序相关的文档一般也被认为是软件的一部分。简单的说软件就是程序加文档的集合体。另也泛指社会结构中的管理系统、思想意识形态、思想政治觉悟、法律法规等等。,https://baike.baidu.com/item/%E8%BD%AF%E4%BB%B6/12053
12,并行,并行是指“并排行走”或“同时实行或实施”。在操作系统中是指，一组程序按独立异步的速度执行，不等于时间上的重叠（同一个时刻发生)。要区别并发。并发是指：在同一个时间段内，两个或多个程序执行，有时间上的重叠（宏观上是同时，微观上仍是顺序执行）。并行也指8位数据同时通过并行线进行传送，这样数据传送速度大大提高，但并行传送的线路长度受到限制，因为长度增加，干扰就会增加，数据也就容易出错。生物学中并行（parallelism）指同一祖先的后裔在分开之后又在相似的环境条件下生活，从而产生出既相似又有区别的不同类群。,https://baike.baidu.com/item/%E5%B9%B6%E8%A1%8C/33188
11,高精度,高精度算法（High Accuracy Algorithm）是处理大数字的数学计算方法。在一般的科学计算中，会经常算到小数点后几百位或者更多，当然也可能是几千亿几百亿的大数字。一般这类数字我们统称为高精度数，高精度算法是用计算机对于超大数据的一种模拟加，减，乘，除，乘方，阶乘，开方等运算。对于非常庞大的数字无法在计算机中正常存储，于是，将这个数字拆开，拆成一位一位的，或者是四位四位的存储到一个数组中， 用一个数组去表示一个数字，这样这个数字就被称为是高精度数。高精度算法就是能处理高精度数各种运算的算法，但又因其特殊性，故从普通数的算法中分离，自成一家。,https://baike.baidu.com/item/%E9%AB%98%E7%B2%BE%E5%BA%A6%E7%AE%97%E6%B3%95/1024900
11,地图,地图是按照一定的法则，有选择地以二维或多维形式与手段在平面或球面上表示地球（或其它星球）若干现象的图形或图像，它具有严格的数学基础、符号系统、文字注记，并能用地图概括原则，科学地反映出自然和社会经济现象的分布特征及其相互关系。古代地图一般画在羊皮纸或石板上，传统地图的载体多为纸张，随着科技的发展出现了电子地图等多种载体。,https://baike.baidu.com/item/%E5%9C%B0%E5%9B%BE/22940
10,乳腺癌,女性乳腺是由皮肤、纤维组织、乳腺腺体和脂肪组成的，乳腺癌是发生在乳腺腺上皮组织的恶性肿瘤。乳腺癌中99%发生在女性，男性仅占1%。乳腺并不是维持人体生命活动的重要器官，原位乳腺癌并不致命；但由于乳腺癌细胞丧失了正常细胞的特性，细胞之间连接松散，容易脱落。癌细胞一旦脱落，游离的癌细胞可以随血液或淋巴液播散全身，形成转移，危及生命。目前乳腺癌已成为威胁女性身心健康的常见肿瘤。全球乳腺癌发病率自20世纪70年代末开始一直呈上升趋势。美国8名妇女一生中就会有1人患乳腺癌。中国不是乳腺癌的高发国家，但不宜乐观，近年我国乳腺癌发病率的增长速度却高出高发国家1～2个百分点。据国家癌症中心和卫生部疾病预防控制局2012年公布的2009年乳腺癌发病数据显示：全国肿瘤登记地区乳腺癌发病率位居女性恶性肿瘤的第1位，女性乳腺癌发病率（粗率）全国合计为42.55/10万，城市为51.91/10万，农村为23.12/10万。乳腺癌已成为当前社会的重大公共卫生问题。自20世纪90年代全球乳腺癌死亡率呈现出下降趋势；究其原因，一是乳腺癌筛查工作的开展，使早期病例的比例增加；二是乳腺癌综合治疗的开展，提高了疗效。乳腺癌已成为疗效最佳的实体肿瘤之一。,https://baike.baidu.com/item/%E4%B9%B3%E8%85%BA%E7%99%8C/821595
10,遥感,遥感（remote sensing）是指非接触的，远距离的探测技术。一般指运用传感器/遥感器对物体的电磁波的辐射、反射特性的探测。遥感是通过遥感器这类对电磁波敏感的仪器，在远离目标和非接触目标物体条件下探测目标地物。获取其反射、辐射或散射的电磁波信息（如电场、磁场、电磁波、地震波等信息），并进行提取、判定、加工处理、分析与应用的一门科学和技术。,https://baike.baidu.com/item/%E9%81%A5%E6%84%9F/1240667
9,医学影像,医学影像是指为了医疗或医学研究，对人体或人体某部分，以非侵入方式取得内部组织影像的技术与处理过程。它包含以下两个相对独立的研究方向：医学成像系统（medical imaging system）和医学图像处理（medical image processing）。前者是指图像行成的过程，包括对成像机理、成像设备、成像系统分析等问题的研究；后者是指对已经获得的图像作进一步的处理，其目的是或者是使原来不够清晰的图像复原，或者是为了突出图像中的某些特征信息，或者是对图像做模式分类等等。,https://baike.baidu.com/item/%E5%8C%BB%E5%AD%A6%E5%BD%B1%E5%83%8F/4954291
8,胰胆,胰胆炎是一种由胰腺组织受胰蛋白酶的自身消化作用引起的病。,https://baike.baidu.com/item/%E8%83%B0%E8%83%86%E7%82%8E/14753641
13,沥青路面,沥青路面是指在矿质材料中掺入路用沥青材料铺筑的各种类型的路面。沥青结合料提高了铺路用粒料抵抗行车和自然因素对路面损害的能力，使路面平整少尘、不透水、经久耐用。因此，沥青路面是道路建设中一种被最广泛采用的高级路面。沥青路面的沥青类结构层本身，属于柔性路面范畴，但其基层除柔性材料外，也可采用刚性的水泥混凝土，或半刚性的水硬性材料。,https://baike.baidu.com/item/%E6%B2%A5%E9%9D%92%E8%B7%AF%E9%9D%A2/6590699
9,赫兹,赫兹是国际单位制中频率的单位，它是每秒钟的周期性变动重复次数的计量。赫兹简称赫。每秒钟振动（或振荡、波动）一次为1赫兹，或可写成次/秒，周/秒。因德国科学家赫兹而命名。,https://baike.baidu.com/item/%E8%B5%AB%E5%85%B9/7245576
13,路面,路面是指用各种筑路材料铺筑在道路路基上直接承受车辆荷载的层状构造物。质量良好的路面应有足够的强度和良好的稳定性，其表面应达到平整、密实和抗滑的要求。路面结构由面层、基层与垫层组成。,https://baike.baidu.com/item/%E8%B7%AF%E9%9D%A2/2934749
8,算法,算法（Algorithm）是指解题方案的准确而完整的描述，是一系列解决问题的清晰指令，算法代表着用系统的方法描述解决问题的策略机制。也就是说，能够对一定规范的输入，在有限时间内获得所要求的输出。如果一个算法有缺陷，或不适合于某个问题，执行这个算法将不会解决这个问题。不同的算法可能用不同的时间、空间或效率来完成同样的任务。一个算法的优劣可以用空间复杂度与时间复杂度来衡量。算法中的指令描述的是一个计算，当其运行时能从一个初始状态和（可能为空的）初始输入开始，经过一系列有限而清晰定义的状态，最终产生输出并停止于一个终态。一个状态到另一个状态的转移不一定是确定的。随机化算法在内的一些算法，包含了一些随机输入。形式化算法的概念部分源自尝试解决希尔伯特提出的判定问题，并在其后尝试定义有效计算性或者有效方法中成形。这些尝试包括库尔特·哥德尔、Jacques Herbrand和斯蒂芬·科尔·克莱尼分别于1930年、1934年和1935年提出的递归函数，阿隆佐·邱奇于1936年提出的λ演算，1936年Emil Leon Post的Formulation 1和艾伦·图灵1937年提出的图灵机。即使在当前，依然常有直觉想法难以定义为形式化算法的情况。,https://baike.baidu.com/item/%E7%AE%97%E6%B3%95/209025
7,算法,算法（Algorithm）是指解题方案的准确而完整的描述，是一系列解决问题的清晰指令，算法代表着用系统的方法描述解决问题的策略机制。也就是说，能够对一定规范的输入，在有限时间内获得所要求的输出。如果一个算法有缺陷，或不适合于某个问题，执行这个算法将不会解决这个问题。不同的算法可能用不同的时间、空间或效率来完成同样的任务。一个算法的优劣可以用空间复杂度与时间复杂度来衡量。算法中的指令描述的是一个计算，当其运行时能从一个初始状态和（可能为空的）初始输入开始，经过一系列有限而清晰定义的状态，最终产生输出并停止于一个终态。一个状态到另一个状态的转移不一定是确定的。随机化算法在内的一些算法，包含了一些随机输入。形式化算法的概念部分源自尝试解决希尔伯特提出的判定问题，并在其后尝试定义有效计算性或者有效方法中成形。这些尝试包括库尔特·哥德尔、Jacques Herbrand和斯蒂芬·科尔·克莱尼分别于1930年、1934年和1935年提出的递归函数，阿隆佐·邱奇于1936年提出的λ演算，1936年Emil Leon Post的Formulation 1和艾伦·图灵1937年提出的图灵机。即使在当前，依然常有直觉想法难以定义为形式化算法的情况。,https://baike.baidu.com/item/%E7%AE%97%E6%B3%95/209025
6,数理,易学中有‘世间万事万物皆有数。’数；既描述了一切物体从发生到覆灭的发展过程，也描述了预测所用的方法，如大衍之数，梅花易数等。而理就是指道理——天地、人生的大道理。,https://baike.baidu.com/item/%E6%95%B0%E7%90%86/6849736
6,曲面,曲面可以看作是一条动线(直线或曲线)在空间连续运动所形成的轨迹，形成曲面的动线称为母线。母线在曲面中的任一位置称为曲面的素线，用来控制母线运动的面、线和点称为导面、导线和导点。,https://baike.baidu.com/item/%E6%9B%B2%E9%9D%A2/13033889
5,橡胶材料,橡胶（Rubber）是指具有可逆形变的高弹性聚合物材料，在室温下富有弹性，在很小的外力作用下能产生较大形变，除去外力后能恢复原状。橡胶属于完全无定型聚合物，它的玻璃化转变温度（T g）低，分子量往往很大，大于几十万。橡胶分为天然橡胶与合成橡胶二种。天然橡胶是从橡胶树、橡胶草等植物中提取胶质后加工制成；合成橡胶则由各种单体经聚合反应而得。橡胶制品广泛应用于工业或生活各方面。,https://baike.baidu.com/item/%E6%A9%A1%E8%83%B6/837156
7,曲面,曲面可以看作是一条动线(直线或曲线)在空间连续运动所形成的轨迹，形成曲面的动线称为母线。母线在曲面中的任一位置称为曲面的素线，用来控制母线运动的面、线和点称为导面、导线和导点。,https://baike.baidu.com/item/%E6%9B%B2%E9%9D%A2/13033889
4,发动机,发动机（Engine）是一种能够把其它形式的能转化为机械能的机器，包括如内燃机（往复活塞式发动机）、外燃机（斯特林发动机、蒸汽机等）、喷气发动机、电动机等。如内燃机通常是把化学能转化为机械能。发动机既适用于动力发生装置，也可指包括动力装置的整个机器（如：汽油发动机、航空发动机）。发动机最早诞生在英国，所以，发动机的概念也源于英语，它的本义是指那种“产生动力的机械装置”。,https://baike.baidu.com/item/%E5%8F%91%E5%8A%A8%E6%9C%BA/866440
4,降维,降维是通过单幅图像数据的高维化，对单幅图像转化为高维空间中的数据集合进行的一种操作。,https://baike.baidu.com/item/%E9%99%8D%E7%BB%B4/12737059
3,算法,算法（Algorithm）是指解题方案的准确而完整的描述，是一系列解决问题的清晰指令，算法代表着用系统的方法描述解决问题的策略机制。也就是说，能够对一定规范的输入，在有限时间内获得所要求的输出。如果一个算法有缺陷，或不适合于某个问题，执行这个算法将不会解决这个问题。不同的算法可能用不同的时间、空间或效率来完成同样的任务。一个算法的优劣可以用空间复杂度与时间复杂度来衡量。算法中的指令描述的是一个计算，当其运行时能从一个初始状态和（可能为空的）初始输入开始，经过一系列有限而清晰定义的状态，最终产生输出并停止于一个终态。一个状态到另一个状态的转移不一定是确定的。随机化算法在内的一些算法，包含了一些随机输入。形式化算法的概念部分源自尝试解决希尔伯特提出的判定问题，并在其后尝试定义有效计算性或者有效方法中成形。这些尝试包括库尔特·哥德尔、Jacques Herbrand和斯蒂芬·科尔·克莱尼分别于1930年、1934年和1935年提出的递归函数，阿隆佐·邱奇于1936年提出的λ演算，1936年Emil Leon Post的Formulation 1和艾伦·图灵1937年提出的图灵机。即使在当前，依然常有直觉想法难以定义为形式化算法的情况。,https://baike.baidu.com/item/%E7%AE%97%E6%B3%95/209025
2,油气,油气，拼音yóu qì，是指微弱的气息，出自《醒世姻缘传》。,https://baike.baidu.com/item/%E6%B2%B9%E6%B0%94/6422932
5,GNSS,,https://baike.baidu.com//item/%E9%AB%98%E9%A2%91GNSS
2,反演,反演是指能够模仿人类智能的计算机程序系统的人工智能系统，它具有学习和推理的功能。例如专家系统、人工神经网络系统等。在反问题求解过程中应用人工智能的方法技术，引导局部或全局最优，这种反演方法称为人工智能反演，现阶段又分为线性反演、迭代反演、最优化反演等。,https://baike.baidu.com/item/%E5%8F%8D%E6%BC%94/894435
1,变革性,变革型领导（Transformational Leadership），是指领导者通过领导魅力、领导感召力、智力激发和个性化关怀等，让员工意识到所承担的责任及任务的重要性， 激发其更高层次的需要，从而使其最大限度地发掘自身的潜力来取得最高水平的绩效表现。变革型领导概念最早由BURNS提出，是继领导特质论、领导行为论、领导权变论之后，在上个世纪80年代由美国政治社会学家詹姆斯·麦格雷戈·伯恩斯在他的经典著作《领袖论》中提出的一种领导类型。变革型领导理论具有很大的包容性，它对领导力的作用过程进行了广泛的描述，包含了领导过程中多层次多角度已有广泛基础的观点，是一门很有理论和实践意义的领导学理论。,https://baike.baidu.com/item/%E5%8F%98%E9%9D%A9%E5%9E%8B%E9%A2%86%E5%AF%BC/228838
1,指南,指南，汉语词语，拼音是zhǐ nán，意思是指导，辨别方向的依据。,https://baike.baidu.com/item/%E6%8C%87%E5%8D%97/10153109
3,管网,管网分为配水管网distribution system,pipe system环状管网pipe network枝状管网branch system三种。,https://baike.baidu.com/item/%E7%AE%A1%E7%BD%91/3163354
