page_id,keyword,annotation,url
1,健康,健康是指一个人在身体、精神和社会等方面都处于良好的状态。健康包括两个方面的内容：一是主要脏器无疾病，身体形态发育良好，体形均匀，人体各系统具有良好的生理功能，有较强的身体活动能力和劳动能力，这是对健康最基本的要求；二是对疾病的抵抗能力较强，能够适应环境变化，各种生理刺激以及致病因素对身体的作用。传统的健康观是“无病即健康”，现代人的健康观是整体健康，世界卫生组织提出“健康不仅是躯体没有疾病，还要具备心理健康、社会适应良好和有道德”。因此，现代人的健康内容包括：躯体健康、心理健康、心灵健康、社会健康、智力健康、道德健康、环境健康等。健康是人的基本权利。健康是人生的第一财富。,https://baike.baidu.com/item/%E5%81%A5%E5%BA%B7/352662
4,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
4,动物,动物(Animal)是生物的一个种类。它们一般以有机物为食，能感觉，可运动，能够自主运动。活动或能够活动之物。包括人。根据化石研究，地球上最早出现的动物源于海洋。早期的海洋动物经过漫长的地质时期，逐渐演化出各种分支，丰富了早期的地球生命形态。在人类出现以前，史前动物便已出现，并在各自的活动期得到繁荣发展。后来，它们在不断变换的生存环境下相继灭绝。但是，地球上的动物仍以从低等到高等、从简单到复杂的趋势不断进化并繁衍至今，并有了如今的多样性。科学家们把现存的人类已知的动物根据体内有无脊柱分为无脊椎动物和脊椎动物两大种类。科学家已经鉴别出46900多种脊椎动物。包括鲤鱼、黄鱼、草鱼等鱼类动物，蛇、蜥蜴等爬行类动物，青蛙、娃娃鱼等两栖类动物，鸟类以及红熊猫等哺乳类动物。科学家们还发现了130多万种无脊椎动物。这些动物中多数是昆虫，昆虫中多数是甲虫。鼻涕虫、蚯蚓，乌贼、牡蛎、红海星、水母，蜘蛛，珊瑚虫、放射虫、蛔虫、猪肉绦虫、沙蚕、蜗牛、蛞蝓等都属于无脊椎动物。动物界所有成员的身体都是由细胞组成的异养有机体。,https://baike.baidu.com/item/%E5%8A%A8%E7%89%A9/216062
4,递交,递交，汉语词语，拼音是dì jiāo，意思是传递送交：递交国书。,https://baike.baidu.com/item/%E9%80%92%E4%BA%A4/1209170
4,实验,实验，指的是科学研究的基本方法之一。根据科学研究的目的，尽可能地排除外界的影响，突出主要因素并利用一些专门的仪器设备，而人为地变革、控制或模拟研究对象，使某一些事物（或过程）发生或再现，从而去认识自然现象、自然性质、自然规律。,https://baike.baidu.com/item/%E5%AE%9E%E9%AA%8C/1051291
4,专项,特定的某个项目。例句：～训练。进行～检查。～资金。[1-2],https://baike.baidu.com/item/%E4%B8%93%E9%A1%B9/10927791
4,签署,签署是一个汉语词汇，拼音是qiānshǔ，指在文件、条约、凭证等上签字。语出 宋范仲淹《举许渤签署陕府判官事状》：“伏望圣慈，特与改转京官，签署 陕府 判官厅公事。”,https://baike.baidu.com/item/%E7%AD%BE%E7%BD%B2/2504268
3,多组,,https://baike.baidu.com/item/%E5%A4%9A%E7%BB%84%E7%BB%84%E5%90%88/6774865
3,队列,队列是一种特殊的线性表，特殊之处在于它只允许在表的前端（front）进行删除操作，而在表的后端（rear）进行插入操作，和栈一样，队列是一种操作受限制的线性表。进行插入操作的端称为队尾，进行删除操作的端称为队头。,https://baike.baidu.com/item/%E9%98%9F%E5%88%97/14580481
3,疾病,疾病是一个极其复杂的过程，许多情况下，从健康到疾病是一个由量变到质变的过程。当外界致病因素作用于细胞，达到一定强度或持续一定时间，也就是说，致病因素有了一定量的积累就会引起细胞的损伤，这个被损伤的细胞出现功能、代谢、形态结构紊乱。,https://baike.baidu.com/item/%E7%96%BE%E7%97%85/925932
