page_id,keyword,annotation,url
3,不超,省长讲话不超过1小时事件是指广东省政府官网公布的关于以部门名义召开的会议各部门每年不超过1个的规定。,https://baike.baidu.com/item/%E7%9C%81%E9%95%BF%E8%AE%B2%E8%AF%9D%E4%B8%8D%E8%B6%85%E8%BF%871%E5%B0%8F%E6%97%B6%E4%BA%8B%E4%BB%B6/12709911
3,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
3,内多学,,https://baike.baidu.com/item/内多学

3,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
2,因子,因子，基本含义为“元素、因素、成分”，出自孙中山《实业计划》：“一切人类智识，以印刷蓄积之，故此为文明一大因子。”,https://baike.baidu.com/item/%E5%9B%A0%E5%AD%90/10876777
3,项目数,,https://baike.baidu.com//item/%E9%A1%B9%E7%9B%AE%E5%8F%82%E6%95%B0
2,溯源,溯源是一个汉语词汇，拼音为sùyuán，指的是往上游寻找发源的地方，比喻向上寻求历史根源。溯源最早也是1997年欧盟为应对“疯牛病”问题而逐步建立并完善起来的食品安全管理制度。技术应用:物联网技术、自动控制技术、自动识别技术、互联网技术、云存储技术、区块链技术及云传输技术。实际操作：通过专业的机器设备对单件产品赋予唯一的二维码作为防伪身份证，实现“每个产品都有自己的身份编码”，然后可对产品的生产、仓储、分销、物流运输、市场稽查、销售终端等各个环节采集数据并追踪，构成产品的生产、仓储、销售、流通和服务的一个全生命周期管理。,https://baike.baidu.com/item/%E6%BA%AF%E6%BA%90/400849
2,土壤,土壤是指地球表面的一层疏松的物质，由各种颗粒状矿物质、有机物质、水分、空气、微生物等组成，能生长植物。土壤由岩石风化而成的矿物质、动植物、微生物残体腐解产生的有机质、土壤生物（固相物质）以及水分（液相物质）、空气（气相物质）、氧化的腐殖质等组成。固体物质包括土壤矿物质、有机质和微生物通过光照抑菌灭菌后得到的养料等。液体物质主要指土壤水分。气体是存在于土壤孔隙中的空气。土壤中这三类物质构成了一个矛盾的统一体。它们互相联系，互相制约，为作物提供必需的生活条件，是土壤肥力的物质基础。,https://baike.baidu.com/item/%E5%9C%9F%E5%A3%A4/33675
3,单位,单位，指机关、团体或属于一个机关、团体的各个部门；指数学方面或物理方面计量事物的标准量的名称。一般有：米（m）、千米（km）、牛（顿） N、帕（斯卡）Pa等单位；在佛教传统意义上讲单位，特指长度、质量、时间等的定量单位，也有专门的术语如：刹那、一瞬、弹指、须臾等。准确的说，单位就是将一定数量物质的集合规定为“1” ，成为一个单位。从广义上讲：单位是一个相对概念，其为事物坐标系中的坐标轴中能构成个体的抽象概念。事物的最小单位为零。,https://baike.baidu.com/item/%E5%8D%95%E4%BD%8D/32292
