page_id,keyword,annotation,url
8,临床,临床是指直接接触病人，对病人进行实际的观察。如内科学、外科学、妇产科学、儿科学等学科属于临床医学。 从医院内部分工来说，则分为临床、医技、行政、工勤等部门。临床科室是医院的主体，它直接担负着对病人的收治、诊断、治疗等任务；临床人员包括直接参与治疗、护理病人的医生、护士；医技科室即过去所说的“非临床”科室，它也有医生和护士，但是不直接参与对病人的治疗和护理，只是为临床诊断、治疗直接提供服务。,https://baike.baidu.com/item/%E4%B8%B4%E5%BA%8A/5507460
8,有效性,有效性是指完成策划的活动和达到策划结果的程度。市场调查中，有效性指试图要测量的事物实际上是真正要测量的。 其中 实验的有效性指实际的测量正是我们试图要测量的东西。 测量的有效性指的是测量仪器不受系统误差和随机误差的约束程度。,https://baike.baidu.com/item/%E6%9C%89%E6%95%88%E6%80%A7/4463171
7,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
8,细胞,细胞（英文名：cell）并没有统一的定义，比较普遍的提法是：细胞是生物体基本的结构和功能单位。已知除病毒之外的所有生物均由细胞所组成，但病毒生命活动也必须在细胞中才能体现。一般来说，细菌等绝大部分微生物以及原生动物由一个细胞组成，即单细胞生物，高等植物与高等动物则是多细胞生物。细胞可分为原核细胞、真核细胞两类，但也有人提出应分为三类，即把原属于原核细胞的古核细胞独立出来作为与之并列的一类。研究细胞的学科称为细胞生物学。细胞体形极微，在显微镜下始能窥见，形状多种多样。主要由细胞核与细胞质构成，表面有细胞膜。高等植物细胞膜外有细胞壁，细胞质中常有质体，体内有叶绿体和液泡，还有线粒体。动物细胞无细胞壁，细胞质中常有中心体，而高等植物细胞中则无。细胞有运动、营养和繁殖等机能。,https://baike.baidu.com/item/%E7%BB%86%E8%83%9E/84931
7,临床,临床是指直接接触病人，对病人进行实际的观察。如内科学、外科学、妇产科学、儿科学等学科属于临床医学。 从医院内部分工来说，则分为临床、医技、行政、工勤等部门。临床科室是医院的主体，它直接担负着对病人的收治、诊断、治疗等任务；临床人员包括直接参与治疗、护理病人的医生、护士；医技科室即过去所说的“非临床”科室，它也有医生和护士，但是不直接参与对病人的治疗和护理，只是为临床诊断、治疗直接提供服务。,https://baike.baidu.com/item/%E4%B8%B4%E5%BA%8A/5507460
7,干细胞,简单来讲， 干细胞是一类具有无限的或者永生的自我更新能力的细胞、能够产生至少一种类型的、高度分化的子代细胞。多年来对干细胞的定义不断进行修正，并从不同的层面上来进行定义。目前大多数生物学家和医学家认为干细胞是来自于胚胎、胎儿或成人体内具有在一定条件下无限制自我更新与增殖分化能力的一类细胞，能够产生表现型与基因型和自己完全相同的子细胞，也能产生组成机体组织、器官的已特化的细胞，同时还能分化为祖细胞。,https://baike.baidu.com/item/%E5%B9%B2%E7%BB%86%E8%83%9E/301672
5,组织,从广义上说，组织是指由诸多要素按照一定方式相互联系起来的系统。从狭义上说，组织就是指人们为实现一定的目标，互相协作结合而成的集体或团体，如党团组织、工会组织、企业、军事组织等等。狭义的组织专门指人群而言，运用于社会管理之中。在现代社会生活中．组织是人们按照一定的目的、任务和形式编制起来的社会集团，组织不仅是社会的细胞、社会的基本单元，而且可以说是社会的基础。从管理学的角度，所谓组织（Organization），是指这样一个社会实体，它具有明确的目标导向和精心设计的结构与有意识协调的活动系统，同时又同外部环境保持密切的联系。,https://baike.baidu.com/item/%E7%BB%84%E7%BB%87/10200
5,器官,由多种组织构成的能行使一（特）定功能的结构单位叫做器官。器官的组织结构特点跟它的功能相适应。我们一般都比较容易注意到一些组织集中的直观的器官。比如：眼、耳、鼻、舌等感觉器官，再如：内脏器官心、肝、肺、胃、肾等。不少器官都容易被人们忽略而不认为是器官。比如任何一块骨骼肌，皮肤等。,https://baike.baidu.com/item/%E4%BA%BA%E4%BD%93%E5%99%A8%E5%AE%98/2036867
4,免疫,免疫是人体的一种生理功能，人体依靠这种功能识别“自己”和“非己”成分，从而破坏和排斥进入人体的抗原物质（如病菌等），或人体本身所产生的损伤细胞和肿瘤细胞等，以维持人体的健康。抵抗或防止微生物或寄生物的感染或其它所不希望的生物侵入的状态。免疫涉及特异性成分和非特异性成分。非特异性成分不需要事先暴露，可以立刻响应，可以有效地防止各种病原体的入侵。特异性免疫是在主体的寿命期内发展起来的，是专门针对某个病原体的免疫。,https://baike.baidu.com/item/%E5%85%8D%E7%96%AB/825313
6,干细胞,简单来讲， 干细胞是一类具有无限的或者永生的自我更新能力的细胞、能够产生至少一种类型的、高度分化的子代细胞。多年来对干细胞的定义不断进行修正，并从不同的层面上来进行定义。目前大多数生物学家和医学家认为干细胞是来自于胚胎、胎儿或成人体内具有在一定条件下无限制自我更新与增殖分化能力的一类细胞，能够产生表现型与基因型和自己完全相同的子细胞，也能产生组成机体组织、器官的已特化的细胞，同时还能分化为祖细胞。,https://baike.baidu.com/item/%E5%B9%B2%E7%BB%86%E8%83%9E/301672
