page_id,keyword,annotation,url
16,系统,系统一词来源于英文system的音译，即若干部分相互联系、相互作用，形成的具有某些功能的整体。中国著名学者钱学森认为：系统是由相互作用相互依赖的若干组成部分结合而成的，具有特定功能的有机整体，而且这个有机整体又是它从属的更大系统的组成部分。在数字信号处理的理论中，人们把能加工、变换数字信号的实体称作系统。由于处理数字信号的系统是在指定的时刻或时序对信号进行加工运算，所以这种系统被看作是离散时间的，也可以用基于时间的语言、表格、公式、波形四种方法来描述。从抽象的意义来说，系统和信号都可以看作序列。但是，系统是加工信号的机构，这点与信号不同。人们研究系统，设计系统，利用系统加工信号、服务人类。除上文的四种描述方法，描述系统的方法还有符号、单位脉冲响应、差分方程和图形。,https://baike.baidu.com/item/%E7%B3%BB%E7%BB%9F/479832
13,物联,物联网（The Internet of Things，简称IOT）是指通过  各种信息传感器、射频识别技术、全球定位系统、红外感应器、激光扫描器等各种装置与技术，实时采集任何需要监控、  连接、互动的物体或过程，采集其声、光、热、电、力学、化  学、生物、位置等各种需要的信息，通过各类可能的网络接入，实现物与物、物与人的泛在连接，实现对物品和过程的智能化感知、识别和管理。物联网是一个基于互联网、传统电信网等的信息承载体，它让所有能够被独立寻址的普通物理对象形成互联互通的网络。,https://baike.baidu.com/item/%E7%89%A9%E8%81%94%E7%BD%91/7306589
17,准确率,准确率是指对一个事物表达或描述的正确程度，用来反映对事物的正确性解答。,https://baike.baidu.com/item/%E5%87%86%E7%A1%AE%E7%8E%87/5165407
13,联网,在信息技术里，联网（networking）是指运行于不同计算机上的多个进程之间的通信。这个通信可以发生在一个封闭的局域网上，或者通过互联网通信。网络在应用软件的一个主要用途就是允许一个或多个应用程序使用其他应用程序提供的服务。除了LabVIEW的Web发布功能，还可以使用一些网络功能与其他软件或者LabVIEW程序通信。,https://baike.baidu.com/item/%E8%81%94%E7%BD%91/3555472
12,联网,在信息技术里，联网（networking）是指运行于不同计算机上的多个进程之间的通信。这个通信可以发生在一个封闭的局域网上，或者通过互联网通信。网络在应用软件的一个主要用途就是允许一个或多个应用程序使用其他应用程序提供的服务。除了LabVIEW的Web发布功能，还可以使用一些网络功能与其他软件或者LabVIEW程序通信。,https://baike.baidu.com/item/%E8%81%94%E7%BD%91/3555472
12,区块,,https://baike.baidu.com//item/%E5%8C%BA%E5%9D%97/16726022
16,融合,物理意义上指熔成或如熔化那样融成一体。心理意义上指不同个体或不同群体在一定的碰撞或接触之后，认知、情感或态度倾向融为一体。,https://baike.baidu.com/item/%E8%9E%8D%E5%90%88/72742
14,城市,城市也叫城市聚落，一般包括了住宅区、工业区和商业区并且具备行政管辖功能。城市的行政管辖功能可能涉及较其本身更广泛的区域，其中有居民区、街道、医院、学校、公共绿地、写字楼、商业卖场、广场、公园等公共设施。城市是“城”与“市”的组合词。“城”主要是为了防卫，并且用城墙等围起来的地域。《管子·度地》说“内为之城，外为之廓”。“市”则是指进行交易的场所，“日中为市”。这两者都是城市最原始的形态，严格地说，都不是真正意义上的城市。一个区域作为城市必须有质的规范性。截至2018年，城市数量从193座增加到672座，建制镇数量从2176座增加到21297座。截至2020年初，中国大陆共计686座城市，其中直辖市4座，特别行政区2座，地级市（含副省级市）293座，县级市387座。,https://baike.baidu.com/item/%E5%9F%8E%E5%B8%82/33549
14,政务,政务，汉语词汇。指政府的事务性工作；泛指行政事务。,https://baike.baidu.com/item/%E6%94%BF%E5%8A%A1/533839
10,终端,,https://baike.baidu.com/item/%E7%BB%88%E7%AB%AF/1903878
15,政务,政务，汉语词汇。指政府的事务性工作；泛指行政事务。,https://baike.baidu.com/item/%E6%94%BF%E5%8A%A1/533839
11,城市,城市也叫城市聚落，一般包括了住宅区、工业区和商业区并且具备行政管辖功能。城市的行政管辖功能可能涉及较其本身更广泛的区域，其中有居民区、街道、医院、学校、公共绿地、写字楼、商业卖场、广场、公园等公共设施。城市是“城”与“市”的组合词。“城”主要是为了防卫，并且用城墙等围起来的地域。《管子·度地》说“内为之城，外为之廓”。“市”则是指进行交易的场所，“日中为市”。这两者都是城市最原始的形态，严格地说，都不是真正意义上的城市。一个区域作为城市必须有质的规范性。截至2018年，城市数量从193座增加到672座，建制镇数量从2176座增加到21297座。截至2020年初，中国大陆共计686座城市，其中直辖市4座，特别行政区2座，地级市（含副省级市）293座，县级市387座。,https://baike.baidu.com/item/%E5%9F%8E%E5%B8%82/33549
11,智能,智能，是智慧和能力的总称，中国古代思想家一般把智与能看做是两个相对独立的概念。也有不少思想家把二者结合起来作为一个整体看待。,https://baike.baidu.com/item/%E6%99%BA%E8%83%BD/66637
17,95%,,https://baike.baidu.com//item/95%E5%8F%B7%E6%B1%BD%E6%B2%B9
9,城市,城市也叫城市聚落，一般包括了住宅区、工业区和商业区并且具备行政管辖功能。城市的行政管辖功能可能涉及较其本身更广泛的区域，其中有居民区、街道、医院、学校、公共绿地、写字楼、商业卖场、广场、公园等公共设施。城市是“城”与“市”的组合词。“城”主要是为了防卫，并且用城墙等围起来的地域。《管子·度地》说“内为之城，外为之廓”。“市”则是指进行交易的场所，“日中为市”。这两者都是城市最原始的形态，严格地说，都不是真正意义上的城市。一个区域作为城市必须有质的规范性。截至2018年，城市数量从193座增加到672座，建制镇数量从2176座增加到21297座。截至2020年初，中国大陆共计686座城市，其中直辖市4座，特别行政区2座，地级市（含副省级市）293座，县级市387座。,https://baike.baidu.com/item/%E5%9F%8E%E5%B8%82/33549
8,城市,城市也叫城市聚落，一般包括了住宅区、工业区和商业区并且具备行政管辖功能。城市的行政管辖功能可能涉及较其本身更广泛的区域，其中有居民区、街道、医院、学校、公共绿地、写字楼、商业卖场、广场、公园等公共设施。城市是“城”与“市”的组合词。“城”主要是为了防卫，并且用城墙等围起来的地域。《管子·度地》说“内为之城，外为之廓”。“市”则是指进行交易的场所，“日中为市”。这两者都是城市最原始的形态，严格地说，都不是真正意义上的城市。一个区域作为城市必须有质的规范性。截至2018年，城市数量从193座增加到672座，建制镇数量从2176座增加到21297座。截至2020年初，中国大陆共计686座城市，其中直辖市4座，特别行政区2座，地级市（含副省级市）293座，县级市387座。,https://baike.baidu.com/item/%E5%9F%8E%E5%B8%82/33549
7,城市,城市也叫城市聚落，一般包括了住宅区、工业区和商业区并且具备行政管辖功能。城市的行政管辖功能可能涉及较其本身更广泛的区域，其中有居民区、街道、医院、学校、公共绿地、写字楼、商业卖场、广场、公园等公共设施。城市是“城”与“市”的组合词。“城”主要是为了防卫，并且用城墙等围起来的地域。《管子·度地》说“内为之城，外为之廓”。“市”则是指进行交易的场所，“日中为市”。这两者都是城市最原始的形态，严格地说，都不是真正意义上的城市。一个区域作为城市必须有质的规范性。截至2018年，城市数量从193座增加到672座，建制镇数量从2176座增加到21297座。截至2020年初，中国大陆共计686座城市，其中直辖市4座，特别行政区2座，地级市（含副省级市）293座，县级市387座。,https://baike.baidu.com/item/%E5%9F%8E%E5%B8%82/33549
10,感知,感知即意识对内外界信息的觉察、感觉、注意、知觉的一系列过程。感知可分为感觉过程和知觉过程。感觉过程中被感觉的信息包括有机体内部的生理状态，心理活动，也包含外部环境的存在以及存在关系信息。感觉不仅接受信息，也受到心理作用影响。知觉过程中对感觉信息进行有组织的处理，对事物存在形式进行理解认识。,https://baike.baidu.com/item/%E6%84%9F%E7%9F%A5/10752910
6,边缘,边缘指周边部分、临界的意思，指沿边的部分，出自《论衡·状留》。,https://baike.baidu.com/item/%E8%BE%B9%E7%BC%98/32781
