page_id,keyword,annotation,url
29,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
28,鼓励,鼓励是一个汉语词语，拼音是gǔ lì ，意思是激发；勉励；也指振作精神。出处有清刘献廷《广阳杂记》。,https://baike.baidu.com/item/%E9%BC%93%E5%8A%B1/6030
26,医疗器械,医疗器械是指直接或者间接用于人体的仪器、设备、器具、体外诊断试剂及校准物、材料以及其他类似或者相关的物品，包括所需要的计算机软件。效用主要通过物理等方式获得，不是通过药理学、免疫学或者代谢的方式获得，或者虽然有这些方式参与但是只起辅助作用。目的是疾病的诊断、预防、监护、治疗或者缓解；损伤的诊断、监护、治疗、缓解或者功能补偿；生理结构或者生理过程的检验、替代、调节或者支持；生命的支持或者维持；妊娠控制；通过对来自人体的样本进行检查，为医疗或者诊断目的提供信息。,https://baike.baidu.com/item/%E5%8C%BB%E7%96%97%E5%99%A8%E6%A2%B0/883406
25,医疗器械,医疗器械是指直接或者间接用于人体的仪器、设备、器具、体外诊断试剂及校准物、材料以及其他类似或者相关的物品，包括所需要的计算机软件。效用主要通过物理等方式获得，不是通过药理学、免疫学或者代谢的方式获得，或者虽然有这些方式参与但是只起辅助作用。目的是疾病的诊断、预防、监护、治疗或者缓解；损伤的诊断、监护、治疗、缓解或者功能补偿；生理结构或者生理过程的检验、替代、调节或者支持；生命的支持或者维持；妊娠控制；通过对来自人体的样本进行检查，为医疗或者诊断目的提供信息。,https://baike.baidu.com/item/%E5%8C%BB%E7%96%97%E5%99%A8%E6%A2%B0/883406
23,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
22,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
21,产品,产品是指做为商品提供给市场，被人们使用和消费，并能满足人们某种需求的任何东西，包括有形的物品、无形的服务、组织、观念或它们的组合。产品一般可以分为五个层次，即核心产品、基本产品、期望产品、附加产品、潜在产品。核心产品是指整体产品提供给购买者的直接利益和效用；基本产品即是核心产品的宏观化；期望产品是指顾客在购买产品时，一般会期望得到的一组特性或条件；附加产品是指超过顾客期望的产品；潜在产品指产品或开发物在未来可能产生的改进和变革。产品是“一组将输入转化为输出的相互关联或相互作用的活动”的结果，即“过程”的结果。在经济领域中，通常也可理解为组织制造的任何制品或制品的组合。在现代汉语词典当中的解释为“生产出来的物品”。简单来说是“为了满足市场需要，而创建的用于运营的功能及服务”就是产品。产品是以使用为目的物品和服务的综合体。产品的价值是由用户来衡量的。,https://baike.baidu.com/item/%E4%BA%A7%E5%93%81/105875
20,微创,顾名思义，就是微小的创口、创伤，是现代医学外科手术治疗应用的特点，是一个技术名词，就是在手术治疗过程中只对患者造成微小创伤、术后只留下微小创口的技术，是相对传统手术的科技成果。所以，微创是专门与外科及手术相连接的词语，如微创手术，微创外科等。微创，并没有一个准确的定义。但不少外科医生认为，微创应该是相对传统手术而言，主要具有四大特点：切口小、创伤小、恢复快、痛苦少。微创手术是高科技带来的医学革命！,https://baike.baidu.com/item/%E5%BE%AE%E5%88%9B/6559769
19,肿瘤,肿瘤（tumour）是指机体在各种致瘤因子作用下，局部组织细胞增生所形成的新生物（neogrowth），因为这种新生物多呈占位性块状突起，也称赘生物（neoplasm）。研究发现，肿瘤细胞会出现不同于正常细胞的代谢变化，同时肿瘤细胞自身可通过糖酵解和氧化磷酸化（OXPHOS）之间的转换来适应代谢环境的改变。2019年，Cancer Cell最新刊登了一篇文章，研究人员发现在禁食状态下使用二甲双胍可以显著抑制肿瘤生长，并提出PP2A-GSK3β-MCL-1通路可能是肿瘤治疗的新靶点。,https://baike.baidu.com/item/%E8%82%BF%E7%98%A4/15525
27,示范,示范，读音为shì fàn，汉语词语，意思是做出榜样或典范,供人们学习；起示范作用；把事物摆出来或指出来使人知道。,https://baike.baidu.com/item/%E7%A4%BA%E8%8C%83/363731
