page_id,keyword,annotation,url
9,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
9,择优,择优，读音是zéyōu，汉语词语，解释为按照一定的准则进行决策的行为。,https://baike.baidu.com/item/%E6%8B%A9%E4%BC%98/492392
8,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
8,实验,实验，指的是科学研究的基本方法之一。根据科学研究的目的，尽可能地排除外界的影响，突出主要因素并利用一些专门的仪器设备，而人为地变革、控制或模拟研究对象，使某一些事物（或过程）发生或再现，从而去认识自然现象、自然性质、自然规律。,https://baike.baidu.com/item/%E5%AE%9E%E9%AA%8C/1051291
8,专项,特定的某个项目。例句：～训练。进行～检查。～资金。[1-2],https://baike.baidu.com/item/%E4%B8%93%E9%A1%B9/10927791
9,调整机制,,https://baike.baidu.com//item/%E8%B0%83%E6%95%B4%E6%9C%BA%E5%88%B6
7,临床,临床是指直接接触病人，对病人进行实际的观察。如内科学、外科学、妇产科学、儿科学等学科属于临床医学。 从医院内部分工来说，则分为临床、医技、行政、工勤等部门。临床科室是医院的主体，它直接担负着对病人的收治、诊断、治疗等任务；临床人员包括直接参与治疗、护理病人的医生、护士；医技科室即过去所说的“非临床”科室，它也有医生和护士，但是不直接参与对病人的治疗和护理，只是为临床诊断、治疗直接提供服务。,https://baike.baidu.com/item/%E4%B8%B4%E5%BA%8A/5507460
6,恶性肿瘤,,https://baike.baidu.com/item/%E6%81%B6%E6%80%A7%E8%82%BF%E7%98%A4%E7%99%8C/8788887
5,胰腺癌,胰腺癌是一种恶性程度很高，诊断和治疗都很困难的消化道恶性肿瘤，约90%为起源于腺管上皮的导管腺癌。其发病率和死亡率近年来明显上升。5年生存率<1%，是预后最差的恶性肿瘤之一。胰腺癌早期的确诊率不高，手术死亡率较高，而治愈率很低。本病发病率男性高于女性，男女之比为1.5～2:1，男性患者远较绝经前的妇女多见，绝经后妇女的发病率与男性相仿。,https://baike.baidu.com/item/%E8%83%B0%E8%85%BA%E7%99%8C/1001
6,溶瘤,是一类具有复制能力的肿瘤杀伤型病毒，世界上最早出现溶瘤病毒的报道，是由于当时发现一名子宫颈癌患者在感染狂犬病病毒后，肿瘤随之消退。,https://baike.baidu.com/item/%E6%BA%B6%E7%98%A4%E7%97%85%E6%AF%92/7321825
5,恶性肿瘤,,https://baike.baidu.com/item/%E6%81%B6%E6%80%A7%E8%82%BF%E7%98%A4%E7%99%8C/8788887
5,筛查,唐氏筛查是唐氏综合征产前筛选检查的简称，是一种特殊意义的检查方法。目的是通过化验孕妇的血液，检测母体血清中甲型胎儿蛋白、绒毛促性腺激素和游离雌三醇的浓度，并结合孕妇的年龄、体重、孕周等方面来判断胎儿患先天愚型、神经管缺陷的危险系数。唐氏综合征即21-三体综合征，又称先天愚型或Down综合征，是由染色体异常（多了一条21号染色体）而导致的疾病。60%的患儿在胎内就会流产，存活者有明显的智能落后、特殊面容、生长发育障碍和多发畸形。,https://baike.baidu.com/item/%E5%94%90%E6%B0%8F%E7%AD%9B%E6%9F%A5/272900
4,鼻咽癌,鼻咽癌是指发生于鼻咽腔顶部和侧壁的恶性肿瘤。是我国高发恶性肿瘤之一，发病率为耳鼻咽喉恶性肿瘤之首。常见临床症状为鼻塞、涕中带血、耳闷堵感、听力下降、复视及头痛等。鼻咽癌大多对放射治疗具有中度敏感性，放射治疗是鼻咽癌的首选治疗方法。但是对较高分化癌，病程较晚以及放疗后复发的病例，手术切除和化学药物治疗亦属于不可缺少的手段。,https://baike.baidu.com/item/%E9%BC%BB%E5%92%BD%E7%99%8C/1386890
4,人群,2.  [multitude]∶指平民、公众3.  [population]∶流行病学以特定的人群为研究对象,https://baike.baidu.com/item/%E4%BA%BA%E7%BE%A4/5482355
