page_id,keyword,annotation,url
1,科技,社会上习惯于把科学和技术连在一起，统称为科学技术，简称科技。实际二者既有密切联系，又有重要区别。科学解决理论问题，技术解决实际问题。科学要解决的问题，是发现自然界中确凿的事实与现象之间的关系，并建立理论把事实与现象联系起来；技术的任务则是把科学的成果应用到实际问题中去。科学主要是和未知的领域打交道，其进展，尤其是重大的突破，是难以预料的；技术是在相对成熟的领域内工作，可以做比较准确的规划。,https://baike.baidu.com/item/%E7%A7%91%E5%AD%A6%E6%8A%80%E6%9C%AF/3348043
1,韩跃,韩跃，晗月酒店集团创始人、首席品牌架构师。,https://baike.baidu.com/item/%E9%9F%A9%E8%B7%83/22482461
1,汤吉海,,https://baike.baidu.com//item/%E6%B1%A4%E5%90%89%E6%B5%B7
1,张一敏,张一敏，现任武汉科技大学学术委员会主任、武汉科技大学资源与环境工程学院院长，国家“863计划”资源环境领域主题专家组组长，武汉理工大学首席教授。研究方向为高效洁净矿物加工理论与工艺、湿法冶金、二次资源利用。2020年5月，获得第二届全国创新争先奖。,https://baike.baidu.com/item/%E5%BC%A0%E4%B8%80%E6%95%8F/57939
1,何发钰,《矿冶工程》创刊于1981年，是由长沙矿冶研究院有限责任公司主管，长沙矿冶研究院有限责任公司、中国金属学会主办的矿业核心期刊。据2018年5月23日《矿冶工程》编辑部官网显示，《矿冶工程》编辑委员会编委有49人。据2018年5月23日中国知网显示，《矿冶工程》共出版文献4794篇、总被下载613111  次、总被引31460次、（2017版）复合影响因子为0.927、（2017版）综合影响因子为0.788。据2018年5月23日万方数据知识服务平台显示，《矿冶工程》载文量为3544篇，被引量为20485次，下载量为61071次；影响因子为1.14。,https://baike.baidu.com/item/%E7%9F%BF%E5%86%B6%E5%B7%A5%E7%A8%8B/1457597
1,戴晓虎,戴晓虎，男，麦迪逊大学教授，同济大学环境科学与工程学院院长，城市污染控制国家工程研究中心主任。在德国生活工作23年，长期以来和德国高校、研究所联系密切。2010年全职回国工作。在环境工程、污染控制、固体废弃物资源化、节能减排等领域做出了诸多开创性成果。,https://baike.baidu.com/item/%E6%88%B4%E6%99%93%E8%99%8E/10711862
1,张邦胜,,https://baike.baidu.com//item/%E6%B1%9F%E8%8B%8F%E5%8C%97%E7%9F%BF%E9%87%91%E5%B1%9E%E5%BE%AA%E7%8E%AF%E5%88%A9%E7%94%A8%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8
1,资源化,资源化，是指将废物直接作为原料进行利用或者对废物进行再生利用。资源化是循环经济的重要内容。,https://baike.baidu.com/item/%E8%B5%84%E6%BA%90%E5%8C%96/1885036
1,李会泉,李会泉，男， 1970年12月生，汉族，辽宁省盘锦市人，工学博士，研究员，博士生导师，中共党员。1993年本科毕业于大连理工大学化学工程系，1999年获大连理工大学工学博士学位。1999－2001年在中科院过程工程研究所张懿院士课题组进行博士后研究工作，2001年留所工作至今。现任湿法冶金清洁生产技术国家工程实验室副主任，中科院过程工程研究所循环经济技术中心主任，清洁催化与循环经济关键技术课题组组长，中国可持续发展研究会理事，中国生态学会工业生态经济与技术委员会常务理事。,https://baike.baidu.com/item/%E6%9D%8E%E4%BC%9A%E6%B3%89/4452102
1,固废,固体废物是指在生产，生活和其他活动过程中产生的丧失原有的利用价值或者虽未丧失利用价值但被抛弃或者放弃的固体，半固体，和置于容器中的气态物品，物质以及法律，行政法规规定纳入废物管理的物品，物质。不能排入水体的液态废物和不能排入大气的置于容器中的气态物质。由于多具有较大的危害性，一般归入固体废物管理体系。,https://baike.baidu.com/item/%E5%9B%BA%E4%BD%93%E5%BA%9F%E7%89%A9/5746875
1,吴玉锋,,https://baike.baidu.com//item/%E5%90%B4%E7%8E%89%E9%94%8B/18528592
1,教授级,教授级高工，即教授级高级工程师。 高级工程师是中国专业技术职称工程类中的高级职称（职称改革后称为专业技术职务任职资格），也是工程师任职资格职称里的最高职称，而教授级高级工程师是高级工程师任职资格职称里的最高级别之一。,https://baike.baidu.com/item/%E6%95%99%E6%8E%88%E7%BA%A7%E9%AB%98%E7%BA%A7%E5%B7%A5%E7%A8%8B%E5%B8%88/6642240
1,高工,研究员级高工，即研究员级高级工程师。 高级工程师是中国专业技术职称工程类中的高级职称（职称改革后称为专业技术职务任职资格），也是工程师任职资格职称里的最高职称，而研究员级高级工程师、教授级高级工程师是高级工程师任职资格职称里的最高级别之一。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6%E5%91%98%E7%BA%A7%E9%AB%98%E5%B7%A5/6147680
1,研究员,根据中华人民共和国人事部职称管理评审制度规定，职称是对技术人员工作能力的表述，是由职称评定委员会评审的。研究员是自然科学研究或社会科学研究系列职称，属于正高级职称。研究员职称系列包括实习研究员（初级），助理研究员（中级），副研究员（副高），研究员（正高）。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6%E5%91%98/8703381
1,河洲,河洲镇位于祁东县东部，距县城46公里，毗邻归阳镇、鸟江镇、粮市镇，与常宁市、祁阳县隔河相望。总面积71.72平方千米（2017年），耕地24800亩，辖15个村3个居委会337个组，31012人（2017年）。河洲镇落排洲村，像镶嵌在湘江上的一颗明珠，其四面环水，风景优美，俨然如“世外桃源”、人间仙境，该岛保留了原始的渔民风土人情，落排洲自然而然成立诠释河洲“鱼”文化的不二之选。该洲也因河洲渔鼓、鱼灯、“一鱼十味”而出名。,https://baike.baidu.com/item/%E6%B2%B3%E6%B4%B2%E9%95%87/4831043
