page_id,keyword,annotation,url
21,实验,实验，指的是科学研究的基本方法之一。根据科学研究的目的，尽可能地排除外界的影响，突出主要因素并利用一些专门的仪器设备，而人为地变革、控制或模拟研究对象，使某一些事物（或过程）发生或再现，从而去认识自然现象、自然性质、自然规律。,https://baike.baidu.com/item/%E5%AE%9E%E9%AA%8C/1051291
20,专项,特定的某个项目。例句：～训练。进行～检查。～资金。[1-2],https://baike.baidu.com/item/%E4%B8%93%E9%A1%B9/10927791
18,无障碍,无障碍的英文相关词汇：barrier free、Accessibility、barrier-free design（无障碍设计）无障碍，在发展过程中没有阻碍，活动能够顺利进行。截至2020年5月21日，中国500多个县区以上人民政府完成了政务信息无障碍服务平台的建设，无障碍政务网站数量达到3万多个。,https://baike.baidu.com/item/%E6%97%A0%E9%9A%9C%E7%A2%8D/5827122
19,经费,经费是指行政事业单位为完成工作任务和事业计划所需经常费用的统称。这些单位一般不直接从事物质资料生产，没有独立、稳定的收入来源。或者虽有一部分收入，但大都不足以抵补本身的业务支出，需要国家预算拨付经费。经费按用途可分为人员经费和公用经费。或分为维持经费和发展经费。前者指维持原有行政事业单位机构及规模的人员经费和公用经费; 后者是指在计划年度内，经批准新增加的机构、人员或其他事业项目所需的经费。原单位增加少量人员，不增设机构和不扩大事业项目的，属于自然增长，不作为发展经费。,https://baike.baidu.com/item/%E7%BB%8F%E8%B4%B9/1705671
17,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
16,照护,照护，读音为zhào hù，是汉语词语，解释为照料护理。,https://baike.baidu.com/item/%E7%85%A7%E6%8A%A4/10069171
15,照护,照护，读音为zhào hù，是汉语词语，解释为照料护理。,https://baike.baidu.com/item/%E7%85%A7%E6%8A%A4/10069171
14,示范,示范，读音为shì fàn，汉语词语，意思是做出榜样或典范,供人们学习；起示范作用；把事物摆出来或指出来使人知道。,https://baike.baidu.com/item/%E7%A4%BA%E8%8C%83/363731
13,失能,失能，是指由于意外伤害或疾病导致身体或精神上的损伤，导致生活或社交能力的丧失。,https://baike.baidu.com/item/%E5%A4%B1%E8%83%BD/4155724
12,老年人,老年人，按照国际规定，65周岁以上的人确定为老年；我国《老年人权益保障法》第2条规定老年人的年龄起点标准是60周岁。即凡年满60周岁的中华人民共和国公民都属于老年人。随着社会老龄化的日益加重，中国的老年人越来越多，所占人口比例也越来越高，2010年我国老年人口（≥65岁）占总人口比重8.9%；2011年我国老年人口比重达9.1% ；2012年我国老年人口比重达9.4%。截至2014年底，我国80岁以上的老年人达2400多万，失能、半失能老人近4000万人。国家统计局2020年2月28日发布《中华人民共和国2019年国民经济和社会发展统计公报》显示，截至2019年底，60岁及以上人口已达25388万人，占总人口的18.1%。其中，65岁及以上人口达17603万，占总人口的12.6%。随着数量的不断增加，老年人面临着养老、医疗以及精神赡养等诸多社会问题，值得各界关注。,https://baike.baidu.com/item/%E8%80%81%E5%B9%B4%E4%BA%BA/8694277
8,血管,血管是指血液流过的一系列管道。除角膜、毛发、指（趾）甲、牙质及上皮等地方外，血管遍布人体全身。血管按构造功能不同，分为动脉血管、静脉血管和毛细血管三种。,https://baike.baidu.com/item/%E8%A1%80%E7%AE%A1/793821
7,假肢,假肢就是用工程技术的手段和方法，为弥补截肢者或肢体不完全缺损的肢体而专门设计和制作装配的人工假体，又称“义肢”。它的主要作用是代替失去肢体的部分功能，使截肢者恢复一定的生活自理和工作能力。其适用对象是因疾病、交通事故、工伤事故、运动创伤等原因的截肢者。,https://baike.baidu.com/item/%E5%81%87%E8%82%A2/10516353
6,辅具,针对人体病态辅助治疗达到康复的一种器具，简称为辅具。辅具最早由德国器具研究中心研发，得到足部患者的青睐，为患者解决了行走问题和避免手术留下了后遗症。,https://baike.baidu.com/item/%E8%BE%85%E5%85%B7/6547950
5,二便,二便，拼音是èr biàn，是一个汉语词汇，释义为大便、小便。,https://baike.baidu.com/item/二便

10,老年,◎老年lǎonián(1) [old age]∶正常生命历程的最后阶段(2) [yellow leaf]∶生命的晚年例：八十三岁，步入老年了(3) [feel one's age;get on in years]∶表示人们接近晚年的时期(4) 过去、以前例：在老年间，据说还有赛骆驼的。（老舍《北京的春节》）,https://baike.baidu.com/item/%E8%80%81%E5%B9%B4/658030
4,轮椅,轮椅是装有轮子可以帮助替代行走的椅子，分为电动和手动折叠轮椅。用于伤员、病员、残疾人居家康复、周转运输、就诊、外出活动的重要移动工具，轮椅它不仅满足肢体伤残者和行动不便人士的代步，更重要的是方便家属移动和照顾病员，使病员借助于轮椅进行身体锻炼和参与社会活动。普通轮椅一般由可折叠框架、前后车轮、左右护膝和脚踏板、左右可拆卸扶手、把手刹车装置、座椅、靠背有医学影像资料袋、便盆，接尿袋挂钩、电动站立等部分组成。手摇轮椅在普通轮椅基础上，增加手摇装置。电动轮椅在普通轮椅基础上，增加电子助力系统，减轻了使用者的体力消耗。智能轮椅在电动轮椅的基础上，增加了定位移动、站立移动、遥控移动以及相关互联网+辅助生活。,https://baike.baidu.com/item/%E8%BD%AE%E6%A4%85/9560497
3,智能,智能，是智慧和能力的总称，中国古代思想家一般把智与能看做是两个相对独立的概念。也有不少思想家把二者结合起来作为一个整体看待。,https://baike.baidu.com/item/%E6%99%BA%E8%83%BD/66637
