page_id,keyword,annotation,url
30,任务书,任务书，即原威客网。网站于2012年正式更名为任务书。威客是一个通过互联网解决科学、技术、生活、学习问题的交流平台；威客们通过任务书把自己的智慧、知识、能力、经验转换成实际收益。任务书是国内威客网站的代表之一，分布在世界各地的威客通过任务书将自己的知识、智慧、创意等转化为真金白银。威客们主要为各种机构、企业组织、社会团体以及个人提供在线创意工作服务。“任务书”网站客户服务项目负责人表示,威客年龄一般在18-35岁之间,以80后居多,主要群体为在校大学生和在职人员,工作方式多为兼职。任务书拥有会员190万多人，已发布3万多个任务，悬赏总额达1131万多元。,https://baike.baidu.com/item/%E4%BB%BB%E5%8A%A1%E4%B9%A6/1186522
29,可靠性,元件、产品、系统在一定时间内、在一定条件下无故障地执行指定功能的能力或可能性。可通过可靠度、失效率、平均无故障间隔等来评价产品的可靠性。,https://baike.baidu.com/item/%E4%BA%A7%E5%93%81%E5%8F%AF%E9%9D%A0%E6%80%A7/6511333
24,职称,职称（Professional Title）最初源于职务名称，理论上职称是指专业技术人员的专业技术水平、能力，以及成就的等级称号，是反映专业技术人员的技术水平、工作能力的标志。随着社会发展的需要，逐步产生了对专业技术人员的水平评价与聘任岗位相分离的需要，即“评聘分离”，职称的概念也相应发生了变化。聘任的岗位称之为“专业技术职务”，简称职务；而专业技术人员的水平则以“专业技术职务任职资格”来标识，简称职称。,https://baike.baidu.com/item/%E8%81%8C%E7%A7%B0/1035081
23,授权代表,指授权委托他人代理某项事务的人，亦即委托人。,https://baike.baidu.com/item/%E6%8E%88%E6%9D%83%E5%A7%94%E6%89%98%E4%BA%BA/10043668
21,单位,单位，指机关、团体或属于一个机关、团体的各个部门；指数学方面或物理方面计量事物的标准量的名称。一般有：米（m）、千米（km）、牛（顿） N、帕（斯卡）Pa等单位；在佛教传统意义上讲单位，特指长度、质量、时间等的定量单位，也有专门的术语如：刹那、一瞬、弹指、须臾等。准确的说，单位就是将一定数量物质的集合规定为“1” ，成为一个单位。从广义上讲：单位是一个相对概念，其为事物坐标系中的坐标轴中能构成个体的抽象概念。事物的最小单位为零。,https://baike.baidu.com/item/%E5%8D%95%E4%BD%8D/32292
20,成果,成果意为成全，成立。是收获到的果实，常用于指工作或事业方面的成就。也可指指学习、工作、劳动上的成效和成绩。,https://baike.baidu.com/item/%E6%88%90%E6%9E%9C/3820163
27,第三方,第三方：指两个相互联系的主体之外的某个客体，叫作第三方。第三方可以是和两个主体有联系，    也可以是独立于两个主体之外的内容。,https://baike.baidu.com/item/%E7%AC%AC%E4%B8%89%E6%96%B9/9047017
28,成果,成果意为成全，成立。是收获到的果实，常用于指工作或事业方面的成就。也可指指学习、工作、劳动上的成效和成绩。,https://baike.baidu.com/item/%E6%88%90%E6%9E%9C/3820163
18,甲方,甲方 (first party) 一般是指提出目标的一方，在合同拟订过程中主要是提出要实现什么目标，是合同的主导方。甲方是合同中双方平等主体的代称，也是为了方便在下文表述时使用简称。甲方一般是出资方或投资方，也就是经营的主体，处于主导地位，以出资方作为市场的主体或称主导市场为甲方市场。,https://baike.baidu.com/item/%E7%94%B2%E6%96%B9/10575965
22,协议,协议，网络协议的简称，网络协议是通信计算机双方必须共同遵从的一组约定。如怎么样建立连接、怎么样互相识别等。只有遵守这个约定，计算机之间才能相互通信交流。它的三要素是：语法、语义、时序。为了使数据在网络上从源到达目的，网络通信的参与方必须遵循相同的规则，这套规则称为协议（protocol），它最终体现为在网络上传输的数据包的格式。协议往往分成几个层次进行定义，分层定义是为了使某一层协议的改变不影响其他层次的协议。,https://baike.baidu.com/item/%E5%8D%8F%E8%AE%AE/13020269
25,仪器,仪器，指科学技术上用于实验、计量、观测、检验、绘图等的器具或装置。通常是为某一特定用途所准备的一套装置或机器。仪器通常用于科学研究或技术测量、工业自动化过程控制、生产等用途，一般来说专用于一个目的的设备或装置。仪器构造较为复杂，属于高新技术产品，由多个部件组成的。仪器体积、重量、形状有各种各样，最小的可以直接拿在手中操作，较大体积的仪器一般被称为装置或设备。,https://baike.baidu.com/item/%E4%BB%AA%E5%99%A8/1025692
17,经费,经费是指行政事业单位为完成工作任务和事业计划所需经常费用的统称。这些单位一般不直接从事物质资料生产，没有独立、稳定的收入来源。或者虽有一部分收入，但大都不足以抵补本身的业务支出，需要国家预算拨付经费。经费按用途可分为人员经费和公用经费。或分为维持经费和发展经费。前者指维持原有行政事业单位机构及规模的人员经费和公用经费; 后者是指在计划年度内，经批准新增加的机构、人员或其他事业项目所需的经费。原单位增加少量人员，不增设机构和不扩大事业项目的，属于自然增长，不作为发展经费。,https://baike.baidu.com/item/%E7%BB%8F%E8%B4%B9/1705671
26,成果,成果意为成全，成立。是收获到的果实，常用于指工作或事业方面的成就。也可指指学习、工作、劳动上的成效和成绩。,https://baike.baidu.com/item/%E6%88%90%E6%9E%9C/3820163
16,课题,所谓课题，指要研究、解决的问题，所以课题背景就是指该问题是在什么情况或条件下产生的，课题研究有什么意义，等等。课题包括：市级课题、省级课题、国家级课题等。,https://baike.baidu.com/item/%E8%AF%BE%E9%A2%98/2434814
