page_id,keyword,annotation,url
10,实验,实验，指的是科学研究的基本方法之一。根据科学研究的目的，尽可能地排除外界的影响，突出主要因素并利用一些专门的仪器设备，而人为地变革、控制或模拟研究对象，使某一些事物（或过程）发生或再现，从而去认识自然现象、自然性质、自然规律。,https://baike.baidu.com/item/%E5%AE%9E%E9%AA%8C/1051291
11,择优,择优，读音是zéyōu，汉语词语，解释为按照一定的准则进行决策的行为。,https://baike.baidu.com/item/%E6%8B%A9%E4%BC%98/492392
10,专项,特定的某个项目。例句：～训练。进行～检查。～资金。[1-2],https://baike.baidu.com/item/%E4%B8%93%E9%A1%B9/10927791
9,睾丸,睾丸是男性生殖器官，也叫精巢，具体结构包括生精小管以及周围的结缔组织。睾丸位于阴囊中，左右各有一个，一般左侧睾丸略低于右侧。睾丸在胎儿期经历了逐步发育成型与体位下降的过程，若出生后未能完全下降至阴囊而是停留在了腹膜腔、腹股沟处，则称为隐睾，可造成不育。新生儿的睾丸相对较大；青春期前的睾丸发育缓慢，而后迅速发育直至成熟；成人的睾丸约重10～15g；老年人的睾丸则会萎缩变小。睾丸的主要功能是产生精子和分泌雄激素。睾丸可能会发生睾丸炎、睾丸肿瘤、睾丸扭转等病变，一些年龄较小的孩子可能会有隐睾症。在日常生活中要注意睾丸的保健，如果感到不适要及时就医。在文化上，睾丸与“宦官”、“阉人”、“太监”、“阉伶歌手”等有所关联。特别需要注意的是，睾丸等器官的科学名称、功能和保健，是全面性教育中的重要内容之一，学习者应当了解。,https://baike.baidu.com/item/%E7%9D%BE%E4%B8%B8/613012
7,孕前,主要是对各项生理进行检验，包括血常规、尿常规、血压、体重、肝功、肾功、心电图等。不仅可以对现在的身体状况作一评价，而且将来孕期某项指标发生变化时，孕前的生理指标可以作为进行比对的基准，以便对孕期疾病状况进行纵向评估。,https://baike.baidu.com/item/%E5%AD%95%E5%89%8D%E5%87%86%E5%A4%87/9217413
7,POCT,POCT，即时检验（point-of-care testing），指在病人旁边进行的临床检测及床边检测（bedside testing），通常不一定是临床检验师来进行。是在采样现场即刻进行分析，省去标本在实验室检验时的复杂处理程序，快速得到检验结果的一类新方法。现场快速检验（point-of-care testing, POCT）由中国医学装备协会POCT装备技术专业委员会在多次专家论证基础上统一命名，并将其定义为：在采样现场进行的、利用便携式分析仪器及配套试剂快速得到检测结果的一种检测方式。POCT含义可从两方面进行理解：空间上，在患者身边进行的检验，即“床旁检验”；时间上，可进行“即时检验”。,https://baike.baidu.com/item/POCT/2130045
6,新生儿,新生儿，就是指的是胎儿娩出母体并自脐带结扎起，至出生后满28天这一段时间的婴儿。宝宝出生后， 应尽早进行哺乳，这样可以促进母亲乳汁分泌。新生儿健康应具有十个方面的标准，自主呼吸必备条件，需要注意初次呼吸注意的事项以及体检、常见病等。2019年5月15日，美国疾病控制和预防中心发布数据称，2018年美国有约378.8万名婴儿诞生，同比下降2%，连续4年下跌。,https://baike.baidu.com/item/%E6%96%B0%E7%94%9F%E5%84%BF/83388
8,干细胞,简单来讲， 干细胞是一类具有无限的或者永生的自我更新能力的细胞、能够产生至少一种类型的、高度分化的子代细胞。多年来对干细胞的定义不断进行修正，并从不同的层面上来进行定义。目前大多数生物学家和医学家认为干细胞是来自于胚胎、胎儿或成人体内具有在一定条件下无限制自我更新与增殖分化能力的一类细胞，能够产生表现型与基因型和自己完全相同的子细胞，也能产生组成机体组织、器官的已特化的细胞，同时还能分化为祖细胞。,https://baike.baidu.com/item/%E5%B9%B2%E7%BB%86%E8%83%9E/301672
4,着床,着床是胎生哺乳类动物的胚泡和母体子宫壁结合，从而建立母子间结构上的联系以实现物质交换的过程。着床后的胚胎摄取母体血液营养继续发育。着床是母子双方有准备，相互配合的结合过程。女子在育龄期，卵巢每月排出一个成熟的卵子，排卵日期在下次月经来潮前14天左右。卵子从卵巢排出后立即被输卵管伞部吸到输卵管内，并在输卵管壶腹部以等待精子的到来。,https://baike.baidu.com/item/%E7%9D%80%E5%BA%8A/94239
6,筛查,唐氏筛查是唐氏综合征产前筛选检查的简称，是一种特殊意义的检查方法。目的是通过化验孕妇的血液，检测母体血清中甲型胎儿蛋白、绒毛促性腺激素和游离雌三醇的浓度，并结合孕妇的年龄、体重、孕周等方面来判断胎儿患先天愚型、神经管缺陷的危险系数。唐氏综合征即21-三体综合征，又称先天愚型或Down综合征，是由染色体异常（多了一条21号染色体）而导致的疾病。60%的患儿在胎内就会流产，存活者有明显的智能落后、特殊面容、生长发育障碍和多发畸形。,https://baike.baidu.com/item/%E5%94%90%E6%B0%8F%E7%AD%9B%E6%9F%A5/272900
5,卵母细胞,卵母细胞(oocyte)：在卵子发生过程中进行减数分裂的卵原细胞。分为初级卵母细胞、次级卵母细胞和成熟的卵母细胞，它们分别是卵原细胞分化和DNA复制分裂后产生、第一次减数分裂和第二次减数分裂的产物。,https://baike.baidu.com/item/%E5%8D%B5%E6%AF%8D%E7%BB%86%E8%83%9E/216673
5,妊娠,妊娠是胚胎和胎儿在母体内生长发育的过程。成熟卵子受精是妊娠的开始，胎儿及其附属物自母体排出是妊娠的终止。妊娠是非常复杂而变化极为协调的生理过程。,https://baike.baidu.com/item/%E5%A6%8A%E5%A8%A0/65942
