关键词,微博内容,微博地址
细胞,【大爱！#19岁医学生成功捐造血干细胞#】近日，南华大学衡阳医学院19岁女孩严露成功捐献造血干细胞，成为湖南衡阳市年龄最小捐献者，用于拯救一名患者的生命。为了捐献，她独自一人来到长沙，没有让父母陪同。“付出一点点小代价就能救人一命，挽救一个家庭，十分值得！”L大米Video的微博视频,https://weibo.com/2803301701/JqbLOzxnm?refer_flag=1001030103_
细胞,【“在黑夜中抱紧你”：#一对重症夫妻在武汉生死相依#】今年一月，黄冲癌细胞转移，正要住院时，武汉疫情暴发，他只能在家靠止痛药度日。妻子杜进是尿毒症患者，隔一两天就要去医院透析，她担心自己被感染，无法透析，也无法照顾丈夫。导演范俭把他们的故事拍进了纪录片《被遗忘的春天》。两人相依着熬过了那段艰难时光，却没能熬过秋天。9月9日，黄冲去世。杜进在朋友圈写：“2020年九月九号晚上18点26分16秒，永失我爱，愿天堂再也没有病痛，黄冲，我爱你。”黄冲走后，长夜漫漫，生死茫茫，她再也找不到那个可以在平庸的生活中拥抱的人了。O“在黑夜中抱紧你”：一对重症夫妻在武汉生死相依 L澎湃新闻的微博视频 收起全文d,https://weibo.com/5044281310/Jrfk4koaH?refer_flag=1001030103_
细胞,#迪丽热巴 人美歌甜小公主# 10月30日晚，“江苏卫视一千零一夜”晚会在南京举办。迪丽热巴头戴皇冠，身穿深V礼服从天而降，演绎《一千零一个愿望》，仙气十足，出场方式超炫酷，女神唱起甜歌来让人浑身细胞被叫醒。现场，岳云鹏笑称女神热巴是自己的好兄弟，引全场爆笑。,https://weibo.com/1843633441/JrCTLonHr?refer_flag=1001030103_
细胞,☀️你们记住，不要再吃活的东西，少吃荤腥。我已经跟你们讲了多少遍，科学家都化验出来人的身体是碱性体质的，不会生癌症。☀️查出来所有生癌症、肿瘤的全部都是酸性体质，酸性体质的人全部是吃荤的。️长期吃素的人，他的身体是碱性体质，至少不容易让癌细胞在身上激活。,https://weibo.com/3392795674/JrN3ogfuv?refer_flag=1001030103_
细胞,这也太好笑了哈哈哈哈哈哈！！“他们说在星空下，再没有浪漫细胞的人也能感受到恋爱的气氛……”“可是晚上就看不清画板了啊……”因为实际上，真正没有浪漫细胞的木头人根本不会出现在星空下哈哈哈哈哈哈哈哈哈哈哈哈哈！！！！,https://weibo.com/2849382283/JrN330XpQ?refer_flag=1001030103_
细胞,我真的不能再神通广大了求求了你他妈个逼滚回你妈子宫重新细胞分裂下看看到底有没有脑组织吧,https://weibo.com/5384190199/JrN2X5fsZ?refer_flag=1001030103_
细胞,为什么不去参与双十一，因为要算，伤脑细胞，不如留着明天下午数学周考,https://weibo.com/5151200859/JrN2tznj9?refer_flag=1001030103_
细胞,脑细胞都要死光了 2泰州,https://weibo.com/2631046853/JrN1Dz04i?refer_flag=1001030103_
细胞,周洁琼救命额 以前只是路好 今天偶然遇到 完全被plmm惊艳到了！！她被小小吓到的时候 我全身细胞都在咆哮着：妈妈 我恋爱了！！,https://weibo.com/6217283454/JrMFhD4CQ?refer_flag=1001030103_
细胞,#小众宝藏旅行地#我是一个没有艺术细胞的人😍 O绿洲,https://weibo.com/1635071640/JrN1h3mgs?refer_flag=1001030103_
