关键词,微博内容,微博地址
白质,脑积水对神经组织结构的损害：脑积水形成后，脑脊液循环通路受阻而引起脑组织继发性改变，表现为脑室系统由于脑脊液的积聚而扩张，随着脑室璧受牵拉，室管膜逐渐消失，脑室周围呈星型细胞化或胶质疤痕形成。脑室进一步扩大，可使脑脊液进入室周组织而引起白质水肿。这时即使进行脑脊液分流术，使脑室恢复到正常大小，脑组织在组织学上的改变已经不能恢复。当脑脊液存量增加时，脑组织的弹性减少，若脑积水进一步发展，大脑皮层受压而变薄，则可继发脑萎缩。第三脑室的扩张可使下丘脑受压而萎缩，中脑受压可使眼球垂直运动发生障碍，出现临床所见的落日征。 收起全文d,https://weibo.com/6351634641/Jod3AA3mb?refer_flag=1001030103_
白质,#科普一下#脊髓要保护好它。人和脊椎动物中枢神经系统的一部分，在椎管里面，上端连接延髓，两旁发出成对的神经，分布到四肢、体壁和内脏。脊髓的内部有一个H形(蝴蝶型)灰质区，主要由神经细胞构成;在灰质区周围为白质区，主要由有髓神经纤维组成。脊髓是许多简单反射的中枢。 L人体奥秘学的微博视频,https://weibo.com/6041830479/JipIJfVnF?refer_flag=1001030103_
白质,朱守诚墓这件紫檀大理石笔屏是名品，设计颇具巧思，以窗前的书桌为主题，大理石白质黑文，纹理似“窗”外的山峦；书桌为束腰式，是真实书桌的微缩版。窗前书桌上放置这件笔屏，“窗前书桌”情境以不同尺度两次出现，一大一小，一实一虚，景象的维度有了无限推进延伸的可能。身未动，心已远。,https://weibo.com/1899017224/JhK4FkYG5?refer_flag=1001030103_
白质,-患者男性，80岁。有慢性支气管炎病史20年。一周前受凉后再次出现咳嗽、咳痰，痰白质黏，伴有呼吸困难、胸闷、乏力。以“慢性支气管炎合并慢性阻塞性肺气肿”入院治疗。护士护理考研 该患者适合的体位？,https://weibo.com/3311667201/JrMDyrKlJ?refer_flag=1001030103_
白质,一不小心发现这一周居然吃了两顿火锅两顿烤肉两份炸鸡安慰自己都是🥚白质好了,https://weibo.com/5627436607/JrMeuEiaq?refer_flag=1001030103_
白质,#11月1日#稀有驼绒立体褶裥复古伞摆半身裙（编号G0677）选用天然dan白质纤维骆驼绒，厚实轻滑，特别保暖，廓形柔和流畅，中长款的伞摆前片做三处阴褶，摆量超大有种赫本风的感觉，裙摆腰幅拼缝设计形成收腰效果，可以扬长避短含蓄优雅。搭配的高领打底（编号 M7057）,https://weibo.com/1498806942/JrHFzoWfa?refer_flag=1001030103_
白质,善于说谎者大脑长得怪心理学家、美国南加利福尼亚大学的艾德里安·莱恩说，“有些人的大脑结构使他们比常人更善于说谎，这些人更长于进行与说谎有关的推敲和算计。”莱恩发现，惯于说谎者的大脑前额皮层拥有更丰富的白质。白质是一种白色的神经组织，说谎的时候，这些组织非常活跃，而惯于说谎者大脑中的另一种物质——灰质却相对较少。过多的白质和较少的灰质，使一些人成为出色的说谎者。这是科学家第一次发现惯于说谎者和普通人之间存在着生物学上的不同。 收起全文d,https://weibo.com/1210543504/JrAnJgrCb?refer_flag=1001030103_
白质,我能理解说别人不好看的人，因为审美是很主观的事（杨洋除外，杨洋的好看是客观的），但我实在理解不了造谣别人身高的人，我不知道他们是脑子里缺少大脑白质还是脑子表面没有回路。尤其是迪丽热巴粉丝，故意挑个角度利用视觉效果造谣杨洋身高，同一个场景，看看路人的客观角度。PS:迪丽热巴精修图都挡不住的衰老憔悴，少动点歪心思吧，善良的人才能青春常在一直好看，杨洋就是最好的证明。迪丽热巴和她粉丝这种放自己的精修图顺便精挑细选一个角度造谣污蔑下男同事身高的行为，注定会报应到自己脸上哦 收起全文d,https://weibo.com/5385328567/Jruwclwmy?refer_flag=1001030103_
白质,肠道细菌+大豆：可降低痴呆风险产生马酚(某种肠道细菌产生的膳食大豆代谢物)的日本老年男性和女性，脑部白质病变的水平较低。这个结论来自最近一项针对日本老年人的横断面研究报告，研究发现生产马酚的人比不生产的人有更高的认知得分和更低的轻度认知障碍患病率。#医学科普#,https://weibo.com/1781866371/JrnGjfzr0?refer_flag=1001030103_
白质,#早产儿# 脑室周围白质软化会不会脑瘫？ L黄正华治疗师的微博视频,https://weibo.com/1282590633/JrhijaBHJ?refer_flag=1001030103_
