关键词,微博内容,微博地址
计算,这次面试造价工程师经历都可以当段子说了面试之后叫我去试工四小时，ok去了一上来给我两张图纸，叫我把边上列的内容拿比例尺做个测算，如果数据得出来稳准快那就估计会要我了。说完经理给了我一堆白纸说随便用，然后还很贴心给我倒了一杯咖啡一颗巧克力。我一看啥意思，纸给一堆，计算器倒不给一个，还给我杯咖啡和巧克力，意思是要我硬手算咯？可能是要测我数学能力？不是吧，做boq不都Excel要我数学能力干嘛？我完全挠头，办公室大家都忙飞起，咱也不好意思多bb，咱也不敢问，时间不等人，坚强的我开始了长达两个小时的测算。算完了，我交给经理看，对了一下数据，她说蛮好的你的数据大概是几个试工的人里最接近的，我如释重负，拿算得爆炸的一叠草稿纸扇了扇憋热的脸。经理看到之后，好奇问了一句：咦，你纸上写了这么多是啥呀～我：计算的草稿啊～经理：啥意思？我：草稿哇，不然我怎么算面积啥的呀？经理惨叫：卧槽！我没给你拿计算器吗？！我：啊……？！办公室的其他几位同事：卧槽！什么！手算的？经理：请问是如何做到的？我：因为！爱慕拆尼斯！！！！！（数学很拉胯的那类拆尼斯！）同事们惊了，流泪鼓掌了十秒钟，他们大概开始相信什么中国小孩不好好读书就会被爹妈用功夫暴揍那类的事了…经理当时翻了翻草稿，彻底沉默了，我心里想md完犊子，当时怎么不问一声，感觉自己跟弱智似的。两天后的今天，收到电话，要我去上班了…… 收起全文d,https://weibo.com/1874772844/JrDZrmuMF?refer_flag=1001030103_
计算,片场中的@UNIQ-王一博，似乎也为这抹绿色沉迷？思考、计算、摸索，正确答案已经摆在面前：施华洛世奇“跳动的心”融入王一博最爱的“绿色”与生日“85”，耀眼的光芒流转跳跃，让王一博也心跳加速的秘密，你发现了吗？#博动心跳，追梦前行#,https://weibo.com/1273610165/JrzRgFBtN?refer_flag=1001030103_
计算,刚刚，深圳上空出现大型二维码，现场网友竟真扫出内容来！据悉此二维码由千台无人机组成，方阵组合的过程中，需要非常精确的计算控制才可实现扫码成功。这次金融科技大秀，由中信银行 @中信银行信用卡 和华为联合推出#手机里的信用卡Huawei Card#，金融黑科技的秘密就藏在二维码中，解锁更多现场内容，戳↓↓ O网页链接 L凤凰网的微博视频 收起全文d,https://weibo.com/2615417307/JrDWy32kK?refer_flag=1001030103_
计算,想对双十一打折的商家说：简单点，打折的方式简单点，复杂的满减请省略，库存小样送不完，别设计那些情节。没意见，我只想看看你怎么减，你打的折太表面，根本不想要我付款，敷衍都能被发现。该配合你满减的我等零点付款，在逼一个明天上班的人熬夜计算，什么时候开始你们收起了底线，顺应时间的改变设那些讨厌的尾款。可你曾经明明说好可以直接砍一半，我该秃成什么样子才能清楚计算，原来当我付完定金后的这些那些才是考验。 收起全文d,https://weibo.com/1691993524/JrN8zpXoj?refer_flag=1001030103_
计算,我已经困的不行了，各种0点抢购好累啊，不想计算，不想凑单，简简单单不好吗，再这样，希望明年我可以卸载,https://weibo.com/3259494692/JrN8uoyAy?refer_flag=1001030103_
计算,xyx学习得太认真了计算器自动关机了两次我又重新打了两次他没有发现我动的手脚,https://weibo.com/5979712665/JrN8nmpbX?refer_flag=1001030103_
计算,在学校时口算比他们按计算器快，然后一个小组干脆所有计算都让我一个人来的情况也出现过……毕竟欧美非理工专业的数学真的没法和拆尼斯比//@_青柠乌龙茶_://@吉士炒双蛋L:哈哈哈哈哈哈//@鲲望扶摇者:太强了哈哈哈哈拆尼斯数学就是最强的嗷嘎嘎嘎,https://weibo.com/2447087684/JrN8iiQLr?refer_flag=1001030103_
计算,考虑移动计算性能满血，想买机械革命code01，但是品质还是犹豫y9000x🙃，光今年买了三台笔记本，没有一个趁手的，性能不是一切，但是计算需求来了的话，使用体验啥的都是虚幻。平时办公的话，恐怕也就屏幕，键盘，重量三个因素最关键。 2北京·回龙观体育文化公园,https://weibo.com/2366826842/JrN8gxreQ?refer_flag=1001030103_
计算,在200-25 与300-40之间选择的时候如果计算正确的话-25的每份满减0.125-40每份0.133毅然决然选择600分三次买一共可扣减75):果然我财务管理不会让人赚一分钱,https://weibo.com/5688233339/JrN8fkofJ?refer_flag=1001030103_
计算,敷着面膜熬夜着拼着双十一，一手手机一手笔，一边做着笔记一边按着计算器这么多年双十一，这是我最具有形式感的一次，也是我最拼的一次人，真的是太搞笑了，可能就我比较搞笑吧,https://weibo.com/1891745342/JrN8f3Ty1?refer_flag=1001030103_
