page_id,keyword,annotation,url
2,Research,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
2,NSFC,国务院于1986年2月14日批准成立国家自然科学基金委员会，自然科学基金委根据国家发展科学技术的方针、政策和规划，有效运用国家自然科学基金，支持基础研究，坚持自由探索，发挥导向作用，发现和培养科学技术人才，促进科学技术进步和经济社会协调发展，逐渐形成和发展了由研究项目、人才项目和环境条件项目三大系列资助格局。坚持以创新能力建设为主线，以培养和造就大批创新人才为核心，以创新环境建设为重点，以机制和体制创新为保障，不断提高国家自主创新能力，建设创新型国家。2019年9月6日电 经党中央批准，十九届中央第四轮巡视将对国家自然科学基金委员会开展常规巡视。,https://baike.baidu.com/item/%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%9B%BD%E5%AE%B6%E8%87%AA%E7%84%B6%E7%A7%91%E5%AD%A6%E5%9F%BA%E9%87%91%E5%A7%94%E5%91%98%E4%BC%9A/10993127
2,Cooperation,,https://baike.baidu.com//item/cooperation
2,Scientific,,https://baike.baidu.com//item/scientific
2,Tel,Tel，是英文“telephone”的简写，意思为电话机，打电话。,https://baike.baidu.com/item/Tel/6072086
2,Fax,FAX即传真，一种传输静态图像的通信手段，是指把纸上的文字、图表、相片等静止的图像变换成电信号，经传输路线传输到接收方的通信方式。传真机是用来实现传真通信的终端设备，是完成传真通信的工具。,https://baike.baidu.com/item/fax/4776686
2,NRF,nRF24L01是由NORDIC生产的工作在2.4GHz~2.5GHz的ISM 频段的单片无线收发器芯片。无线收发器包括：频率发生器、增强型“SchockBurst”模式控制器、功率放大器、晶体振荡器、调制器和解调器。,https://baike.baidu.com/item/nrf24l01/9520498
1,单位,单位，指机关、团体或属于一个机关、团体的各个部门；指数学方面或物理方面计量事物的标准量的名称。一般有：米（m）、千米（km）、牛（顿） N、帕（斯卡）Pa等单位；在佛教传统意义上讲单位，特指长度、质量、时间等的定量单位，也有专门的术语如：刹那、一瞬、弹指、须臾等。准确的说，单位就是将一定数量物质的集合规定为“1” ，成为一个单位。从广义上讲：单位是一个相对概念，其为事物坐标系中的坐标轴中能构成个体的抽象概念。事物的最小单位为零。,https://baike.baidu.com/item/%E5%8D%95%E4%BD%8D/32292
2,Proposal,proposal是一个英语单词，名词，作名词时意思是“提议，建议；求婚”。,https://baike.baidu.com/item/proposal/6849215
1,韩方,韩方，男，汉族，1964年10月出生，江苏射阳人，大学学历，1986年6月加入中国共产党，1987年8月参加工作。曾任中国共产党高邮市委员会书记(中共高邮市委书记)。现任南通市委常委、南通市纪委书记、南通市监察委员会主任。,https://baike.baidu.com/item/%E9%9F%A9%E6%96%B9/498776
