page_id,keyword,annotation,url
8,模型,通过主观意识借助实体或者虚拟表现构成客观阐述形态结构的一种表达目的的物件（物件并不等于物体，不局限于实体与虚拟、不限于平面与立体）。模型≠商品。任何物件定义为商品之前的研发过程中形态均为模型，当定义型号、规格并匹配相应价格的时候，模型将会以商品形式呈现出来。从广义上讲：如果一件事物能随着另一件事物的改变而改变，那么此事物就是另一件事物的模型。模型的作用就是表达不同概念的性质，一个概念可以使很多模型发生不同程度的改变，但只要很少模型就能表达出一个概念的性质，所以一个概念可以通过参考不同的模型从而改变性质的表达形式。当模型与事物发生联系时会产生一个具有性质的框架，此性质决定模型怎样随事物变化,https://baike.baidu.com/item/%E6%A8%A1%E5%9E%8B/1741186
8,检察业务,检察事务是河南检察职业学院的一个专业，属于法学专业。河南检察职业学院是专门培养法学专业检察事务方向的人才的一所大学，还为检察院在职人员提供培训和再教育。,https://baike.baidu.com/item/%E6%A3%80%E5%AF%9F%E4%BA%8B%E5%8A%A1/9795507
8,构建,构建，汉语词汇。注音：gòu jiàn，建立（多用于抽象事物）：～新的学科体系。,https://baike.baidu.com/item/%E6%9E%84%E5%BB%BA/8601024
7,模型,通过主观意识借助实体或者虚拟表现构成客观阐述形态结构的一种表达目的的物件（物件并不等于物体，不局限于实体与虚拟、不限于平面与立体）。模型≠商品。任何物件定义为商品之前的研发过程中形态均为模型，当定义型号、规格并匹配相应价格的时候，模型将会以商品形式呈现出来。从广义上讲：如果一件事物能随着另一件事物的改变而改变，那么此事物就是另一件事物的模型。模型的作用就是表达不同概念的性质，一个概念可以使很多模型发生不同程度的改变，但只要很少模型就能表达出一个概念的性质，所以一个概念可以通过参考不同的模型从而改变性质的表达形式。当模型与事物发生联系时会产生一个具有性质的框架，此性质决定模型怎样随事物变化,https://baike.baidu.com/item/%E6%A8%A1%E5%9E%8B/1741186
7,检察业务,检察事务是河南检察职业学院的一个专业，属于法学专业。河南检察职业学院是专门培养法学专业检察事务方向的人才的一所大学，还为检察院在职人员提供培训和再教育。,https://baike.baidu.com/item/%E6%A3%80%E5%AF%9F%E4%BA%8B%E5%8A%A1/9795507
6,模型,通过主观意识借助实体或者虚拟表现构成客观阐述形态结构的一种表达目的的物件（物件并不等于物体，不局限于实体与虚拟、不限于平面与立体）。模型≠商品。任何物件定义为商品之前的研发过程中形态均为模型，当定义型号、规格并匹配相应价格的时候，模型将会以商品形式呈现出来。从广义上讲：如果一件事物能随着另一件事物的改变而改变，那么此事物就是另一件事物的模型。模型的作用就是表达不同概念的性质，一个概念可以使很多模型发生不同程度的改变，但只要很少模型就能表达出一个概念的性质，所以一个概念可以通过参考不同的模型从而改变性质的表达形式。当模型与事物发生联系时会产生一个具有性质的框架，此性质决定模型怎样随事物变化,https://baike.baidu.com/item/%E6%A8%A1%E5%9E%8B/1741186
7,构建,构建，汉语词汇。注音：gòu jiàn，建立（多用于抽象事物）：～新的学科体系。,https://baike.baidu.com/item/%E6%9E%84%E5%BB%BA/8601024
6,侦查,侦查，是指在刑事诉讼过程中，侦查机关为查明案情，收集犯罪证据材料，证实和抓获犯罪嫌疑人，追究犯罪嫌疑人刑事责任，依法采取的一系列专门调查手段和强制性措施。侦查是一种具有特定活动内容和目的要求的诉讼活动，对随后进行的起诉、审判都具有重大的意义和影响，成为刑事诉讼过程的重要内容和基础环节。刑事诉讼中的检察院、公安等机关为了查明犯罪事实、抓获犯罪嫌疑人，依法进行的专门调查工作和采用有关强制性措施的活动。一般从立案开始，到案件作出是否移送起诉的决定时止。所谓“专门调查工作”，是指为完成侦查任务依法进行的讯问、询问、勘验、检查、搜查、扣押物证或书证、鉴定、通缉等；所谓“有关强制性措施”包括“两类”，一是许多专门调查工作如讯问、搜查、扣押、通缉等本身所含有的强制性。二是专门针对犯罪嫌疑人适用的拘传、取保候审、监视居住、拘留和逮捕等强制措施。侦查的主要任务是查明案件事实。 刑事诉讼可分为侦查、起诉和审判三大程序阶段，侦查活动主要在侦查阶段进行，但在起诉和审判阶段，如果认为案件事实尚需进一步查明，依法可以进行补充侦查。,https://baike.baidu.com/item/%E4%BE%A6%E6%9F%A5/2459511
5,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
5,专利,专利权（Patent Right），简称“专利”，是发明创造人或其权利受让人对特定的发明创造在一定期限内依法享有的独占实施权，是知识产权的一种。我国于1984年公布专利法，1985年公布该法的实施细则，对有关事项作了具体规定。专利权是指专利权人在法律规定的范围内独占使用、收益、处分其发明创造，并排除他人干涉的权利。专利权具有时间性、地域性及排他性。此外，专利权还具有如下法律特征：（1)专利权是两权一体的权利，既有人身权，又有财产权。（2)专利权的取得须经专利局授予。（3)专利权的发生以公开发明成果为前提。（4)专利权具有利用性，专利权人如不实施或不许可他人实施其专利，有关部门将采取强制许可措施，使专利得到充分利用。,https://baike.baidu.com/item/%E4%B8%93%E5%88%A9%E6%9D%83/872205
6,审判活动,,https://baike.baidu.com//item/%E6%B3%95%E5%BA%AD%E6%B4%BB%E5%8A%A8
4,涉诉,涉法涉诉是在党中央“立党为公、执政为民”的执政思想下出现的新名词。它是指当事人对刑事执法、行政执法等权力部门在案件或问题处理上不满，认为受到了不法侵害或不公平的待遇，从而引发上访告状的案件。,https://baike.baidu.com/item/%E6%B6%89%E6%B3%95%E6%B6%89%E8%AF%89/8462743
3,庭审,开庭审理：是指人民法院于确定的日期在当事人和其他诉讼参与人的参加下，依照法定的程序和形式，在法庭上对案件进行实体审理的诉讼活动。,https://baike.baidu.com/item/%E5%BC%80%E5%BA%AD%E5%AE%A1%E7%90%86/5566597
5,案件,àn jiàn1.有关诉讼和违法的事件。2.泛指事件。3.民事诉讼。,https://baike.baidu.com/item/%E6%A1%88%E4%BB%B6/7189617
