page_id,keyword,annotation,url
5,支持,支持，汉语词语，拼音是zhī chí，意思是支撑，供应，赞同鼓励。,https://baike.baidu.com/item/%E6%94%AF%E6%8C%81/676624
6,课题,所谓课题，指要研究、解决的问题，所以课题背景就是指该问题是在什么情况或条件下产生的，课题研究有什么意义，等等。课题包括：市级课题、省级课题、国家级课题等。,https://baike.baidu.com/item/%E8%AF%BE%E9%A2%98/2434814
6,经费,经费是指行政事业单位为完成工作任务和事业计划所需经常费用的统称。这些单位一般不直接从事物质资料生产，没有独立、稳定的收入来源。或者虽有一部分收入，但大都不足以抵补本身的业务支出，需要国家预算拨付经费。经费按用途可分为人员经费和公用经费。或分为维持经费和发展经费。前者指维持原有行政事业单位机构及规模的人员经费和公用经费; 后者是指在计划年度内，经批准新增加的机构、人员或其他事业项目所需的经费。原单位增加少量人员，不增设机构和不扩大事业项目的，属于自然增长，不作为发展经费。,https://baike.baidu.com/item/%E7%BB%8F%E8%B4%B9/1705671
5,课题,所谓课题，指要研究、解决的问题，所以课题背景就是指该问题是在什么情况或条件下产生的，课题研究有什么意义，等等。课题包括：市级课题、省级课题、国家级课题等。,https://baike.baidu.com/item/%E8%AF%BE%E9%A2%98/2434814
5,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
5,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
4,安全,安全生产是保护劳动者的安全、健康和国家财产，促进社会生产力发展的基本保证，也是保证社会主义经济发展，进一步实行改革开放的基本条件。因此，做好安全生产工作具有重要的意义。2020年4月28日，国务院新闻办公室举行《全国安全生产专项整治三年行动计划》新闻发布会。,https://baike.baidu.com/item/%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7/754553
6,中央财政,中央财政是指国家财政中由中央政府直接支配的部分，在国家政权内部反映中央政府与地方政府之间的分配关系。中央政府处于国家管理组织系统中的最高层次，与此相适应，它肩负着维护国家的安全与安定，协调各地区之间的利益关系、资源配置以及整个国民经济稳定增长的重任。因此，中央财政的责职是： (1) 监督各级财政执行财政政策、法令、财务规定以及财政、财务纪律，以便保证国家财政计划的实施及完成；(2) 保证按财政体制规定把属于中央财政的收入部分收缴入中央金库；(3) 利用财政分配手段调节总供给与总需求的平衡；(4) 保证国防、军队、中央政府各职能机构、中央立法及检察等机构的经费需要；(5) 满足对国民经济发展及布局起决定作用的投资需要；(6) 调节下级财政的平衡及对贫困落后地区的补助；(7) 建立必要的社会福利保障基金；(8) 为必要的国家物资储备提供必要的资金等等。,https://baike.baidu.com/item/%E4%B8%AD%E5%A4%AE%E8%B4%A2%E6%94%BF/3283453
4,生物,《生物》是由人民教育出版社出版的教材，共四册，供七年级和八年级学生使用。,https://baike.baidu.com/item/%E7%94%9F%E7%89%A9/14895952
6,牵头,牵头，汉语词语，拼音是qiān tóu，意思是领头；多方合作共事时，由一方负责联系和组织各方协同工作。,https://baike.baidu.com/item/%E7%89%B5%E5%A4%B4/4201449
4,报批,报批，汉语词汇，拼音bào pī，报请上级审查报告批准。,https://baike.baidu.com/item/%E6%8A%A5%E6%89%B9/1462882
3,危害,危险灾害。 《荀子·荣辱》：“荣辱之大分，安危利害之常体……材悫者常安利，荡悍者常危害。”《韩非子·奸劫弑臣》：“人焉能去安利之道，而就危害之处哉！”《汉书·西域传上·罽宾国》：“险阻危害，不可胜言。” 2. 使受破坏；伤害。 《后汉书·孔融传》：“怨毒渐积，志相危害，闻之怃然，中夜而起。”《南史·垣护之传》：“ 元徽 末，苍梧凶狂，恒欲危害高帝。”周立波《山乡巨变》上一：“那些危害猪牛鸡鸭的野物：黄竹筒、黄豺狗、野猫子，都归他们管。”能引起人员的伤害或对人员的健康造成负面影响的情况。（危害因素可能导致的后果）识别危害时应充分考虑人员、设备、材料、环境、方法五个方面和正常、异常、紧急三个状态。,https://baike.baidu.com/item/%E5%8D%B1%E5%AE%B3/1950382
2,安全,安全，是一个汉语词语，是指不受威胁，没有危险、危害、损失。当汉语的“安全”一词用来译指英文时，可以与其对应的主要有safety和security两个单词，虽然这两个单词的含义及用法有所不同，但都可在不同意义上与中文“安全”相对应。,https://baike.baidu.com/item/%E5%AE%89%E5%85%A8/32778
3,生物,生物体的共同物质基础是：在基本组成物质中都含有蛋白质和核酸。 生物体的结构基础是：除病毒等少数种类以外，生物体都是由细胞构成的。病毒不具备细胞结构，需要依赖于寄主细胞才能进行繁殖，所以生命都需要细胞来表现，病毒等也不例外。,https://baike.baidu.com/item/%E7%94%9F%E7%89%A9%E4%BD%93/5087111
3,因子,因子，基本含义为“元素、因素、成分”，出自孙中山《实业计划》：“一切人类智识，以印刷蓄积之，故此为文明一大因子。”,https://baike.baidu.com/item/%E5%9B%A0%E5%AD%90/10876777
4,产品,产品是指做为商品提供给市场，被人们使用和消费，并能满足人们某种需求的任何东西，包括有形的物品、无形的服务、组织、观念或它们的组合。产品一般可以分为五个层次，即核心产品、基本产品、期望产品、附加产品、潜在产品。核心产品是指整体产品提供给购买者的直接利益和效用；基本产品即是核心产品的宏观化；期望产品是指顾客在购买产品时，一般会期望得到的一组特性或条件；附加产品是指超过顾客期望的产品；潜在产品指产品或开发物在未来可能产生的改进和变革。产品是“一组将输入转化为输出的相互关联或相互作用的活动”的结果，即“过程”的结果。在经济领域中，通常也可理解为组织制造的任何制品或制品的组合。在现代汉语词典当中的解释为“生产出来的物品”。简单来说是“为了满足市场需要，而创建的用于运营的功能及服务”就是产品。产品是以使用为目的物品和服务的综合体。产品的价值是由用户来衡量的。,https://baike.baidu.com/item/%E4%BA%A7%E5%93%81/105875
1,生物,《生物》是由人民教育出版社出版的教材，共四册，供七年级和八年级学生使用。,https://baike.baidu.com/item/%E7%94%9F%E7%89%A9/14895952
3,森林,森林，包括乔木林、竹林和国家特别规定灌木林地。按用途可以分为防护林、特种用途林、用材林、经济林和能源林（原薪炭林）。以木本植物为主体的生物群落，是集中的乔木与其它植物、动物、微生物和土壤之间相互依存相互制约，并与环境相互影响，从而形成的一个生态系统的总体。它具有丰富的物种，复杂的结构，多种多样的功能。森林被誉为“地球之肺”。,https://baike.baidu.com/item/%E6%A3%AE%E6%9E%97/1370
1,研发,研发即研究开发、研究与开发、研究发展，是指各种研究机构、企业或个人为获得科学技术（不包括人文、社会科学）新知识，创造性运用科学技术新知识，或实质性改进技术、产品和服务而持续进行的具有明确目标的系统活动，包括系统及设备的测试，安装，维护，维修等一系列的系统活动。2016年2月，美国国家科学基金会发布的《美国科学与工程指标》显示，中国已成为不容置疑的世界第二研发大国。所了解，全球研发支出总体呈上升趋势，并仍集中在北美、欧洲及东亚和东南亚地区。美国仍然是世界第一研发大国，中国居第二位，中国的研发开支接近欧盟的总和。在按购买力平价计算的全球研发总支出当中，中国约占20%，仅次于美国（27%）；日本居第三位，占10%；德国第四，占6%；接下来是韩国、法国、俄罗斯、英国和印度，他们分别占全球研发支出总额的2%至4%。,https://baike.baidu.com/item/%E7%A0%94%E5%8F%91/4815440
2,生物,生物体的共同物质基础是：在基本组成物质中都含有蛋白质和核酸。 生物体的结构基础是：除病毒等少数种类以外，生物体都是由细胞构成的。病毒不具备细胞结构，需要依赖于寄主细胞才能进行繁殖，所以生命都需要细胞来表现，病毒等也不例外。,https://baike.baidu.com/item/%E7%94%9F%E7%89%A9%E4%BD%93/5087111
2,实验室,实验室（Laboratory/Lab）即进行试验的场所。实验室是科学的摇篮，是科学研究的基地，科技发展的源泉，对科技发展起着非常重要的作用。实验室按归属可分为三类：第一类是从属于大学或者是由大学代管的实验室；第二类实验室属于国家机构，有的甚至是国际机构；第三类实验室直接归属于工业企业部门，为工业技术的开发与研究服务。,https://baike.baidu.com/item/%E5%AE%9E%E9%AA%8C%E5%AE%A4/3298029
2,设备,设备(Capital Items)是指工业购买者用在生产经营过程中的工业产品，包括固定设备和辅助设备等。固定设备包括所有建筑（工厂、办公室），固定设备是主要设备，购买或建设过程要经过一个较长的决策过程。,https://baike.baidu.com/item/%E8%AE%BE%E5%A4%87/3794003
1,关键技术,亦称“关键动作”。动作技术中至关重要的部分，它是掌握动作技术、提高运动成绩起决定作用的环节。如跳远技术中的起跳。在体育教学与训练中都需要狠抓这个动作关键。,https://baike.baidu.com/item/%E5%85%B3%E9%94%AE%E6%8A%80%E6%9C%AF/5692286
