page_id,keyword,annotation,url
13,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
12,民居,由于中国疆域辽阔，民族众多，各地的地理气候条件和生活方式都不相同，因此，各地人居住的房屋的样式和风格也不相同。在中国的民居中，最具特点的民居有北京四合院、广东镬耳屋、西北黄土高原的窑洞、赣派建筑、安徽皖南徽派、福建土楼和广东等地的客家土楼、蒙古的蒙古包等。客家围龙屋与北京的“四合院”、陕西的“窑洞”、广西的“杆栏式”和云南的“一颗印”，合称为我国最具乡土风情的五大传统住宅建筑形式，被中外建筑学界称为中国民居建筑的五大特色之一。,https://baike.baidu.com/item/%E6%B0%91%E5%B1%85/647853
13,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
12,村镇,村镇，汉语词汇，拼音是cūn zhèn，意思是乡村集镇。,https://baike.baidu.com/item/%E6%9D%91%E9%95%87/2276340
10,村镇,村镇，汉语词汇，拼音是cūn zhèn，意思是乡村集镇。,https://baike.baidu.com/item/%E6%9D%91%E9%95%87/2276340
9,村镇,村镇，汉语词汇，拼音是cūn zhèn，意思是乡村集镇。,https://baike.baidu.com/item/%E6%9D%91%E9%95%87/2276340
11,住宅,住宅是指专供居住的房屋，包括别墅、公寓、职工家属宿舍和集体宿舍、职工单身宿舍和学生宿舍等。但不包括住宅楼中作为人防用、不住人的地下室等，也不包括托儿所、病房、疗养院、旅馆等具有专门用途的房屋。,https://baike.baidu.com/item/%E4%BD%8F%E5%AE%85/1062084
7,垃圾,垃圾是失去使用价值、 无法利用的废弃物品，是物质循环的重要环节。是不被需要或无用的固体、流体物质。在人口密集的大城市，垃圾处理是一个令人头痛的问题。常见的做法是收集后送往堆填区进行填埋处理，或是用焚化炉焚化。但两者均会制造环境保护的问题，而终止过度消费可进一步减轻堆填区饱和程度。堆填区中的垃圾处理不但会污染地下水和发出臭味，而且很多城市可供堆填的面积已越来越少。焚化则无可避免会产生有毒气体，危害生物体。多数的城市都在研究减少垃圾产生的方法，和鼓励资源回收。垃圾分类是实现减量、提质、增效的必然选择，是改善人居环境、促进城市精细化管理、保障可持续发展的重要举措。能不能做到垃圾分类，直接反映一个人，乃至一座城市的生态素养和文明程度。,https://baike.baidu.com/item/%E5%9E%83%E5%9C%BE/53497
10,县域,县域经济，是以县级行政区划为地理空间，以县级政权为调控主体，以市场为导向，优化配置资源，具有地域特色和功能完备的区域经济。县域经济属于区域经济范畴。,https://baike.baidu.com/item/%E5%8E%BF%E5%9F%9F%E7%BB%8F%E6%B5%8E/1661071
11,乡村,乡村是指乡村地区人类各种形式的居住场所（即村落或乡村聚落），乡村一般风景宜人，空气清新，较适合人群居住，民风淳朴。,https://baike.baidu.com/item/%E4%B9%A1%E6%9D%91/67307
