page_id,keyword,annotation,url
5,会议室,会议室，指供开会用的房间，可以用于召开学术报告、会议、培训、组织活动和接待客人等。,https://baike.baidu.com/item/%E4%BC%9A%E8%AE%AE%E5%AE%A4/1464089
5,cn,.CN，Internet网络域名，国家顶级域名，表示中国国家域名。它是由中国国际互联网络信息中心（Inter NIC）正式注册并运行。.CN域名是全球唯一由中国管理的英文国际顶级域名，是中国企业自己的互联网标识，它体现了一种文化的认同、自身的价值和定位。2016年11月11日，中国互联网络信息中心公布最新统计数据显示，中国国家顶级域名“．CN”的注册保有量成功跨越2000万大关。,https://baike.baidu.com/item/.CN/1000849
3,会议室,会议室，指供开会用的房间，可以用于召开学术报告、会议、培训、组织活动和接待客人等。,https://baike.baidu.com/item/%E4%BC%9A%E8%AE%AE%E5%AE%A4/1464089
4,com,.com域名，国际最广泛流行的通用域名格式。国际化公司都会注册·com域名，当然也可以选择以·net/.org为结尾的国际域名。例如表示工商企业的.com，表示创意创新的.xyz，表示网络提供商的.net，表示团体组织的.org等域名后缀都没有使用范围限制。二是国内域名，又称为国内顶级域名（national top-level domainnames，简称nTLDs），即按照国家的不同分配不同后缀，这些域名即为该国的国内域名。,https://baike.baidu.com/item/.com/812899
5,联络员,,https://baike.baidu.com//item/%E8%81%94%E7%BB%9C%E5%91%98/23561919
4,qq,QQ是腾讯QQ的简称，是一款基于Internet即时通信（IM）软件。QQ已经覆盖了Microsoft Windows、macOS、Android、iOS、Windows Phone、Linux等多种主流平台。其标志是一只戴着红色围巾的小企鹅。腾讯QQ支持在线聊天、视频通话、点对点断点续传文件、共享文件、网络硬盘、自定义面板、QQ邮箱等多种功能，并可与多种通讯终端相连。2017年1月5日，腾讯QQ和美的集团在深圳正式签署战略合作协议，双方将共同构建基于IP授权与物联云技术的深度合作，实现家电产品的连接、对话和远程控制。双方合作的第一步，是共同推出基于QQfamily IP授权和腾讯物联云技术的多款智能家电产品。2018年12月12日，QQ发布公告，称由于业务调整，webQQ即将在2019年1月1日停止服务，并提示用户下载QQ客户端。2019年3月13日起，QQ号码可注销。2019年03月27日，腾讯QQ宣布推出“鹅的20岁”生日庆典特别栏目，第一期分享了那个企鹅图标的“黑历史”。2019年4月13日，腾讯QQ正式推送了iOS版的v8.0版本更新，将全新的操作界面带给了正式版用户。,https://baike.baidu.com/item/QQ/111306
4,科技局,,https://baike.baidu.com/item/%E7%A7%91%E6%8A%80%E5%B1%80/10038363
3,com,.com域名，国际最广泛流行的通用域名格式。国际化公司都会注册·com域名，当然也可以选择以·net/.org为结尾的国际域名。例如表示工商企业的.com，表示创意创新的.xyz，表示网络提供商的.net，表示团体组织的.org等域名后缀都没有使用范围限制。二是国内域名，又称为国内顶级域名（national top-level domainnames，简称nTLDs），即按照国家的不同分配不同后缀，这些域名即为该国的国内域名。,https://baike.baidu.com/item/.com/812899
4,联络员,,https://baike.baidu.com//item/%E8%81%94%E7%BB%9C%E5%91%98/23561919
3,qq,QQ是腾讯QQ的简称，是一款基于Internet即时通信（IM）软件。QQ已经覆盖了Microsoft Windows、macOS、Android、iOS、Windows Phone、Linux等多种主流平台。其标志是一只戴着红色围巾的小企鹅。腾讯QQ支持在线聊天、视频通话、点对点断点续传文件、共享文件、网络硬盘、自定义面板、QQ邮箱等多种功能，并可与多种通讯终端相连。2017年1月5日，腾讯QQ和美的集团在深圳正式签署战略合作协议，双方将共同构建基于IP授权与物联云技术的深度合作，实现家电产品的连接、对话和远程控制。双方合作的第一步，是共同推出基于QQfamily IP授权和腾讯物联云技术的多款智能家电产品。2018年12月12日，QQ发布公告，称由于业务调整，webQQ即将在2019年1月1日停止服务，并提示用户下载QQ客户端。2019年3月13日起，QQ号码可注销。2019年03月27日，腾讯QQ宣布推出“鹅的20岁”生日庆典特别栏目，第一期分享了那个企鹅图标的“黑历史”。2019年4月13日，腾讯QQ正式推送了iOS版的v8.0版本更新，将全新的操作界面带给了正式版用户。,https://baike.baidu.com/item/QQ/111306
2,cn,.CN，Internet网络域名，国家顶级域名，表示中国国家域名。它是由中国国际互联网络信息中心（Inter NIC）正式注册并运行。.CN域名是全球唯一由中国管理的英文国际顶级域名，是中国企业自己的互联网标识，它体现了一种文化的认同、自身的价值和定位。2016年11月11日，中国互联网络信息中心公布最新统计数据显示，中国国家顶级域名“．CN”的注册保有量成功跨越2000万大关。,https://baike.baidu.com/item/.CN/1000849
2,qq,QQ是腾讯QQ的简称，是一款基于Internet即时通信（IM）软件。QQ已经覆盖了Microsoft Windows、macOS、Android、iOS、Windows Phone、Linux等多种主流平台。其标志是一只戴着红色围巾的小企鹅。腾讯QQ支持在线聊天、视频通话、点对点断点续传文件、共享文件、网络硬盘、自定义面板、QQ邮箱等多种功能，并可与多种通讯终端相连。2017年1月5日，腾讯QQ和美的集团在深圳正式签署战略合作协议，双方将共同构建基于IP授权与物联云技术的深度合作，实现家电产品的连接、对话和远程控制。双方合作的第一步，是共同推出基于QQfamily IP授权和腾讯物联云技术的多款智能家电产品。2018年12月12日，QQ发布公告，称由于业务调整，webQQ即将在2019年1月1日停止服务，并提示用户下载QQ客户端。2019年3月13日起，QQ号码可注销。2019年03月27日，腾讯QQ宣布推出“鹅的20岁”生日庆典特别栏目，第一期分享了那个企鹅图标的“黑历史”。2019年4月13日，腾讯QQ正式推送了iOS版的v8.0版本更新，将全新的操作界面带给了正式版用户。,https://baike.baidu.com/item/QQ/111306
3,科技厅,,https://baike.baidu.com/item/%E6%9E%97%E9%BB%8E%E6%98%8E/10634676
2,com,.com域名，国际最广泛流行的通用域名格式。国际化公司都会注册·com域名，当然也可以选择以·net/.org为结尾的国际域名。例如表示工商企业的.com，表示创意创新的.xyz，表示网络提供商的.net，表示团体组织的.org等域名后缀都没有使用范围限制。二是国内域名，又称为国内顶级域名（national top-level domainnames，简称nTLDs），即按照国家的不同分配不同后缀，这些域名即为该国的国内域名。,https://baike.baidu.com/item/.com/812899
3,联络员,,https://baike.baidu.com//item/%E8%81%94%E7%BB%9C%E5%91%98/23561919
2,科技厅,,https://baike.baidu.com/item/%E6%9E%97%E9%BB%8E%E6%98%8E/10634676
1,科技厅,江苏省科技厅（江苏省科学技术厅）是江苏省人民政府组成部门，主管全省科技工作。,https://baike.baidu.com/item/%E6%B1%9F%E8%8B%8F%E7%9C%81%E7%A7%91%E6%8A%80%E5%8E%85/8571549
2,联络员,,https://baike.baidu.com//item/%E8%81%94%E7%BB%9C%E5%91%98/23561919
1,com,COM是Component Object Model （组件对象模型）的缩写。COM是微软公司为了计算机工业的软件生产更加符合人类的行为方式开发的一种新的软件开发技术。在COM构架下，人们可以开发出各种各样的功能专一的组件，然后将它们按照需要组合起来，构成复杂的应用系统。由此带来的好处是多方面的：可以将系统中的组件用新的替换掉，以便随时进行系统的升级和定制；可以在多个应用系统中重复利用同一个组件；可以方便的将应用系统扩展到网络环境下；COM与语言，平台无关的特性使所有的程序员均可充分发挥自己的才智与专长编写组件模块；等等。   COM是开发软件组件的一种方法。组件实际上是一些小的二进制可执行程序，它们可以给应用程序，操作系统以及其他组件提供服务。开发自定义的COM组件就如同开发动态的，面向对象的API。多个COM对象可以连接起来形成应用程序或组件系统。并且组件可以在运行时刻，在不被重新链接或编译应用程序的情况下被卸下或替换掉。Microsoft的许多技术，如ActiveX, DirectX以及OLE等都是基于COM而建立起来的。并且Microsoft的开发人员也大量使用COM组件来定制他们的应用程序及操作系统。,https://baike.baidu.com/item/com

1,联络员,《 联络员》是日本著名漫画家池田淳的最新作品，国内版权由易动漫独家代理。池田淳，日本男性漫画家，现居琦玉县。2004年完成了自己的处女作——4格漫画《橡胶皮球》，2007年开始自己的连载漫画《斯酷！》，到了2011年又完成了一部连载漫画《对不起，委员长！》。平时喜欢看运动类的漫画，其兴趣爱好为画插图漫画。对于漫画的理念是：画出更容易理解，更有趣的作品。最想对中国读者说的话：如果你们能愉快地看我的漫画，那将是对我最大的肯定。,https://baike.baidu.com/item/联络员

