page_id,keyword,annotation,url
10,设施,设施，读音是shè shī，汉语词语，意思是规划施行。,https://baike.baidu.com/item/%E8%AE%BE%E6%96%BD/3498084
9,性状,性状（trait）是指可遗传的发育个体和全面发育个体所能观察到的(表型的)特征，包括生化特性、细胞形态或动态过程、解剖构造、器官功能或精神特性总和。任何生物都有许许多多性状。有的是形态特征（如豌豆种子的颜色，形状），有的是生理特征（如人的ABO血型，植物的抗病性，耐寒性），有的是行为方式（如狗的攻击性，服从性），等等。在孟德尔以后的遗传学中把作为表型的显示的各种遗传性质称为性状。在诸多性状中只着眼于一个性状即单位性状以进行遗传学分析，已成为一种遗传学研究中的常规手段。,https://baike.baidu.com/item/%E6%80%A7%E7%8A%B6/996773
11,品质,品质，是一个汉语词语，指人的行为和作风所显示的思想、品性、认识等实质，东西的质量。,https://baike.baidu.com/item/%E5%93%81%E8%B4%A8/82672
8,经济林,经济林亦称“特用林”。以生产果品、食用油料、工业原料和药材为主要目的的林木。根据其利用部位不同，大致分为： (1) 利用种子作为榨油原料的木本油料林，如油茶、油桐、油橄榄、核桃等；(2) 利用树叶的茶树林、桑树林等；(3) 利用树皮的纤维林和木栓林、如枸树、栓皮栎等；(4) 利用枝条作编织原料的采条林，如荆条、怪柳等；(5)利用树液的橡胶林、漆树林等。经济林价值很高，一般实行集约化经营。是综合开发山区，合理利用自然资源的重要措施。营造经济林应选择早熟、丰产、优质的品种和类型。,https://baike.baidu.com/item/%E7%BB%8F%E6%B5%8E%E6%9E%97/6018610
8,调控,调控是一个汉语词语，读音tiáo kòng，调节、控制的意思。另有一个意思，读音diao kòng，调度、控制的意思。,https://baike.baidu.com/item/%E8%B0%83%E6%8E%A7/207531
11,产量,产量，汉语词语，拼音是chǎn liàng，意思是指一定时期内生产某种物品的数量。,https://baike.baidu.com/item/%E4%BA%A7%E9%87%8F/9712955
10,抗逆,抗逆是一个汉语词语，读音是kàng nì，是指违抗，抗拒。,https://baike.baidu.com/item/%E6%8A%97%E9%80%86/7458785
9,品质,品质，是一个汉语词语，指人的行为和作风所显示的思想、品性、认识等实质，东西的质量。,https://baike.baidu.com/item/%E5%93%81%E8%B4%A8/82672
7,调控,调控是一个汉语词语，读音tiáo kòng，调节、控制的意思。另有一个意思，读音diao kòng，调度、控制的意思。,https://baike.baidu.com/item/%E8%B0%83%E6%8E%A7/207531
6,花卉,花卉，具有观赏价值的草本植物，是用来描绘欣赏的植物的统称，喜阳且耐寒，具有繁殖功能的短枝，有许多种类。典型的花，在一个有限生长的短轴上，着生花萼、花瓣和产生生殖细胞的雄蕊与雌蕊。花由花冠、花萼、花托、花蕊组成，有各种各样的颜色，长得也各种各样，有香味或无香味等。,https://baike.baidu.com/item/%E8%8A%B1%E5%8D%89/229536
4,调控,调控是一个汉语词语，读音tiáo kòng，调节、控制的意思。另有一个意思，读音diao kòng，调度、控制的意思。,https://baike.baidu.com/item/%E8%B0%83%E6%8E%A7/207531
5,抗性,抵抗能力，植物的抗性是指植物具有的抵抗不利环境的某些性状；如抗寒，抗旱，抗盐，抗病虫害等。,https://baike.baidu.com/item/%E6%8A%97%E6%80%A7/2312210
4,品质,品质，是一个汉语词语，指人的行为和作风所显示的思想、品性、认识等实质，东西的质量。,https://baike.baidu.com/item/%E5%93%81%E8%B4%A8/82672
7,机制,机制，是指各要素之间的结构关系和运行方式。指有机体的构造、功能及其相互关系；机器的构造和工作原理。语出清 丘逢甲 《汕头海关歌寄伯瑶》：“西人嗜糖嗜其白，贱买赤砂改机制。”在社会学中的内涵可以表述为“在正视事物各个部分的存在的前提下，协调各个部分之间关系以更好地发挥作用的具体运行方式。”,https://baike.baidu.com/item/%E6%9C%BA%E5%88%B6/1433787
1,经济作物,经济作物亦称“工业原料作物”、“技术作物”。一般指为工业，特别是指为轻工业提供原料的作物。我国纳入人工栽培的经济作物种类繁多，包括纤维作物 (如棉、麻等)、油料作物 (如芝麻、花生等)、糖料作物 (如甘蔗、甜菜等)、三料 (饮料、香料、调料) 作物、药用作物、染料作物、观赏作物、水果和其他经济作物等。,https://baike.baidu.com/item/%E7%BB%8F%E6%B5%8E%E4%BD%9C%E7%89%A9/6442251
3,调控,调控是一个汉语词语，读音tiáo kòng，调节、控制的意思。另有一个意思，读音diao kòng，调度、控制的意思。,https://baike.baidu.com/item/%E8%B0%83%E6%8E%A7/207531
2,关键技术,亦称“关键动作”。动作技术中至关重要的部分，它是掌握动作技术、提高运动成绩起决定作用的环节。如跳远技术中的起跳。在体育教学与训练中都需要狠抓这个动作关键。,https://baike.baidu.com/item/%E5%85%B3%E9%94%AE%E6%8A%80%E6%9C%AF/5692286
5,逆境,逆境，不顺利的境遇，在生活中遇到的困难与挫折，指不危害生命的情况下付出大于原有预期。植物学术语中逆境 (environmental stress) 亦称为环境胁迫，对植物生存生长不利的各种环境因素的总称。根据不同的分类方法可分为生物逆境和理化逆境，或自然逆境和污染逆境等。,https://baike.baidu.com/item/%E9%80%86%E5%A2%83/82783
3,园艺作物,,https://baike.baidu.com//item/%E5%9B%AD%E8%89%BA%E4%BD%9C%E7%89%A9
2,提质,,https://baike.baidu.com//item/%E6%8E%A7%E9%87%8F%E6%8F%90%E8%B4%A8
1,提质,,https://baike.baidu.com//item/%E6%8E%A7%E9%87%8F%E6%8F%90%E8%B4%A8
