page_id,keyword,annotation,url
15,良种,良种（certified seed）是指用常规原种繁殖的第一代至第三代和杂交种达到良种质量标准的种子。良种是供大田生产使用的种子，是种子市场交易的种子，是主要商品化的种子。,https://baike.baidu.com/item/%E8%89%AF%E7%A7%8D/3199750
14,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
14,养殖,养殖是指培育和繁殖动植物。养殖包括家畜养殖、家禽养殖、水产养殖和特种养殖等种类。,https://baike.baidu.com/item/%E5%85%BB%E6%AE%96/2946467
13,贝类,贝类，即软体动物中的一类。是三胚层、两侧对称，具有真体腔的动物。软体动物的真体腔是由裂腔法形成，也就是中胚层所形成的体腔。但软体动物的真体腔不发达，仅存在于围心腔及生殖腺腔中。软体动物在形态上变化很大，但在结构上都可以分为头、足、内脏囊及外套膜4部分。头位于身体的前端，足位于头后、身体腹面，是由体壁伸出的一个多肌肉质的运动器官，内脏囊位于身体背面，是由柔软的体壁包围着的内脏器官，外套膜是由身体背部的体壁延伸下垂形成的一个或一对膜，外套膜与内脏囊之间的空腔即为外套腔。由外套膜向体表分泌碳酸钙，形成一个或两个外壳包围整个身体，少数种类壳被体壁包围或壳完全消失。这些基本结构在不同的纲中有很大的变化与区别。软体动物具有完整的消化道，出现了呼吸与循环系统，也出现了比原肾更进化的后肾（metanephridium）。软体动物种类繁多，分布广泛。现存的有11万种以上，还有35000化石种，是动物界中仅次于节肢动物的第二大门类。特别是一些软体动物利用“肺”进行呼吸，身体具有调节水分的能力，使软体动物与节肢动物构成了仅有的适合于地面上生活的陆生无脊椎动物。,https://baike.baidu.com/item/%E8%B4%9D%E7%B1%BB/9037606
13,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
11,水产品,水产品是海洋和淡水渔业生产的水产动植物产品及其加工产品的总称。包括：(1) 捕捞和养殖生产的鱼、虾、蟹、贝、藻类、海兽等鲜活品；(2)经过冷冻、腌制、干制、熏制、熟制、罐装和综合利用的加工产品。水产食品营养丰富，风味各异。低值鱼类和加工废弃物等制成的鱼粉、浓鱼汁等是重要的蛋白质饲料。利用水产动植物制成的蛋白质水鲜产品，如油脂、胶类、维生素、激素和其他制品，是有多种用途的化工、医药用品。,https://baike.baidu.com/item/%E6%B0%B4%E4%BA%A7%E5%93%81/6510693
12,养殖,养殖是指培育和繁殖动植物。养殖包括家畜养殖、家禽养殖、水产养殖和特种养殖等种类。,https://baike.baidu.com/item/%E5%85%BB%E6%AE%96/2946467
12,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
10,水产品,水产品是海洋和淡水渔业生产的水产动植物产品及其加工产品的总称。包括：(1) 捕捞和养殖生产的鱼、虾、蟹、贝、藻类、海兽等鲜活品；(2)经过冷冻、腌制、干制、熏制、熟制、罐装和综合利用的加工产品。水产食品营养丰富，风味各异。低值鱼类和加工废弃物等制成的鱼粉、浓鱼汁等是重要的蛋白质饲料。利用水产动植物制成的蛋白质水鲜产品，如油脂、胶类、维生素、激素和其他制品，是有多种用途的化工、医药用品。,https://baike.baidu.com/item/%E6%B0%B4%E4%BA%A7%E5%93%81/6510693
7,环境,人类生存的空间及其中可以直接或间接影响人类生活和发展的各种自然因素称为环境。对人的心理发生实际影响的整个生活环境也称为环境，更多称为心理环境。,https://baike.baidu.com/item/%E7%8E%AF%E5%A2%83/277567
8,水域,水域，是指江河、湖泊、运河、渠道、水库、水塘及其管理范围和水工设施，不包括海域和在耕地上开挖的鱼塘。,https://baike.baidu.com/item/%E6%B0%B4%E5%9F%9F/21042
8,养殖,养殖是指培育和繁殖动植物。养殖包括家畜养殖、家禽养殖、水产养殖和特种养殖等种类。,https://baike.baidu.com/item/%E5%85%BB%E6%AE%96/2946467
7,胁迫,胁迫，汉语词语，读音是xié Pò，意思是威胁强迫。,https://baike.baidu.com/item/%E8%83%81%E8%BF%AB/8356238
11,功效,功效，汉语词汇，拼音是gōng xiào，指一个行动所获得的预期结果或者成效。,https://baike.baidu.com/item/%E5%8A%9F%E6%95%88/11046231
6,病原,病原，指病因。引起疾病的根源。,https://baike.baidu.com/item/%E7%97%85%E5%8E%9F/307416
9,生境,生境是指物种或物种群体赖以生存的生态环境。对药用植物生存的一大威胁就是生境的破坏，如森林的砍伐、草原和湿地的开垦以及由此带来水土流失、干旱化、养分的减少等。据报道，目前我国70%的天然林已被采伐，50%的草原被破坏，其中1/4 受到沙荒化威胁，大量的湿地面临干涸。森林和草原是我国药用植物物种生存的最主要生境。由于生境的破坏，导致药用植物物种局部灭绝，特别是导致野生资源量减少，不能满足市场需求，从而进一步加剧了资源过度利用的压力，形成恶性循环。生境（habitat，Biotope 希腊语 bios = 生命 + topos = 地点）指生物的个体、种群或群落生活地域的环境，包括必需的生存条件和其他对生物起作用的生态因素。生境是指生态学中环境的概念，生境又称栖息地。生境是由生物和非生物因子综合形成的，而描述一个生物群落的生境时通常只包括非生物的环境。为了避免混乱，识别生境的这两种用法是很重要的。,https://baike.baidu.com/item/%E7%94%9F%E5%A2%83/2647622
9,水域,水域，是指江河、湖泊、运河、渠道、水库、水塘及其管理范围和水工设施，不包括海域和在耕地上开挖的鱼塘。,https://baike.baidu.com/item/%E6%B0%B4%E5%9F%9F/21042
10,品质,品质，是一个汉语词语，指人的行为和作风所显示的思想、品性、认识等实质，东西的质量。,https://baike.baidu.com/item/%E5%93%81%E8%B4%A8/82672
5,水产,海洋、江河、湖泊里出产的动物或藻类等的统称，和相关的服务或加工行业的总称。如：水产品加工、水产品药物、水产品出口贸易、观赏水产品等等。,https://baike.baidu.com/item/%E6%B0%B4%E4%BA%A7/708367
