page_id,keyword,annotation,url
1,引力波,在物理学中，引力波是指时空弯曲中的涟漪，通过波的形式从辐射源向外传播，这种波以引力辐射的形式传输能量。在1916年，爱因斯坦基于广义相对论预言了引力波的存在。引力波的存在是广义相对论洛伦兹不变性的结果，因为它引入了相互作用的传播速度有限的概念。相比之下，引力波不能够存在于牛顿的经典引力理论当中，因为牛顿的经典理论假设物质的相互作用传播是速度无限的。各种各样的引力波探测器正在建造或者运行当中，比如 advanced LIGO(aLIGO)从2015年9月份开始运行观测。可能的引力波探测源包括致密双星系统（白矮星，中子星和黑洞）。在2016年2月11日，LIGO科学合作组织和Virgo合作团队宣布他们已经利用高级LIGO探测器，已经首次探测到了来自于双黑洞合并的引力波信号。2016年6月16日凌晨，LIGO合作组宣布：2015年12月26日03:38:53 （UTC），位于美国汉福德区和路易斯安那州的利文斯顿的两台引力波探测器同时探测到了一个引力波信号；这是继 LIGO 2015年9月14日探测到首个引力波信号之后，人类探测到的第二个引力波信号。2017年10月16日，全球多国科学家同步举行新闻发布会，宣布人类第一次直接探测到来自双中子星合并的引力波，并同时“看到”这一壮观宇宙事件发出的电磁信号。2017年12月，入选“汉语盘点2017”活动年度候选字词五大候选国际词。,https://baike.baidu.com/item/%E5%BC%95%E5%8A%9B%E6%B3%A2/726380
11,接收机,由天线接收的电磁信号被送入接收机。理想的接收机抑制所有不需要的噪声，包括其他信号，并对需要的信号不增加任何噪声或干扰。不管信号的形式或格式如何，它都可以变换，以适合信号处理器检波电路所要求的特性，然后再送到智能用户接口。,https://baike.baidu.com/item/%E6%8E%A5%E6%94%B6%E6%9C%BA/6149241
10,脉冲星,脉冲星，就是旋转的中子星，因不断地发出电磁脉冲信号而得名。脉冲星是在1967年首次被发现的。当时，还是一名女研究生的贝尔，发现狐狸星座有一颗星会发出一种周期性的电波。经过仔细分析，科学家认为这是一种未知的天体。因为这种星体不断地发出电磁脉冲信号，就把它命名为脉冲星。,https://baike.baidu.com/item/%E8%84%89%E5%86%B2%E6%98%9F/83609
11,馈源,馈源是抛物面天线、卡塞格伦天线的基本组成部分，是高增益天线的初级辐射器。它把高频电流或束缚电磁波变成辐射的电磁波能量，通常是一个弱方向性天线。,https://baike.baidu.com/item/%E9%A6%88%E6%BA%90/10886559
10,天线,天线是一种变换器，它把传输线上传播的导行波，变换成在无界媒介（通常是自由空间）中传播的电磁波，或者进行相反的变换。在无线电设备中用来发射或接收电磁波的部件。无线电通信、广播、电视、雷达、导航、电子对抗、遥感、射电天文等工程系统，凡是利用电磁波来传递信息的，都依靠天线来进行工作。此外，在用电磁波传送能量方面，非信号的能量辐射也需要天线。一般天线都具有可逆性，即同一副天线既可用作发射天线，也可用作接收天线。同一天线作为发射或接收的基本特性参数是相同的。这就是天线的互易定理。,https://baike.baidu.com/item/%E5%A4%A9%E7%BA%BF/790545
9,探测器,探测器(detector)，是观察、记录粒子的装置 ，核物理和粒子物理实验研究中不可缺少的设备。探测器可分为两类：计数器和径迹探测器。金属探测器利用电磁感应的原理，利用有交流电通过的线圈，产生迅速变化的磁场。,https://baike.baidu.com/item/%E6%8E%A2%E6%B5%8B%E5%99%A8/5868186
9,望远镜,望远镜是一种利用透镜或反射镜以及其他光学器件观测遥远物体的光学仪器。利用通过透镜的光线折射或光线被凹镜反射使之进入小孔并会聚成像，再经过一个放大目镜而被看到。又称“千里镜”。望远镜的第一个作用是放大远处物体的张角，使人眼能看清角距更小的细节。望远镜第二个作用是把物镜收集到的比瞳孔直径（最大8毫米）粗得多的光束，送入人眼，使观测者能看到原来看不到的暗弱物体。1608年，荷兰的一位眼镜商汉斯·利伯希偶然发现用两块镜片可以看清远处的景物，受此启发，他制造了人类历史上的第一架望远镜。1609年意大利佛罗伦萨人伽利略·伽利雷发明了40倍双镜望远镜，这是第一部投入科学应用的实用望远镜。经过400多年的发展，望远镜的功能越来越强大，观测的距离也越来越远。,https://baike.baidu.com/item/%E6%9C%9B%E8%BF%9C%E9%95%9C/479223
7,模板,模板，是指作图或设计方案的固定格式，有时也指DNA复制或转录时，用来产生互补链的核苷酸序列。模板是将一个事物的结构规律予以固定化、标准化的成果，它体现的是结构形式的标准化。,https://baike.baidu.com/item/%E6%A8%A1%E6%9D%BF/2890455
8,原初,原初，汉语词语，拼音是yuán chū ，意思是原先，最初。,https://baike.baidu.com/item/%E5%8E%9F%E5%88%9D/8564323
5,电荷,电荷（electric charge） ，为物体或构成物体的质点所带的具有正电或负电的粒子，带正电的粒子叫正电荷（表示符号为“+”），带负电的粒子叫负电荷（表示符号为“﹣”）。也是某些基本粒子(如电子和质子)的属性，同种电荷相互排斥，异种电荷相互吸引。在电磁学里，电荷（diànhè）是物质的一种物理性质。称带有电荷的物质为“带电物质”。两个带电物质之间会互相施加作用力于对方，也会感受到对方施加的作用力，所涉及的作用力遵守库仑定律。电荷分为两种，“正电荷”与“负电荷”。带有正电荷的物质称为“带正电”；带有负电荷的物质称为“带负电”。假若两个物质都带有正电或都带有负电，则称这两个物质“同电性”，否则称这两个物质“异电性”。两个同电性物质会相互感受到对方施加的排斥力；两个异电性物质会相互感受到对方施加的吸引力。同种电荷互相排斥，异种电荷互相吸引。电荷是许多次原子粒子所拥有的一种基本守恒性质。称带有电荷的粒子为“带电粒子”。电荷决定了带电粒子在电磁方面的物理行为。静止的带电粒子会产生电场，移动中的带电粒子会产生电磁场，带电粒子也会被电磁场所影响。一个带电粒子与电磁场之间的相互作用称为电磁力或电磁相互作用。这是四种基本相互作用中的一种。,https://baike.baidu.com/item/%E7%94%B5%E8%8D%B7/1144574
6,推力,推动飞行器运动的力。它是作用在发动机内、外表面或推进器（如螺旋桨）上各种力的合力。在带有螺旋桨的推进系统中，螺旋桨推动空气沿飞行相反方向流动，其动量增加，对螺旋桨产生反作用力即推力。螺旋桨往往装在发动机前方，所以它产生推动飞行器运动的力也称拉力。喷气发动机的推力是由向飞行反方向直接喷射高速气流而产生的。发动机的最高燃气温度直接影响排气速度，在一般的工作状态下，燃气温度越高，发动机的推力就越大；通过发动机的工质的质量流量越大，发动机推力也越大。在海平面标准大气条件下，飞行器处于静止状态时发动机产生的推力称为海平面静推力。火箭发动机在接近真空环境下产生的推力称为真空推力。对于空气喷气发动机，单位质量流量空气所产生的推力称为单位推力。推力与发动机最大截面积之比称为单位面积推力。现代空气喷气发动机的海平面静推力从几千牛到200千牛（1公斤力=9.8牛）；单台火箭发动机的推力从0.02牛到几兆牛。,https://baike.baidu.com/item/%E6%8E%A8%E5%8A%9B/1533626
5,拖曳,拖曳，读音tuō yè，汉语词语，意思是牵引；拉扯。,https://baike.baidu.com/item/%E6%8B%96%E6%9B%B3/7452222
3,望远镜,望远镜是一种利用透镜或反射镜以及其他光学器件观测遥远物体的光学仪器。利用通过透镜的光线折射或光线被凹镜反射使之进入小孔并会聚成像，再经过一个放大目镜而被看到。又称“千里镜”。望远镜的第一个作用是放大远处物体的张角，使人眼能看清角距更小的细节。望远镜第二个作用是把物镜收集到的比瞳孔直径（最大8毫米）粗得多的光束，送入人眼，使观测者能看到原来看不到的暗弱物体。1608年，荷兰的一位眼镜商汉斯·利伯希偶然发现用两块镜片可以看清远处的景物，受此启发，他制造了人类历史上的第一架望远镜。1609年意大利佛罗伦萨人伽利略·伽利雷发明了40倍双镜望远镜，这是第一部投入科学应用的实用望远镜。经过400多年的发展，望远镜的功能越来越强大，观测的距离也越来越远。,https://baike.baidu.com/item/%E6%9C%9B%E8%BF%9C%E9%95%9C/479223
