page_id,keyword,annotation,url
10,影像,影像是人对视觉感知的物质再现。影像可以由光学设备获取，如照相机、镜子、望远镜及显微镜等；也可以人为创作，如手工绘画图像等。影像也是一种视觉符号。通过专业设计的影像，可以发展成人与人沟通的视觉语言，也可以了解世界美术中大量的平面绘画、立体雕塑与建筑。,https://baike.baidu.com/item/%E5%BD%B1%E5%83%8F/5438121
10,传感器,传感器（英文名称：transducer/sensor）是一种检测装置，能感受到被测量的信息，并能将感受到的信息，按一定规律变换成为电信号或其他所需形式的信息输出，以满足信息的传输、处理、存储、显示、记录和控制等要求。传感器的特点包括：微型化、数字化、智能化、多功能化、系统化、网络化。它是实现自动检测和自动控制的首要环节。传感器的存在和发展，让物体有了触觉、味觉和嗅觉等感官，让物体慢慢变得活了起来。通常根据其基本感知功能分为热敏元件、光敏元件、气敏元件、力敏元件、磁敏元件、湿敏元件、声敏元件、放射线敏感元件、色敏元件和味敏元件等十大类。,https://baike.baidu.com/item/%E4%BC%A0%E6%84%9F%E5%99%A8/26757
9,测量范围,计量器具所能够测量的最小尺寸与最大尺寸之间的范围被称作该测量器具的测量范围。,https://baike.baidu.com/item/%E6%B5%8B%E9%87%8F%E8%8C%83%E5%9B%B4/10779215
8,信息安全,对于网络安全来说包括两个方面：一方面包括的是物理安全，指网络系统中各通信、计算机设备及相关设施等有形物品的保护，使他们不受到雨水淋湿等。另一方面还包括我们通常所说的逻辑安全。包含信息完整性、保密性以及可用性等等。物理安全和逻辑安全都非常的重要，任何一方面没有保护的情况下，网络安全就会受到影响，因此，在进行安全保护时必须合理安排，同时顾全这两个方面。,https://baike.baidu.com/item/%E4%BF%A1%E6%81%AF%E5%AE%89%E5%85%A8/339810
8,传感器,传感器（英文名称：transducer/sensor）是一种检测装置，能感受到被测量的信息，并能将感受到的信息，按一定规律变换成为电信号或其他所需形式的信息输出，以满足信息的传输、处理、存储、显示、记录和控制等要求。传感器的特点包括：微型化、数字化、智能化、多功能化、系统化、网络化。它是实现自动检测和自动控制的首要环节。传感器的存在和发展，让物体有了触觉、味觉和嗅觉等感官，让物体慢慢变得活了起来。通常根据其基本感知功能分为热敏元件、光敏元件、气敏元件、力敏元件、磁敏元件、湿敏元件、声敏元件、放射线敏感元件、色敏元件和味敏元件等十大类。,https://baike.baidu.com/item/%E4%BC%A0%E6%84%9F%E5%99%A8/26757
7,安全,安全，是一个汉语词语，是指不受威胁，没有危险、危害、损失。当汉语的“安全”一词用来译指英文时，可以与其对应的主要有safety和security两个单词，虽然这两个单词的含义及用法有所不同，但都可在不同意义上与中文“安全”相对应。,https://baike.baidu.com/item/%E5%AE%89%E5%85%A8/32778
9,传感器,传感器（英文名称：transducer/sensor）是一种检测装置，能感受到被测量的信息，并能将感受到的信息，按一定规律变换成为电信号或其他所需形式的信息输出，以满足信息的传输、处理、存储、显示、记录和控制等要求。传感器的特点包括：微型化、数字化、智能化、多功能化、系统化、网络化。它是实现自动检测和自动控制的首要环节。传感器的存在和发展，让物体有了触觉、味觉和嗅觉等感官，让物体慢慢变得活了起来。通常根据其基本感知功能分为热敏元件、光敏元件、气敏元件、力敏元件、磁敏元件、湿敏元件、声敏元件、放射线敏感元件、色敏元件和味敏元件等十大类。,https://baike.baidu.com/item/%E4%BC%A0%E6%84%9F%E5%99%A8/26757
9,ASIL,,https://baike.baidu.com//item/Asil%20Ra%C3%AFs
7,数控系统,数控系统是数字控制系统的简称，英文名称为（Numerical Control System），根据计算机存储器中存储的控制程序，执行部分或全部数值控制功能，并配有接口电路和伺服驱动装置的专用计算机系统。通过利用数字、文字和符号组成的数字指令来实现一台或多台机械设备动作控制，它所控制的通常是位置、角度、速度等机械量和开关量。,https://baike.baidu.com/item/%E6%95%B0%E6%8E%A7%E7%B3%BB%E7%BB%9F/8114507
6,减速器,减速器是一种由封闭在刚性壳体内的齿轮传动、蜗杆传动、齿轮-蜗杆传动所组成的独立部件，常用作原动件与工作机之间的减速传动装置 。在原动机和工作机或执行机构之间起匹配转速和传递转矩的作用，在现代机械中应用极为广泛。,https://baike.baidu.com/item/%E5%87%8F%E9%80%9F%E6%9C%BA/873618
7,可信,可信是一个汉语词汇，解释为可以相信、可以信赖、或可信，可不信。,https://baike.baidu.com/item/%E5%8F%AF%E4%BF%A1/2372362
6,传感器,传感器（英文名称：transducer/sensor）是一种检测装置，能感受到被测量的信息，并能将感受到的信息，按一定规律变换成为电信号或其他所需形式的信息输出，以满足信息的传输、处理、存储、显示、记录和控制等要求。传感器的特点包括：微型化、数字化、智能化、多功能化、系统化、网络化。它是实现自动检测和自动控制的首要环节。传感器的存在和发展，让物体有了触觉、味觉和嗅觉等感官，让物体慢慢变得活了起来。通常根据其基本感知功能分为热敏元件、光敏元件、气敏元件、力敏元件、磁敏元件、湿敏元件、声敏元件、放射线敏感元件、色敏元件和味敏元件等十大类。,https://baike.baidu.com/item/%E4%BC%A0%E6%84%9F%E5%99%A8/26757
5,金属膜,金属膜是20世纪90年代由美国研制成功的以多孔不锈钢为基体、TiO2陶瓷为膜层材料的一种新型金属-陶瓷复合型的无机膜。,https://baike.baidu.com/item/%E9%87%91%E5%B1%9E%E8%86%9C/7171844
5,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
8,工业,工业是指原料采集与产品加工制造的产业或工程。工业是社会分工发展的产物，经过手工业、机器工业几个发展阶段。工业是第二产业的组成部分，主要分为轻工业和重工业两类。2014年，中国工业生产总值达4万亿美元，超过美国成为世界头号工业生产国。,https://baike.baidu.com/item/%E5%B7%A5%E4%B8%9A/254750
5,电液,电液控制，是指在液压传动与控制中，能够接受模拟式或数字式信号，使输出的流量或压力边续成比例地受到控制的一种控制方法。,https://baike.baidu.com/item/%E7%94%B5%E6%B6%B2%E6%8E%A7%E5%88%B6/9039946
4,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
4,传感器,传感器（英文名称：transducer/sensor）是一种检测装置，能感受到被测量的信息，并能将感受到的信息，按一定规律变换成为电信号或其他所需形式的信息输出，以满足信息的传输、处理、存储、显示、记录和控制等要求。传感器的特点包括：微型化、数字化、智能化、多功能化、系统化、网络化。它是实现自动检测和自动控制的首要环节。传感器的存在和发展，让物体有了触觉、味觉和嗅觉等感官，让物体慢慢变得活了起来。通常根据其基本感知功能分为热敏元件、光敏元件、气敏元件、力敏元件、磁敏元件、湿敏元件、声敏元件、放射线敏感元件、色敏元件和味敏元件等十大类。,https://baike.baidu.com/item/%E4%BC%A0%E6%84%9F%E5%99%A8/26757
6,FS,fscommand ("fullscreen", "true/false");（全屏设置，TRUE开，FALSE关）。,https://baike.baidu.com/item/FS/3024221
3,传动系统,传动系统一般由离合器、变速器、万向传动装置、主减速器、差速器和半轴等组成。其基本功用是将发动机发出的动力传给汽车的驱动车轮，产生驱动力，使汽车能在一定速度上行驶。,https://baike.baidu.com/item/%E4%BC%A0%E5%8A%A8%E7%B3%BB%E7%BB%9F/7759232
3,运维,运维，这里指互联网运维，通常属于技术部门，与研发、测试、系统管理同为互联网产品技术支撑的4大部门，这个划分在国内和国外以及大小公司间都会多少有一些不同。一个互联网产品的生成一般经历的过程是：产品经理、需求分析、研发部门开发、测试部门测试、运维部门部署发布以及长期的运行维护。运维，本质上是对网络、服务器、服务的生命周期各个阶段的运营与维护，在成本、稳定性、效率上达成一致可接受的状态。,https://baike.baidu.com/item/%E8%BF%90%E7%BB%B4/8253097
3,智能,智能，是智慧和能力的总称，中国古代思想家一般把智与能看做是两个相对独立的概念。也有不少思想家把二者结合起来作为一个整体看待。,https://baike.baidu.com/item/%E6%99%BA%E8%83%BD/66637
2,装配,装配是一个汉语词语，指将零件按规定的技术要求组装起来，并经过调试、检验使之成为合格产品的过程，装配始于装配图纸的设计。 .产品都是由若干个零件和部件组成的。按照规定的技术要求，将若干个零件接合成部件或将若干个零件和部件接合成产品的劳动过程，称为装配。前者称为部件装配，后者称为总装配。它一般包括装配、调整、检验和试验、涂装、包装等工作。,https://baike.baidu.com/item/%E8%A3%85%E9%85%8D/7145348
4,高灵敏,,https://baike.baidu.com//item/%E9%AB%98%E7%81%B5%E6%95%8F%E7%83%AD%E5%8F%8C%E9%87%91%E5%B1%9E
2,滚动轴承,滚动轴承（rollingbearing）是将运转的轴与轴座之间的滑动摩擦变为滚动摩擦，从而减少摩擦损失的一种精密的机械元件。滚动轴承一般由内圈、外圈、滚动体和保持架四部分组成，内圈的作用是与轴相配合并与轴一起旋转；外圈作用是与轴承座相配合，起支撑作用；滚动体是借助于保持架均匀的将滚动体分布在内圈和外圈之间，其形状大小和数量直接影响着滚动轴承的使用性能和寿命；保持架能使滚动体均匀分布， 引导滚动体旋转起润滑作用。,https://baike.baidu.com/item/%E6%BB%9A%E5%8A%A8%E8%BD%B4%E6%89%BF/53483
1,检测,用指定的方法检验测试某种物体（气体、液体、固体）指定的技术性能指标。适用于各种行业范畴的质量评定，如：土木建筑工程、水利、食品、化学、环境、机械、机器等等。,https://baike.baidu.com/item/%E6%A3%80%E6%B5%8B/1200916
1,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
1,滚动轴承,滚动轴承（rollingbearing）是将运转的轴与轴座之间的滑动摩擦变为滚动摩擦，从而减少摩擦损失的一种精密的机械元件。滚动轴承一般由内圈、外圈、滚动体和保持架四部分组成，内圈的作用是与轴相配合并与轴一起旋转；外圈作用是与轴承座相配合，起支撑作用；滚动体是借助于保持架均匀的将滚动体分布在内圈和外圈之间，其形状大小和数量直接影响着滚动轴承的使用性能和寿命；保持架能使滚动体均匀分布， 引导滚动体旋转起润滑作用。,https://baike.baidu.com/item/%E6%BB%9A%E5%8A%A8%E8%BD%B4%E6%89%BF/53483
2,装调,,https://baike.baidu.com//item/%E7%94%B5%E5%AD%90%E4%BA%A7%E5%93%81%E8%A3%85%E8%B0%83
