page_id,keyword,annotation,url
31,示范,示范，读音为shì fàn，汉语词语，意思是做出榜样或典范,供人们学习；起示范作用；把事物摆出来或指出来使人知道。,https://baike.baidu.com/item/%E7%A4%BA%E8%8C%83/363731
30,固废,固体废物是指在生产，生活和其他活动过程中产生的丧失原有的利用价值或者虽未丧失利用价值但被抛弃或者放弃的固体，半固体，和置于容器中的气态物品，物质以及法律，行政法规规定纳入废物管理的物品，物质。不能排入水体的液态废物和不能排入大气的置于容器中的气态物质。由于多具有较大的危害性，一般归入固体废物管理体系。,https://baike.baidu.com/item/%E5%9B%BA%E4%BD%93%E5%BA%9F%E7%89%A9/5746875
28,固废,固体废物是指在生产，生活和其他活动过程中产生的丧失原有的利用价值或者虽未丧失利用价值但被抛弃或者放弃的固体，半固体，和置于容器中的气态物品，物质以及法律，行政法规规定纳入废物管理的物品，物质。不能排入水体的液态废物和不能排入大气的置于容器中的气态物质。由于多具有较大的危害性，一般归入固体废物管理体系。,https://baike.baidu.com/item/%E5%9B%BA%E4%BD%93%E5%BA%9F%E7%89%A9/5746875
27,固废,固体废物是指在生产，生活和其他活动过程中产生的丧失原有的利用价值或者虽未丧失利用价值但被抛弃或者放弃的固体，半固体，和置于容器中的气态物品，物质以及法律，行政法规规定纳入废物管理的物品，物质。不能排入水体的液态废物和不能排入大气的置于容器中的气态物质。由于多具有较大的危害性，一般归入固体废物管理体系。,https://baike.baidu.com/item/%E5%9B%BA%E4%BD%93%E5%BA%9F%E7%89%A9/5746875
26,固废,固体废物是指在生产，生活和其他活动过程中产生的丧失原有的利用价值或者虽未丧失利用价值但被抛弃或者放弃的固体，半固体，和置于容器中的气态物品，物质以及法律，行政法规规定纳入废物管理的物品，物质。不能排入水体的液态废物和不能排入大气的置于容器中的气态物质。由于多具有较大的危害性，一般归入固体废物管理体系。,https://baike.baidu.com/item/%E5%9B%BA%E4%BD%93%E5%BA%9F%E7%89%A9/5746875
25,固废,固体废物是指在生产，生活和其他活动过程中产生的丧失原有的利用价值或者虽未丧失利用价值但被抛弃或者放弃的固体，半固体，和置于容器中的气态物品，物质以及法律，行政法规规定纳入废物管理的物品，物质。不能排入水体的液态废物和不能排入大气的置于容器中的气态物质。由于多具有较大的危害性，一般归入固体废物管理体系。,https://baike.baidu.com/item/%E5%9B%BA%E4%BD%93%E5%BA%9F%E7%89%A9/5746875
29,盐湖,是咸水湖的一种，干旱地区含盐度很高的湖泊。淡水湖的矿化度小于1克/升，咸水湖矿化度为大于1克/升，矿化度大于35克/升的则是盐湖。盐湖是湖泊发展到老年期的产物，它富集着多种盐类，是重要的矿产资源。,https://baike.baidu.com/item/%E7%9B%90%E6%B9%96/67263
21,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
22,固废,固体废物是指在生产，生活和其他活动过程中产生的丧失原有的利用价值或者虽未丧失利用价值但被抛弃或者放弃的固体，半固体，和置于容器中的气态物品，物质以及法律，行政法规规定纳入废物管理的物品，物质。不能排入水体的液态废物和不能排入大气的置于容器中的气态物质。由于多具有较大的危害性，一般归入固体废物管理体系。,https://baike.baidu.com/item/%E5%9B%BA%E4%BD%93%E5%BA%9F%E7%89%A9/5746875
18,拆解,拆，汉语常用字（一级字），读作chāi或者cā，会意字，最早见于《说文》小篆。本义是“拆开”，这一本义在现代汉语中仍然沿用，如“拆信”“拆除”“拆毁”等；引申义有分别、辨析等。（基本信息栏参考资料：）,https://baike.baidu.com/item/%E6%8B%86/22057
19,装备,装备指配备的一些设备，引申指游戏中的非消耗性道具：衣服，腰带，首饰及武器等。,https://baike.baidu.com/item/%E8%A3%85%E5%A4%87/3504082
16,组份,组份即生态系统的组成成分。,https://baike.baidu.com/item/%E7%BB%84%E4%BB%BD/1572174
15,固废,固体废物是指在生产，生活和其他活动过程中产生的丧失原有的利用价值或者虽未丧失利用价值但被抛弃或者放弃的固体，半固体，和置于容器中的气态物品，物质以及法律，行政法规规定纳入废物管理的物品，物质。不能排入水体的液态废物和不能排入大气的置于容器中的气态物质。由于多具有较大的危害性，一般归入固体废物管理体系。,https://baike.baidu.com/item/%E5%9B%BA%E4%BD%93%E5%BA%9F%E7%89%A9/5746875
24,垃圾,垃圾是失去使用价值、 无法利用的废弃物品，是物质循环的重要环节。是不被需要或无用的固体、流体物质。在人口密集的大城市，垃圾处理是一个令人头痛的问题。常见的做法是收集后送往堆填区进行填埋处理，或是用焚化炉焚化。但两者均会制造环境保护的问题，而终止过度消费可进一步减轻堆填区饱和程度。堆填区中的垃圾处理不但会污染地下水和发出臭味，而且很多城市可供堆填的面积已越来越少。焚化则无可避免会产生有毒气体，危害生物体。多数的城市都在研究减少垃圾产生的方法，和鼓励资源回收。垃圾分类是实现减量、提质、增效的必然选择，是改善人居环境、促进城市精细化管理、保障可持续发展的重要举措。能不能做到垃圾分类，直接反映一个人，乃至一座城市的生态素养和文明程度。,https://baike.baidu.com/item/%E5%9E%83%E5%9C%BE/53497
23,危险废物,随着工业的发展，工业生产过程排放的危险废物日益增多。据估计，全世界每年的危险废物产生量为3.3亿吨。由于危险废物带来的严重污染和潜在的严重影响，在工业发达国家危险废物已称为"政治废物"，公众对危险废物问题十分敏感，反对在自己居住的地区设立危险废物处置场，加上危险废物的处置费用高昂，一些公司极力试图向工业不发达国家和地区转移危险废物。,https://baike.baidu.com/item/%E5%8D%B1%E9%99%A9%E5%BA%9F%E7%89%A9/5509933
13,固废,固体废物是指在生产，生活和其他活动过程中产生的丧失原有的利用价值或者虽未丧失利用价值但被抛弃或者放弃的固体，半固体，和置于容器中的气态物品，物质以及法律，行政法规规定纳入废物管理的物品，物质。不能排入水体的液态废物和不能排入大气的置于容器中的气态物质。由于多具有较大的危害性，一般归入固体废物管理体系。,https://baike.baidu.com/item/%E5%9B%BA%E4%BD%93%E5%BA%9F%E7%89%A9/5746875
14,难熔,难熔化合物包括难熔金属、合金及其化合物和复合材料等难熔材料在内, 由于它们独特的高熔点以及其它一些特有的性能, 历来被作为高新材料加以发展,尤其是在国防军工、航空航天、电子信息、能源、防化、冶金和核工业等领域有着不可替代的作用, 受到世界各国的高度重视, 已成为材料科学界最为活跃的研究领域之一。,https://baike.baidu.com/item/%E9%9A%BE%E7%86%94%E5%8C%96%E5%90%88%E7%89%A9/5979722
20,线路板,电路板的名称有：陶瓷电路板，氧化铝陶瓷电路板，氮化铝陶瓷电路板，线路板，PCB板，铝基板，高频板，厚铜板，阻抗板，PCB，超薄线路板，超薄电路板，印刷（铜刻蚀技术）电路板等。电路板使电路迷你化、直观化，对于固定电路的批量生产和优化用电器布局起重要作用。电路板可称为印刷线路板或印刷电路板，英文名称为（Printed Circuit Board）PCB、（Flexible Printed Circuit board）FPC线路板（FPC线路板又称柔性线路板柔性电路板是以聚酰亚胺或聚酯薄膜为基材制成的一种具有高度可靠性，绝佳的可挠性印刷电路板。具有配线密度高、重量轻、厚度薄、弯折性好的特点。）和软硬结合板（reechas，Soft and hard combination plate）-FPC与PCB的诞生与发展，催生了软硬结合板这一新产品。因此，软硬结合板，就是柔性线路板与硬性线路板，经过压合等工序，按相关工艺要求组合在一起，形成的具有FPC特性与PCB特性的线路板。,https://baike.baidu.com/item/%E7%94%B5%E8%B7%AF%E6%9D%BF/10106124
10,废弃物,化学术语中的废弃物是指在化学实验中产生的，在一定时间和空间范围内基本或者完全失去使用价值，无法回收和利用的排放物。化学废弃物按物理形态可分为废气、废液和废渣三种，简称“三废”。,https://baike.baidu.com/item/%E5%BA%9F%E5%BC%83%E7%89%A9/1299598
17,退役,退役，读音是tuì yì，汉语词语，意思是正式终止服役。,https://baike.baidu.com/item/%E9%80%80%E5%BD%B9/2332739
9,易腐,易腐食品是指在自然温度环境下受温度和湿度的影响，存放一定时间内容易发生动物性食物的死亡或变质，植物性食物的腐烂、霉变等异常质量问题。,https://baike.baidu.com/item/%E6%98%93%E8%85%90%E9%A3%9F%E5%93%81/4659848
6,固废,固体废物是指在生产，生活和其他活动过程中产生的丧失原有的利用价值或者虽未丧失利用价值但被抛弃或者放弃的固体，半固体，和置于容器中的气态物品，物质以及法律，行政法规规定纳入废物管理的物品，物质。不能排入水体的液态废物和不能排入大气的置于容器中的气态物质。由于多具有较大的危害性，一般归入固体废物管理体系。,https://baike.baidu.com/item/%E5%9B%BA%E4%BD%93%E5%BA%9F%E7%89%A9/5746875
8,废旧,废旧物资即陈旧（闲置）的东西，或废弃的，可以作为再生资源的可回收利用性。在日常生产生活过程中所剩余的价值不大的物资。包括：陈旧、报废、二手、库存、生产生活所产生的物资。例如废金属、废纸、再生塑料等，甚至废旧家电中还有相当一部分部件可以重复利用和作为再生资源的。废旧也是一种资源，只是不被人们所关注，很长时间一直秉持着旧货即丢、废品即扔的传统思想。这样不仅影响生态环境，而且这些“宝贝”有一定的经济价值，是一种变废为宝的“生财之道”。,https://baike.baidu.com/item/%E5%BA%9F%E6%97%A7%E7%89%A9%E8%B5%84/5698157
12,存余,,https://baike.baidu.com//item/%E8%8D%9A%E5%AD%98%E4%BD%99
3,固废,固体废物是指在生产，生活和其他活动过程中产生的丧失原有的利用价值或者虽未丧失利用价值但被抛弃或者放弃的固体，半固体，和置于容器中的气态物品，物质以及法律，行政法规规定纳入废物管理的物品，物质。不能排入水体的液态废物和不能排入大气的置于容器中的气态物质。由于多具有较大的危害性，一般归入固体废物管理体系。,https://baike.baidu.com/item/%E5%9B%BA%E4%BD%93%E5%BA%9F%E7%89%A9/5746875
