page_id,keyword,annotation,url
10,系统,系统一词来源于英文system的音译，即若干部分相互联系、相互作用，形成的具有某些功能的整体。中国著名学者钱学森认为：系统是由相互作用相互依赖的若干组成部分结合而成的，具有特定功能的有机整体，而且这个有机整体又是它从属的更大系统的组成部分。在数字信号处理的理论中，人们把能加工、变换数字信号的实体称作系统。由于处理数字信号的系统是在指定的时刻或时序对信号进行加工运算，所以这种系统被看作是离散时间的，也可以用基于时间的语言、表格、公式、波形四种方法来描述。从抽象的意义来说，系统和信号都可以看作序列。但是，系统是加工信号的机构，这点与信号不同。人们研究系统，设计系统，利用系统加工信号、服务人类。除上文的四种描述方法，描述系统的方法还有符号、单位脉冲响应、差分方程和图形。,https://baike.baidu.com/item/%E7%B3%BB%E7%BB%9F/479832
10,7MPa,七氟丙烷（HFC-227ea、FM-200）是无色、无味、不导电、无二次污染的气体，具有清洁、低毒、电绝缘性好，灭火效率高的特点，特别是它对臭氧层无破坏，在大气中的残留时间比较短，其环保性能明显优于卤代烷，是目前为止研究开发比较成功的一种洁净气体灭火剂，被认为是替代卤代烷1301、1211的最理想的产品之一。,https://baike.baidu.com/item/%E4%B8%83%E6%B0%9F%E4%B8%99%E7%83%B7%E6%B0%94%E4%BD%93%E7%81%AD%E7%81%AB%E7%B3%BB%E7%BB%9F/9673509
9,定位精度,定位精度（PositionaIAccuracy）是空间实体位置信息（通常为坐标）与其真实位置之间的接近程度。,https://baike.baidu.com/item/%E5%AE%9A%E4%BD%8D%E7%B2%BE%E5%BA%A6/5165935
9,机器人,机器人（Robot）是一种能够半自主或全自主工作的智能机器。历史上最早的机器人见于隋炀帝命工匠按照柳抃形象所营造的木偶机器人，施有机关，有坐、起、拜、伏等能力。机器人具有感知、决策、执行等基本特征，可以辅助甚至替代人类完成危险、繁重、复杂的工作，提高工作效率与质量，服务人类生活，扩大或延伸人的活动及能力范围。,https://baike.baidu.com/item/%E6%9C%BA%E5%99%A8%E4%BA%BA/888
10,5cm,5cm是香港i.t集团旗下其中一个自创品牌，于1998年秋季推出首个系列，设计概念以简洁，休闲的中性化服饰为主，主打风格为东京和香港街头路线。,https://baike.baidu.com/item/5cm/80871
9,钻孔,钻孔是指用钻头在实体材料上加工出孔的操作。这里讲述了勘探工作里的钻孔工作，以及钻孔需要的辅助工具以及部分应急措施方法。在地质勘查工作中，利用钻探设备向地下钻成的直径较小深度较大的柱状圆孔，又称钻井。钻探石油和天然气以及地下水的钻孔直径较大些。钻孔直径和深度大小，取决于地质矿产埋藏深度和钻孔的用途。,https://baike.baidu.com/item/%E9%92%BB%E5%AD%94/4291999
8,掘进,掘进是在岩(土)层或矿层中，开掘各种形状、断面或纵横交错的井、巷、峒室的工作。掘进工序分为主要工序和辅助工序。主要工序是直接在工作面上完成保证工作面进度的工序，以及在巷道掘进区域进行的支护作业。主要工序由巷道穿过的岩石性质而定。掘进硬岩时，主要工序有钻眼、装药、放炮、通风和工作面的安全检查、装岩、巷道支护;掘进软岩的基本工序有： 开掘岩石、装岩、支护。如采用风镐、联合机等方法开掘，则掘进作业有连续作业的特点。主要工序可以按严格的程序依次地完成，也可以在时间上同时进行(钻眼和装岩部分平行、钻眼与支护完全平行)。辅助工序是保证主要工序正常进行的工序，它包括调车、通风、排水、临时支架、工作面铺轨、照明、敷设风筒和电缆等工作。在大多数情况下它是与主要工序同时进行的，而不需占用掘进循环时间。,https://baike.baidu.com/item/%E6%8E%98%E8%BF%9B/2190107
8,煤矿,是人类在富含煤炭的矿区开采煤炭资源的区域，一般分为井工煤矿和露天煤矿。当煤层离地表远时，一般选择向地下开掘巷道采掘煤炭，此为井工煤矿。当煤层距地表的距离很近时，一般选择直接剥离地表土层挖掘煤炭，此为露天煤矿。我国绝大部分煤矿属于井工煤矿。煤矿范围包括地上地下以及相关设施的很大区域。煤矿是人类在开掘富含有煤炭的地质层时所挖掘的合理空间，通常包括巷道、井硐和采掘面等等。煤是最主要的固体燃料，是可燃性有机岩的一种。它是由一定地质年代生长的繁茂植物，在适宜的地质环境中，逐渐堆积成厚层，并埋没在水底或泥沙中，经过漫长地质年代的天然煤化作用而形成的。在世界上各地质时期中，以石炭纪、二叠纪、侏罗纪和第三纪的地层中产煤最多，是重要的成煤时代。煤的含碳量一般为46～97%，呈褐色至黑色，具有暗淡至金属光泽。根据煤化程度的不同，煤可分为泥炭、褐煤、烟煤和无烟煤四类。2018年，山西化解煤炭过剩产能关闭退出煤矿36座，退出产能2330万吨/年。,https://baike.baidu.com/item/%E7%85%A4%E7%9F%BF/3079106
8,机器人,机器人（Robot）是一种能够半自主或全自主工作的智能机器。历史上最早的机器人见于隋炀帝命工匠按照柳抃形象所营造的木偶机器人，施有机关，有坐、起、拜、伏等能力。机器人具有感知、决策、执行等基本特征，可以辅助甚至替代人类完成危险、繁重、复杂的工作，提高工作效率与质量，服务人类生活，扩大或延伸人的活动及能力范围。,https://baike.baidu.com/item/%E6%9C%BA%E5%99%A8%E4%BA%BA/888
7,掘进,掘进是在岩(土)层或矿层中，开掘各种形状、断面或纵横交错的井、巷、峒室的工作。掘进工序分为主要工序和辅助工序。主要工序是直接在工作面上完成保证工作面进度的工序，以及在巷道掘进区域进行的支护作业。主要工序由巷道穿过的岩石性质而定。掘进硬岩时，主要工序有钻眼、装药、放炮、通风和工作面的安全检查、装岩、巷道支护;掘进软岩的基本工序有： 开掘岩石、装岩、支护。如采用风镐、联合机等方法开掘，则掘进作业有连续作业的特点。主要工序可以按严格的程序依次地完成，也可以在时间上同时进行(钻眼和装岩部分平行、钻眼与支护完全平行)。辅助工序是保证主要工序正常进行的工序，它包括调车、通风、排水、临时支架、工作面铺轨、照明、敷设风筒和电缆等工作。在大多数情况下它是与主要工序同时进行的，而不需占用掘进循环时间。,https://baike.baidu.com/item/%E6%8E%98%E8%BF%9B/2190107
7,机器人,机器人（Robot）是一种能够半自主或全自主工作的智能机器。历史上最早的机器人见于隋炀帝命工匠按照柳抃形象所营造的木偶机器人，施有机关，有坐、起、拜、伏等能力。机器人具有感知、决策、执行等基本特征，可以辅助甚至替代人类完成危险、繁重、复杂的工作，提高工作效率与质量，服务人类生活，扩大或延伸人的活动及能力范围。,https://baike.baidu.com/item/%E6%9C%BA%E5%99%A8%E4%BA%BA/888
