page_id,keyword,annotation,url
5,著作权,著作权过去称为版权。版权最初的含义是copyright（版权），也就是复制权。此乃因过去印刷术的不普及，当时社会认为附随于著作物最重要之权利莫过于将之印刷出版之权，故有此称呼。不过随着时代演进及科技的进步，著作的种类逐渐增加。世界上第一部版权法英国《安娜法令》开始保护作者的权利，而不仅仅是出版者的权利。1791年，法国颁布了《表演权法》，开始重视保护作者的表演权利。1793年又颁布了《作者权法》，作者的精神权利得到了进一步的重视。,https://baike.baidu.com/item/%E8%91%97%E4%BD%9C%E6%9D%83/505674
5,细胞,细胞（英文名：cell）并没有统一的定义，比较普遍的提法是：细胞是生物体基本的结构和功能单位。已知除病毒之外的所有生物均由细胞所组成，但病毒生命活动也必须在细胞中才能体现。一般来说，细菌等绝大部分微生物以及原生动物由一个细胞组成，即单细胞生物，高等植物与高等动物则是多细胞生物。细胞可分为原核细胞、真核细胞两类，但也有人提出应分为三类，即把原属于原核细胞的古核细胞独立出来作为与之并列的一类。研究细胞的学科称为细胞生物学。细胞体形极微，在显微镜下始能窥见，形状多种多样。主要由细胞核与细胞质构成，表面有细胞膜。高等植物细胞膜外有细胞壁，细胞质中常有质体，体内有叶绿体和液泡，还有线粒体。动物细胞无细胞壁，细胞质中常有中心体，而高等植物细胞中则无。细胞有运动、营养和繁殖等机能。,https://baike.baidu.com/item/%E7%BB%86%E8%83%9E/84931
5,荧光,荧光，汉语词语。又作“萤光”，是指一种光致发光的冷发光现象。当某种常温物质经某种波长的入射光（通常是紫外线或X射线）照射，吸收光能后进入激发态，并且立即退激发并发出比入射光的波长长的出射光（通常波长在可见光波段）；很多荧光物质一旦停止入射光，发光现象也随之立即消失。具有这种性质的出射光就被称之为荧光。另外有一些物质在入射光撤去后仍能较长时间发光，这种现象称为余辉。在日常生活中，人们通常广义地把各种微弱的光亮都称为荧光，而不去仔细追究和区分其发光原理。  也指温度(不是色温)低的冷光。,https://baike.baidu.com/item/%E8%8D%A7%E5%85%89/2942797
5,分选,分选(Sorting)是固体废物处理中重要的单元操作，其目的是将固体废物中可回收利用的或不利于后续处理、处置工艺要求的物质分离出来。分选包括人工分选和机械分选。人工分选(Hand sorting)适用于废物发生地、收集站、处理中心、转运站或处置场，大多集中在转运站或处理中心的废物传送带两旁，要求废物不能有太大的质量和含水率，不能对人体有害。机械分选(Mechanical separation)是根据废物的粒度、密度、磁性、导电性、摩擦性、弹性、表面润湿性、颜色等物理性质的不同进行分选，可分为筛分、重力分选、磁力分选、电力分选、摩擦与弹跳分选、浮选、光电分选和涡电流分选等。[1-2],https://baike.baidu.com/item/%E5%88%86%E9%80%89/1100196
3,强磁场,超强磁场是指采用超导技术产生的5T（Tesla）以上的磁场，同时也包括采用脉冲技术、或者混合磁体技术或者超高功率电磁铁技术产生的超高强磁场，也不排除探讨宇宙中黑洞产生的108 T的极限磁场。但从时效性和经济的角度考虑，能长时间经济地维持5T以上的磁场还只有依靠超导技术。,https://baike.baidu.com/item/%E8%B6%85%E5%BC%BA%E7%A3%81%E5%9C%BA/1845946
5,数量,数量，指事物的多少。是对现实生活中事物量的抽象表达方式。从远古时代开始，在日常生活和生产实践中，人们就需要创造出一些语言来表达事物（事件与物件）量的多少。,https://baike.baidu.com/item/%E6%95%B0%E9%87%8F/11005225
4,30kV,,https://baike.baidu.com//item/30Kv%E9%9D%99%E7%94%B5%E4%BA%A7%E7%94%9F%E5%99%A8
4,电子束,电子经过汇集成束。具有高能量密度。它是利用电子枪中阴极所产生的电子在阴阳极间的高压（25-300kV）加速电场作用下被加速至很高的速度（0.3-0.7倍光速），经透镜会聚作用后，形成密集的高速电子流。,https://baike.baidu.com/item/%E7%94%B5%E5%AD%90%E6%9D%9F/3516265
2,质谱,质谱（又叫质谱法）是一种与光谱并列的谱学方法，通常意义上是指广泛应用于各个学科领域中通过制备、分离、检测气相离子来鉴定化合物的一种专门技术。质谱法在一次分析中可提供丰富的结构信息，将分离技术与质谱法相结合是分离科学方法中的一项突破性进展。在众多的分析测试方法中，质谱学方法被认为是一种同时具备高特异性和高灵敏度且得到了广泛应用的普适性方法。质谱仪器一般由样品导入系统、离子源、质量分析器、检测器、数据处理系统等部分组成。,https://baike.baidu.com/item/%E8%B4%A8%E8%B0%B1/2444535
4,离子束,离子束是指以近似一致的速度沿几乎同一方向运动的一群离子。离子源用以获得离子束的装置。在各类离子源中，用得最多的是等离子体离子源，即用电场将离子从一团等离子体中引出来。这类离子源的主要参数由等离子体的密度、温度和引出系统的质量决定。属于这类离子源的有:潘宁放电型离子源射频离子源、微波离子源、双等离子体源、富立曼离子源等。另一类使用较多的离子源是电子碰撞型离子源，主要用于各种质谱仪器中。,https://baike.baidu.com/item/%E7%A6%BB%E5%AD%90%E6%9D%9F/10969453
4,双束,“双束碑”名为“岱岳观造像记碑”，立于唐高宗显庆六年（661年），是唐高宗等六帝一后到泰山行建醮造像之事时所立。“双束碑”高3.18米、宽1.05米，碑首作殿阁九脊歇山顶，雕刻精美，具有典型的唐代风格。碑文刻于碑身四周，每面作四五层，每层刻文一则或二则不等，皆为正书，共计24则。,https://baike.baidu.com/item/%E5%8F%8C%E6%9D%9F%E7%A2%91/3715839
2,开发,开发，是指以荒地、矿山、森林、水力等自然资源为对象进行劳动，以达到利用的目的；开拓；发现或发掘人才、技术等供利用。发掘、收集、整理、选择文化资源等,https://baike.baidu.com/item/%E5%BC%80%E5%8F%91/9400971
3,物性,物性参数主要是材料在制工方面能否达到要求的数据。不同材料有不同的物性参数。比如尼龙，就有很多数据要求，有冲击强度，拉伸强度，融溶指数等等。,https://baike.baidu.com/item/%E7%89%A9%E6%80%A7%E5%8F%82%E6%95%B0/8859744
4,聚焦,聚焦是控制一束光或粒子流使其尽可能会聚于一点的过程（focus）。,https://baike.baidu.com/item/%E8%81%9A%E7%84%A6/47127
3,测量,测量是按照某种规律，用数据来描述观察到的现象，即对事物作出量化描述。测量是对非量化实物的量化过程。在机械工程里面，测量指将被测量与具有计量单位的标准量在数值上进行比较，从而确定二者比值的实验认识过程。,https://baike.baidu.com/item/%E6%B5%8B%E9%87%8F/398072
2,联用,液质联用（HPLC-MS）又叫液相色谱-质谱联用技术，它以液相色谱作为分离系统，质谱为检测系统。样品在质谱部分和流动相分离，被离子化后，经质谱的质量分析器将离子碎片按质量数分开，经检测器得到质谱图。液质联用体现了色谱和质谱优势的互补，将色谱对复杂样品的高分离能力，与MS具有高选择性、高灵敏度及能够提供相对分子质量与结构信息的优点结合起来，在药物分析、食品分析和环境分析等许多领域得到了广泛的应用。,https://baike.baidu.com/item/%E6%B6%B2%E8%B4%A8%E8%81%94%E7%94%A8/4978235
2,离子,离子是指原子或原子基团失去或得到一个或几个电子而形成的带电荷的粒子。这一过程称为电离。电离过程所需或放出的能量称为电离能。在化学反应中，金属元素原子失去最外层电子，非金属原子得到电子，从而使参加反应的原子或原子团带上电荷。带电荷的原子叫做离子，带正电荷的原子叫做阳离子，带负电荷的原子叫做阴离子。阴、阳离子由于静电作用而形成不带电性的化合物。与分子、原子一样，离子也是构成物质的基本粒子。如氯化钠就是由氯离子和钠离子构成的。,https://baike.baidu.com/item/%E7%A6%BB%E5%AD%90/1142599
1,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
2,四极,四极，汉语词语，读音sì jí，意思是四方极远之地；指四方极远之国；古代神话传说中四方的擎天柱；四境；指四肢。,https://baike.baidu.com/item/%E5%9B%9B%E6%9E%81/3668892
1,仪器设备,仪器，指科学技术上用于实验、计量、观测、检验、绘图等的器具或装置。通常是为某一特定用途所准备的一套装置或机器。仪器通常用于科学研究或技术测量、工业自动化过程控制、生产等用途，一般来说专用于一个目的的设备或装置。仪器构造较为复杂，属于高新技术产品，由多个部件组成的。仪器体积、重量、形状有各种各样，最小的可以直接拿在手中操作，较大体积的仪器一般被称为装置或设备。,https://baike.baidu.com/item/%E4%BB%AA%E5%99%A8/1025692
1,专项,特定的某个项目。例句：～训练。进行～检查。～资金。[1-2],https://baike.baidu.com/item/%E4%B8%93%E9%A1%B9/10927791
1,年度,年度：某个年份的一整年，如2012年的一整年算一个年度；根据业务性质和需要而规定的有一定起讫日期的十二个月。,https://baike.baidu.com/item/%E5%B9%B4%E5%BA%A6/9094815
