page_id,keyword,annotation,url
8,汽车,我国国家最新标准《汽车和挂车类型的术语和定义》（GB/T 3730．1—2001）中对汽车有如下定义：由动力驱动，具有4个或4个以上车轮的非轨道承载的车辆，主要用于：载运人员和（或）货物；牵引载运人员和（或）货物的车辆；特殊用途。国产汽车品牌有：红旗、长安、长城、奇瑞、吉利、荣威等。国外汽车品牌有：丰田、大众、现代、起亚、标致等。,https://baike.baidu.com/item/%E6%B1%BD%E8%BD%A6/152503
9,定期检验,,https://baike.baidu.com//item/%E5%AE%9A%E6%9C%9F%E6%A3%80%E9%AA%8C
7,路网,公路网是指在全国或一个地区，根据交通运输的需要由各级公路组成一个四通八达的网状系统。全国公路网分为干道网和地方道路网。干道网内有国道和省市干道。地方道路网包括县道和社乡道路。,https://baike.baidu.com/item/%E5%85%AC%E8%B7%AF%E7%BD%91/5293088
7,出行,出行，拼音（Chu Xing）缩写为CX，指外出旅行、观光游览，或者车辆、行人从出发地向目的地移动的交通行为。语出《史记·天官书》：“其出行十八舍二百四十日而入。”传统诞育习俗。小儿出生3日后，择双日好天气，由其父抱到大街上转一圈，谓之“出行”。,https://baike.baidu.com/item/%E5%87%BA%E8%A1%8C/3719183
9,交通事故,“交通事故(Traffic Accident)”是指车辆在道路上因过错或者意外造成人身伤亡或者财产损失的事件。交通事故不仅是由不特定的人员违反道路交通安全法规造成的；也可以是由于地震、台风、山洪、雷击等不可抗拒的自然灾害造成。,https://baike.baidu.com/item/%E4%BA%A4%E9%80%9A%E4%BA%8B%E6%95%85
8,安全,安全生产是保护劳动者的安全、健康和国家财产，促进社会生产力发展的基本保证，也是保证社会主义经济发展，进一步实行改革开放的基本条件。因此，做好安全生产工作具有重要的意义。2020年4月28日，国务院新闻办公室举行《全国安全生产专项整治三年行动计划》新闻发布会。,https://baike.baidu.com/item/%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7/754553
9,新能源,新能源( NE）：又称非常规能源。是指传统能源之外的各种能源形式。指刚开始开发利用或正在积极研究、有待推广的能源，如太阳能、地热能、风能、海洋能、生物质能和核聚变能等。,https://baike.baidu.com/item/%E6%96%B0%E8%83%BD%E6%BA%90/53368
6,服务,服务是一个汉语词汇，拼音是fú wù。意思是指履行职务，为他人做事，并使他人从中受益的一种有偿或无偿的活动，不以实物形式而以提供劳动的形式满足他人某种特殊需要；也指任职。,https://baike.baidu.com/item/%E6%9C%8D%E5%8A%A1/85523
8,新能源,新能源( NE）：又称非常规能源。是指传统能源之外的各种能源形式。指刚开始开发利用或正在积极研究、有待推广的能源，如太阳能、地热能、风能、海洋能、生物质能和核聚变能等。,https://baike.baidu.com/item/%E6%96%B0%E8%83%BD%E6%BA%90/53368
7,识别,识别，读音是shí bié，汉语词语，意思是区分,分辨。,https://baike.baidu.com/item/%E8%AF%86%E5%88%AB/264948
5,交通系统,交通系统（traffic system）是1996年公布的公路交通科学技术名词。,https://baike.baidu.com/item/%E4%BA%A4%E9%80%9A%E7%B3%BB%E7%BB%9F/4723660
4,融合,物理意义上指熔成或如熔化那样融成一体。心理意义上指不同个体或不同群体在一定的碰撞或接触之后，认知、情感或态度倾向融为一体。,https://baike.baidu.com/item/%E8%9E%8D%E5%90%88/72742
4,感知,感知即意识对内外界信息的觉察、感觉、注意、知觉的一系列过程。感知可分为感觉过程和知觉过程。感觉过程中被感觉的信息包括有机体内部的生理状态，心理活动，也包含外部环境的存在以及存在关系信息。感觉不仅接受信息，也受到心理作用影响。知觉过程中对感觉信息进行有组织的处理，对事物存在形式进行理解认识。,https://baike.baidu.com/item/%E6%84%9F%E7%9F%A5/10752910
4,路侧,路侧带是指城市道路行车道两侧的人行道，绿带，公用设施带等的统称。,https://baike.baidu.com/item/%E8%B7%AF%E4%BE%A7%E5%B8%A6/7994761
5,自主,自主指自己主动，不受别人支配。心理学中自主就是遇事有主见，能对自己的行为负责。,https://baike.baidu.com/item/%E8%87%AA%E4%B8%BB/197655
3,跨径,跨径【span】，指的是结构或构件支承间的水平距离。,https://baike.baidu.com/item/%E8%B7%A8%E5%BE%84/8422490
6,装备,装备指配备的一些设备，引申指游戏中的非消耗性道具：衣服，腰带，首饰及武器等。,https://baike.baidu.com/item/%E8%A3%85%E5%A4%87/3504082
3,芯片,集成电路英语：integrated circuit，缩写作 IC；或称微电路（microcircuit）、微芯片（microchip）、晶片/芯片（chip）在电子学中是一种将电路（主要包括半导体设备，也包括被动组件等）小型化的方式，并时常制造在半导体晶圆表面上。,https://baike.baidu.com/item/%E8%8A%AF%E7%89%87/32249
6,轨道交通,轨道交通是指运营车辆需要在特定轨道上行驶的一类交通工具或运输系统。最典型的轨道交通就是由传统火车和标准铁路所组成的铁路系统。随着火车和铁路技术的多元化发展，轨道交通呈现出越来越多的类型，不仅遍布于长距离的陆地运输，也广泛运用于中短距离的城市公共交通中。常见的轨道交通有传统铁路（国家铁路、城际铁路和市域铁路）、地铁、轻轨和有轨电车，新型轨道交通有磁悬浮轨道系统、单轨系统（跨座式轨道系统和悬挂式轨道系统）和旅客自动捷运系统等。在中国国家标准《城市公共交通常用名词术语》中，将城市轨道交通定义为“通常以电能为动力，采取轮轨运转方式的快速大运量公共交通的总称。”根据服务范围差异，轨道交通一般分成国家铁路系统、城际轨道交通和城市轨道交通三大类。轨道交通普遍具有运量大、速度快、班次密、安全舒适、准点率高、全天候、运费低和节能环保等优点，但同时常伴随着较高的前期投资、技术要求和维护成本，并且占用的空间往往较大。,https://baike.baidu.com/item/%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A/1141093
5,架构,架构，又名软件架构，是有关软件整体结构与组件的抽象描述，用于指导大型软件系统各个方面的设计。架构描述语言（ADL）用于描述软件的体系架构。现在已有多种架构描述语言，如Wright（由卡内基梅隆大学开发），Acme（由卡内基梅隆大学开发），C2（由UCI开发），Darwin（由伦敦帝国学院开发）。ADL的基本构成包括组件、连接器和配置。,https://baike.baidu.com/item/%E6%9E%B6%E6%9E%84/13004195
