page_id,keyword,annotation,url
23,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
21,电力线,电场线是为了直观形象地描述电场分布而在电场中引入的一些假想的曲线。曲线上每一点的切线方向和该点电场强度的方向一致；曲线密集的地方场强强，稀疏的地方场强弱。电场线不是客观存在的一种物质，是人为地画出的形象描述电场分布的辅助工具。电场线最早由法拉第引入与使用。,https://baike.baidu.com/item/%E7%94%B5%E5%9C%BA%E7%BA%BF/9498182
24,存算,,https://baike.baidu.com//item/%E7%BC%93%E5%AD%98%E7%AE%97%E6%B3%95
22,毫米波,毫米波 （millimeter wave ）：波长为1～10毫米的电磁波称毫米波，它位于微波与远红外波相交叠的波长范围，因而兼有两种波谱的特点。毫米波的理论和技术分别是微波向高频的延伸和光波向低频的发展。2020年6月15日，中国工程院院士刘韵洁表示，南京网络通讯与安全紫金山实验室已研制出CMOS毫米波全集成4通道相控阵芯片。,https://baike.baidu.com/item/%E6%AF%AB%E7%B1%B3%E6%B3%A2/2458350
18,芯片,集成电路英语：integrated circuit，缩写作 IC；或称微电路（microcircuit）、微芯片（microchip）、晶片/芯片（chip）在电子学中是一种将电路（主要包括半导体设备，也包括被动组件等）小型化的方式，并时常制造在半导体晶圆表面上。,https://baike.baidu.com/item/%E8%8A%AF%E7%89%87/32249
17,芯片,集成电路英语：integrated circuit，缩写作 IC；或称微电路（microcircuit）、微芯片（microchip）、晶片/芯片（chip）在电子学中是一种将电路（主要包括半导体设备，也包括被动组件等）小型化的方式，并时常制造在半导体晶圆表面上。,https://baike.baidu.com/item/%E8%8A%AF%E7%89%87/32249
15,光纤,光纤是光导纤维的简写，是一种由玻璃或塑料制成的纤维，可作为光传导工具。传输原理是“光的全反射”。前香港中文大学校长高锟和George A. Hockham首先提出光纤可以用于通讯传输的设想，高锟因此获得2009年诺贝尔物理学奖。,https://baike.baidu.com/item/%E5%85%89%E7%BA%A4/171632
12,集成,集成，读音jí chéng，汉语词语，意思是总体;尤指知识的或证据的。,https://baike.baidu.com/item/%E9%9B%86%E6%88%90/1829613
20,低功耗,随着计算机技术和微电子技术的迅速发展，嵌入式系统应用领域越来越广泛。节能是全球化的热潮，如计算机里的许多芯片过去用5V供电，现在用3.3V、1.8V，并提出了绿色系统的概念。很多厂商很注重微控制器的低功耗问题。电路与系统的低功耗设计一直都是电子工程技术人员设计时需要考虑的重要因素。,https://baike.baidu.com/item/%E4%BD%8E%E5%8A%9F%E8%80%97/712641
19,USB,USB，是英文Universal Serial Bus（通用串行总线）的缩写，是一个外部总线标准，用于规范电脑与外部设备的连接和通讯。是应用在PC领域的接口技术。,https://baike.baidu.com/item/USB/99797
14,复用,通信术语中的复用，指的是信道复用技术。复用（multiplexing）是通信技术中的基本概念。在计算机网络中的信道广泛地使用各种复用技术。,https://baike.baidu.com/item/%E5%A4%8D%E7%94%A8/9857249
10,集成化,集成化，是把某些东西(或功能)集在一起，而不是一个设备一个功能。,https://baike.baidu.com/item/%E9%9B%86%E6%88%90%E5%8C%96/2096939
11,芯片,集成电路英语：integrated circuit，缩写作 IC；或称微电路（microcircuit）、微芯片（microchip）、晶片/芯片（chip）在电子学中是一种将电路（主要包括半导体设备，也包括被动组件等）小型化的方式，并时常制造在半导体晶圆表面上。,https://baike.baidu.com/item/%E8%8A%AF%E7%89%87/32249
16,图像,图像是人类视觉的基础，是自然景物的客观反映，是人类认识世界和人类本身的重要源泉。“图”是物体反射或透射光的分布，“像“是人的视觉系统所接受的图在人脑中所形版的印象或认识，照片、绘画、剪贴画、地图、书法作品、手写汉学、传真、卫星云图、影视画面、X光片、脑电图、心电图等都是图像。,https://baike.baidu.com/item/%E5%9B%BE%E5%83%8F/773234
9,芯片,集成电路英语：integrated circuit，缩写作 IC；或称微电路（microcircuit）、微芯片（microchip）、晶片/芯片（chip）在电子学中是一种将电路（主要包括半导体设备，也包括被动组件等）小型化的方式，并时常制造在半导体晶圆表面上。,https://baike.baidu.com/item/%E8%8A%AF%E7%89%87/32249
7,芯片,集成电路英语：integrated circuit，缩写作 IC；或称微电路（microcircuit）、微芯片（microchip）、晶片/芯片（chip）在电子学中是一种将电路（主要包括半导体设备，也包括被动组件等）小型化的方式，并时常制造在半导体晶圆表面上。,https://baike.baidu.com/item/%E8%8A%AF%E7%89%87/32249
13,LNOI,,https://baike.baidu.com/item/LNOI

3,芯片,集成电路英语：integrated circuit，缩写作 IC；或称微电路（microcircuit）、微芯片（microchip）、晶片/芯片（chip）在电子学中是一种将电路（主要包括半导体设备，也包括被动组件等）小型化的方式，并时常制造在半导体晶圆表面上。,https://baike.baidu.com/item/%E8%8A%AF%E7%89%87/32249
