page_id,keyword,annotation,url
15,标定,标定，主要是指使用标准的计量仪器对所使用仪器的准确度（精度）进行检测是否符合标准，一般大多用于精密度较高的仪器。标定也可以认为是校准。因此，也可以认为标定包含以上两方面的意思。,https://baike.baidu.com/item/%E6%A0%87%E5%AE%9A/304113
13,关键技术,亦称“关键动作”。动作技术中至关重要的部分，它是掌握动作技术、提高运动成绩起决定作用的环节。如跳远技术中的起跳。在体育教学与训练中都需要狠抓这个动作关键。,https://baike.baidu.com/item/%E5%85%B3%E9%94%AE%E6%8A%80%E6%9C%AF/5692286
14,铝合金,以铝为基添加一定量其他合金化元素的合金，是轻金属材料之一。,https://baike.baidu.com/item/%E9%93%9D%E5%90%88%E9%87%91/2218146
16,100mm,,https://baike.baidu.com//item/%E4%BD%B3%E8%83%BD100mm
13,轮毂,轮毂是轮胎内廓轮钢通过立柱连接的轮芯旋转部分，即支撑轮胎的中心装在轴上的金属部件。又叫轮圈、钢圈、轱辘、胎铃。轮毂根据直径、宽度、成型方式、材料不同种类繁多。,https://baike.baidu.com/item/%E8%BD%AE%E6%AF%82/9428673
12,测量,测量是按照某种规律，用数据来描述观察到的现象，即对事物作出量化描述。测量是对非量化实物的量化过程。在机械工程里面，测量指将被测量与具有计量单位的标准量在数值上进行比较，从而确定二者比值的实验认识过程。,https://baike.baidu.com/item/%E6%B5%8B%E9%87%8F/398072
11,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
15,仪表,仪表，指准则、模范；容貌举止；测量指示的器具。见南朝梁沉约《豫章文宪王碑》：“公德惟民望，位冠朝首，仪表瑰雄，风神秀杰。”,https://baike.baidu.com/item/%E4%BB%AA%E8%A1%A8/9732967
9,薄膜,薄膜是一种薄而软的透明薄片。用塑料、胶粘剂、橡胶或其他材料制成。薄膜科学上的解释为：由原子，分子或离子沉积在基片表面形成的2维材料。例：光学薄膜、复合薄膜、超导薄膜、聚酯薄膜、尼龙薄膜、塑料薄膜等等。薄膜被广泛用于电子电器，机械，印刷等行业。薄膜材料是指厚度介于单原子到几毫米间的薄金属或有机物层。电子半导体功能器件和光学镀膜是薄膜技术的主要应用。,https://baike.baidu.com/item/%E8%96%84%E8%86%9C/1018135
16,99%,,https://baike.baidu.com//item/99%25
10,温度传感器,温度传感器（temperature transducer）是指能感受温度并转换成可用输出信号的传感器。温度传感器是温度测量仪表的核心部分，品种繁多。按测量方式可分为接触式和非接触式两大类，按照传感器材料及电子元件特性分为热电阻和热电偶两类。,https://baike.baidu.com/item/%E6%B8%A9%E5%BA%A6%E4%BC%A0%E6%84%9F%E5%99%A8/1202879
9,MEMS,MEMS传感器即微机电系统（Microelectro Mechanical Systems），是在微电子技术基础上发展起来的多学科交叉的前沿研究领域。经过四十多年的发展，已成为世界瞩目的重大科技领域之一。它涉及电子、机械、材料、物理学、化学、生物学、医学等多种学科与技术，具有广阔的应用前景。截止到2010年，全世界有大约600余家单位从事MEMS的研制和生产工作，已研制出包括微型压力传感器、加速度传感器、微喷墨打印头、数字微镜显示器在内的几百种产品，其中MEMS传感器占相当大的比例。MEMS传感器是采用微电子和微机械加工技术制造出来的新型传感器。与传统的传感器相比，它具有体积小、重量轻、成本低、功耗低、可靠性高、适于批量化生产、易于集成和实现智能化的特点。同时，在微米量级的特征尺寸使得它可以完成某些传统机械传感器所不能实现的功能。,https://baike.baidu.com/item/MEMS%E4%BC%A0%E6%84%9F%E5%99%A8/6439597
10,关键技术,亦称“关键动作”。动作技术中至关重要的部分，它是掌握动作技术、提高运动成绩起决定作用的环节。如跳远技术中的起跳。在体育教学与训练中都需要狠抓这个动作关键。,https://baike.baidu.com/item/%E5%85%B3%E9%94%AE%E6%8A%80%E6%9C%AF/5692286
8,零件,零件，汉语词语，读音是líng jìan，意思是用来装配成机器的单个制件。,https://baike.baidu.com/item/%E9%9B%B6%E4%BB%B6/33803
12,跟踪,跟踪是一个汉语词汇，拼音是gēn zōng，指紧紧跟在后面（追赶、监视等）。,https://baike.baidu.com/item/%E8%B7%9F%E8%B8%AA/33041
14,铸件,铸件是用各种铸造方法获得的金属成型物件，即把冶炼好的液态金属，用浇注、压射、吸入或其它浇铸方法注入预先准备好的铸型中，冷却后经打磨等后续加工手段后，所得到的具有一定形状，尺寸和性能的物件。,https://baike.baidu.com/item/%E9%93%B8%E4%BB%B6/8630729
11,芯片,集成电路英语：integrated circuit，缩写作 IC；或称微电路（microcircuit）、微芯片（microchip）、晶片/芯片（chip）在电子学中是一种将电路（主要包括半导体设备，也包括被动组件等）小型化的方式，并时常制造在半导体晶圆表面上。,https://baike.baidu.com/item/%E8%8A%AF%E7%89%87/32249
8,热处理,热处理是指材料在固态下，通过加热、保温和冷却的手段，以获得预期组织和性能的一种金属热加工工艺。在从石器时代进展到铜器时代和铁器时代的过程中，热处理的作用逐渐为人们所认识。早在公元前770至前222年，中国人在生产实践中就已发现，钢铁的性能会因温度和加压变形的影响而变化。白口铸铁的柔化处理就是制造农具的重要工艺。,https://baike.baidu.com/item/%E7%83%AD%E5%A4%84%E7%90%86/609067
7,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
5,减速器,减速器是一种由封闭在刚性壳体内的齿轮传动、蜗杆传动、齿轮-蜗杆传动所组成的独立部件，常用作原动件与工作机之间的减速传动装置 。在原动机和工作机或执行机构之间起匹配转速和传递转矩的作用，在现代机械中应用极为广泛。,https://baike.baidu.com/item/%E5%87%8F%E9%80%9F%E6%9C%BA/873618
7,锥齿轮,锥齿轮用来传递两相交轴之间的运动和动力，在一般机械中，锥齿轮两轴之间的交角等于90°（但也可以不等于90°）。与圆柱齿轮类似，锥齿轮有分度圆锥、齿顶圆锥、齿根圆锥和基圆锥。圆锥体有大端和小端，其对应大端的圆分别称为分度圆（其半径为r）、齿顶圆、齿根圆和基圆。一对锥齿轮的运动相当于一对节圆锥作纯滚动。,https://baike.baidu.com/item/%E9%94%A5%E9%BD%BF%E8%BD%AE/4525879
5,轴承,轴承（Bearing）是当代机械设备中一种重要零部件。它的主要功能是支撑机械旋转体，降低其运动过程中的摩擦系数（friction coefficient），并保证其回转精度（accuracy）。,https://baike.baidu.com/item/%E8%BD%B4%E6%89%BF/177492
6,轴承,轴承（Bearing）是当代机械设备中一种重要零部件。它的主要功能是支撑机械旋转体，降低其运动过程中的摩擦系数（friction coefficient），并保证其回转精度（accuracy）。,https://baike.baidu.com/item/%E8%BD%B4%E6%89%BF/177492
6,电主轴,电主轴，外文名hvct，是在数控机床领域出现的将机床主轴与主轴电机融为一体的新技术。主轴是一套组件，它包括电主轴本身及其附件：电主轴、高频变频装置、油雾润滑器、冷却装置、内置编码器、换刀装置等。这种主轴电动机与机床主轴“合二为一”的传动结构形式，使主轴部件从机床的传动系统和整体结构中相对独立出来，因此可做成“主轴单元”，俗称“电主轴”(ElectricSpindle,Motor Spindle)，特性为高转速、高精度、低噪音、内圈带锁口的结构更适合喷雾润滑。,https://baike.baidu.com/item/%E7%94%B5%E4%B8%BB%E8%BD%B4/4767850
4,收集器,收集器是用于接收目标物发射或反射的电磁辐射能的元件，并把它们进行聚焦，然后送往探测系统。摄影机的收集元件是凸透镜; 雷达的收集元件是天线。,https://baike.baidu.com/item/%E6%94%B6%E9%9B%86%E5%99%A8/9970798
3,传动系统,传动系统一般由离合器、变速器、万向传动装置、主减速器、差速器和半轴等组成。其基本功用是将发动机发出的动力传给汽车的驱动车轮，产生驱动力，使汽车能在一定速度上行驶。,https://baike.baidu.com/item/%E4%BC%A0%E5%8A%A8%E7%B3%BB%E7%BB%9F/7759232
2,智能,智能，是智慧和能力的总称，中国古代思想家一般把智与能看做是两个相对独立的概念。也有不少思想家把二者结合起来作为一个整体看待。,https://baike.baidu.com/item/%E6%99%BA%E8%83%BD/66637
2,轴承,轴承（Bearing）是当代机械设备中一种重要零部件。它的主要功能是支撑机械旋转体，降低其运动过程中的摩擦系数（friction coefficient），并保证其回转精度（accuracy）。,https://baike.baidu.com/item/%E8%BD%B4%E6%89%BF/177492
1,专项,特定的某个项目。例句：～训练。进行～检查。～资金。[1-2],https://baike.baidu.com/item/%E4%B8%93%E9%A1%B9/10927791
4,能量,能量（energy）简称“能”，质量的时空分布可能变化程度的度量，用来表征物理系统做功的本领。现代物理学已明确了质量与能量之间的数量关系，即爱因斯坦的质能关系式：E=MC²。能量的单位与功的单位相同，在国际单位制中是焦耳（J）。在原子物理学、原子核物理学、粒子物理学等领域中常用电子伏（eV）作为单位，1电子伏=1.602,18×10－19焦。物理领域，也用尔格（erg）作为能量单位，1尔格=10－7焦。能量以多种不同的形式存在。按照物质的不同运动形式分类，能量可分为核能、机械能、化学能、热能、电能、辐射能、光能等。这些不同形式的能量之间可以通过物理效应或化学反应而相互转化。各种场也具有能量。,https://baike.baidu.com/item/%E8%83%BD%E9%87%8F/13016314
3,元件,元件即是小型的机器、仪器的组成部分，其本身常由若干零件构成，可以在同类产品中通用；常指电器、无线电、仪表等工业的某些零件，如电容、晶体管、游丝、发条等。主要分为：杀毒元件，电子元件，气动元件，霍尔元件等。元件是可反复取出使用的图形、按钮或一段小动画，元件中的小动画可以独立于主动画进行播放，每个元件可由多个独立的元素组合而成。许多商用计算机辅助工程(CAE)软件设计包能够在给定的应用功率电平和给定的电路参数设置条件下建模经过射频/微波电路的热量流动，包括PCB的热导率。,https://baike.baidu.com/item/%E5%85%83%E4%BB%B6/7390839
1,基础,基础【Foundation】指建筑底部与地基接触的承重构件，它的作用泛指把建筑上部的荷载传给地基。因此地基必须坚固、稳定而可靠。 工程结构物地面以下的部分结构构件，用来将上部结构荷载传给地基，是房屋、桥梁、码头及其他构筑物的重要组成部分。,https://baike.baidu.com/item/%E5%9F%BA%E7%A1%80/32794
