page_id,keyword,annotation,url
1,杨丽娜,杨丽娜，1960年1月出生于河北临城，桂林中学特级教师。,https://baike.baidu.com/item/%E6%9D%A8%E4%B8%BD%E5%A8%9C/1959318
2,创业,创业是创业者对自己拥有的资源或通过努力对能够拥有的资源进行优化整合，从而创造出更大经济或社会价值的过程。创业是一种需要创业者组织经营管理、运用服务、技术、器物作业的思考、推理和判断的行为。根据杰夫里·提蒙斯（Jeffry A. Timmons）所著的创业教育领域的经典教科书《创业创造》（New Venture Creation）的定义：创业是一种思考、品行素质，杰出才干的行为方式，需要在方法上全盘考虑并拥有和谐的领导能力。创业是以点滴成就点滴喜悦致力于理解创造新事物（新产品，新市场，新生产过程或原材料，组织现有技术的新方法）的机会，如何出现并被特定个体发现或创造，这些人如何运用各种方法去利用和开发它们，然后产生各种成果，创业包括领导者创业，企业家创业，大学生创业。,https://baike.baidu.com/item/%E5%88%9B%E4%B8%9A/5324
2,北京,北京市，简称“京”，古称燕京、北平，是中华人民共和国的首都、省级行政区、直辖市、国家中心城市、超大城市，国务院批复确定的中国政治中心、文化中心、国际交往中心、科技创新中心。截至2018年，全市下辖16个区，总面积16410.54平方千米，2019年末，常住人口2153.6万人，城镇人口1865万人，城镇化率86.6%，常住外来人口达794.3万人。北京地处中国北部、华北平原北部，东与天津毗连，其余均与河北相邻，中心位置东经116°20′、北纬39°56′，是世界著名古都和现代化国际城市，也是中国共产党中央委员会、中华人民共和国中央人民政府和全国人民代表大会常务委员会的办公所在地。北京地势西北高、东南低。西部、北部和东北部三面环山，东南部是一片缓缓向渤海倾斜的平原。境内流经的主要河流有：永定河、潮白河、北运河、拒马河等，多由西北部山地发源，穿过崇山峻岭，向东南蜿蜒流经平原地区，最后分别汇入渤海。北京的气候为暖温带半湿润半干旱季风气候，夏季高温多雨，冬季寒冷干燥，春、秋短促。[5-6]北京被世界权威机构GaWC评为世界一线城市。联合国报告指出北京人类发展指数居中国城市第二位。2019年，北京市实现地区生产总值35371.3亿元，按可比价格计算，比上年增长6.1%。社会消费品零售总额12270.1亿元。,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC/128981
2,传真,传真是近百年发展最快的非话电信业务之一。将文字、图表、相片等记录在纸面上的静止图像，通过扫描和光电变换，变成电信号，经各类信道传送到目的地，在接收端通过一系列逆变换过程，获得与发送原稿相似记录副本的通信方式，称为传真。,https://baike.baidu.com/item/%E4%BC%A0%E7%9C%9F/97950
2,合伙,合伙，就是两人或者两人以上的群体，发挥各自优势，一同去做一些可以给其带来经济利益的事情。这些事情包含合法的和不合法的。而且它不仅可以应用在生活中，也可以应用在工作上。,https://baike.baidu.com/item/%E5%90%88%E4%BC%99/471059
2,常春藤,常春藤，（拉丁学名：Hedera nepalensisvar.sinensis(Tobl.) Rehd）五加科常春藤属多年生常绿攀援灌木，气生根，茎灰棕色或黑棕色，光滑，单叶互生；叶柄无托叶有鳞片；花枝上的叶椭圆状披针形，伞形花序单个顶生，花淡黄白色或淡绿白以，花药紫色；花盘隆起，黄色。果实圆球形，红色或黄色，花期9～11月，果期翌年3～5月。常春藤叶形美丽，四季常青，在南方各地常作垂直绿化使用。多栽植于假山旁、墙根，让其自然附着垂直或覆盖生长，起到装饰美化环境的效果。盆栽时，以中小盆裁为主，可进行多种造型，在室内陈设。也可用来遮盖室内花园的壁面，使其室内花园景观更加自然美丽。常春藤全株均可入药，有祛风湿、活血消肿的作用，对跌打损伤、腰腿疼、风湿性关节炎等症均有治疗效果。,https://baike.baidu.com/item/%E5%B8%B8%E6%98%A5%E8%97%A4/70130
2,北京市,北京市，简称“京”，古称燕京、北平，是中华人民共和国的首都、省级行政区、直辖市、国家中心城市、超大城市，国务院批复确定的中国政治中心、文化中心、国际交往中心、科技创新中心。截至2018年，全市下辖16个区，总面积16410.54平方千米，2019年末，常住人口2153.6万人，城镇人口1865万人，城镇化率86.6%，常住外来人口达794.3万人。北京地处中国北部、华北平原北部，东与天津毗连，其余均与河北相邻，中心位置东经116°20′、北纬39°56′，是世界著名古都和现代化国际城市，也是中国共产党中央委员会、中华人民共和国中央人民政府和全国人民代表大会常务委员会的办公所在地。北京地势西北高、东南低。西部、北部和东北部三面环山，东南部是一片缓缓向渤海倾斜的平原。境内流经的主要河流有：永定河、潮白河、北运河、拒马河等，多由西北部山地发源，穿过崇山峻岭，向东南蜿蜒流经平原地区，最后分别汇入渤海。北京的气候为暖温带半湿润半干旱季风气候，夏季高温多雨，冬季寒冷干燥，春、秋短促。[5-6]北京被世界权威机构GaWC评为世界一线城市。联合国报告指出北京人类发展指数居中国城市第二位。2019年，北京市实现地区生产总值35371.3亿元，按可比价格计算，比上年增长6.1%。社会消费品零售总额12270.1亿元。,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC/128981
2,邮箱,免费邮箱是为任何人免费提供的电子邮件传输服务。,https://baike.baidu.com/item/%E5%85%8D%E8%B4%B9%E9%82%AE%E7%AE%B1/7068946
2,co,,https://baike.baidu.com//item/CO/22143846
2,金科,金科集团（重庆）成立于1998年5月，是一家以民生地产开发、科技产业投资运营、生活服务、文化旅游康养等相关多元化产业四位一体协同发展的大型企业集团，具有国家一级房地产开发资质，资产总额超3200亿元，员工2.5万余人,https://baike.baidu.com/item/%E9%87%91%E7%A7%91%E9%9B%86%E5%9B%A2/3183721
