page_id,keyword,annotation,url
3,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
3,临床,临床是指直接接触病人，对病人进行实际的观察。如内科学、外科学、妇产科学、儿科学等学科属于临床医学。 从医院内部分工来说，则分为临床、医技、行政、工勤等部门。临床科室是医院的主体，它直接担负着对病人的收治、诊断、治疗等任务；临床人员包括直接参与治疗、护理病人的医生、护士；医技科室即过去所说的“非临床”科室，它也有医生和护士，但是不直接参与对病人的治疗和护理，只是为临床诊断、治疗直接提供服务。,https://baike.baidu.com/item/%E4%B8%B4%E5%BA%8A/5507460
7,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
6,检测,用指定的方法检验测试某种物体（气体、液体、固体）指定的技术性能指标。适用于各种行业范畴的质量评定，如：土木建筑工程、水利、食品、化学、环境、机械、机器等等。,https://baike.baidu.com/item/%E6%A3%80%E6%B5%8B/1200916
7,临床,临床是指直接接触病人，对病人进行实际的观察。如内科学、外科学、妇产科学、儿科学等学科属于临床医学。 从医院内部分工来说，则分为临床、医技、行政、工勤等部门。临床科室是医院的主体，它直接担负着对病人的收治、诊断、治疗等任务；临床人员包括直接参与治疗、护理病人的医生、护士；医技科室即过去所说的“非临床”科室，它也有医生和护士，但是不直接参与对病人的治疗和护理，只是为临床诊断、治疗直接提供服务。,https://baike.baidu.com/item/%E4%B8%B4%E5%BA%8A/5507460
5,自动化,自动化（Automation）是指机器设备、系统或过程（生产、管理过程）在没有人或较少人的直接参与下，按照人的要求，经过自动检测、信息处理、分析判断、操纵控制，实现预期的目标的过程。自动化技术广泛用于工业、农业、军事、科学研究、交通运输、商业、医疗、服务和家庭等方面。采用自动化技术不仅可以把人从繁重的体力劳动、部分脑力劳动以及恶劣、危险的工作环境中解放出来，而且能扩展人的器官功能，极大地提高劳动生产率，增强人类认识世界和改造世界的能力。因此，自动化是工业、农业、国防和科学技术现代化的重要条件和显著标志。,https://baike.baidu.com/item/%E8%87%AA%E5%8A%A8%E5%8C%96/323170
7,新冠,新冠自然村隶属于锡城镇新冠村委会，位于锡城镇西边，距离新冠村委会1.5公里，距离锡城镇5公里，是新冠村委会所在地。国土面积有1.26平方公里，海拔1800米，年平均气温15-16℃，年降水量1300毫米，适宜种植蔬菜、包谷等农作物。有耕地120.93亩，其中人均耕地0.287亩；有林地218.3亩。全村辖1个村民小组，有农户156户，有乡村人口455人，其中农业人口455人，劳动力339人，其中从事第一产业人数291人。2014年全村经济总收入3656万元，农民人均纯收入12780元。农民收入主要以经营收入为主。,https://baike.baidu.com/item/%E6%96%B0%E5%86%A0%E6%9D%91/9968534
6,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
5,检测,用指定的方法检验测试某种物体（气体、液体、固体）指定的技术性能指标。适用于各种行业范畴的质量评定，如：土木建筑工程、水利、食品、化学、环境、机械、机器等等。,https://baike.baidu.com/item/%E6%A3%80%E6%B5%8B/1200916
4,佐剂,佐剂是非特异性免疫增强剂，当与抗原一起注射或预先注入机体时，可增强机体对抗原的免疫应答或改变免疫应答类型。,https://baike.baidu.com/item/%E4%BD%90%E5%89%82/6377731
4,新冠,新冠自然村隶属于锡城镇新冠村委会，位于锡城镇西边，距离新冠村委会1.5公里，距离锡城镇5公里，是新冠村委会所在地。国土面积有1.26平方公里，海拔1800米，年平均气温15-16℃，年降水量1300毫米，适宜种植蔬菜、包谷等农作物。有耕地120.93亩，其中人均耕地0.287亩；有林地218.3亩。全村辖1个村民小组，有农户156户，有乡村人口455人，其中农业人口455人，劳动力339人，其中从事第一产业人数291人。2014年全村经济总收入3656万元，农民人均纯收入12780元。农民收入主要以经营收入为主。,https://baike.baidu.com/item/%E6%96%B0%E5%86%A0%E6%9D%91/9968534
6,新冠,新冠自然村隶属于锡城镇新冠村委会，位于锡城镇西边，距离新冠村委会1.5公里，距离锡城镇5公里，是新冠村委会所在地。国土面积有1.26平方公里，海拔1800米，年平均气温15-16℃，年降水量1300毫米，适宜种植蔬菜、包谷等农作物。有耕地120.93亩，其中人均耕地0.287亩；有林地218.3亩。全村辖1个村民小组，有农户156户，有乡村人口455人，其中农业人口455人，劳动力339人，其中从事第一产业人数291人。2014年全村经济总收入3656万元，农民人均纯收入12780元。农民收入主要以经营收入为主。,https://baike.baidu.com/item/%E6%96%B0%E5%86%A0%E6%9D%91/9968534
5,核酸,核酸是脱氧核糖核酸（DNA）和核糖核酸（RNA）的总称，是由许多核苷酸单体聚合成的生物大分子化合物，为生命的最基本物质之一。核酸是一类生物聚合物，是所有已知生命形式必不可少的组成物质，是所有生物分子中最重要的物质，广泛存在于所有动植物细胞、微生物体内。核酸由核苷酸组成，而核苷酸单体由五碳糖、磷酸基和含氮碱基组成。如果五碳糖是核糖，则形成的聚合物是RNA；如果五碳糖是脱氧核糖，则形成的聚合物是DNA。,https://baike.baidu.com/item/%E6%A0%B8%E9%85%B8/530683
2,临床,临床是指直接接触病人，对病人进行实际的观察。如内科学、外科学、妇产科学、儿科学等学科属于临床医学。 从医院内部分工来说，则分为临床、医技、行政、工勤等部门。临床科室是医院的主体，它直接担负着对病人的收治、诊断、治疗等任务；临床人员包括直接参与治疗、护理病人的医生、护士；医技科室即过去所说的“非临床”科室，它也有医生和护士，但是不直接参与对病人的治疗和护理，只是为临床诊断、治疗直接提供服务。,https://baike.baidu.com/item/%E4%B8%B4%E5%BA%8A/5507460
4,疫苗,疫苗是指用各类病原微生物制作的用于预防接种的生物制品。其中用细菌或螺旋体制作的疫苗亦称为菌苗。疫苗分为活疫苗和死疫苗两种。常用的活疫苗有卡介苗，脊髓灰质炎疫苗、麻疹疫苗、鼠疫菌苗等。常用的死疫苗有百日咳菌苗、伤寒菌苗、流脑菌苗、霍乱菌苗等。不同疫苗的生产时间各不相同，有的疫苗可能需要22个月才能生产出一个批次。疫苗的开发是一个漫长而复杂的过程，且成本很高。接种疫苗是预防和控制传染病最经济、有效的公共卫生干预措施，对于家庭来说也是减少成员疾病发生、减少医疗费用的有效手段。据估计，免疫接种每年能避免200万至300万例因白喉、破伤风、百日咳和麻疹导致的死亡。全球疫苗接种覆盖率（全球获得推荐疫苗的儿童所占的比例）在过去几年中一直保持稳定。,https://baike.baidu.com/item/%E7%96%AB%E8%8B%97/784976
1,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
