page_id,keyword,annotation,url
8,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
8,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
7,项目数,项目数据分析是通过对项目数据全方位的科学分析来评估项目的可行性，为投资方决策项目提供科学、严谨的依据，降低项目投资的风险。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90/5104557
6,以上,以上是一个汉语词汇，拼音是yǐ shàng。一指数量、程度、阶段等超出并达到某一标准；二指 (表示在此之前，前面的全部内容)以上，上述，上面；三指时代在前的，犹言以前。,https://baike.baidu.com/item/%E4%BB%A5%E4%B8%8A/1415857
6,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
6,盐碱地,盐碱地是盐类集积的一个种类，是指土壤里面所含的盐分影响到作物的正常生长，根据联合国教科文组织和粮农组织不完全统计，全世界盐碱地的面积为9.5438亿公顷，其中我国为9913万公顷。我国碱土和碱化土壤的形成，大部分与土壤中碳酸盐的累计有关，因而碱化度普遍较高，严重的盐碱土壤地区植物几乎不能生存。,https://baike.baidu.com/item/%E7%9B%90%E7%A2%B1%E5%9C%B0/764116
7,1.5,1.5高达是《机动战士高达》中的一个角色，高23.3m，重量68.9t，是准变革者专用量产型MS，驾驶人员有芘赛德·佩因与雷夫 雷丝塔提万。,https://baike.baidu.com/item/1.5%E9%AB%98%E8%BE%BE/3678384
8,经费,经费是指行政事业单位为完成工作任务和事业计划所需经常费用的统称。这些单位一般不直接从事物质资料生产，没有独立、稳定的收入来源。或者虽有一部分收入，但大都不足以抵补本身的业务支出，需要国家预算拨付经费。经费按用途可分为人员经费和公用经费。或分为维持经费和发展经费。前者指维持原有行政事业单位机构及规模的人员经费和公用经费; 后者是指在计划年度内，经批准新增加的机构、人员或其他事业项目所需的经费。原单位增加少量人员，不增设机构和不扩大事业项目的，属于自然增长，不作为发展经费。,https://baike.baidu.com/item/%E7%BB%8F%E8%B4%B9/1705671
7,10%,2013年3月，人人网友胡辛束自创的漫画《我心中的10%先生》获得好评。胡辛束将“10%先生”定义为：他看起来大概比我高10%；我二十多岁遇见他时，他的年龄也恰好大我10%；他的薪水比我丰厚的不止10%；饭量更是盖过我不止10%；他的知识面永远比我多覆盖10%；连人际圈子都比我广泛10%；我欣赏他的体贴懂事，他会比我安排多10%的时间去尽孝心；他爱我更是要比我爱他还多10%；关键是他看起来还要比我主动10%；生命力也必须要比我持久10%。对此，很多网友表示赞同，但专家建议爱情不应该被量化。,https://baike.baidu.com/item/10%25%E5%85%88%E7%94%9F/134282
4,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
3,酿酒,利用微生物发酵生产含一定浓度酒精饮料的过程。酿酒原料与酿酒容器，是谷物酿酒的两个先决条件。据考古出土距今五千多年的酿酒器具表明：传说中的黄帝时期、夏禹时代存在酿酒这一行业，而酿酒之起源还在此之前。远古时人们可能先接触到某些天然发酵的酒，然后加以仿制。国内学者普遍认为，龙山文化时期酿酒是较为发达的行业。酿酒原料不同，所用微生物及酿造过程也不一样。酒曲酿酒是中国酿酒的精华所在。《齐民要术》记载的制曲方法一直沿用至今，后世也有少量的改进。,https://baike.baidu.com/item/%E9%85%BF%E9%85%92/10861354
