page_id,keyword,annotation,url
4,分发,[释义](1) （动）一个个地发给。分发慰问品。（作谓语）  (2) （动）分派（人员到工作岗位）。  （3）从发布服务器将事务或数据的快照移动到订阅服务器，在订阅服务器上将它们应用于订阅数据库中的目的表。,https://baike.baidu.com/item/%E5%88%86%E5%8F%91/11031883
3,素材,素材，指的是作者从现实生活中搜集到的、未经整理加工的、感性的、分散的原始材料。这些材料并不能都写入文章之中。但是，这种生活“素材”，如果经过作者的集中、提炼、加工和改造，并写入作品之后，即成为“题材”了。,https://baike.baidu.com/item/%E7%B4%A0%E6%9D%90/751646
3,机器人,机器人（Robot）是一种能够半自主或全自主工作的智能机器。历史上最早的机器人见于隋炀帝命工匠按照柳抃形象所营造的木偶机器人，施有机关，有坐、起、拜、伏等能力。机器人具有感知、决策、执行等基本特征，可以辅助甚至替代人类完成危险、繁重、复杂的工作，提高工作效率与质量，服务人类生活，扩大或延伸人的活动及能力范围。,https://baike.baidu.com/item/%E6%9C%BA%E5%99%A8%E4%BA%BA/888
4,关联,关联，读音为guān lián，汉语词语，意思是互相贯连。出自《尉缭子·将理》。,https://baike.baidu.com/item/%E5%85%B3%E8%81%94/165901
4,协同,协同一词来自古希腊语, 或曰协和、同步、和谐、协调、协作、合作, 是协同(Synergetics)的基本范畴。协同的定义, 《说文》提到“协, 众之同和也。同, 合会也”。所谓协同，就是指协调两个或者两个以上的不同资源或者个体，协同一致地完成某一目标的过程或能力。而所有有助于协同的软件都可以称作是协同软件。协同，按照康德关于范畴表中关于关系范畴的论述，协同至主动与受动之间的交互作用。,https://baike.baidu.com/item/%E5%8D%8F%E5%90%8C/5865610
4,内容,内容是指事物所包含的实质性事物。一个艺术作品的表现、基本含义、意味或审美价值。内容关涉的是我们在艺术作品中感受到的感觉的、主观的、心理的和情感方面的意涵，与我们对描绘性方面的单纯知觉相对。,https://baike.baidu.com/item/%E5%86%85%E5%AE%B9/869297
4,超高,超高指的是列车在圆曲线上行驶时，受横向力或离心力作用会产生滑移，为抵消车辆在圆曲线路段上行驶时所产生的离心力，保证列车能安全、稳定、满足设计速度和经济、舒适地通过圆曲线，在该路段横断面上设置的外侧高于内侧的单向横坡 。,https://baike.baidu.com/item/%E8%B6%85%E9%AB%98/8024636
4,媒体,媒体（media）一词来源于拉丁语“Medius”，意为两者之间。媒体是传播信息的媒介。它是指人借助用来传递信息与获取信息的工具、渠道、载体、中介物或技术手段。也可以把媒体看作为实现信息从信息源传递到受信者的一切技术手段。媒体有两层含义，一是承载信息的物体，二是指储存、呈现、处理、传递信息的实体。“媒”是“女”字旁，《诗·卫风·氓》中有“匪我愆期，子无良媒”，古语又讲天上无云不下雨，地上无媒不成婚。可见，很早之前，“媒”主要是在男女婚嫁中起传情达意的中介作用。,https://baike.baidu.com/item/%E5%AA%92%E4%BD%93/203321
2,传播,传播是指两个相互独立的系统之间，利用一定的媒介和途径所进行的、有目的的信息传递活动。公共关系反映的是人际之间的交往，因而也离不开信息的传递及沟通。从企业来看，信息传播就是企业正确地使用各种传播媒介，及时地向公众传递有关企业的各种信息，及时有效地收集企业公众对企业的各种意见和了解他们的态度。信息传播过程是一种信息分享过程，双方都能在传递、交流、反馈等一系列过程中分享信息，在双方的信息沟通的基础上取得理解，达成共识。,https://baike.baidu.com/item/%E4%BC%A0%E6%92%AD/1261279
2,建模,建模，就是建立模型，就是为了理解事物而对事物做出的一种抽象，是对事物的一种无歧义的书面描述。建立系统模型的过程，又称模型化。建模是研究系统的重要手段和前提。凡是用模型描述系统的因果关系或相互关系的过程都属于建模。因描述的关系各异，所以实现这一过程的手段和方法也是多种多样的。可以通过对系统本身运动规律的分析，根据事物的机理来建模;也可以通过对系统的实验或统计数据的处理，并根据关于系统的已有的知识和经验来建模。还可以同时使用几种方法。,https://baike.baidu.com/item/%E5%BB%BA%E6%A8%A1/814831
2,质量,质量（mass）是物体所具有的一种物理属性，是物质的量的量度，它是一个正的标量。质量分为惯性质量和引力质量。自然界中的任何物质既有惯性质量又有引力质量。这里所说的“物质”是自然界中的宏观物体和电磁场、天体和星系、微观世界的基本粒子等的总称。质量是物理学中的一个基本概念，它的含义和内容随着科学的发展而不断清晰和充实。最初，牛顿把质量说成是物质的数量，即物质多少的量度。在牛顿力学中，给定的物体具有一定的惯性质量（用字母表示），它作为一个与时间和空间位置无关的常数出现在牛顿力学第二定律之中：F=ma（物体加速度的大小a与所受力F的大小成正比，比例系数m称为该物体的惯性质量）。惯性质量是物体惯性的量度：对于m越大的物体，就越难改变其运动状态（速度）。在牛顿力学中，没有惯性质量等于零的物体存在。在狭义相对论中，惯性质量又细分为静质量、动质量、相对论质量（总质量）。相对论质量与静质量的差称为动质量。对于可以在实验室里测试的物体，惯性质量和引力质量相等。20世纪，爱因斯坦在广义相对论中提出等效原理就是以惯性质量和引力质量相等这一前提为依据的。可以认为，一切与广义相对论有关的观察和实验的精确结果都可以看成是这两种质量相等的证明。因此，惯性质量和引力质量是表征物体内在性质的同一个物理量的不同表现。,https://baike.baidu.com/item/%E8%B4%A8%E9%87%8F/2640907
2,内容,内容是指事物所包含的实质性事物。一个艺术作品的表现、基本含义、意味或审美价值。内容关涉的是我们在艺术作品中感受到的感觉的、主观的、心理的和情感方面的意涵，与我们对描绘性方面的单纯知觉相对。,https://baike.baidu.com/item/%E5%86%85%E5%AE%B9/869297
3,新闻报道,新闻报道的特点是：真实、新鲜、及时、重要、趣味可读，时效性极强。一般读新闻报道的习惯是：通篇浏览标题，优中选优，不留死角，仔细阅读。1、自主性：新闻界自主选择报道或者揭露目标，自主进行调查活动。不是依赖当局发表的材料写报道，而是记者亲自进行调查，逼近真相。也不是像独家新闻那样只依靠单个的材料，而是通过彻底的调查采访，揭示事件的整体的情况。2、新闻性：目标的选择是当前读者最关心的问题。3、科学性：它的威力与魅力建立在扎扎实实、深入细致的调查研究之上。4、是费时、费力、篇幅长、分量重的深度报道。具有一定的风险性。,https://baike.baidu.com/item/%E6%96%B0%E9%97%BB%E6%8A%A5%E9%81%93/10413995
3,写稿,,https://baike.baidu.com//item/%E5%86%99%E7%A8%BF%E6%9C%BA%E5%99%A8%E4%BA%BA
2,媒体,媒体（media）一词来源于拉丁语“Medius”，意为两者之间。媒体是传播信息的媒介。它是指人借助用来传递信息与获取信息的工具、渠道、载体、中介物或技术手段。也可以把媒体看作为实现信息从信息源传递到受信者的一切技术手段。媒体有两层含义，一是承载信息的物体，二是指储存、呈现、处理、传递信息的实体。“媒”是“女”字旁，《诗·卫风·氓》中有“匪我愆期，子无良媒”，古语又讲天上无云不下雨，地上无媒不成婚。可见，很早之前，“媒”主要是在男女婚嫁中起传情达意的中介作用。,https://baike.baidu.com/item/%E5%AA%92%E4%BD%93/203321
1,研究,研究，读音，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功利的可靠性和稳健性而做的工作。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6/1883844
3,内容,内容是指事物所包含的实质性事物。一个艺术作品的表现、基本含义、意味或审美价值。内容关涉的是我们在艺术作品中感受到的感觉的、主观的、心理的和情感方面的意涵，与我们对描绘性方面的单纯知觉相对。,https://baike.baidu.com/item/%E5%86%85%E5%AE%B9/869297
3,AI,AI是Adobe Illustrator的文件扩展名，是一种矢量图形文件格式。Adobe Illustrator是一种流行的基于矢量图形的绘图程序。AI格式是一个严格限制的，高度简化的EPS子集。AI代表Adobe Illustrator。,https://baike.baidu.com/item/ai%E6%96%87%E4%BB%B6/5574186
2,评价,评价，读音píng jià，汉语词语，意思是指对一件事或人物进行判断、分析后的结论。,https://baike.baidu.com/item/%E8%AF%84%E4%BB%B7/508391
1,课题,所谓课题，指要研究、解决的问题，所以课题背景就是指该问题是在什么情况或条件下产生的，课题研究有什么意义，等等。课题包括：市级课题、省级课题、国家级课题等。,https://baike.baidu.com/item/%E8%AF%BE%E9%A2%98/2434814
1,项目,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。叶圣陶《倪焕之》二五：“教育这个项目当然是不容轻易忽略的。” 洪深 《戏剧导演的初步知识》上篇二：“它们的式样、大小、制造的材料、使用的方法等等，项目繁多。” 秦牧 《艺海拾贝·核心》：“生动的语言和丰富的词汇，看来该是技巧性很强的一个项目了。”项目参数包括项目范围、质量、成本、时间、资源。美国项目管理协会（project Management Institute，PMI)在其出版的《项目管理知识体系指南》（Project Management Body of Knowledge，PMBOK）中为项目所做的定义是：项目是为创造独特的产品、服务或成果而进行的临时性工作。以下活动都可以称为一个项目：1、开发一项新产品；2、计划举行一项大型活动（如策划组织婚礼、大型国际会议等）；3、策划一次自驾游旅游；4、ERP的咨询、开发、实施与培训。,https://baike.baidu.com/item/%E9%A1%B9%E7%9B%AE/477803
1,经费,经费是指行政事业单位为完成工作任务和事业计划所需经常费用的统称。这些单位一般不直接从事物质资料生产，没有独立、稳定的收入来源。或者虽有一部分收入，但大都不足以抵补本身的业务支出，需要国家预算拨付经费。经费按用途可分为人员经费和公用经费。或分为维持经费和发展经费。前者指维持原有行政事业单位机构及规模的人员经费和公用经费; 后者是指在计划年度内，经批准新增加的机构、人员或其他事业项目所需的经费。原单位增加少量人员，不增设机构和不扩大事业项目的，属于自然增长，不作为发展经费。,https://baike.baidu.com/item/%E7%BB%8F%E8%B4%B9/1705671
1,纲要,《纲要》，“纲”，原指网上的大绳。汉代郑玄《诗谱序》中说：“举一纲而万目张。”又引伸为事物的关键部主持，如大纲。“要”是重要的意思，与“纲”有异曲同工之意，又有“要点”之别。“纲”“要”并用，即为：提纲挈领的要点，亦即一本书、一个规划、一个宣言、一个文本的等结构性的、主要的、核心的和实质性内容的总结、概述和介绍。,https://baike.baidu.com/item/%E7%BA%B2%E8%A6%81/31671
