page_id,keyword,annotation,url
1,中科院,中国科学院（英文名称：Chinese Academy of Sciences，简称中科院）成立于1949年11月，为中国自然科学最高学术机构、科学技术最高咨询机构、自然科学与高技术综合研究发展中心。中国科学院提出了建设国家创新体系的构想，先后实施知识创新工程、“创新2020”、《“率先行动”计划暨全面深化改革纲要》，提出了《迎接知识经济时代，建设国家创新体系》、《创新促进发展，科技引领未来》、《创新2050：科学技术与中国的未来》、《科技发展新态势与面向2020年的战略选择》等战略研究报告。据2018年11月中国科学院官网显示，全院共拥有12个分院、100多家科研院所、3所大学（中国科学院大学、中国科学技术大学，与上海市共建上海科技大学）、130多个国家级重点实验室和工程中心、210多个野外观测台站，承担20余项国家重大科技基础设施的建设与运行，正式职工7.1万余人，在学研究生6.4万余人；建成了完整的自然科学学科体系，物理、化学、材料科学、数学、环境与生态学、地球科学等学科整体水平已进入世界先进行列，一些领域方向也具备了进入世界第一方阵的良好态势。在解决关系国家全局和长远发展的重大问题上，已成为不可替代的国家战略科技力量。一批科学家在国家重大科技任务中发挥了关键和中坚作用，并作为我国科技界的代表活跃在国际科技前沿。2019年9月，经党中央批准，十九届中央第四轮巡视将对中国科学院党组织开展常规巡视。,https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E7%A7%91%E5%AD%A6%E9%99%A2/271375
1,李言荣,李言荣，男，汉族，1961年7月生，四川省射洪县人，中共党员， 1992年获中国科学院长春应化所博士学位。教授、博士生导师，电子信息材料专家，电子薄膜与集成器件国家重点实验室主任，国家杰出青年基金获得者，973项目技术首席科学家，中国工程院院士，亚太材料科学院院士，中共十七大代表，第十三届全国政协委员。长期从事电子薄膜材料与器件应用研究，包括高温超导薄膜与微波器件、铁电薄膜与应用、纳米介电薄膜生长技术、SiC外延膜技术等方面的研究。[1-8]现任四川大学校长（副部长级）、党委副书记，四川省科协主席。[4-9],https://baike.baidu.com/item/李言荣

1,林忠钦,林忠钦，男，汉族，1957年12月6日出生，浙江省宁波市人，机械工程专家，中国工程院院士，上海交通大学校长、党委副书记，教育部科技委先进制造学部主任。1978年至1989年，林忠钦在上海交通大学船舶结构力学专业学习，先后获学士、硕士、博士学位；1985年加入中国共产党，1989年参加工作；1994年至1995年，作为高级学者访问澳大利亚悉尼大学；1997年至2002年，担任上海交通大学机械工程学院副院长、常务副院长；2002年至2004年，担任上海交通大学机械与动力工程学院常务副院长；2004年至2004年，担任上海交通大学副校长；2004年至2010年，担任上海交通大学党委常委、副校长；2010年至2017年，担任上海交通大学党委常委、常务副校长；2011年当选为中国工程院院士。林忠钦长期从事薄板产品制造工艺与质量控制技术研究。,https://baike.baidu.com/item/林忠钦

1,包信,包信镇位于息县东北35公里处，北距新蔡县城20公里，由106国道贯穿全境。系周封赖国故地，是河南省三大古镇之一，与回郭镇、朱仙镇并列为河南省三大名镇。东、北分别与淮滨县、新蔡县相邻，西、南分别与东岳镇、小茴镇接壤。境内资源丰富，属淮河水系，主要有闾河、温大港、敞口港等三条河流，由闾河注入淮河。属亚热带向暖温带过渡区域，四季分明，雨量充沛，气候宜人，冬暖夏凉，年平均气温为18.4℃。近年来，经济发展迅速，成为全县经济实力较强的乡镇之一。全镇物产丰富，名吃众多。境内拥有息县古赖国文化园、赖国故城、叔颖公墓、赖王陵遗址以及龙王庙、奶奶庙、迎水寺、香烟寺等多处景点或古迹。1982年，叔颖公墓被确定为息县文物保护单位。2006年，作为古赖国文化园内建筑之一的赖国故城被河南省政府定为河南省文物保护单位。2012年，息县嗨子戏入选信阳市市级非物质文化遗产名录，包信镇陈湖村的嗨子戏则是息县嗨子戏的代表。2019年，传统小吃包信大饼冲出包信，成为信阳市非物质文化遗产保护项目。近年来，包信镇党委、政府以“弘扬赖氏宗亲文化”为主线，依托区位、资源等独特优势，着力打造旅游乡镇。,https://baike.baidu.com/item/%E5%8C%85%E4%BF%A1%E9%95%87/768434
1,教授级,教授级高工，即教授级高级工程师。 高级工程师是中国专业技术职称工程类中的高级职称（职称改革后称为专业技术职务任职资格），也是工程师任职资格职称里的最高职称，而教授级高级工程师是高级工程师任职资格职称里的最高级别之一。,https://baike.baidu.com/item/%E6%95%99%E6%8E%88%E7%BA%A7%E9%AB%98%E7%BA%A7%E5%B7%A5%E7%A8%8B%E5%B8%88/6642240
1,高工,研究员级高工，即研究员级高级工程师。 高级工程师是中国专业技术职称工程类中的高级职称（职称改革后称为专业技术职务任职资格），也是工程师任职资格职称里的最高职称，而研究员级高级工程师、教授级高级工程师是高级工程师任职资格职称里的最高级别之一。,https://baike.baidu.com/item/%E7%A0%94%E7%A9%B6%E5%91%98%E7%BA%A7%E9%AB%98%E5%B7%A5/6147680
1,张广军,张广军，1965年3月21日出生于天津，测试计量专家，中国工程院院士，东南大学教授、博士生导师、校长。1982年张广军考入天津大学精密仪器工程系，先后获得学士、硕士和博士学位；1991年博士毕业后进入北京航空航天大学任教，历任讲师、副教授、教授；2000年受聘为教育部“长江学者奖励计划”特聘教授；2001年获得国家杰出青年科学基金资助；2003年入选国家 “百千万人才计划”；2008年获得长江学者成就奖；2008年至2015年担任北京航空航天大学副校长；2013年当选中国工程院院士；2015年出任东南大学校长。张广军一直从事几何量动态测量技术和工程应用研究。,https://baike.baidu.com/item/张广军

