page_id,keyword,annotation,url
4,建立,建立是一个动词，读音为Jiàn Lì，顾名思义让某种事物从无到有的一个过程。有开始成立，产生。设置，设立，兴建，建设等的含义在内。,https://baike.baidu.com/item/%E5%BB%BA%E7%AB%8B/1080156
4,应用,应用（Application），一般指手机和平板电脑的应用。在面向对象上通常分为个人用户应用与企业级应用，在移动端系统分类上主要包括iOS（如：同步推等）、Android（如：AirDroid、百度应用等）和windows phone的xap和appx。,https://baike.baidu.com/item/%E5%BA%94%E7%94%A8/3994271
4,公共安全,所谓公共安全，是指社会和公民个人从事和进行正常的生活、工作、学习、娱乐和交往所需要的稳定的外部环境和秩序。所谓公共安全管理，则是指国家行政机关为了维护社会的公共安全和秩序，保障公民的合法权益，以及社会各项活动的正常进行而做出的各种行政活动的总和。,https://baike.baidu.com/item/%E5%85%AC%E5%85%B1%E5%AE%89%E5%85%A8/2956734
3,建筑,指人工建筑而成的资产，属于固定资产范畴，包括房屋和构建物两大类。房屋是指供人居住、工作、学习、生产、经营、娱乐、储藏物品以及进行其他社会活动的工程建筑。与建筑物有区别的是构筑物，构建物指房屋以外的工程建筑，如围墙、道路、水坝、水井、隧道、水塔、桥梁和烟囱等。,https://baike.baidu.com/item/%E5%BB%BA%E7%AD%91/405099
3,监测,监测是一个汉语词语，读音为jiān cè，动词，释义为监视、检测。监，监视监听监督的意思。测，测试测量测验的意思。,https://baike.baidu.com/item/%E7%9B%91%E6%B5%8B/1024076
4,节点,在电信网络中，一个节点(英语：node，拉丁语：nodus）是一个连接点，表示一个再分发点（redistribution point）或一个通信端点（一些终端设备）。节点的定义依赖于所提及的网络和协议层。一个物理网络节点是一个连接到网络的有源电子设备，能够通过通信通道发送、接收或转发信息。因此，无源分发点（如配线架或接插板）不是节点。在网络理论或图论中，术语节点表示网络拓扑中，线相交或分支的点。,https://baike.baidu.com/item/%E8%8A%82%E7%82%B9/865052
4,社区,社区是若干社会群体或社会组织聚集在某一个领域里所形成的一个生活上相互关联的大集体，是社会有机体最基本的内容，是宏观社会的缩影。社会学家给社区下出的定义有140多种。社区是具有某种互动关系的和共同文化维系力的，在一定领域内相互关联的人群形成的共同体及其活动区域。尽管社会学家对社区下的定义各不相同，在构成社区的基本要素上认识还是基本一致的，普遍认为一个社区应该包括一定数量的人口、一定范围的地域、一定规模的设施、一定特征的文化、一定类型的组织。社区就是这样一个“聚居在一定地域范围内的人们所组成的社会生活共同体”。社区的特点：有一定的地理区域；有一定数量的人口；居民之间有共同的意识和利益；有着较密切的社会交往。,https://baike.baidu.com/item/%E7%A4%BE%E5%8C%BA/904140
3,灾害,灾难，汉语词汇。拼音：zāi nàn。释义：灾祸苦难。自然的或人为的严重损害带来对生命的重大伤害。《晋书·刘乔传》：“灾难延於宗子，权柄隆於朝廷。”,https://baike.baidu.com/item/%E7%81%BE%E9%9A%BE/4515943
2,示范,示范，读音为shì fàn，汉语词语，意思是做出榜样或典范,供人们学习；起示范作用；把事物摆出来或指出来使人知道。,https://baike.baidu.com/item/%E7%A4%BA%E8%8C%83/363731
4,不少,不少，读音是bù shǎo，汉语词语，意思是多；毫无。出自《书·大诰》。,https://baike.baidu.com/item/%E4%B8%8D%E5%B0%91/6676458
3,风险,风险，就是生产目的与劳动成果之间的不确定性，大致有两层含义：一种定义强调了风险表现为收益不确定性；而另一种定义则强调风险表现为成本或代价的不确定性，若风险表现为收益或者代价的不确定性，说明风险产生的结果可能带来损失、获利或是无损失也无获利，属于广义风险，所有人行使所有权的活动，应被视为管理风险，金融风险属于此类。而风险表现为损失的不确定性，说明风险只能表现出损失，没有从风险中获利的可能性，属于狭义风险。风险和收益成正比，所以一般积极进取的投资者偏向于高风险是为了获得更高的利润，而稳健型的投资者则着重于安全性的考虑。,https://baike.baidu.com/item/%E9%A3%8E%E9%99%A9/2833020
2,防控,风险防控是企业经营管理过程中的一个重要环节，为了进一步提高员工的风险防控意识。,https://baike.baidu.com/item/%E9%98%B2%E6%8E%A7%E9%A3%8E%E9%99%A9/3360267
2,指南,指南，汉语词语，拼音是zhǐ nán，意思是指导，辨别方向的依据。,https://baike.baidu.com/item/%E6%8C%87%E5%8D%97/10153109
2,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
1,国家,国家（State、Country）是由领土、人民、文化和政府四个要素组成的，国家也是政治地理学名词。从广义的角度，国家是指拥有共同的语言、文化、种族、领土、政府或者历史的社会群体。从狭义的角度，国家是一定范围内的人群所形成的共同体形式。在社会科学和人文地理范畴，国家是指被人民、文化、语言、地理区别出来的领土；被政治自治权区别出来的一块领地；一个领地或者邦国的人民；跟特定的人有关联的地区。一般国家行政管理当局是国家的象征，它是一种拥有治理一个社会的权力的国家机构，在一定的领土内拥有外部和内部的主权。国家概念：区域划分，有行政合法性，也就是合法权力。一个国家合法性是指一个政权的理性标准。理性标准是指司法审核标准，法制建立标准。在外语中如英语或法语，国家一词有多种解释，例如地理层面，政治层面，民族层面，这三种层面各有代表国家的单词。,https://baike.baidu.com/item/%E5%9B%BD%E5%AE%B6/17205
3,预警,预警是指在灾害或灾难以及其他需要提防的危险发生之前，根据以往的总结的规律或观测得到的可能性前兆，向相关部门发出紧急信号，报告危险情况，以避免危害在不知情或准备不足的情况下发生，从而最大程度的减轻危害所造成的损失的行为。,https://baike.baidu.com/item/%E9%A2%84%E8%AD%A6/75122
