page_id,keyword,annotation,url
27,申报,《申报》原名《申江新报》，1872年4月30日（清同治十一年三月二十三日）在上海创刊，1949年5月27日停刊。是近代中国发行时间最久、具有广泛社会影响的报纸，是中国现代报纸开端的标志。它前后总计经营了77年，历经晚清、北洋政府、国民政府三个时代，共出版27000余期，出版时间之长，影响之广泛，同时期其它报纸难以企及，在中国新闻史和社会史研究上都占有重要地位，被人称为研究中国近现代史的“百科全书”。,https://baike.baidu.com/item/%E7%94%B3%E6%8A%A5/3577852
26,防霉,防霉性产品具有抑制霉菌孢子萌发及菌丝体生长的能力。,https://baike.baidu.com/item/%E9%98%B2%E9%9C%89%E6%80%A7/9029703
23,食品安全,食品安全（food safety）指食品无毒、无害，符合应当有的营养要求，对人体健康不造成任何急性、亚急性或者慢性危害。根据倍诺食品安全定义，食品安全是“食物中有毒、有害物质对人体健康影响的公共卫生问题”。食品安全也是一门专门探讨在食品加工、存储、销售等过程中确保食品卫生及食用安全，降低疾病隐患，防范食物中毒的一个跨学科领域，所以食品安全很重要。 2013年12月23日至24日中央农村工作会议在北京举行，习近平在会上发表重要讲话。会议强调，能不能在食品安全上给老百姓一个满意的交代，是对执政能力的重大考验。食品安全，是“管”出来的。食品(食物)的种植、养殖、加工、包装、储藏、运输、销售、消费等活动符合国家强制标准和要求，不存在可能损害或威胁人体健康的有毒有害物质以导致消费者病亡或者危及消费者及其后代的隐患。该概念表明，食品安全既包括生产安全，也包括经营安全；既包括结果安全，也包括过程安全；既包括现实安全，也包括未来安全。《中华人民共和国食品安全法》第十章附则第九十九条规定：本法下列用语的含义：食品安全，指食品无毒、无害，符合应当有的营养要求，对人体健康不造成任何急性、亚急性或者慢性危害。,https://baike.baidu.com/item/%E9%A3%9F%E5%93%81%E5%AE%89%E5%85%A8/6173
22,食品安全,食品安全（food safety）指食品无毒、无害，符合应当有的营养要求，对人体健康不造成任何急性、亚急性或者慢性危害。根据倍诺食品安全定义，食品安全是“食物中有毒、有害物质对人体健康影响的公共卫生问题”。食品安全也是一门专门探讨在食品加工、存储、销售等过程中确保食品卫生及食用安全，降低疾病隐患，防范食物中毒的一个跨学科领域，所以食品安全很重要。 2013年12月23日至24日中央农村工作会议在北京举行，习近平在会上发表重要讲话。会议强调，能不能在食品安全上给老百姓一个满意的交代，是对执政能力的重大考验。食品安全，是“管”出来的。食品(食物)的种植、养殖、加工、包装、储藏、运输、销售、消费等活动符合国家强制标准和要求，不存在可能损害或威胁人体健康的有毒有害物质以导致消费者病亡或者危及消费者及其后代的隐患。该概念表明，食品安全既包括生产安全，也包括经营安全；既包括结果安全，也包括过程安全；既包括现实安全，也包括未来安全。《中华人民共和国食品安全法》第十章附则第九十九条规定：本法下列用语的含义：食品安全，指食品无毒、无害，符合应当有的营养要求，对人体健康不造成任何急性、亚急性或者慢性危害。,https://baike.baidu.com/item/%E9%A3%9F%E5%93%81%E5%AE%89%E5%85%A8/6173
24,食品安全,食品安全（food safety）指食品无毒、无害，符合应当有的营养要求，对人体健康不造成任何急性、亚急性或者慢性危害。根据倍诺食品安全定义，食品安全是“食物中有毒、有害物质对人体健康影响的公共卫生问题”。食品安全也是一门专门探讨在食品加工、存储、销售等过程中确保食品卫生及食用安全，降低疾病隐患，防范食物中毒的一个跨学科领域，所以食品安全很重要。 2013年12月23日至24日中央农村工作会议在北京举行，习近平在会上发表重要讲话。会议强调，能不能在食品安全上给老百姓一个满意的交代，是对执政能力的重大考验。食品安全，是“管”出来的。食品(食物)的种植、养殖、加工、包装、储藏、运输、销售、消费等活动符合国家强制标准和要求，不存在可能损害或威胁人体健康的有毒有害物质以导致消费者病亡或者危及消费者及其后代的隐患。该概念表明，食品安全既包括生产安全，也包括经营安全；既包括结果安全，也包括过程安全；既包括现实安全，也包括未来安全。《中华人民共和国食品安全法》第十章附则第九十九条规定：本法下列用语的含义：食品安全，指食品无毒、无害，符合应当有的营养要求，对人体健康不造成任何急性、亚急性或者慢性危害。,https://baike.baidu.com/item/%E9%A3%9F%E5%93%81%E5%AE%89%E5%85%A8/6173
17,养殖,养殖是指培育和繁殖动植物。养殖包括家畜养殖、家禽养殖、水产养殖和特种养殖等种类。,https://baike.baidu.com/item/%E5%85%BB%E6%AE%96/2946467
18,示范,示范，读音为shì fàn，汉语词语，意思是做出榜样或典范,供人们学习；起示范作用；把事物摆出来或指出来使人知道。,https://baike.baidu.com/item/%E7%A4%BA%E8%8C%83/363731
21,食品安全,食品安全（food safety）指食品无毒、无害，符合应当有的营养要求，对人体健康不造成任何急性、亚急性或者慢性危害。根据倍诺食品安全定义，食品安全是“食物中有毒、有害物质对人体健康影响的公共卫生问题”。食品安全也是一门专门探讨在食品加工、存储、销售等过程中确保食品卫生及食用安全，降低疾病隐患，防范食物中毒的一个跨学科领域，所以食品安全很重要。 2013年12月23日至24日中央农村工作会议在北京举行，习近平在会上发表重要讲话。会议强调，能不能在食品安全上给老百姓一个满意的交代，是对执政能力的重大考验。食品安全，是“管”出来的。食品(食物)的种植、养殖、加工、包装、储藏、运输、销售、消费等活动符合国家强制标准和要求，不存在可能损害或威胁人体健康的有毒有害物质以导致消费者病亡或者危及消费者及其后代的隐患。该概念表明，食品安全既包括生产安全，也包括经营安全；既包括结果安全，也包括过程安全；既包括现实安全，也包括未来安全。《中华人民共和国食品安全法》第十章附则第九十九条规定：本法下列用语的含义：食品安全，指食品无毒、无害，符合应当有的营养要求，对人体健康不造成任何急性、亚急性或者慢性危害。,https://baike.baidu.com/item/%E9%A3%9F%E5%93%81%E5%AE%89%E5%85%A8/6173
16,技术,技术是解决问题的方法及方法原理，是指人们利用现有事物形成新事物，或是改变现有事物功能、性能的方法。技术应具备明确的使用范围和被其它人认知的形式和载体，如原材料（输入）、产成品（输出）、工艺、工具、设备、设施、标准、规范、指标、计量方法等。技术与科学相比，技术更强调实用，而科学更强调研究；技术与艺术相比，技术更强调功能，艺术更强调表达。,https://baike.baidu.com/item/%E6%8A%80%E6%9C%AF/832247
20,食品,食品，指各种供人食用或者饮用的成品和原料以及按照传统既是食品又是中药材的物品，但是不包括以治疗为目的的物品。（2015年4月24日第十二届全国人民代表大会常务委员会第十四次会议修订《中华人民共和国食品安全法》“食品”的含义）1994年《食品工业基本术语》对食品的定义为：可供人类食用或饮用的物质，包括加工食品，半成品和未加工食品，不包括烟草或只作药品用的物质。从食品卫生立法和管理的角度，广义的食品概念还涉及到：所生产食品的原料，食品原料种植，养殖过程接触的物质和环境，食品的添加物质，所有直接或间接接触食品的包装材料，设施以及影响食品原有品质的环境。,https://baike.baidu.com/item/%E9%A3%9F%E5%93%81/174284
15,口岸,口岸，具有基础设施和查验、监管机构，是对人员、货物和交通工具合法出入国（关、边）境进行检查检验和提供服务的交通枢纽，不同运输方式的交通网络运输线路的交汇点，国家或地区对外交通运输系统的重要组成部分，具有优越的地理位置和方便的交通运输条件。2020年7月29日，七部门联合《清理规范海运口岸收费行动方案》发布。,https://baike.baidu.com/item/%E5%8F%A3%E5%B2%B8/1572193
14,实验室,实验室（Laboratory/Lab）即进行试验的场所。实验室是科学的摇篮，是科学研究的基地，科技发展的源泉，对科技发展起着非常重要的作用。实验室按归属可分为三类：第一类是从属于大学或者是由大学代管的实验室；第二类实验室属于国家机构，有的甚至是国际机构；第三类实验室直接归属于工业企业部门，为工业技术的开发与研究服务。,https://baike.baidu.com/item/%E5%AE%9E%E9%AA%8C%E5%AE%A4/3298029
19,示范,示范，读音为shì fàn，汉语词语，意思是做出榜样或典范,供人们学习；起示范作用；把事物摆出来或指出来使人知道。,https://baike.baidu.com/item/%E7%A4%BA%E8%8C%83/363731
